#  aims_uuid : C172C93E-4C3D-43AA-AE05-974A6146784F                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.28051078        0.00126760        0.02521323        0.25138024        0.00208861        0.00056110
       -9.99000000        1.67391057        0.00770799        0.23910862        1.40994099        0.01273757        0.00441540
       -9.98000000        1.85332599        0.01362587        0.16615218        1.64591731        0.02462632        0.00300430
       -9.97000000        0.76306789        0.00928037        0.05789420        0.68501776        0.00944887        0.00142669
       -9.96000000        1.65772281        0.02286672        0.22058446        1.39334086        0.01911177        0.00181900
       -9.95000000        1.55765047        0.01734488        0.15260135        1.37249972        0.01211100        0.00309353
       -9.94000000        1.71039902        0.05263139        0.33685032        1.29492084        0.02286270        0.00313377
       -9.93000000        0.92119467        0.03521264        0.19080720        0.67972424        0.01254181        0.00290879
       -9.92000000        0.95807630        0.03413835        0.19417433        0.71520526        0.01320164        0.00135673
       -9.91000000        0.92854401        0.02431325        0.12455098        0.77045675        0.00787817        0.00134487
       -9.90000000        0.37814653        0.01425351        0.06105831        0.29751828        0.00439096        0.00092547
       -9.89000000        1.49052069        0.10527869        0.35481385        1.00679671        0.01978455        0.00384689
       -9.88000000        1.13096082        0.04925665        0.18071629        0.88749776        0.01165507        0.00183504
       -9.87000000        1.46084897        0.07403667        0.18493053        1.18310295        0.01654028        0.00223854
       -9.86000000        3.56074158        0.35916994        0.73080327        2.42439419        0.03925141        0.00712277
       -9.85000000        2.20316052        0.38224758        0.45135011        1.33980116        0.02500842        0.00475325
       -9.84000000        2.07307865        0.24490931        0.35198806        1.44633679        0.02575317        0.00409132
       -9.83000000        2.34614007        0.35237271        0.42995441        1.51988123        0.03835714        0.00557457
       -9.82000000        0.56684703        0.07300479        0.15958817        0.32028431        0.01234881        0.00162094
       -9.81000000        1.72257388        0.32021935        0.36962157        0.99646363        0.03241441        0.00385492
