#  aims_uuid : A20BCF58-F328-4853-A7E3-7BB4E33F6DD5                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.334917 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.66508261        1.37474720        0.02470552        0.32638150        1.00885099        0.01319955        0.00160963
       -4.65508261        1.40316938        0.02432587        0.29919062        1.06530215        0.01250699        0.00184375
       -4.64508261        1.42271208        0.00628906        0.13501566        1.25945374        0.02017633        0.00177729
       -4.63508261        1.72639234        0.00863788        0.16026138        1.52988996        0.02579439        0.00180874
       -4.62508261        1.35689900        0.00941147        0.11581293        1.21186174        0.01803980        0.00177305
       -4.61508261        0.25897748        0.00819636        0.05364226        0.19246300        0.00422953        0.00044633
       -4.60508261        0.48738445        0.02089396        0.10123612        0.35796141        0.00636077        0.00093219
       -4.59508261        0.70754115        0.03861456        0.14865966        0.51066330        0.00813659        0.00146704
       -4.58508261        0.71056765        0.04322600        0.14973677        0.50853271        0.00753782        0.00153435
       -4.57508261        0.71528361        0.04183196        0.14323359        0.52186253        0.00683509        0.00152043
       -4.56508261        1.57508478        0.08246632        0.31388538        1.16063947        0.01456930        0.00352431
       -4.55508261        1.70005766        0.11564287        0.33135053        1.23397816        0.01553139        0.00355470
       -4.54508261        1.54702908        0.08883977        0.26117963        1.17916976        0.01494989        0.00289003
       -4.53508261        2.20390094        0.11472986        0.37348723        1.68931165        0.02277143        0.00360077
       -4.52508261        3.37848181        0.25033998        0.61772338        2.46675648        0.03774426        0.00591771
       -4.51508261        2.28017950        0.18680618        0.42311603        1.63489465        0.03090345        0.00445920
       -4.50508261        1.81973397        0.17318210        0.37440742        1.23945118        0.02959214        0.00310114
       -4.49508261        2.23521647        0.31908259        0.45450067        1.41912150        0.03845011        0.00406160
       -4.48508261        2.38437076        0.45863692        0.52524789        1.35656766        0.03911854        0.00479974
       -4.47508261        1.13274247        0.27201419        0.30509792        0.53822968        0.01453957        0.00286112
