#  aims_uuid : A20BCF58-F328-4853-A7E3-7BB4E33F6DD5                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.47478924        0.02416554        0.32801164        1.10723389        0.01360790        0.00177027
       -9.99000000        1.46477008        0.02341008        0.29001850        1.13635827        0.01309833        0.00188490
       -9.98000000        1.41606849        0.00678158        0.14038197        1.24738376        0.01972338        0.00179781
       -9.97000000        1.80488667        0.00886502        0.15026822        1.61987783        0.02401600        0.00185959
       -9.96000000        1.50514794        0.00753477        0.12237726        1.35781292        0.01548386        0.00193914
       -9.95000000        0.16356606        0.01006267        0.05056049        0.09748727        0.00515189        0.00030374
       -9.94000000        0.37179353        0.02303305        0.09801777        0.24239379        0.00758140        0.00076751
       -9.93000000        0.63589252        0.03949279        0.15021861        0.43562994        0.00916120        0.00138998
       -9.92000000        0.68185891        0.04327047        0.15244552        0.47654186        0.00808351        0.00151754
       -9.91000000        0.70298984        0.04137485        0.14540263        0.50766107        0.00703180        0.00151949
       -9.90000000        1.56810443        0.07878005        0.31803322        1.15312736        0.01461895        0.00354485
       -9.89000000        1.70238137        0.10443484        0.34274210        1.23587934        0.01569445        0.00363064
       -9.88000000        1.55577338        0.08105459        0.26595975        1.19062891        0.01517717        0.00295298
       -9.87000000        2.23403634        0.11618438        0.34400068        1.74659906        0.02361488        0.00363734
       -9.86000000        3.40260727        0.26011613        0.61542166        2.48352635        0.03767717        0.00586595
       -9.85000000        2.24802918        0.19720182        0.45097094        1.56599081        0.02950396        0.00436165
       -9.84000000        1.81782711        0.17543322        0.37195329        1.23779566        0.02955516        0.00308979
       -9.83000000        2.22153190        0.32166810        0.43910856        1.41792297        0.03879696        0.00403531
       -9.82000000        2.48656098        0.41382150        0.51234409        1.51160201        0.04370031        0.00509307
       -9.81000000        1.16876150        0.24394921        0.29424422        0.61135869        0.01611036        0.00309902
       -9.80000000        0.85510267        0.17909402        0.22075571        0.44039397        0.01281195        0.00204703
       -9.79000000        1.70892041        0.43630546        0.26048959        0.98323146        0.02578547        0.00310843
       -9.78000000        2.41277547        0.42325436        0.40545327        1.53867572        0.04049972        0.00489240
       -9.77000000        0.59154652        0.11163185        0.12067072        0.34690041        0.01105536        0.00128817
       -9.76000000        1.20815379        0.14652433        0.24072655        0.79401869        0.02455082        0.00233339
       -9.75000000        0.96534803        0.12742743        0.18960888        0.62636853        0.02009478        0.00184841
       -9.74000000        1.15142247        0.16681141        0.22328716        0.73649246        0.02248110        0.00235034
       -9.73000000        1.30759127        0.21586244        0.24803292        0.81771779        0.02306133        0.00291679
       -9.72000000        0.91069032        0.14981309        0.17796992        0.56408335        0.01669340        0.00213056
       -9.71000000        0.67606349        0.10786169        0.11699045        0.43693949        0.01277434        0.00149752
       -9.70000000        0.72391881        0.10333512        0.08463287        0.52192404        0.01266582        0.00136095
       -9.69000000        2.06926245        0.29911937        0.24653510        1.48925633        0.02998424        0.00436741
       -9.68000000        0.50356485        0.05637185        0.07020411        0.36618975        0.00989017        0.00090897
       -9.67000000        0.29576952        0.04391605        0.04708391        0.19825626        0.00592296        0.00059034
       -9.66000000        0.26449596        0.04379845        0.04428990        0.17006375        0.00581657        0.00052730
       -9.65000000        0.43402730        0.08087133        0.05595287        0.28880654        0.00743818        0.00095839
       -9.64000000        1.32629197        0.24446521        0.14731924        0.91140430        0.02002723        0.00307598
       -9.63000000        0.92274109        0.15053218        0.09816179        0.65713758        0.01484812        0.00206141
       -9.62000000        0.92573301        0.12816825        0.08604908        0.69419186        0.01537400        0.00194982
       -9.61000000        0.89485316        0.10053288        0.07437297        0.70163939        0.01660327        0.00170465
       -9.60000000        0.82583712        0.06764219        0.06285641        0.67562133        0.01839332        0.00132387
