#  aims_uuid : A20BCF58-F328-4853-A7E3-7BB4E33F6DD5                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.41129236        0.07722658        1.21983413        0.10574545        0.00822972        0.00025648
       -9.99000000        1.32000042        0.07616564        1.14062079        0.09517204        0.00777472        0.00026723
       -9.98000000        1.44842248        0.09200266        1.27893264        0.06755920        0.00873717        0.00119082
       -9.97000000        1.65938380        0.09655514        1.47931956        0.07292486        0.00910299        0.00148123
       -9.96000000        1.25840241        0.08750405        1.09967271        0.06303909        0.00751064        0.00067592
       -9.95000000        0.36188348        0.02379165        0.32131431        0.01460605        0.00180494        0.00036653
       -9.94000000        0.62481545        0.04706787        0.54582519        0.02808479        0.00332134        0.00051627
       -9.93000000        0.85037943        0.07110020        0.73298890        0.04109638        0.00465512        0.00053883
       -9.92000000        0.83372940        0.07374929        0.71280126        0.04206638        0.00469118        0.00042128
       -9.91000000        0.81176553        0.07374362        0.68908421        0.04382436        0.00478603        0.00032731
       -9.90000000        1.80204638        0.16381094        1.52942658        0.09739348        0.01074434        0.00067104
       -9.89000000        1.84709445        0.16896652        1.55754658        0.10857444        0.01134193        0.00066497
       -9.88000000        1.60884819        0.14007255        1.35965637        0.09835598        0.01015853        0.00060476
       -9.87000000        2.29009880        0.18330843        1.94911455        0.14266169        0.01412408        0.00089005
       -9.86000000        3.60666801        0.28933296        3.07225967        0.22169120        0.02168930        0.00169489
       -9.85000000        2.65880895        0.23089227        2.27188604        0.13950785        0.01507740        0.00144540
       -9.84000000        2.11352336        0.14993445        1.83560266        0.11504893        0.01151240        0.00142492
       -9.83000000        2.48538679        0.14933961        2.19040091        0.12913299        0.01407982        0.00243346
       -9.82000000        2.50854172        0.18511891        2.17122310        0.13422341        0.01501318        0.00296311
       -9.81000000        1.33496695        0.12173640        1.13304693        0.07105076        0.00797060        0.00116226
       -9.80000000        1.08266906        0.09672446        0.92648298        0.05204567        0.00643879        0.00097715
       -9.79000000        1.69744831        0.14646739        1.44904633        0.08860425        0.01106953        0.00226080
