#  aims_uuid : D7AE3C41-A406-494A-A524-4588188F09D9                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.09334769        0.08642281        0.92243286        0.07650926        0.00778342        0.00019935
       -9.99000000        1.08997793        0.05420637        0.94734332        0.08236601        0.00590313        0.00015910
       -9.98000000        3.63805557        0.26179987        3.15389551        0.19716305        0.02312462        0.00207252
       -9.97000000        1.50198443        0.09058320        1.32755485        0.07341508        0.00904374        0.00138756
       -9.96000000        1.15386759        0.05713427        1.04291689        0.04670566        0.00586633        0.00124444
       -9.95000000        2.22977137        0.18890849        1.89233173        0.13221832        0.01546600        0.00084683
       -9.94000000        0.94203846        0.07450044        0.82096002        0.04143197        0.00460270        0.00054333
       -9.93000000        0.90429863        0.07413244        0.78344342        0.04166204        0.00460629        0.00045445
       -9.92000000        0.67749524        0.05870340        0.58173960        0.03315027        0.00359488        0.00030710
       -9.91000000        1.00565892        0.09178611        0.85429344        0.05345626        0.00570843        0.00041468
       -9.90000000        1.46913571        0.13869086        1.23937284        0.08171250        0.00883902        0.00052049
       -9.89000000        1.88656503        0.17917042        1.58899087        0.10618221        0.01163758        0.00058394
       -9.88000000        2.13606430        0.19322266        1.80648730        0.12238511        0.01309262        0.00087660
       -9.87000000        2.71741089        0.23081504        2.30647599        0.16226641        0.01665355        0.00119991
       -9.86000000        2.94926705        0.24902678        2.50642200        0.17430164        0.01807781        0.00143882
       -9.85000000        2.85519899        0.22884936        2.46185145        0.14627942        0.01621247        0.00200630
       -9.84000000        2.46760574        0.20560080        2.10721174        0.13752719        0.01557113        0.00169489
       -9.83000000        2.15966213        0.13176245        1.90639341        0.10796379        0.01154941        0.00199307
       -9.82000000        2.06188991        0.13531489        1.79378761        0.11950664        0.01132937        0.00195140
       -9.81000000        2.03091795        0.13661330        1.77475475        0.10681714        0.01090356        0.00182920
       -9.80000000        1.14182944        0.12319761        0.96845009        0.04294563        0.00619046        0.00104565
       -9.79000000        4.87279055        0.42321922        4.12395572        0.28592507        0.03494516        0.00474538
       -9.78000000        1.59363213        0.10208151        1.41565816        0.06501516        0.00864054        0.00223676
       -9.77000000        1.10511230        0.06901421        0.98819202        0.04117114        0.00530920        0.00142574
       -9.76000000        1.02747831        0.10052104        0.87452778        0.04612613        0.00567132        0.00063203
       -9.75000000        1.64647304        0.14145167        1.41675607        0.07693459        0.00990581        0.00142489
       -9.74000000        1.61547088        0.14479399        1.38678088        0.07323466        0.00939407        0.00126727
       -9.73000000        1.42939147        0.13240178        1.22358701        0.06417616        0.00820126        0.00102526
       -9.72000000        1.06001746        0.10093780        0.90420622        0.04789906        0.00624231        0.00073207
       -9.71000000        0.79001805        0.07665832        0.67117339        0.03677798        0.00486647        0.00054189
       -9.70000000        0.68788389        0.06733381        0.58217322        0.03346400        0.00442359        0.00048926
       -9.69000000        1.54154566        0.13758584        1.30506500        0.08655477        0.01112734        0.00121271
       -9.68000000        0.92642157        0.08932902        0.78362294        0.04718062        0.00581600        0.00047299
       -9.67000000        0.42199599        0.04254040        0.35593812        0.02053259        0.00272001        0.00026487
       -9.66000000        0.52428153        0.04905998        0.44283096        0.02786940        0.00402264        0.00049855
       -9.65000000        0.80688154        0.07264973        0.68401444        0.04284719        0.00649130        0.00087887
       -9.64000000        1.05014223        0.09075060        0.89566633        0.05412811        0.00840291        0.00119428
       -9.63000000        0.79982209        0.05847746        0.69361326        0.04027866        0.00641680        0.00103590
       -9.62000000        0.70966281        0.04097070        0.62711778        0.03484706        0.00566438        0.00106289
       -9.61000000        0.62405696        0.02784037        0.56286529        0.02778032        0.00455042        0.00102055
       -9.60000000        0.57332532        0.01949665        0.52776729        0.02157150        0.00352487        0.00096500
       -9.59000000        1.20368156        0.09182049        1.06541410        0.03859529        0.00673045        0.00112123
       -9.58000000        0.77169644        0.03504004        0.70981577        0.02200001        0.00386192        0.00097871
       -9.57000000        0.50006064        0.02103943        0.45940176        0.01621135        0.00269281        0.00071528
       -9.56000000        0.37444005        0.01825450        0.33860126        0.01462499        0.00241573        0.00054357
       -9.55000000        0.24743443        0.01378887        0.22201480        0.00959643        0.00172076        0.00031358
       -9.54000000        0.24383377        0.01303689        0.22043692        0.00840184        0.00164742        0.00031071
       -9.53000000        0.30213829        0.01723278        0.27055478        0.01168587        0.00226375        0.00040111
       -9.52000000        0.36738582        0.02375655        0.32473855        0.01542765        0.00301884        0.00044423
       -9.51000000        0.43511062        0.03239107        0.37923933        0.01919674        0.00385231        0.00043116
       -9.50000000        0.56924376        0.04930365        0.48936125        0.02495847        0.00522809        0.00039229
       -9.49000000        0.29911301        0.01824743        0.25852923        0.01847065        0.00340300        0.00046270
       -9.48000000        0.30091194        0.01783996        0.25894097        0.01994743        0.00368263        0.00050094
       -9.47000000        0.24585189        0.01493369        0.21134096        0.01614410        0.00302896        0.00040417
       -9.46000000        0.22807701        0.01354794        0.19549718        0.01569837        0.00293941        0.00039411
       -9.45000000        0.76498370        0.03268339        0.69624621        0.02890470        0.00616435        0.00098505
       -9.44000000        0.96636735        0.02065647        0.90564503        0.03125911        0.00721619        0.00159055
       -9.43000000        0.49487525        0.01819983        0.44839281        0.02302970        0.00447787        0.00077505
       -9.42000000        0.39657973        0.01246316        0.36514638        0.01537360        0.00299342        0.00060317
       -9.41000000        0.31807454        0.00881071        0.29799237        0.00904963        0.00177766        0.00044417
       -9.40000000        0.29374912        0.00839824        0.27594164        0.00757932        0.00143687        0.00039304
       -9.39000000        0.30113344        0.00942626        0.28057723        0.00911056        0.00160236        0.00041703
       -9.38000000        0.31805969        0.01030918        0.29440738        0.01105740        0.00182070        0.00046503
       -9.37000000        0.51633493        0.01326238        0.48232876        0.01718810        0.00271801        0.00083768
       -9.36000000        0.70713517        0.01786038        0.66188041        0.02276245        0.00341552        0.00121642
       -9.35000000        0.52499747        0.01680059        0.48529688        0.01921627        0.00275333        0.00093040
