#  aims_uuid : D7AE3C41-A406-494A-A524-4588188F09D9                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.372134 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.62786642        0.89500889        0.06301077        0.76350764        0.06219985        0.00609963        0.00019099
       -4.61786642        1.06056465        0.05105348        0.92332282        0.08037137        0.00565931        0.00015768
       -4.60786642        3.61207705        0.25279608        3.14194236        0.19256013        0.02268602        0.00209246
       -4.59786642        1.34475686        0.08417489        1.18187264        0.06922838        0.00831044        0.00117051
       -4.58786642        1.02750426        0.05219188        0.92141479        0.04711749        0.00568381        0.00109629
       -4.57786642        2.29605031        0.20038513        1.94453344        0.13442987        0.01582309        0.00087877
       -4.56786642        0.99723991        0.07072760        0.88269131        0.03867013        0.00441092        0.00073994
       -4.55786642        0.95309793        0.07656089        0.82987269        0.04142347        0.00466894        0.00057193
       -4.54786642        0.69685525        0.05971394        0.60023821        0.03292565        0.00361473        0.00036272
       -4.53786642        0.98874521        0.08907203        0.84055275        0.05308713        0.00561562        0.00041768
       -4.52786642        1.44631861        0.13440981        1.22267902        0.08005170        0.00865126        0.00052682
       -4.51786642        1.86799798        0.17536619        1.57520083        0.10531259        0.01152885        0.00058952
       -4.50786642        2.11791038        0.18898865        1.79187812        0.12309458        0.01307757        0.00087146
       -4.49786642        2.74497408        0.23022476        2.33141851        0.16525887        0.01688419        0.00118775
       -4.48786642        2.98440070        0.24741959        2.53977916        0.17747109        0.01830902        0.00142184
       -4.47786642        2.89498853        0.22890172        2.50261513        0.14511050        0.01631263        0.00204856
       -4.46786642        2.47966949        0.20599591        2.11995512        0.13650132        0.01552469        0.00169246
       -4.45786642        2.18933113        0.13272429        1.93678776        0.10627331        0.01153893        0.00200684
       -4.44786642        2.01335492        0.13743159        1.73999579        0.12264617        0.01136241        0.00191896
       -4.43786642        1.99428418        0.13883645        1.73102915        0.11153834        0.01107168        0.00180856
       -4.42786642        1.08730763        0.11540701        0.92200594        0.04283883        0.00602169        0.00103416
       -4.41786642        4.85265883        0.45384056        4.10006177        0.25996721        0.03365880        0.00513051
       -4.40786642        1.60158884        0.09216465        1.42557495        0.07269236        0.00903216        0.00212472
       -4.39786642        1.11919388        0.06502152        1.00194152        0.04533251        0.00553604        0.00136229
       -4.38786642        1.03964805        0.10252726        0.88450036        0.04631339        0.00568678        0.00062026
       -4.37786642        1.63248608        0.14002002        1.40574981        0.07550156        0.00978610        0.00142860
       -4.36786642        1.58207646        0.14071588        1.36026206        0.07065071        0.00916966        0.00127814
       -4.35786642        1.43985622        0.13624657        1.23233905        0.06214062        0.00809290        0.00103708
       -4.34786642        1.12515626        0.11053525        0.95680929        0.05053652        0.00654766        0.00072755
       -4.33786642        0.78895693        0.07303097        0.67020174        0.04011250        0.00508580        0.00052591
       -4.32786642        0.60384010        0.04784609        0.51353155        0.03749997        0.00450585        0.00045666
       -4.31786642        1.55550450        0.14025038        1.31610549        0.08678746        0.01115404        0.00120712
       -4.30786642        0.98229485        0.09635113        0.82968638        0.04970055        0.00609933        0.00045746
       -4.29786642        0.46014548        0.04542249        0.38881382        0.02268652        0.00297101        0.00025164
       -4.28786642        0.55267318        0.04956402        0.46849618        0.02986594        0.00426063        0.00048641
       -4.27786642        0.82685848        0.07182532        0.70288152        0.04458338        0.00670014        0.00086812
       -4.26786642        1.05080608        0.09049319        0.89613729        0.05454696        0.00843703        0.00119160
       -4.25786642        0.77341635        0.05998547        0.66759540        0.03862874        0.00616720        0.00103954
       -4.24786642        0.67462077        0.04295295        0.59237982        0.03289109        0.00533354        0.00106336
       -4.23786642        0.60187610        0.02900957        0.54043143        0.02707601        0.00434812        0.00101098
       -4.22786642        0.56879933        0.01970799        0.52246681        0.02219747        0.00347918        0.00094787
       -4.21786642        1.20939619        0.09218363        1.07060258        0.03881301        0.00668099        0.00111598
       -4.20786642        0.79393908        0.03526546        0.73179403        0.02189389        0.00384941        0.00113629
       -4.19786642        0.53764043        0.02135938        0.49784920        0.01489616        0.00270295        0.00083274
       -4.18786642        0.40340636        0.01795283        0.36947789        0.01279079        0.00251508        0.00066978
       -4.17786642        0.25588697        0.01347763        0.23124637        0.00898539        0.00178010        0.00039749
       -4.16786642        0.23394316        0.01286427        0.21038799        0.00873438        0.00165622        0.00030029
       -4.15786642        0.28853906        0.01687040        0.25685326        0.01219097        0.00229906        0.00032537
       -4.14786642        0.35446430        0.02323192        0.31173438        0.01607181        0.00307884        0.00034735
       -4.13786642        0.42604201        0.03180697        0.37007242        0.01988162        0.00392340        0.00035760
       -4.12786642        0.56543803        0.04878852        0.48545841        0.02554031        0.00529384        0.00035695
       -4.11786642        0.29523050        0.01789261        0.25457101        0.01888565        0.00344684        0.00043439
       -4.10786642        0.29486252        0.01773691        0.25283313        0.02012416        0.00368931        0.00047901
       -4.09786642        0.23650496        0.01516640        0.20195793        0.01600625        0.00298569        0.00038869
       -4.08786642        0.21909146        0.01388260        0.18649404        0.01544840        0.00288271        0.00038372
       -4.07786642        0.92639562        0.05218030        0.83758338        0.02913968        0.00651358        0.00097867
       -4.06786642        1.11456797        0.03802593        1.03614563        0.03127903        0.00752987        0.00158752
       -4.05786642        0.53530789        0.02326420        0.48377887        0.02294116        0.00455006        0.00077361
       -4.04786642        0.39984898        0.01296288        0.36798684        0.01530381        0.00299282        0.00060264
       -4.03786642        0.29465368        0.00616343        0.27735574        0.00896962        0.00172076        0.00044413
       -4.02786642        0.25465604        0.00400393        0.24144080        0.00747460        0.00134370        0.00039302
       -4.01786642        0.26509558        0.00477203        0.24967897        0.00870915        0.00149513        0.00044030
       -4.00786642        0.29245111        0.00608232        0.27386691        0.01027530        0.00170885        0.00051773
       -3.99786642        0.49551076        0.00939826        0.46627075        0.01633304        0.00261166        0.00089706
       -3.98786642        0.65014865        0.01222717        0.61022697        0.02318678        0.00332532        0.00118241
       -3.97786642        0.44454585        0.01024840        0.41031822        0.02047699        0.00267103        0.00083122
       -3.96786642        0.31845104        0.00808552        0.29250160        0.01494033        0.00230642        0.00061716
       -3.95786642        0.34696821        0.00914623        0.31836192        0.01633798        0.00244633        0.00067575
       -3.94786642        0.70406835        0.02193463        0.65228960        0.02525658        0.00320662        0.00138093
       -3.93786642        0.79029486        0.02164857        0.72620620        0.03719649        0.00374725        0.00149635
       -3.92786642        0.88652585        0.02457361        0.81742359        0.03887506        0.00396642        0.00168717
       -3.91786642        0.82616963        0.02293595        0.76325291        0.03468410        0.00371844        0.00157823
       -3.90786642        0.78768768        0.02176119        0.72899565        0.03181775        0.00360193        0.00151117
       -3.89786642        0.93815375        0.02515386        0.86915275        0.03738210        0.00466183        0.00180322
       -3.88786642        0.82054421        0.02134692        0.75923476        0.03392882        0.00446035        0.00157335
       -3.87786642        0.96390268        0.02416842        0.89532943        0.03740760        0.00519817        0.00179906
       -3.86786642        1.21112648        0.02900564        1.12758803        0.04591996        0.00641039        0.00220247
       -3.85786642        1.97914014        0.04822081        1.83816832        0.07867130        0.01048553        0.00359418
       -3.84786642        3.35225423        0.10371461        3.09632355        0.12965303        0.01812411        0.00443894
       -3.83786642        2.74434161        0.05436260        2.55112149        0.11153132        0.02238261        0.00494358
       -3.82786642        3.03732509        0.06539907        2.83693942        0.10762336        0.02269785        0.00466538
       -3.81786642        3.24469048        0.07448767        3.01609876        0.12209557        0.02759964        0.00440884
       -3.80786642        2.61797052        0.06040299        2.42936530        0.10823518        0.01658985        0.00337720
       -3.79786642        1.23349313        0.02309538        1.14776396        0.05055139        0.01025469        0.00182770
       -3.78786642        1.64689860        0.02703554        1.51789276        0.08202599        0.01701371        0.00293060
       -3.77786642        1.77663550        0.03088377        1.63717938        0.08811298        0.01747176        0.00298763
       -3.76786642        2.14189102        0.04178875        1.98995766        0.09078288        0.01599423        0.00336749
       -3.75786642        1.91256527        0.03992161        1.77228325        0.08537781        0.01231061        0.00267199
       -3.74786642        1.54807202        0.02990692        1.44411405        0.06220792        0.00952504        0.00231809
       -3.73786642        0.99808149        0.01624259        0.93594470        0.03745701        0.00683481        0.00160239
       -3.72786642        1.99091636        0.03203463        1.87975291        0.06412397        0.01170066        0.00330419
       -3.71786642        0.90427431        0.01363419        0.84743560        0.03419943        0.00737483        0.00163026
       -3.70786642        1.02947061        0.01198107        0.95648650        0.04708792        0.01187993        0.00203520
       -3.69786642        0.86388860        0.00911661        0.79951114        0.04225983        0.01127298        0.00172804
       -3.68786642        1.04522390        0.01092024        0.96985982        0.04936917        0.01305462        0.00202004
       -3.67786642        1.05574969        0.01163051        0.98400047        0.04656545        0.01160631        0.00194696
       -3.66786642        1.23755722        0.01364179        1.16130190        0.04900328        0.01147789        0.00213235
       -3.65786642        1.34090973        0.01735150        1.26334890        0.04914458        0.00896679        0.00209796
       -3.64786642        1.27339307        0.01719149        1.20201688        0.04510070        0.00718125        0.00190275
       -3.63786642        1.25307841        0.02383499        1.16300511        0.05697924        0.00732862        0.00193046
       -3.62786642        0.85630232        0.01520106        0.79646625        0.03809324        0.00520768        0.00133410
       -3.61786642        1.01389659        0.01602329        0.95137830        0.04003823        0.00497203        0.00148475
       -3.60786642        0.93035462        0.01228526        0.87684294        0.03365460        0.00614834        0.00142349
       -3.59786642        0.93354404        0.01065671        0.87992579        0.03429256        0.00722198        0.00144701
       -3.58786642        0.85112442        0.00891964        0.79903307        0.03425355        0.00751530        0.00140285
       -3.57786642        0.80302908        0.00769603        0.75003923        0.03579251        0.00797120        0.00153010
       -3.56786642        0.87894881        0.00789535        0.81659295        0.04402422        0.00884693        0.00158936
       -3.55786642        0.81897095        0.00645294        0.75860639        0.04397949        0.00843020        0.00150194
       -3.54786642        1.13683113        0.00629434        1.04097027        0.07741137        0.01052900        0.00162615
       -3.53786642        0.68399146        0.00432847        0.63506502        0.03631647        0.00719652        0.00108498
       -3.52786642        0.79910777        0.00363894        0.75000559        0.03813466        0.00612476        0.00120382
       -3.51786642        0.30418993        0.00182708        0.28352790        0.01561248        0.00269360        0.00052886
       -3.50786642        0.23024626        0.00103293        0.21631707        0.01015314        0.00241264        0.00033049
       -3.49786642        0.52877585        0.00310252        0.47649959        0.04092516        0.00720617        0.00104241
       -3.48786642        0.36753609        0.00288950        0.33647146        0.02339821        0.00408594        0.00069099
       -3.47786642        0.33152438        0.00283723        0.30574552        0.01874860        0.00356302        0.00063001
       -3.46786642        0.37309482        0.00373382        0.34497490        0.01975055        0.00395506        0.00068049
       -3.45786642        0.44026853        0.00463334        0.40699030        0.02298352        0.00486260        0.00079878
       -3.44786642        0.43325891        0.00447524        0.40015603        0.02279443        0.00503959        0.00079362
       -3.43786642        0.38159702        0.00400360        0.35228945        0.02010703        0.00451060        0.00068635
       -3.42786642        0.34162419        0.00373471        0.31561962        0.01769488        0.00398815        0.00058684
       -3.41786642        0.30380734        0.00375016        0.28074884        0.01543713        0.00338947        0.00048175
       -3.40786642        0.27126763        0.00408319        0.25031267        0.01368528        0.00280379        0.00038270
