#  aims_uuid : B9365F88-6FF3-44AD-A9A7-E02A8514205A                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.318144 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.68185600        0.89559570        0.03168782        0.11511489        0.73880036        0.00799352        0.00199911
       -4.67185600        2.19349467        0.03398061        0.24346730        1.89469970        0.01757932        0.00376774
       -4.66185600        2.75459165        0.03649299        0.37449496        2.32135842        0.01824135        0.00400393
       -4.65185600        2.49861508        0.04754669        0.83070432        1.58422856        0.03469626        0.00143926
       -4.64185600        1.13605968        0.01787871        0.22765531        0.87851367        0.01002275        0.00198925
       -4.63185600        1.00379933        0.02571901        0.12498641        0.84306207        0.00775844        0.00227339
       -4.62185600        0.88838622        0.04993493        0.13495885        0.68362733        0.01778895        0.00207617
       -4.61185600        0.75152809        0.04474150        0.13584895        0.55859148        0.01078727        0.00155888
       -4.60185600        1.05882383        0.04212604        0.23286287        0.76828001        0.01355593        0.00199898
       -4.59185600        1.61357130        0.04115902        0.36082066        1.19408533        0.01441082        0.00309547
       -4.58185600        0.49807317        0.02462260        0.08388167        0.38441800        0.00427127        0.00087962
       -4.57185600        1.61991365        0.10256041        0.34525022        1.15363735        0.01516141        0.00330427
       -4.56185600        0.53695156        0.02294722        0.07706146        0.42946433        0.00657873        0.00089984
       -4.55185600        1.44772384        0.10360862        0.21923743        1.10206001        0.01973171        0.00308607
       -4.54185600        2.69638412        0.11667931        0.43721160        2.10779135        0.03013294        0.00456892
       -4.53185600        1.80200624        0.09552904        0.34914662        1.33569971        0.01839833        0.00323255
       -4.52185600        2.25522796        0.30260153        0.67999822        1.24191737        0.02554397        0.00516687
       -4.51185600        1.94913371        0.14273709        0.40456125        1.37499960        0.02342777        0.00340800
       -4.50185600        0.59666443        0.02993368        0.11105939        0.44622913        0.00797992        0.00146231
       -4.49185600        2.76319052        0.36507826        0.38299651        1.96379299        0.04714092        0.00418185
       -4.48185600        4.16762209        0.31285950        0.80012281        2.94698725        0.09931006        0.00834247
       -4.47185600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.46185600        2.11918914        0.66378045        0.27038039        1.15097704        0.03056328        0.00348798
       -4.45185600        1.93056431        0.40406433        0.36078685        1.13997947        0.02208328        0.00365038
       -4.44185600        2.39410734        0.46587938        0.37218540        1.51007470        0.04171090        0.00425695
       -4.43185600        0.88602759        0.11050345        0.12101462        0.63453977        0.01811747        0.00185228
       -4.42185600        1.25580327        0.12891336        0.15189998        0.94318497        0.02896333        0.00284163
       -4.41185600        0.94668882        0.13409354        0.13919300        0.65339929        0.01821159        0.00179141
       -4.40185600        0.71169691        0.13206361        0.11417387        0.44977563        0.01421223        0.00147157
       -4.39185600        1.58835921        0.15459841        0.15152050        1.24141541        0.03770675        0.00311814
       -4.38185600        1.17661256        0.14069755        0.14361823        0.86716090        0.02294660        0.00218927
       -4.37185600        1.41920990        0.16337139        0.20402417        1.02589709        0.02335911        0.00255814
       -4.36185600        0.92017002        0.07952391        0.13644306        0.68430851        0.01779401        0.00210053
       -4.35185600        1.20293441        0.09632629        0.12168909        0.95597157        0.02612689        0.00282056
       -4.34185600        1.07737978        0.10181189        0.08031188        0.87216013        0.02064448        0.00245141
       -4.33185600        0.62729181        0.10051545        0.04806739        0.46577330        0.01129949        0.00163618
       -4.32185600        1.35480703        0.20494777        0.10523175        1.02021743        0.02145568        0.00295439
       -4.31185600        0.70891249        0.08216934        0.09469047        0.51809346        0.01221090        0.00174832
       -4.30185600        0.54980619        0.07549235        0.09172932        0.37200536        0.00918803        0.00139113
       -4.29185600        0.21132762        0.02793563        0.03215189        0.14750375        0.00317819        0.00055816
       -4.28185600        0.16961193        0.02284103        0.02427252        0.11979058        0.00227633        0.00043146
       -4.27185600        0.12281593        0.01827127        0.01698336        0.08576538        0.00150432        0.00029160
       -4.26185600        1.90548536        0.19001711        0.08708426        1.56341931        0.06211143        0.00285325
       -4.25185600        0.78150993        0.05177433        0.06547366        0.63822650        0.02467739        0.00135805
       -4.24185600        1.01205702        0.02186957        0.09750072        0.86358788        0.02733201        0.00176683
       -4.23185600        0.56732679        0.06850050        0.04618285        0.44293615        0.00826416        0.00144311
       -4.22185600        0.46147196        0.06171588        0.04213831        0.34906548        0.00730839        0.00124390
       -4.21185600        0.38825813        0.04213680        0.04265300        0.29457720        0.00794559        0.00094555
       -4.20185600        0.71008250        0.05059482        0.07290433        0.56913814        0.01592562        0.00151960
       -4.19185600        0.74328338        0.03748512        0.06448660        0.62199770        0.01793978        0.00137418
       -4.18185600        0.37228818        0.01187914        0.02775692        0.32616348        0.00591393        0.00057471
       -4.17185600        0.26554930        0.01381203        0.02123037        0.22656774        0.00338862        0.00055055
       -4.16185600        0.38829727        0.01997425        0.02346575        0.33866925        0.00542800        0.00076001
       -4.15185600        0.49476085        0.02546184        0.02706490        0.43356431        0.00769359        0.00097620
       -4.14185600        0.60016683        0.03766006        0.03261190        0.51829525        0.01036569        0.00123392
       -4.13185600        0.81851840        0.07894826        0.04583317        0.67736729        0.01455422        0.00181546
       -4.12185600        0.77324858        0.09085198        0.04119918        0.62993141        0.00942747        0.00183854
       -4.11185600        0.64271035        0.07587308        0.04064811        0.51596257        0.00866485        0.00156175
       -4.10185600        0.33533023        0.02481239        0.03670805        0.26616951        0.00686243        0.00077784
       -4.09185600        0.38270365        0.03178427        0.04152304        0.30044881        0.00803184        0.00091569
       -4.08185600        0.43138883        0.03980260        0.04416158        0.33699017        0.00938195        0.00105254
