#  aims_uuid : B9365F88-6FF3-44AD-A9A7-E02A8514205A                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.318144 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.68185600        1.27958636        0.14030300        1.07260551        0.05723742        0.00896484        0.00047559
       -4.67185600        1.71462812        0.13700292        1.47067517        0.09256703        0.01304949        0.00133350
       -4.66185600        1.77251298        0.10947757        1.51065488        0.13522784        0.01540637        0.00174633
       -4.65185600        1.80906195        0.06822876        1.56513535        0.16668592        0.00825121        0.00076070
       -4.64185600        1.14593777        0.09283956        0.97125264        0.07360915        0.00783131        0.00040511
       -4.63185600        1.50580022        0.14992074        1.26503509        0.07955179        0.01093688        0.00035572
       -4.62185600        1.59839160        0.14389769        1.39130517        0.05451498        0.00806682        0.00060693
       -4.61185600        1.09719760        0.11950397        0.93078054        0.04099052        0.00551859        0.00040398
       -4.60185600        0.62301736        0.04763610        0.52460877        0.04561951        0.00458024        0.00057273
       -4.59185600        0.62406949        0.04915629        0.49961930        0.06750899        0.00692143        0.00086349
       -4.58185600        0.44962841        0.03689835        0.38346123        0.02647961        0.00256690        0.00022231
       -4.57185600        1.31230368        0.10877912        1.10809134        0.08594456        0.00869174        0.00079691
       -4.56185600        0.56815798        0.04676431        0.48726632        0.03036193        0.00347758        0.00028784
       -4.55185600        1.76216650        0.15540404        1.50739709        0.08755137        0.01097424        0.00083976
       -4.54185600        2.87753740        0.25178890        2.42850572        0.17771440        0.01828291        0.00124547
       -4.53185600        2.24399991        0.21447809        1.88730060        0.12703439        0.01408112        0.00110572
       -4.52185600        2.90062343        0.30374119        2.41665741        0.16040439        0.01833043        0.00149001
       -4.51185600        2.17171512        0.19991738        1.82821273        0.12878896        0.01336087        0.00143519
       -4.50185600        0.83686230        0.06767451        0.71998337        0.04435329        0.00420294        0.00064819
       -4.49185600        2.15254540        0.21181273        1.84261388        0.07898066        0.01677699        0.00236115
       -4.48185600        4.51846580        0.32532164        3.98731761        0.17496823        0.02590183        0.00495650
       -4.47185600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.46185600        2.01350203        0.08765477        1.73924635        0.16726130        0.01546505        0.00387456
       -4.45185600        2.01247262        0.20762102        1.69059872        0.09863100        0.01392925        0.00169263
       -4.44185600        3.12341041        0.32371415        2.66597166        0.11538371        0.01590941        0.00243149
       -4.43185600        1.14624895        0.10527942        0.99138040        0.04285189        0.00563682        0.00110043
       -4.42185600        1.61741032        0.13066322        1.40015434        0.07695338        0.00800960        0.00162979
       -4.41185600        1.43227565        0.08022366        1.27540973        0.06868217        0.00677667        0.00118341
       -4.40185600        1.08029284        0.08547303        0.93945247        0.04938231        0.00514393        0.00084110
       -4.39185600        1.55887295        0.13515364        1.32929175        0.08292520        0.01054679        0.00095556
       -4.38185600        1.18801304        0.09767772        1.01822984        0.06286702        0.00835714        0.00088132
       -4.37185600        2.01092162        0.18680014        1.70365243        0.10455694        0.01450265        0.00140945
       -4.36185600        0.88507194        0.07339211        0.75630067        0.04736378        0.00708300        0.00093237
       -4.35185600        1.27501169        0.11249628        1.08978497        0.06107660        0.01030603        0.00134782
       -4.34185600        1.08195390        0.09526581        0.92595272        0.05218347        0.00739891        0.00115300
       -4.33185600        0.58892266        0.06279890        0.49686114        0.02478164        0.00372674        0.00075425
       -4.32185600        0.87432867        0.05096339        0.74405809        0.06645829        0.01101092        0.00183798
       -4.31185600        0.61815906        0.06168839        0.52003506        0.03033925        0.00537792        0.00071844
       -4.30185600        0.59291788        0.06458274        0.49692636        0.02636744        0.00458223        0.00045911
       -4.29185600        0.20404995        0.02179505        0.17086106        0.00958363        0.00164301        0.00016720
       -4.28185600        0.14841618        0.01577634        0.12369198        0.00752970        0.00127875        0.00013942
       -4.27185600        0.10168030        0.01099327        0.08414044        0.00552500        0.00091391        0.00010768
       -4.26185600        2.65277489        0.27948453        2.23872697        0.11429883        0.01926255        0.00100200
       -4.25185600        0.96250371        0.06895082        0.84899891        0.03771688        0.00588755        0.00094955
       -4.24185600        1.05784538        0.05333477        0.96498898        0.03371875        0.00433790        0.00146498
       -4.23185600        0.41596449        0.02777674        0.35911472        0.02440506        0.00391234        0.00075563
       -4.22185600        0.35998412        0.01932408        0.31454985        0.02183531        0.00357692        0.00069795
       -4.21185600        0.38266055        0.01106334        0.34724344        0.02075374        0.00295033        0.00064970
       -4.20185600        0.80813764        0.03165258        0.73586103        0.03386671        0.00570625        0.00105107
       -4.19185600        0.88264149        0.02728239        0.81713690        0.03215738        0.00488005        0.00118477
       -4.18185600        0.32425674        0.01775433        0.29062844        0.01325903        0.00226451        0.00035044
       -4.17185600        0.25893406        0.01246600        0.23316680        0.01103665        0.00203582        0.00022880
       -4.16185600        0.33118529        0.01202168        0.30004728        0.01626299        0.00248624        0.00036710
       -4.15185600        0.44104743        0.01384821        0.40243183        0.02136075        0.00289179        0.00051485
       -4.14185600        0.59321714        0.01817362        0.54422678        0.02673023        0.00340528        0.00068123
       -4.13185600        0.83880748        0.02595505        0.76953727        0.03731713        0.00501815        0.00097990
       -4.12185600        0.48647936        0.01365077        0.43194634        0.03422741        0.00579809        0.00085676
       -4.11185600        0.43360898        0.01441044        0.38386272        0.02963441        0.00495233        0.00074909
       -4.10185600        0.29418796        0.01520085        0.26176053        0.01451086        0.00226346        0.00045227
       -4.09185600        0.31551098        0.01691738        0.27938825        0.01600197        0.00265621        0.00054716
       -4.08185600        0.33367994        0.01777718        0.29499096        0.01725955        0.00298962        0.00066262
       -4.07185600        0.35495044        0.01780823        0.31428184        0.01871246        0.00334539        0.00080252
       -4.06185600        0.30842309        0.01082441        0.28590455        0.00956802        0.00180753        0.00031859
       -4.05185600        0.38355055        0.00983216        0.35847858        0.01251607        0.00226020        0.00046355
       -4.04185600        0.37612965        0.00690173        0.35319753        0.01328581        0.00225892        0.00048566
       -4.03185600        0.58136684        0.00800656        0.55083034        0.01877109        0.00300605        0.00075281
       -4.02185600        0.87025671        0.00965504        0.82691953        0.02859924        0.00396524        0.00111766
       -4.01185600        0.30608271        0.00664758        0.27924497        0.01737902        0.00224693        0.00056420
       -4.00185600        0.39465811        0.01199351        0.36566264        0.01396042        0.00248145        0.00056010
       -3.99185600        0.37154150        0.01238668        0.34349671        0.01285619        0.00221612        0.00058580
       -3.98185600        0.61042376        0.02331053        0.56184518        0.02123344        0.00294640        0.00108821
       -3.97185600        0.91417840        0.03116875        0.84161358        0.03510187        0.00453992        0.00175428
       -3.96185600        0.85008097        0.02717028        0.78039779        0.03591251        0.00488719        0.00171321
       -3.95185600        1.02210203        0.03021576        0.93493140        0.04890819        0.00607415        0.00197253
       -3.94185600        1.61496212        0.05483497        1.48924182        0.05990019        0.00800743        0.00297771
       -3.93185600        0.94333678        0.02526913        0.86853398        0.04236077        0.00540197        0.00177093
       -3.92185600        1.18167557        0.03154463        1.09239721        0.04861110        0.00678290        0.00233973
       -3.91185600        1.46903113        0.03134192        1.36516249        0.05977594        0.00962936        0.00312142
       -3.90185600        1.37675398        0.03038504        1.28702556        0.05005046        0.00690206        0.00239086
       -3.89185600        2.06752467        0.06881610        1.89459710        0.08850800        0.01230805        0.00329542
       -3.88185600        2.92975957        0.06396918        2.71994371        0.12233576        0.01895101        0.00455991
       -3.87185600        1.44306829        0.02238848        1.35185061        0.05393835        0.01243987        0.00245098
       -3.86185600        2.88043146        0.07867195        2.65325068        0.12362737        0.02121813        0.00366332
       -3.85185600        1.78778878        0.03092016        1.68892763        0.05775876        0.00880390        0.00137834
       -3.84185600        1.97841180        0.02665335        1.87346036        0.06491900        0.01087853        0.00250057
       -3.83185600        4.60184403        0.05308919        4.37667091        0.15254277        0.01509493        0.00444623
       -3.82185600        3.58399164        0.08742243        3.35561709        0.11436495        0.02267359        0.00391358
       -3.81185600        2.06332094        0.03058466        1.92876187        0.08184919        0.01871126        0.00341396
       -3.80185600        1.61128745        0.03079938        1.51012958        0.05499261        0.01269045        0.00267544
       -3.79185600        0.89131573        0.01325521        0.84000076        0.03228868        0.00461891        0.00115218
       -3.78185600        1.49246144        0.01762672        1.37319972        0.08398463        0.01499009        0.00266029
       -3.77185600        0.67565331        0.00818110        0.62799655        0.03217072        0.00615608        0.00114886
       -3.76185600        0.56355828        0.00903164        0.52041302        0.02330927        0.00945109        0.00135326
       -3.75185600        0.43133550        0.00722094        0.39875464        0.01851576        0.00577658        0.00106758
       -3.74185600        0.77429903        0.01503377        0.71740762        0.03371213        0.00654382        0.00160169
       -3.73185600        2.93505234        0.03489578        2.77672379        0.10801193        0.01192519        0.00349565
       -3.72185600        1.43948258        0.01399116        1.37276471        0.04398936        0.00699071        0.00174664
       -3.71185600        0.54688509        0.00598173        0.51902654        0.01585570        0.00514539        0.00087573
       -3.70185600        0.23153978        0.00250024        0.21809941        0.00888989        0.00168158        0.00036866
       -3.69185600        1.06127625        0.01630947        0.98762866        0.04450453        0.01071205        0.00212154
       -3.68185600        0.76424277        0.01431509        0.70101010        0.03983114        0.00751098        0.00157545
       -3.67185600        0.85176487        0.01244908        0.79198250        0.03970478        0.00634856        0.00127995
       -3.66185600        2.10278862        0.01479360        1.99637591        0.08106455        0.00884026        0.00171430
       -3.65185600        1.21035504        0.01254485        1.13382107        0.05084227        0.01125195        0.00189490
       -3.64185600        0.74709261        0.01000748        0.69427047        0.03559497        0.00600817        0.00121152
       -3.63185600        3.09490658        0.05622413        2.81045409        0.19071320        0.03223617        0.00527899
       -3.62185600        0.52953791        0.00794929        0.48677129        0.02903930        0.00480808        0.00096995
       -3.61185600        0.40828046        0.00585062        0.37602117        0.02217402        0.00348834        0.00074631
       -3.60185600        4.09570701        0.09466208        3.72348314        0.23531989        0.03424785        0.00799406
       -3.59185600        0.84722165        0.01205219        0.77985354        0.04526524        0.00837824        0.00167244
       -3.58185600        0.69974889        0.00922383        0.63967711        0.04119883        0.00811346        0.00153565
       -3.57185600        0.36759882        0.00391617        0.33572860        0.02324936        0.00391147        0.00079321
       -3.56185600        1.81029028        0.01520415        1.68592579        0.08837177        0.01796263        0.00282595
       -3.55185600        0.96396390        0.01907266        0.89014407        0.04534792        0.00814722        0.00125202
       -3.54185600        4.56025105        0.05993631        4.16916251        0.28433860        0.04076989        0.00604374
       -3.53185600        0.32635588        0.00954166        0.29436030        0.01878382        0.00323401        0.00043609
       -3.52185600        0.28135330        0.00897640        0.25360442        0.01578831        0.00262738        0.00035679
       -3.51185600        0.23726003        0.00752215        0.21432538        0.01304093        0.00208109        0.00029047
       -3.50185600        0.19602460        0.00538931        0.17819538        0.01059208        0.00160975        0.00023807
       -3.49185600        0.52465881        0.01119617        0.47451522        0.03050038        0.00723725        0.00120979
       -3.48185600        0.74747730        0.01700546        0.68257695        0.03839688        0.00814678        0.00135123
       -3.47185600        0.83765496        0.02277252        0.76898765        0.03783190        0.00689802        0.00116487
       -3.46185600        0.36019318        0.00553712        0.33372871        0.01762125        0.00278094        0.00052516
       -3.45185600        0.36473100        0.00479461        0.34425375        0.01323309        0.00207504        0.00037451
       -3.44185600        0.54506628        0.00837053        0.51284722        0.01954563        0.00366757        0.00063533
       -3.43185600        0.60994592        0.01216655        0.56693179        0.02473711        0.00518531        0.00092516
       -3.42185600        0.45746927        0.01033582        0.42436570        0.01809751        0.00402715        0.00064310
       -3.41185600        0.54437642        0.01271465        0.50861553        0.01796621        0.00445522        0.00062481
       -3.40185600        0.74417858        0.00851856        0.67734950        0.04720628        0.00967136        0.00143287
       -3.39185600        0.30018825        0.00417291        0.27211437        0.02036741        0.00310922        0.00042434
       -3.38185600        0.13105119        0.00187439        0.11015736        0.01623790        0.00237640        0.00040514
       -3.37185600        0.14133045        0.00239282        0.11952705        0.01655225        0.00243841        0.00041990
       -3.36185600        0.16463052        0.00283529        0.14253357        0.01623431        0.00259668        0.00043067
       -3.35185600        0.77255142        0.00715239        0.71892182        0.03909306        0.00645457        0.00092959
       -3.34185600        0.54440310        0.00854708        0.49522121        0.03483397        0.00509835        0.00070247
       -3.33185600        0.77843473        0.01081241        0.71993968        0.04070418        0.00619188        0.00078658
       -3.32185600        0.94235130        0.01167390        0.88122001        0.04083883        0.00765627        0.00096229
