#  aims_uuid : 7BF7C74F-0A81-4979-A510-C6B8613BFED1                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.302743 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.69725688        1.28711534        0.00934377        0.08621867        1.18022044        0.00991481        0.00141764
       -4.68725688        2.18259913        0.02202118        0.22388410        1.90896545        0.02480136        0.00292704
       -4.67725688        0.96851604        0.00713383        0.10473784        0.84210603        0.01277742        0.00176093
       -4.66725688        1.47114709        0.02076279        0.23161346        1.20676168        0.01033246        0.00167669
       -4.65725688        1.26248662        0.01451046        0.17528749        1.06384967        0.00711958        0.00171940
       -4.64725688       14.14146822        0.18759030        1.71478246       12.03605408        0.19568609        0.00735530
       -4.63725688        1.47592540        0.01661821        0.11646057        1.32773223        0.01343411        0.00168028
       -4.62725688        0.52451011        0.02403836        0.08687548        0.40621093        0.00651372        0.00087161
       -4.61725688        1.00291192        0.06399329        0.17406136        0.75217253        0.01075815        0.00192661
       -4.60725688        0.29446453        0.01125789        0.03903369        0.24113140        0.00249598        0.00054558
       -4.59725688        0.50860366        0.02245536        0.06580499        0.41482244        0.00468079        0.00084008
       -4.58725688        1.44035666        0.14005625        0.20732669        1.07756726        0.01291172        0.00249473
       -4.57725688        0.55122925        0.02441003        0.08311968        0.43678602        0.00594157        0.00097196
       -4.56725688        1.47837298        0.08766256        0.24148905        1.13238992        0.01429194        0.00253952
       -4.55725688        2.11878388        0.17187139        0.40761270        1.51030951        0.02465667        0.00433362
       -4.54725688        1.64826948        0.15873187        0.30488377        1.15625410        0.02433867        0.00406108
       -4.53725688        1.54440362        0.12678659        0.32473491        1.06335795        0.02549061        0.00403356
       -4.52725688        1.86302097        0.40398940        0.36987363        1.06093696        0.02421951        0.00400147
       -4.51725688        0.73772825        0.20270844        0.13925694        0.38385953        0.01028499        0.00161835
       -4.50725688        2.12044249        0.20916190        0.54833057        1.31769165        0.04021323        0.00504513
       -4.49725688        4.62037019        0.43357121        0.75886427        3.31653929        0.10317377        0.00822165
       -4.48725688        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.47725688        1.96597490        0.37776806        0.30237722        1.25019879        0.03245465        0.00317619
       -4.46725688        1.64654936        0.34002498        0.34322608        0.93000672        0.02903410        0.00425748
       -4.45725688        2.09642509        0.34889172        0.48597309        1.22322240        0.03386134        0.00447654
       -4.44725688        0.91831894        0.18460692        0.20184630        0.51534797        0.01443327        0.00208448
       -4.43725688        1.09140016        0.23475696        0.24882820        0.59018742        0.01501039        0.00261719
       -4.42725688        1.01888716        0.19294068        0.24586040        0.55974579        0.01801669        0.00232360
       -4.41725688        0.75146396        0.18009667        0.14938080        0.40779098        0.01257089        0.00162461
       -4.40725688        0.48105391        0.13387057        0.08765901        0.25034786        0.00813635        0.00104011
       -4.39725688        0.99484077        0.12083498        0.18663508        0.66714972        0.01798728        0.00223371
       -4.38725688        0.91024982        0.15375209        0.21859647        0.51790583        0.01766263        0.00233279
       -4.37725688        0.94594484        0.11143037        0.15572079        0.66035259        0.01673033        0.00171075
       -4.36725688        1.47458041        0.14923697        0.18119223        1.11900851        0.02278297        0.00235973
       -4.35725688        1.22145623        0.15628225        0.16345540        0.88344908        0.01591662        0.00235289
       -4.34725688        0.97934548        0.17882236        0.14273757        0.64508344        0.01029086        0.00241126
       -4.33725688        1.74926806        0.28280885        0.15355348        1.27977553        0.02924628        0.00388392
       -4.32725688        0.59333616        0.09225379        0.06633355        0.42319930        0.01035853        0.00119100
