#  aims_uuid : 7BF7C74F-0A81-4979-A510-C6B8613BFED1                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.22278306        0.02709064        0.10865313        1.07673912        0.00868144        0.00161873
       -9.99000000        2.57694499        0.06512016        0.33378496        2.14809194        0.02558641        0.00436151
       -9.98000000        1.16875132        0.00627138        0.14298619        1.00247912        0.01500504        0.00200960
       -9.97000000        1.11785640        0.02448591        0.19855981        0.88121117        0.01238018        0.00121932
       -9.96000000        1.15018469        0.04211925        0.14190008        0.95599146        0.00860292        0.00157099
       -9.95000000       11.18539090        0.07368391        1.79648868        9.11406936        0.19241682        0.00873213
       -9.94000000        1.11385795        0.02457732        0.12841693        0.94870752        0.01078033        0.00137585
       -9.93000000        0.53873757        0.02259245        0.07309639        0.43520574        0.00703150        0.00081149
       -9.92000000        1.01914360        0.07677657        0.17791873        0.74995781        0.01234448        0.00214600
       -9.91000000        0.40311918        0.01716004        0.05631688        0.32481225        0.00408325        0.00074676
       -9.90000000        0.59810549        0.02754829        0.10325704        0.45972137        0.00634159        0.00123720
       -9.89000000        1.27633009        0.13426416        0.24205401        0.87949998        0.01764079        0.00287115
       -9.88000000        0.62758144        0.02054922        0.11014947        0.48874016        0.00723453        0.00090806
       -9.87000000        1.38784947        0.12765544        0.27496737        0.96446896        0.01794507        0.00281262
       -9.86000000        2.59734313        0.25180864        0.54180197        1.76986490        0.02908775        0.00477985
       -9.85000000        2.17481875        0.19887832        0.41420074        1.53311341        0.02451009        0.00411619
       -9.84000000        1.93890348        0.17724918        0.37890150        1.35508346        0.02399982        0.00366952
       -9.83000000        2.39394401        0.52023092        0.52306842        1.32064946        0.02613645        0.00385876
       -9.82000000        1.06199992        0.17457717        0.25586210        0.62372198        0.00653590        0.00130277
       -9.81000000        1.89374183        0.38654472        0.44494035        1.00965536        0.04800548        0.00459592
       -9.80000000        5.39281268        0.42468035        0.99098512        3.88475900        0.08368664        0.00870157
       -9.79000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.78000000        1.40862688        0.11440268        0.22796792        1.02943495        0.03385248        0.00296885
       -9.77000000        1.54508929        0.23465460        0.32373634        0.95582256        0.02658021        0.00429557
       -9.76000000        1.77499505        0.21984548        0.27001018        1.25424846        0.02804672        0.00284420
       -9.75000000        0.94248874        0.10299945        0.11421996        0.71278081        0.01119876        0.00128976
       -9.74000000        1.15135645        0.14677031        0.13985138        0.84990483        0.01300533        0.00182460
       -9.73000000        1.08995534        0.17928893        0.12738278        0.76252101        0.01823909        0.00252353
       -9.72000000        0.79587018        0.16075595        0.11075884        0.50970947        0.01286662        0.00177930
