#  aims_uuid : 7BF7C74F-0A81-4979-A510-C6B8613BFED1                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.93852064        0.07010147        0.79490704        0.06543135        0.00780248        0.00027830
       -9.99000000        2.63350203        0.19123869        2.28865700        0.13450215        0.01802530        0.00107889
       -9.98000000        1.15312070        0.07522712        1.00483136        0.06405921        0.00838433        0.00061868
       -9.97000000        1.17859923        0.09137262        1.00893067        0.07173641        0.00629638        0.00026316
       -9.96000000        1.06956682        0.08795642        0.90109129        0.07256852        0.00776343        0.00018717
       -9.95000000       13.19230824        0.36503623       12.29585297        0.47606585        0.03555668        0.01979651
       -9.94000000        1.04009435        0.04276735        0.93633011        0.05507732        0.00484819        0.00107138
       -9.93000000        0.52943018        0.03584708        0.46237119        0.02802576        0.00272070        0.00046545
       -9.92000000        1.02306509        0.09367768        0.86583671        0.05713187        0.00588773        0.00053111
       -9.91000000        0.58308706        0.07126235        0.48264986        0.02565114        0.00345892        0.00006479
       -9.90000000        0.67065904        0.07268084        0.55744522        0.03604538        0.00433653        0.00015109
       -9.89000000        1.39838001        0.14558033        1.16429745        0.07948193        0.00851105        0.00050925
       -9.88000000        0.57592488        0.04561360        0.48254221        0.04323640        0.00428646        0.00024621
       -9.87000000        1.29428085        0.10661099        1.08468169        0.09308870        0.00901893        0.00088054
       -9.86000000        3.18921992        0.27953745        2.71354409        0.17775252        0.01701894        0.00136691
       -9.85000000        2.72655577        0.26575606        2.30399205        0.14078089        0.01486311        0.00116366
       -9.84000000        2.24701736        0.21325857        1.90517272        0.11388448        0.01318681        0.00151479
       -9.83000000        3.35913338        0.30928422        2.88682428        0.14628674        0.01489903        0.00183911
       -9.82000000        1.10158458        0.08659603        0.93831365        0.06977307        0.00623908        0.00066275
       -9.81000000        3.37409973        0.29603387        2.91562787        0.14682730        0.01276650        0.00284419
       -9.80000000        5.64886143        0.25145174        5.09093557        0.26974706        0.03043722        0.00628984
       -9.79000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.78000000        1.11755728        0.02493104        1.01248940        0.06617381        0.01132230        0.00264073
       -9.77000000        1.38612407        0.09894994        1.17688050        0.09586461        0.01215940        0.00226963
       -9.76000000        1.17938486        0.08176414        0.98877369        0.09425331        0.01266656        0.00192717
       -9.75000000        0.69910930        0.04518868        0.59986215        0.04738383        0.00573823        0.00093642
       -9.74000000        0.95264595        0.06738043        0.81403779        0.06247295        0.00751073        0.00124405
       -9.73000000        1.30669486        0.11599634        1.11726629        0.06463041        0.00769940        0.00110241
       -9.72000000        0.88095880        0.07928610        0.74634280        0.04821608        0.00622413        0.00088970
       -9.71000000        0.57255489        0.05406273        0.48015935        0.03313019        0.00456702        0.00063561
       -9.70000000        1.10948326        0.08958310        0.96046462        0.05378658        0.00477537        0.00087359
       -9.69000000        1.04789525        0.10322494        0.89265698        0.04658520        0.00444608        0.00098205
       -9.68000000        0.91205546        0.10030847        0.76780232        0.03627700        0.00683061        0.00083706
       -9.67000000        1.35573591        0.12524723        1.16167219        0.05882166        0.00894212        0.00105271
       -9.66000000        1.03996844        0.10145279        0.88509217        0.04543021        0.00712179        0.00087147
       -9.65000000        0.59486272        0.03766080        0.51661266        0.03479083        0.00496366        0.00083476
       -9.64000000        1.12380928        0.09546408        0.94342096        0.06765963        0.01499085        0.00227376
       -9.63000000        0.46714433        0.04329138        0.39457863        0.02376465        0.00487707        0.00063259
       -9.62000000        0.41064609        0.04169397        0.34500883        0.01978612        0.00380360        0.00035358
       -9.61000000        0.18558463        0.02055431        0.15457450        0.00890612        0.00141617        0.00013352
       -9.60000000        0.16269243        0.01745659        0.13539942        0.00839502        0.00131741        0.00012401
       -9.59000000        0.13007325        0.01281448        0.10876040        0.00724520        0.00114660        0.00010658
       -9.58000000        0.08772707        0.00662799        0.07465744        0.00545667        0.00090375        0.00008124
       -9.57000000        1.11383414        0.06494816        1.00447972        0.03548272        0.00767154        0.00125200
       -9.56000000        0.29958888        0.01751534        0.26500826        0.01386114        0.00276118        0.00044295
       -9.55000000        0.38626216        0.01853528        0.33637886        0.02639015        0.00433018        0.00062768
       -9.54000000        0.35733299        0.01540609        0.31439018        0.02325657        0.00369712        0.00058303
       -9.53000000        0.37569235        0.01562617        0.33880888        0.01783118        0.00285689        0.00056923
       -9.52000000        0.93524667        0.06890323        0.82976809        0.03064492        0.00499231        0.00093812
       -9.51000000        0.96797650        0.05265308        0.88205184        0.02804889        0.00403452        0.00118817
       -9.50000000        0.27949874        0.02719257        0.24376587        0.00691330        0.00140889        0.00021811
       -9.49000000        0.27529240        0.02637451        0.23823594        0.00882112        0.00162730        0.00023352
       -9.48000000        0.36144779        0.03074195        0.31350885        0.01458717        0.00229165        0.00031817
       -9.47000000        0.42669323        0.03245689        0.37288790        0.01818030        0.00275261        0.00041553
       -9.46000000        0.47102870        0.03151934        0.41637308        0.01960051        0.00301018        0.00052559
       -9.45000000        0.33246594        0.02272672        0.29126553        0.01545619        0.00256943        0.00044807
       -9.44000000        0.40488839        0.02657808        0.35360810        0.02047659        0.00360515        0.00062046
       -9.43000000        0.56292615        0.03917196        0.48758079        0.02977821        0.00555534        0.00083986
       -9.42000000        0.34194405        0.01251577        0.31305498        0.01344212        0.00260966        0.00032152
       -9.41000000        0.39401972        0.01384764        0.36108799        0.01550366        0.00317846        0.00040198
       -9.40000000        0.44040602        0.01445503        0.40428537        0.01742589        0.00373705        0.00050267
       -9.39000000        0.48110294        0.01433796        0.44264712        0.01920881        0.00428544        0.00062360
       -9.38000000        0.26902130        0.01207565        0.24463044        0.00949842        0.00237405        0.00044275
       -9.37000000        0.31536664        0.01163172        0.28830088        0.01181163        0.00297000        0.00065241
       -9.36000000        0.33973628        0.01299859        0.30812353        0.01492501        0.00286652        0.00082263
       -9.35000000        0.60337693        0.02648016        0.54223202        0.02936577        0.00376262        0.00153636
       -9.34000000        0.66540964        0.02212557        0.59886424        0.03991860        0.00331508        0.00118615
       -9.33000000        0.72347961        0.02664794        0.67227823        0.02043380        0.00257570        0.00154393
       -9.32000000        0.31818190        0.00720950        0.28994912        0.01784916        0.00242367        0.00075044
       -9.31000000        0.35277065        0.00750826        0.32147402        0.02022126        0.00263397        0.00093314
       -9.30000000        0.52876452        0.01050914        0.48586096        0.02732741        0.00377617        0.00129083
       -9.29000000        0.93311432        0.02076038        0.86208352        0.04221316        0.00610582        0.00195142
       -9.28000000        1.13356538        0.02569624        1.04540545        0.05304963        0.00729927        0.00211479
       -9.27000000        1.30135121        0.02671171        1.20718082        0.05827213        0.00720371        0.00198284
