#  aims_uuid : 7BF7C74F-0A81-4979-A510-C6B8613BFED1                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.302743 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.69725688        0.94457320        0.07031445        0.80095918        0.06520811        0.00780742        0.00028404
       -4.68725688        2.62430737        0.19072096        2.28111693        0.13345679        0.01792543        0.00108726
       -4.67725688        1.13178272        0.07487581        0.98623765        0.06182261        0.00822026        0.00062639
       -4.66725688        1.20754650        0.09122588        1.03492007        0.07467390        0.00647184        0.00025480
       -4.65725688        1.08763076        0.08631981        0.92177261        0.07211427        0.00717270        0.00025138
       -4.64725688       14.98270529        0.43077992       14.03192532        0.46537270        0.03325328        0.02137407
       -4.63725688        1.03398137        0.04389010        0.92843446        0.05547990        0.00513915        0.00103776
       -4.62725688        0.46510858        0.02836781        0.40684897        0.02705993        0.00237541        0.00045645
       -4.61725688        0.89175017        0.07662175        0.75419079        0.05516371        0.00524884        0.00052508
       -4.60725688        0.50366355        0.05935258        0.41680732        0.02433831        0.00309153        0.00007381
       -4.59725688        0.75599859        0.08404005        0.62970630        0.03740497        0.00469717        0.00015010
       -4.58725688        1.51136282        0.16131205        1.25917943        0.08139168        0.00897556        0.00050409
       -4.57725688        0.61443317        0.05067560        0.51513387        0.04389860        0.00447733        0.00024777
       -4.56725688        1.33039557        0.11074341        1.11607379        0.09342680        0.00925693        0.00089464
       -4.55725688        3.20108306        0.28005663        2.72464488        0.17797617        0.01703405        0.00137134
       -4.54725688        2.73668319        0.26795392        2.31246082        0.14031757        0.01479547        0.00115541
       -4.53725688        2.25083306        0.21226728        1.90909962        0.11470542        0.01324846        0.00151228
       -4.52725688        3.36426392        0.31057853        2.89080127        0.14612555        0.01492463        0.00183393
       -4.51725688        1.12485091        0.09000891        0.95832217        0.06956783        0.00628989        0.00066210
       -4.50725688        3.37760195        0.29850711        2.91799504        0.14571834        0.01246240        0.00291905
       -4.49725688        5.59093876        0.24663050        5.03670438        0.27058405        0.03089849        0.00612133
       -4.48725688        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.47725688        1.10608230        0.02444935        1.00027318        0.06729711        0.01141215        0.00265051
       -4.46725688        1.39916224        0.09917249        1.18973204        0.09584329        0.01214604        0.00226839
       -4.45725688        1.18173515        0.08186347        0.99065032        0.09461696        0.01268195        0.00192245
       -4.44725688        0.69924644        0.04478632        0.59993009        0.04784096        0.00575800        0.00093106
       -4.43725688        0.94599390        0.06662495        0.80818743        0.06243301        0.00750762        0.00124089
       -4.42725688        1.30951086        0.11521249        1.12051524        0.06496745        0.00771250        0.00110318
       -4.41725688        0.88498652        0.07984473        0.74986883        0.04816806        0.00621497        0.00088994
       -4.40725688        0.57787511        0.05533409        0.48452914        0.03282749        0.00454808        0.00063631
       -4.39725688        1.06053937        0.08172450        0.91893737        0.05415322        0.00485779        0.00086650
       -4.38725688        0.97489346        0.09182855        0.82958309        0.04781344        0.00471349        0.00095489
       -4.37725688        0.92225297        0.10226845        0.77644436        0.03592192        0.00677658        0.00084166
       -4.36725688        1.43817069        0.13891216        1.23141607        0.05798310        0.00879785        0.00106151
       -4.35725688        1.08980333        0.10977573        0.92727411        0.04484942        0.00702560        0.00087847
       -4.34725688        0.59594164        0.03777838        0.51757797        0.03479102        0.00496031        0.00083396
       -4.33725688        1.10701844        0.09283375        0.92881467        0.06804192        0.01505715        0.00227096
       -4.32725688        0.46760590        0.04317351        0.39508857        0.02383071        0.00488125        0.00063185
       -4.31725688        0.41040947        0.04164873        0.34481279        0.01979195        0.00380272        0.00035328
       -4.30725688        0.18276453        0.02040954        0.15205800        0.00877348        0.00138976        0.00013373
       -4.29725688        0.15328158        0.01681939        0.12711609        0.00800017        0.00122165        0.00012428
       -4.28725688        0.11622540        0.01182820        0.09660433        0.00668189        0.00100415        0.00010683
       -4.27725688        0.07159599        0.00543597        0.06052272        0.00481867        0.00073726        0.00008139
       -4.26725688        1.10306525        0.06370822        0.99572369        0.03487659        0.00750868        0.00124808
       -4.25725688        0.29302047        0.01693364        0.25931649        0.01363569        0.00269141        0.00044324
