#  aims_uuid : 1F78AD64-99A7-48A0-A1CB-A3A39D248537                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.313477 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.68652330        2.21928076        0.02806597        0.37857398        1.79286610        0.01664764        0.00312707
       -4.67652330        4.12482731        0.01849565        0.45104804        3.57800350        0.07270837        0.00457175
       -4.66652330        1.40547198        0.00862997        0.13368729        1.23093282        0.03090604        0.00131587
       -4.65652330        1.31834111        0.00800967        0.14727598        1.14452867        0.01675061        0.00177618
       -4.64652330        2.11866451        0.01408520        0.17330342        1.91468892        0.01317298        0.00341399
       -4.63652330        0.26338877        0.00899156        0.05040331        0.20063327        0.00296584        0.00039478
       -4.62652330        0.39343337        0.01592763        0.07738771        0.29537762        0.00406266        0.00067775
       -4.61652330        0.53100426        0.02415418        0.10584983        0.39487594        0.00511600        0.00100832
       -4.60652330        0.67610146        0.03367120        0.13578969        0.49912822        0.00612586        0.00138649
       -4.59652330        1.02990694        0.04933995        0.19414665        0.77557473        0.00870579        0.00213983
       -4.58652330        1.73758604        0.08201618        0.30784130        1.32951213        0.01470354        0.00351289
       -4.57652330        1.41829694        0.10479779        0.28364387        1.01479716        0.01222806        0.00283006
       -4.56652330        1.36911286        0.09464720        0.25241314        1.00595618        0.01344159        0.00265475
       -4.55652330        3.22631817        0.22123293        0.59300510        2.37302270        0.03324331        0.00581412
       -4.54652330        2.19882885        0.20246583        0.48726092        1.47881903        0.02577500        0.00450807
       -4.53652330        2.63543818        0.17091403        0.47900385        1.94980414        0.03092763        0.00478853
       -4.52652330        2.09369595        0.25666789        0.45531652        1.34849671        0.02908894        0.00412588
       -4.51652330        4.25428604        0.66999502        0.93659443        2.56526164        0.07378516        0.00864978
       -4.50652330        1.40065815        0.25868321        0.39707418        0.72029831        0.02142596        0.00317649
       -4.49652330        0.51199402        0.14256991        0.12056166        0.24022672        0.00734145        0.00129428
       -4.48652330        0.78189147        0.23927989        0.15461901        0.37613271        0.01002179        0.00183808
       -4.47652330        2.87849570        0.32542568        0.46975840        2.01977929        0.05730938        0.00622294
       -4.46652330        2.89722908        0.61835895        0.46185107        1.76377355        0.04736035        0.00588516
       -4.45652330        1.01962088        0.20911481        0.18743188        0.60559456        0.01526094        0.00221868
       -4.44652330        0.90039133        0.17537921        0.17591487        0.53271029        0.01443875        0.00194821
       -4.43652330        0.96992511        0.16738414        0.20196785        0.58160763        0.01688864        0.00207684
       -4.42652330        1.04231877        0.17187299        0.22920422        0.61961018        0.01939465        0.00223673
       -4.41652330        1.00731813        0.16441989        0.22422324        0.59689980        0.01953496        0.00224023
       -4.40652330        0.83311326        0.12824347        0.18023500        0.50624876        0.01640690        0.00197913
       -4.39652330        0.68225765        0.10708525        0.13449308        0.42630424        0.01264351        0.00173157
       -4.38652330        1.14614531        0.18071773        0.16735823        0.77794199        0.01762139        0.00250598
       -4.37652330        2.71457980        0.38921779        0.30827089        1.97211922        0.03935889        0.00561301
       -4.36652330        0.30914105        0.03245537        0.03758575        0.23266364        0.00582922        0.00060707
       -4.35652330        0.28516488        0.03186504        0.03710559        0.21005072        0.00556377        0.00057976
       -4.34652330        0.26156410        0.03113331        0.03656445        0.18801518        0.00529777        0.00055339
       -4.33652330        0.23833871        0.03026018        0.03596231        0.16655700        0.00503123        0.00052798
       -4.32652330        0.21548871        0.02924565        0.03529919        0.14567619        0.00476414        0.00050353
       -4.31652330        2.31987545        0.41926330        0.20762660        1.65874536        0.02866477        0.00557542
       -4.30652330        1.10455901        0.17776034        0.10537532        0.80089835        0.01812192        0.00240308
       -4.29652330        1.10451941        0.14666958        0.09561457        0.83825558        0.02193793        0.00204176
       -4.28652330        1.08135139        0.09689363        0.08366885        0.87218168        0.02711006        0.00149718
       -4.27652330        0.74567677        0.05003117        0.05233911        0.62151396        0.02089495        0.00089759
       -4.26652330        2.28518009        0.17299160        0.18142093        1.86272930        0.06462046        0.00341780
       -4.25652330        0.33399746        0.02879326        0.02294801        0.27435661        0.00728204        0.00061754
       -4.24652330        0.29245394        0.02158007        0.02038476        0.24367008        0.00624507        0.00057396
       -4.23652330        0.24172577        0.01407730        0.01834600        0.20333015        0.00549677        0.00047556
       -4.22652330        0.19306493        0.01044367        0.01774215        0.15940435        0.00512931        0.00034546
       -4.21652330        0.22665171        0.01365645        0.02186073        0.18528160        0.00540686        0.00044607
       -4.20652330        0.27055705        0.01805760        0.02654520        0.21968950        0.00568385        0.00058091
       -4.19652330        0.31555756        0.02253155        0.03123228        0.25517581        0.00589392        0.00072400
       -4.18652330        0.36165323        0.02707830        0.03592199        0.29174053        0.00603706        0.00087535
       -4.17652330        0.31185563        0.03123684        0.02296416        0.25246387        0.00441683        0.00077393
       -4.16652330        0.33650999        0.03575985        0.02310356        0.27249776        0.00429053        0.00085829
       -4.15652330        0.36164962        0.04033713        0.02303433        0.29314668        0.00418956        0.00094192
       -4.14652330        0.38727452        0.04496868        0.02275646        0.31441063        0.00411393        0.00102482
       -4.13652330        0.56688753        0.04961278        0.03177234        0.47377566        0.01044195        0.00128481
       -4.12652330        0.74093491        0.05362975        0.06136190        0.61057759        0.01371092        0.00165476
       -4.11652330        0.76344033        0.05864257        0.05533287        0.63401967        0.01375359        0.00169163
       -4.10652330        0.70405404        0.05312443        0.04704266        0.58933419        0.01303708        0.00151568
       -4.09652330        0.54599642        0.03378279        0.03624623        0.46346100        0.01142340        0.00108300
       -4.08652330        0.27624942       -0.00021144        0.02402826        0.24316671        0.00891424        0.00035165
       -4.07652330        0.27591210       -0.00019780        0.02395636        0.24299992        0.00879336        0.00036026
       -4.06652330        0.50360917       -0.00018016        0.03394885        0.45401038        0.01512656        0.00070354
       -4.05652330        0.41349777       -0.00016187        0.03154712        0.37090329        0.01046692        0.00074232
       -4.04652330        0.35721508        0.00487108        0.02875539        0.31566995        0.00712359        0.00079507
       -4.03652330        0.38339347        0.01844521        0.02874444        0.32966278        0.00552655        0.00101450
       -4.02652330        0.45375391        0.02905259        0.03407900        0.38384762        0.00545852        0.00131617
       -4.01652330        1.38548713        0.03219521        0.13840396        1.19498181        0.01551665        0.00438950
       -4.00652330        1.05993684        0.02893725        0.11330722        0.90265599        0.01150192        0.00353445
       -3.99652330        0.91052865        0.02377194        0.09382279        0.78019741        0.00967497        0.00306154
       -3.98652330        0.86432226        0.01890344        0.08839521        0.74497276        0.00910656        0.00294429
