#  aims_uuid : 1F78AD64-99A7-48A0-A1CB-A3A39D248537                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        2.10256220        0.02910410        0.38839355        1.66630686        0.01575158        0.00300611
       -9.99000000        3.96552496        0.01895502        0.44378992        3.42617399        0.07232587        0.00428016
       -9.98000000        1.36707766        0.00870415        0.16476998        1.15990214        0.03230485        0.00139654
       -9.97000000        1.31210659        0.00802669        0.15644523        1.12878292        0.01704899        0.00180276
       -9.96000000        1.92580751        0.02038055        0.20119472        1.69012559        0.01097430        0.00313235
       -9.95000000        0.34698779        0.00718983        0.03772672        0.29849906        0.00307286        0.00049931
       -9.94000000        0.48549247        0.01388996        0.06348101        0.40311069        0.00421708        0.00079373
       -9.93000000        0.60674137        0.02251201        0.09386085        0.48405203        0.00521556        0.00110092
       -9.92000000        0.71073451        0.03305597        0.12886626        0.54132308        0.00606831        0.00142088
       -9.91000000        1.02600113        0.04968308        0.19150422        0.77411909        0.00857646        0.00211828
       -9.90000000        1.73245175        0.08621799        0.30076672        1.32730703        0.01468074        0.00347927
       -9.89000000        1.40647656        0.11885641        0.26255773        1.01014502        0.01217585        0.00274156
       -9.88000000        1.36238560        0.10320654        0.23897241        1.00418553        0.01341787        0.00260326
       -9.87000000        3.22973970        0.19512675        0.62550961        2.36965212        0.03348044        0.00597078
       -9.86000000        2.20685026        0.19826276        0.48719007        1.49076030        0.02607954        0.00455759
       -9.85000000        2.64850129        0.16695083        0.45448837        1.98992484        0.03237525        0.00476200
       -9.84000000        2.08914307        0.25617355        0.45103173        1.34814943        0.02971289        0.00407547
       -9.83000000        4.25060085        0.68209769        0.95060011        2.53894881        0.07018768        0.00876656
       -9.82000000        1.37531940        0.25334603        0.41836401        0.67667895        0.02395687        0.00297354
       -9.81000000        0.53823336        0.13114620        0.14922422        0.24946458        0.00703628        0.00136206
       -9.80000000        0.81843606        0.21842700        0.19309025        0.39516953        0.00978260        0.00196669
       -9.79000000        2.86817555        0.38577858        0.46861551        1.95249192        0.05546733        0.00582220
       -9.78000000        2.92668237        0.59886352        0.50078535        1.77389915        0.04714223        0.00599212
       -9.77000000        1.02923203        0.19898468        0.20560738        0.60701787        0.01534070        0.00228140
       -9.76000000        0.90113832        0.16988049        0.18704555        0.52764164        0.01457847        0.00199218
       -9.75000000        0.96553916        0.16463222        0.20835420        0.57335409        0.01708947        0.00210920
       -9.74000000        1.03582490        0.17006041        0.23407880        0.60980823        0.01960918        0.00226828
       -9.73000000        1.01240741        0.16992929        0.22202042        0.59897256        0.01926189        0.00222325
