#  aims_uuid : A1FBB15C-2AEF-4F63-A2AB-2EAA6387BC22                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.292320 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.70767960       59.56358498        0.75046102        9.11809194       49.20135612        0.40233500        0.09134091
       -4.69767960       55.36580655        0.23522791        5.89452888       48.18864922        0.98773052        0.05967001
       -4.68767960       33.03287957        0.17186356        3.33685760       28.98342057        0.50193924        0.03879859
       -4.67767960       28.59903962        0.21139519        2.69912185       25.34435989        0.30425012        0.03991257
       -4.66767960        4.63026432        0.10441099        0.72697489        3.72152469        0.07063580        0.00671795
       -4.65767960        7.54066826        0.22579007        1.26431564        5.93996851        0.09797645        0.01261759
       -4.64767960       10.39690608        0.38026678        1.84972582        8.02654556        0.12135241        0.01901551
       -4.63767960       13.19897777        0.56784113        2.48320541        9.98125586        0.14076367        0.02591170
       -4.62767960       15.94688333        0.78851311        3.16475441       11.80409940        0.15621024        0.03330617
       -4.61767960       46.70629061        2.39445732        9.27403835       34.53916393        0.39766678        0.10096423
       -4.60767960      197.12015745        6.99691241       30.87821505      157.18052958        1.67668043        0.38781998
       -4.59767960       33.46589303        2.16813302        6.29511923       24.63046217        0.30519327        0.06698534
       -4.58767960       34.54449018        2.34026118        6.27018293       25.52758849        0.34129087        0.06516671
       -4.57767960      108.63506955        5.20146612       17.45541709       84.68847268        1.12161602        0.16809765
       -4.56767960       49.04675223        3.94567762       10.55139424       33.83945109        0.62230179        0.08792749
       -4.55767960       65.66914829        3.50012860       11.18138155       50.05039719        0.83553530        0.10170565
       -4.54767960       43.18660809        3.90523784        8.72988719       29.82138723        0.65779721        0.07229861
       -4.53767960       90.62133797       13.47996476       21.42111826       54.08033234        1.43684474        0.20307787
       -4.52767960       21.95818936        4.11273194        6.12808551       11.32197747        0.34160028        0.05379416
       -4.51767960       10.69616772        2.63763152        2.88447107        4.99774821        0.14860454        0.02771239
       -4.50767960       14.63863417        3.71298535        3.41466636        7.28136492        0.19248185        0.03713568
       -4.49767960       98.01583559       16.04814624       14.87050826       65.04800657        1.87807892        0.17109561
       -4.48767960       64.18588970       16.14222465       12.72822453       34.23933203        0.92480416        0.15130432
       -4.47767960       15.65131565        4.03323069        2.95737401        8.40764049        0.21562573        0.03744473
       -4.46767960       22.43383916        4.17346063        4.52321739       13.32764843        0.35924102        0.05027170
