#  aims_uuid : A1FBB15C-2AEF-4F63-A2AB-2EAA6387BC22                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.292320 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.70767960        2.33264454        0.03049018        0.37386029        1.90928943        0.01539289        0.00361175
       -4.69767960        2.30929917        0.01132293        0.22853173        2.03209661        0.03509190        0.00225600
       -4.68767960        1.34405931        0.00865172        0.13387438        1.18252347        0.01753698        0.00147276
       -4.67767960        1.21809663        0.00590578        0.10541370        1.09216629        0.01286897        0.00174189
       -4.66767960        0.13005778        0.00463938        0.03156389        0.08992520        0.00371453        0.00021478
       -4.65767960        0.23287852        0.00974578        0.05333748        0.16447525        0.00489005        0.00042996
       -4.64767960        0.34518292        0.01597527        0.07725535        0.24547593        0.00579187        0.00068450
       -4.63767960        0.46697097        0.02332783        0.10331751        0.33292726        0.00641997        0.00097839
       -4.62767960        0.59824267        0.03180349        0.13152396        0.42682922        0.00677436        0.00131165
       -4.61767960        1.85996885        0.09575973        0.37742703        1.36668560        0.01602790        0.00406859
       -4.60767960        7.92945591        0.28052935        1.24496887        6.32134550        0.06704100        0.01557118
       -4.59767960        1.33674846        0.09327542        0.26483654        0.96428595        0.01179595        0.00255461
       -4.58767960        1.38327214        0.09653217        0.25789343        1.01282992        0.01345738        0.00255924
       -4.57767960        4.31686368        0.19455722        0.63573166        3.43360611        0.04610303        0.00686567
       -4.56767960        1.95362816        0.15686547        0.41893355        1.34935170        0.02497503        0.00350240
       -4.55767960        2.51223990        0.13425815        0.44148480        1.89974449        0.03283300        0.00391946
       -4.54767960        1.76850831        0.15567083        0.33634038        1.24657953        0.02696225        0.00295531
       -4.53767960        3.47386994        0.57198332        0.98180817        1.85944624        0.05284360        0.00778862
       -4.52767960        0.93627220        0.14944342        0.25795243        0.51256176        0.01404057        0.00227402
       -4.51767960        0.42456854        0.09545850        0.09784092        0.22330596        0.00678657        0.00117659
       -4.50767960        0.60233464        0.12268148        0.13963876        0.33008668        0.00830414        0.00162358
       -4.49767960        3.82739758        0.70804712        0.52222913        2.51676823        0.07406221        0.00629089
       -4.48767960        2.57495671        0.64114700        0.51293286        1.37720582        0.03751653        0.00615451
       -4.47767960        0.63029354        0.15837775        0.12092212        0.34067166        0.00877804        0.00154397
       -4.46767960        0.89756276        0.16397952        0.18266147        0.53460049        0.01429329        0.00202799
       -4.45767960        0.97496604        0.16230782        0.20775458        0.58590416        0.01685153        0.00214795
       -4.44767960        1.05360783        0.17098920        0.23676328        0.62389799        0.01965530        0.00230206
       -4.43767960        0.96796971        0.15444751        0.21697085        0.57570499        0.01874130        0.00210506
       -4.42767960        0.79777422        0.12300410        0.16668274        0.49135869        0.01497121        0.00175748
       -4.41767960        0.64643017        0.10009526        0.12635186        0.40749683        0.01097470        0.00151152
       -4.40767960        1.08945149        0.12852775        0.14684225        0.79303008        0.01879311        0.00225829
