#  aims_uuid : A1FBB15C-2AEF-4F63-A2AB-2EAA6387BC22                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.292320 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.70767960        2.17943767        0.16526596        1.84349608        0.15457461        0.01556508        0.00053594
       -4.69767960        2.35423297        0.12177080        2.12762357        0.09010503        0.01191093        0.00282264
       -4.68767960        1.25995797        0.06959903        1.12586588        0.05610212        0.00699011        0.00140082
       -4.67767960        1.07378593        0.08118252        0.92602890        0.05880376        0.00708245        0.00068829
       -4.66767960        0.21389614        0.01488393        0.18960423        0.00826345        0.00103642        0.00010811
       -4.65767960        0.34399411        0.02669045        0.30040481        0.01491478        0.00182568        0.00015840
       -4.64767960        0.46848845        0.03857497        0.40542554        0.02168804        0.00259516        0.00020474
       -4.63767960        0.58737917        0.05053752        0.50466643        0.02858322        0.00334487        0.00024713
       -4.62767960        0.70066626        0.06257808        0.59812748        0.03560033        0.00407480        0.00028556
       -4.61767960        2.04121976        0.19200864        1.72422685        0.11171243        0.01252419        0.00074764
       -4.60767960        8.33354417        0.81328253        6.98639327        0.47541574        0.05566780        0.00278483
       -4.59767960        1.50140234        0.12600600        1.27492245        0.09042999        0.00944662        0.00059728
       -4.58767960        1.48033676        0.12152437        1.25828996        0.09061193        0.00924031        0.00067019
       -4.57767960        4.51749114        0.38005573        3.82055268        0.28717643        0.02795019        0.00175612
       -4.56767960        2.22982341        0.17183144        1.91174716        0.13266838        0.01243698        0.00113945
       -4.55767960        2.73238581        0.20177992        2.34733091        0.16583156        0.01612546        0.00131797
       -4.54767960        1.98682083        0.13757985        1.72195216        0.11478803        0.01117578        0.00132502
       -4.53767960        4.03875782        0.31219063        3.49064990        0.20948994        0.02274352        0.00368384
       -4.52767960        1.26115366        0.10718080        1.08583991        0.06069838        0.00657060        0.00086397
       -4.51767960        0.52796749        0.06111166        0.44009371        0.02333374        0.00293623        0.00049215
       -4.50767960        0.62513951        0.06933975        0.51985440        0.03123555        0.00398945        0.00072035
       -4.49767960        4.05806744        0.17419462        3.63520671        0.21810516        0.02518079        0.00538017
       -4.48767960        2.69854679        0.26212200        2.28286810        0.13248215        0.01767778        0.00339675
       -4.47767960        0.63964288        0.06919228        0.53540326        0.02987894        0.00433255        0.00083585
       -4.46767960        1.06513330        0.11107309        0.89584904        0.05070996        0.00662444        0.00087676
       -4.45767960        1.22997468        0.12665960        1.03665667        0.05840259        0.00739838        0.00085744
       -4.44767960        1.39617790        0.14345818        1.17861626        0.06509727        0.00812024        0.00088594
       -4.43767960        1.27660142        0.12901048        1.07910121        0.06016508        0.00750951        0.00081514
       -4.42767960        0.96938271        0.09205767        0.82040851        0.04998310        0.00624158        0.00069186
       -4.41767960        0.71299645        0.06334437        0.60337549        0.04058571        0.00509421        0.00059667
       -4.40767960        1.27810504        0.12575500        1.07304822        0.06949869        0.00898340        0.00081973
       -4.39767960        5.79699323        0.57798163        4.88669217        0.28631393        0.04064550        0.00535999
       -4.38767960        0.30847921        0.02651983        0.26305079        0.01652791        0.00215859        0.00022208
       -4.37767960        0.29528520        0.02618369        0.25143038        0.01538971        0.00207475        0.00020667
       -4.36767960        0.27984268        0.02551863        0.23800872        0.01414850        0.00197504        0.00019179
       -4.35767960        0.26215167        0.02452466        0.22278582        0.01280427        0.00185947        0.00017744
       -4.34767960        0.24221215        0.02320177        0.20576168        0.01135703        0.00172804        0.00016362
       -4.33767960        3.06633223        0.33033726        2.60003469        0.11799661        0.01638088        0.00158280
       -4.32767960        1.11517106        0.08018079        0.96028649        0.06305449        0.00997258        0.00167672
       -4.31767960        1.21111190        0.06465698        1.07964596        0.05560806        0.00918067        0.00202023
       -4.30767960        1.12170065        0.03957155        1.03392815        0.03971253        0.00666283        0.00182559
       -4.29767960        0.64177574        0.02024164        0.59534579        0.02145383        0.00372844        0.00100604
       -4.28767960        2.12302305        0.14482133        1.90030642        0.06472517        0.01127319        0.00189694
       -4.27767960        0.28906146        0.01713641        0.25723919        0.01220737        0.00203183        0.00044666
