#  aims_uuid : 3A527AA5-4B68-4A87-A197-FFA4B5BCD107                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.99380692        0.05296247        0.13958195        0.78718094        0.01127927        0.00280229
       -9.98998999        1.82749532        0.07941252        0.26958847        1.45158756        0.02245267        0.00445410
       -9.97997998        1.42702820        0.05160460        0.19772159        1.15955436        0.01564462        0.00250302
       -9.96996997        1.12650712        0.05090864        0.14174173        0.91769076        0.01410974        0.00205624
       -9.95995996        1.52556010        0.10584095        0.20801349        1.18929568        0.01898972        0.00342026
       -9.94994995        1.13834190        0.18460857        0.22180139        0.71288152        0.01647325        0.00257717
       -9.93993994        0.80029886        0.10379458        0.18836794        0.49364478        0.01258304        0.00190852
       -9.92992993        1.14775307        0.16987345        0.26196863        0.68863672        0.02393352        0.00334075
       -9.91991992        1.60312588        0.26448226        0.36205402        0.93914334        0.03213546        0.00531080
       -9.90990991        1.24468367        0.37948131        0.26371941        0.57025349        0.02749400        0.00373546
       -9.89989990        2.86168516        0.68244681        0.86114134        1.27279571        0.03718269        0.00811861
       -9.88988989        2.46756849        0.24791155        0.58746344        1.59230105        0.03435811        0.00553433
       -9.87987988        1.38534270        0.18169826        0.30035987        0.88309171        0.01743464        0.00275822
       -9.86986987        1.67533054        0.25152994        0.28195603        1.12069187        0.01814705        0.00300564
       -9.85985986        0.92536427        0.20617424        0.16372901        0.54014619        0.01296054        0.00235428
       -9.84984985        1.67318790        0.42368649        0.30779900        0.90582437        0.03114568        0.00473236
       -9.83983984        0.60580346        0.07147043        0.09612003        0.41537369        0.02166095        0.00117836
       -9.82982983        1.02367288        0.09442258        0.17610378        0.74080077        0.01054721        0.00179854
       -9.81981982        0.50713805        0.03699845        0.19602401        0.25961248        0.01247421        0.00202890
       -9.80980981        1.29897820        0.07134662        0.25013792        0.95179255        0.02353791        0.00216319
       -9.79979980        0.78917719        0.01795611        0.09997927        0.65258724        0.01759637        0.00105820
       -9.78978979        0.31104962        0.00484986        0.04654616        0.25147591        0.00770088        0.00047681
       -9.77977978        2.00160872        0.14691884        0.36285860        1.45121861        0.03806217        0.00255049
       -9.76976977        0.60200845        0.01955239        0.11154151        0.45346891        0.01667399        0.00077165
