#  aims_uuid : 3A527AA5-4B68-4A87-A197-FFA4B5BCD107                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.626099 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.37390135        0.92460264        0.04713564        0.20744388        0.66362607        0.00500996        0.00138708
       -4.36389134        1.75712534        0.07031821        0.32816736        1.34731115        0.00920164        0.00212698
       -4.35388133        1.97042009        0.07838170        0.30020824        1.57784482        0.01099691        0.00298842
       -4.34387132        1.64743832        0.03816684        0.21767698        1.38009940        0.00940296        0.00209215
       -4.33386131        2.14119962        0.06108743        0.30538932        1.75882620        0.01365109        0.00224558
       -4.32385130        1.69411294        0.06706478        0.32639587        1.27989931        0.01858163        0.00217134
       -4.31384129        1.09831268        0.04103488        0.20803859        0.83361010        0.01406997        0.00155913
       -4.30383128        1.71089551        0.08146716        0.29954628        1.30093096        0.02638652        0.00256461
       -4.29382127        2.13286811        0.05284443        0.39435487        1.65690388        0.02557138        0.00319354
       -4.28381126        1.64334866        0.11112041        0.37413236        1.13981311        0.01609850        0.00218428
       -4.27380125        1.78476297        0.27716475        0.55943464        0.91557395        0.02633759        0.00625203
       -4.26379124        3.17705182        0.40520317        0.49732853        2.23347553        0.03717828        0.00386632
       -4.25378123        1.28324958        0.30984855        0.15785041        0.79621355        0.01735994        0.00197712
       -4.24377122        1.27034496        0.28858383        0.17249496        0.78972832        0.01718254        0.00235532
       -4.23376121        0.86130983        0.06310397        0.16479937        0.62142476        0.00998290        0.00199883
       -4.22375120        1.75276077        0.12729756        0.25015970        1.34584523        0.02606841        0.00338986
       -4.21374119        1.09391382        0.12382681        0.06663072        0.87960092        0.02304929        0.00080607
       -4.20373118        0.75705832        0.03310425        0.20626505        0.48880170        0.02543904        0.00344828
       -4.19372117        0.60654742        0.01014577        0.15349107        0.42397851        0.01669188        0.00224019
       -4.18371116        1.08898105        0.02783767        0.10317790        0.92471408        0.03077439        0.00247701
       -4.17370115        0.84878288        0.00784487        0.04325192        0.76966483        0.02679262        0.00122863
       -4.16369114        0.35491275        0.00151451        0.03461473        0.30682954        0.01140762        0.00054635
       -4.15368113        1.68241873        0.09355267        0.31895936        1.22006269        0.04570102        0.00414300
       -4.14367112        0.42931582        0.01108505        0.08100975        0.31547807        0.02078004        0.00096290
       -4.13366111        0.02418578        0.00095888        0.00231732        0.01914951        0.00165804        0.00010204
       -4.12365110        2.22436705        0.06975717        0.78787550        1.30643192        0.05313706        0.00716540
       -4.11364109        2.56562031        0.06219158        0.31980265        2.10719103        0.06787079        0.00856426
       -4.10363108        1.52767188        0.01829322        0.19536009        1.28657668        0.02172072        0.00572117
       -4.09362107        0.60607014        0.01326849        0.09849874        0.48134473        0.01028394        0.00267424
       -4.08361106        0.75356334        0.02675543        0.10661430        0.60476663        0.01236045        0.00306653
       -4.07360105        0.88624950        0.04222257        0.10788937        0.71850404        0.01439084        0.00324268
       -4.06359104        0.83086763        0.04642066        0.08905259        0.67926242        0.01351026        0.00262171
       -4.05358103        0.75568501        0.03838743        0.07051224        0.63323390        0.01163457        0.00191685
       -4.04357102        0.66751336        0.03024829        0.05675247        0.56911430        0.00997073        0.00142757
       -4.03356101        0.57950711        0.02240238        0.04644770        0.50071215        0.00884376        0.00110113
       -4.02355100        0.54746645        0.01812665        0.04429472        0.47519357        0.00893005        0.00092147
       -4.01354099        0.51862516        0.01461539        0.04323166        0.45079766        0.00924124        0.00073922
       -4.00353098        0.52465624        0.01393611        0.04176454        0.45897669        0.00925962        0.00071928
       -3.99352097        0.61528866        0.01725052        0.04520511        0.54174358        0.01019314        0.00089632
       -3.98351096        0.64427360        0.01767847        0.04643202        0.56801591        0.01123497        0.00091225
       -3.97350095        0.57048056        0.01445403        0.04216271        0.50138728        0.01173858        0.00073796
       -3.96349094        0.19312451        0.00936484        0.01752200        0.16366293        0.00229739        0.00027735
       -3.95348093        0.76148444        0.05733667        0.05775024        0.62314050        0.02227461        0.00098241
       -3.94347092        1.03807722        0.10932504        0.09728637        0.80663799        0.02301144        0.00181639
       -3.93346091        0.70046729        0.07353246        0.10461329        0.50439107        0.01646829        0.00146217
       -3.92345090        0.66320533        0.06018033        0.13856965        0.44642995        0.01641917        0.00160624
       -3.91344089        0.39102591        0.05019649        0.06722654        0.26123412        0.01135437        0.00101439
       -3.90343088        0.27411545        0.03869569        0.01991081        0.20733306        0.00742213        0.00075378
       -3.89342087        0.28633140        0.03613921        0.01882702        0.22376876        0.00668963        0.00090677
       -3.88341086        0.36302292        0.04297472        0.02308128        0.28769517        0.00800358        0.00126817
       -3.87340085        0.43682451        0.04776527        0.02667172        0.35104452        0.00961776        0.00172525
       -3.86339084        0.53143735        0.04966462        0.02757497        0.43922679        0.01305785        0.00191312
       -3.85338083        0.34872779        0.00760792        0.00776608        0.32490890        0.00793825        0.00050664
       -3.84337082        0.29044893        0.01226904        0.00815879        0.26317948        0.00632293        0.00051869
       -3.83336081        0.33690416        0.01673395        0.01123475        0.30076899        0.00755185        0.00061462
       -3.82335080        0.30528191        0.02097777        0.01295142        0.26392718        0.00679202        0.00063353
       -3.81334079        0.34498207        0.02665240        0.01787185        0.29174529        0.00795720        0.00075535
       -3.80333078        0.35373097        0.03440986        0.02413752        0.28591679        0.00836534        0.00090146
       -3.79332077        0.38041908        0.03943010        0.04040027        0.28986158        0.00937387        0.00135327
       -3.78331076        1.10433784        0.03409275        0.07325242        0.97050615        0.02437198        0.00211454
       -3.77330075        0.69978844        0.03778289        0.04671213        0.59857410        0.01524174        0.00147759
       -3.76329074        0.49305477        0.04766607        0.03511528        0.39686682        0.01207981        0.00132680
       -3.75328073        0.35727824        0.04934949        0.03275344        0.26384244        0.01001193        0.00132093
       -3.74327072        0.20373705        0.03549856        0.02342265        0.13676721        0.00695489        0.00109374
