#  aims_uuid : 3A527AA5-4B68-4A87-A197-FFA4B5BCD107                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.626099 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.37390135        0.13791219        0.00486073        0.11700945        0.01382950        0.00191111        0.00030140
       -4.36389134        0.35279674        0.00999793        0.30688143        0.03068942        0.00440675        0.00082122
       -4.35388133        0.40165616        0.01076524        0.35182864        0.03388122        0.00438605        0.00079501
       -4.34387132        0.28361316        0.01445038        0.24640789        0.01951377        0.00272757        0.00051356
       -4.33386131        0.27523610        0.01354648        0.23627438        0.02110882        0.00364845        0.00065797
       -4.32385130        0.44448014        0.01417395        0.39882836        0.02691419        0.00374984        0.00081379
       -4.31384129        0.37097442        0.00876342        0.33795078        0.02101237        0.00264200        0.00060586
       -4.30383128        0.63149515        0.01419162        0.58296311        0.02949086        0.00388725        0.00096230
       -4.29382127        0.61074011        0.01447022        0.54994649        0.04064852        0.00471402        0.00096086
       -4.28381126        0.36367827        0.01763711        0.30982124        0.03087683        0.00451379        0.00082931
       -4.27380125        0.50768989        0.05357429        0.40810835        0.03869931        0.00610927        0.00119867
       -4.26379124        0.69990274        0.04999184        0.58059835        0.05648638        0.01056167        0.00226451
       -4.25378123        0.33589827        0.01802524        0.27995646        0.03161090        0.00509043        0.00121524
       -4.24377122        0.41977715        0.03576868        0.33626069        0.04136529        0.00520471        0.00117778
       -4.23376121        0.23361486        0.03153943        0.17643641        0.02172669        0.00328397        0.00062836
       -4.22375120        0.44612152        0.04333261        0.36049137        0.03620312        0.00497928        0.00111514
       -4.21374119        0.62942142        0.01156964        0.58429626        0.02853885        0.00372926        0.00128741
       -4.20373118        0.49312343        0.02594929        0.41391340        0.04837118        0.00411192        0.00077763
       -4.19372117        0.23849469        0.01354572        0.20383670        0.01783874        0.00285849        0.00041504
       -4.18371116        0.43000240        0.01929614        0.37671254        0.02838800        0.00470114        0.00090458
       -4.17370115        0.44968629        0.01229191        0.41879400        0.01430919        0.00355171        0.00073948
       -4.16369114        0.17492990        0.00424653        0.16358450        0.00529431        0.00151516        0.00028940
       -4.15368113        0.63218933        0.04399337        0.55747661        0.02319537        0.00617557        0.00134841
       -4.14367112        0.27967124        0.01267501        0.25635444        0.00733209        0.00259329        0.00071642
       -4.13366111        0.00525932        0.00027954        0.00438570        0.00044978        0.00011405        0.00003024
       -4.12365110        1.62158829        0.12070201        1.38364218        0.09930619        0.01535583        0.00258208
       -4.11364109        1.87764168        0.04073872        1.74198681        0.08238646        0.01001293        0.00251677
       -4.10363108        0.76314342        0.03875358        0.68140327        0.03767844        0.00404285        0.00126527
       -4.09362107        0.35070716        0.02074960        0.30963959        0.01781336        0.00192392        0.00058069
       -4.08361106        0.43386173        0.02893207        0.37793314        0.02345672        0.00282397        0.00071583
       -4.07360105        0.54656682        0.03950020        0.47147291        0.03097321        0.00379502        0.00082547
       -4.06359104        0.57918286        0.04201236        0.49861329        0.03383369        0.00397873        0.00074478
       -4.05358103        0.56325776        0.04206703        0.48367180        0.03297332        0.00390661        0.00063901
       -4.04357102        0.49377702        0.03824169        0.42286000        0.02863293        0.00349097        0.00055143
       -4.03356101        0.40779409        0.03220061        0.34843969        0.02372251        0.00294239        0.00048889
       -4.02355100        0.38760443        0.02983845        0.33270605        0.02186806        0.00271703        0.00047484
       -4.01354099        0.38162768        0.02748424        0.33078364        0.02036261        0.00253192        0.00046529
       -4.00353098        0.35672505        0.02445985        0.31150907        0.01789188        0.00236783        0.00049642
       -3.99352097        0.37401722        0.02608721        0.32715398        0.01759592        0.00257344        0.00060667
       -3.98351096        0.39276778        0.02664519        0.34597215        0.01682971        0.00265034        0.00067039
       -3.97350095        0.38697489        0.02457968        0.34466817        0.01461322        0.00246431        0.00064952
       -3.96349094        0.21263093        0.01656431        0.18720629        0.00773055        0.00098053        0.00014926
       -3.95348093        0.92629357        0.04678484        0.84401157        0.03067958        0.00404763        0.00076995
       -3.94347092        1.73062111        0.11657682        1.54120139        0.06471138        0.00714492        0.00098660
       -3.93346091        1.80674741        0.14167486        1.58245083        0.07357369        0.00818903        0.00085900
       -3.92345090        2.26799493        0.19268374        1.96534724        0.09766459        0.01133456        0.00096480
       -3.91344089        1.29137342        0.09387785        1.14335213        0.04841435        0.00513309        0.00059601
       -3.90343088        0.55237205        0.02524931        0.50617366        0.01865592        0.00193516        0.00035800
       -3.89342087        0.51908905        0.02476911        0.47195273        0.01980536        0.00217163        0.00039022
       -3.88341086        0.64363288        0.03190677        0.58163425        0.02657253        0.00299195        0.00052738
       -3.87340085        0.77716796        0.04003460        0.69738853        0.03495800        0.00405844        0.00072838
       -3.86339084        1.13506482        0.04845760        1.03546467        0.04514422        0.00502635        0.00097198
       -3.85338083        0.24238394        0.00788174        0.22254969        0.00967095        0.00181852        0.00046304
       -3.84337082        0.28987102        0.01171998        0.26360824        0.01219880        0.00193228        0.00041172
       -3.83336081        0.39278814        0.01717352        0.35626575        0.01637843        0.00247888        0.00049155
       -3.82335080        0.48504570        0.02397799        0.43748774        0.02025227        0.00284614        0.00048155
       -3.81334079        0.68532900        0.03623854        0.61652336        0.02813554        0.00384615        0.00058541
       -3.80333078        0.98618701        0.05550073        0.88463819        0.04008327        0.00527421        0.00069060
       -3.79332077        1.22428317        0.07108475        1.09571700        0.05021427        0.00641008        0.00085708
       -3.78331076        1.10912952        0.06233185        0.99005463        0.04809475        0.00710941        0.00153889
       -3.77330075        1.03349463        0.06807595        0.91645517        0.04176879        0.00616516        0.00102957
       -3.76329074        1.21627910        0.08159684        1.08251122        0.04506931        0.00629838        0.00080335
       -3.75328073        1.30080252        0.08755570        1.15867362        0.04758695        0.00628702        0.00069924
       -3.74327072        1.07890696        0.07544631        0.95716092        0.04049692        0.00529157        0.00051125
       -3.73326071        0.87651690        0.06416799        0.77335612        0.03411982        0.00449629        0.00037669
       -3.72325070        0.87081936        0.06990004        0.76054714        0.03515420        0.00486752        0.00035046
       -3.71324069        1.48577652        0.10444416        1.31710274        0.05468450        0.00794603        0.00159909
       -3.70323068        1.15656851        0.07782014        1.02864850        0.04198069        0.00670084        0.00141834
       -3.69322067        0.89376737        0.06141036        0.78678633        0.03789701        0.00634249        0.00133118
       -3.68321066        0.81400753        0.06356917        0.70520084        0.03806728        0.00614290        0.00102734
       -3.67320065        1.52046622        0.10105237        1.32764409        0.07492175        0.01416089        0.00268712
       -3.66319064        1.69700811        0.09454161        1.49493928        0.08899604        0.01572473        0.00280644
       -3.65318063        1.22276019        0.06306620        1.08029054        0.06295893        0.01320036        0.00324415
       -3.64317062        0.74810199        0.03477896        0.64762668        0.05124060        0.01175744        0.00269831
       -3.63316061        0.55154331        0.03229342        0.46959193        0.03926185        0.00813200        0.00226411
       -3.62315060        1.56689311        0.06767275        1.36514332        0.10613111        0.02232985        0.00561608
       -3.61314059        0.81877497        0.03091028        0.73129042        0.04649731        0.00821291        0.00186405
       -3.60313058        0.10413887        0.00240242        0.09216047        0.00730077        0.00189427        0.00038094
       -3.59312057        2.20346779        0.08325782        2.01414941        0.09081797        0.01152227        0.00372033
       -3.58311056        1.08149498        0.01137504        1.02194636        0.03185146        0.01325290        0.00306923
       -3.57310055        0.66815464        0.02915041        0.59759016        0.03051302        0.00843009        0.00247095
       -3.56309054        0.20500042        0.00569177        0.18426819        0.01007420        0.00410641        0.00085985
       -3.55308053        2.93292390        0.08825341        2.69604230        0.12398200        0.02148016        0.00316604
       -3.54307052        0.38445942        0.00723458        0.35844573        0.01469425        0.00341017        0.00067469
       -3.53306051        9.28104054        0.27327540        8.51624071        0.41625933        0.06288753        0.01237758
       -3.52305050        0.11662644        0.00684380        0.10494271        0.00418367        0.00048189        0.00017437
       -3.51304049        2.38419940        0.15347536        2.14334787        0.07382294        0.01149316        0.00206008
       -3.50303048        0.29732853        0.01343590        0.26263283        0.01778002        0.00291404        0.00056574
       -3.49302047        4.03804365        0.21477491        3.63904970        0.15779438        0.02226077        0.00416389
       -3.48301046        1.33475766        0.07926075        1.19349160        0.05247187        0.00833068        0.00120276
       -3.47300045        2.05362092        0.11029714        1.83860877        0.08620014        0.01635820        0.00215667
       -3.46299044        1.12239479        0.04660424        1.02319360        0.04400610        0.00745985        0.00113100
       -3.45298043        0.73598902        0.02793733        0.66938245        0.03102827        0.00667439        0.00096659
       -3.44297042        0.25864377        0.00663838        0.23782780        0.01158931        0.00210325        0.00048502
       -3.43296041        0.24606867        0.00555631        0.22682845        0.01123105        0.00194818        0.00050468
       -3.42295040        0.34257068        0.00734926        0.31575023        0.01625036        0.00251923        0.00070159
       -3.41294039        0.32993740        0.00780314        0.30313065        0.01540040        0.00285714        0.00074608
       -3.40293038        1.89556754        0.01099444        1.81060239        0.06445584        0.00785712        0.00165774
       -3.39292037        0.55635035        0.01111795        0.51717778        0.02336467        0.00392840        0.00076154
       -3.38291036        0.53556943        0.01305553        0.49617851        0.02214559        0.00351066        0.00067914
       -3.37290035        0.49351363        0.01314554        0.45657457        0.02020621        0.00300334        0.00058398
       -3.36289034        1.05688139        0.04744897        0.96911672        0.03540896        0.00397814        0.00092861
       -3.35288033        1.93403744        0.07365318        1.79430222        0.05812830        0.00624399        0.00170975
       -3.34287032        1.00645572        0.01465305        0.95187316        0.03418887        0.00451121        0.00122942
       -3.33286031        0.79514185        0.00978201        0.75645702        0.02447870        0.00337976        0.00104435
       -3.32285030        0.68482611        0.01067161        0.65159261        0.01868433        0.00294418        0.00093338
       -3.31284029        5.35656138        0.27958259        4.93415200        0.12720543        0.01150782        0.00411354
       -3.30283028        2.92275306        0.18647194        2.66507341        0.06533897        0.00386012        0.00200862
       -3.29282027        0.40346265        0.01234204        0.37510131        0.01454867        0.00125177        0.00021887
       -3.28281026        0.60145675        0.01242016        0.56107292        0.02466414        0.00286840        0.00043113
       -3.27280025        0.70242325        0.01349884        0.65411916        0.02922615        0.00480779        0.00077131
       -3.26279024        0.62428714        0.01355648        0.57965667        0.02446323        0.00568252        0.00092824
       -3.25278023        0.18649963        0.00799457        0.17278274        0.00491842        0.00065442        0.00014947
       -3.24277022        0.47525811        0.01333312        0.43866965        0.02070323        0.00207944        0.00047267
       -3.23276021        0.35609106        0.00982560        0.33196886        0.01218243        0.00169817        0.00041601
       -3.22275020        0.71791002        0.01132563        0.67599807        0.02436112        0.00500011        0.00122508
       -3.21274019        0.54679831        0.01399882        0.50729502        0.02205408        0.00279706        0.00065334
       -3.20273018        0.55963601        0.01521080        0.51995367        0.02118385        0.00264478        0.00064289
       -3.19272017        0.56844396        0.01630379        0.52870303        0.02030746        0.00250158        0.00062811
       -3.18271016        0.57322216        0.01727777        0.53354308        0.01942488        0.00236746        0.00060897
       -3.17270015        0.57397062        0.01813276        0.53447383        0.01853613        0.00224240        0.00058550
       -3.16269014        0.56914371        0.01883551        0.53007668        0.01756058        0.00211563        0.00055530
       -3.15268013        0.53723591        0.01881144        0.50065241        0.01543742        0.00184505        0.00048959
       -3.14267012        1.46990306        0.02346791        1.37397609        0.06083643        0.00984773        0.00177489
       -3.13266011        0.81668353        0.02315761        0.75956247        0.02965344        0.00352470        0.00078531
       -3.12265010        0.73163654        0.02158490        0.68025778        0.02593208        0.00315040        0.00071137
       -3.11264009        1.01566233        0.02938815        0.93891955        0.04267823        0.00377776        0.00089864
       -3.10263008        1.77763108        0.08266436        1.64103105        0.04653852        0.00610432        0.00129284
       -3.09262007        2.17898852        0.08374994        2.03838903        0.05057013        0.00457842        0.00170099
       -3.08261006        1.38845269        0.05050872        1.29617892        0.03673878        0.00379651        0.00122975
       -3.07260005        1.20589713        0.04064156        1.12498121        0.03497361        0.00410139        0.00119936
       -3.06259004        1.02966894        0.03413170        0.95999399        0.03038419        0.00403631        0.00112276
       -3.05258003        1.77026276        0.06290019        1.63519003        0.05996522        0.01017214        0.00203517
       -3.04257002        1.25752222        0.04407604        1.16436031        0.04157734        0.00620044        0.00130808
       -3.03256001        1.34620113        0.05077483        1.24906636        0.03920122        0.00573288        0.00142584
       -3.02255000        1.16559220        0.04479480        1.07844218        0.03575529        0.00543682        0.00116311
       -3.01253999        1.11785506        0.04547838        1.02949271        0.03626597        0.00560185        0.00101615
       -3.00252998        0.59276028        0.02438833        0.54378912        0.02095698        0.00302901        0.00059683
       -2.99251997        0.28632785        0.01008728        0.26188406        0.01246287        0.00152915        0.00036450
       -2.98250996        1.46434549        0.06047653        1.37025018        0.02697838        0.00512942        0.00151098
       -2.97249995        1.25899297        0.03961779        1.18194156        0.03010264        0.00584980        0.00148118
       -2.96248994        1.03976990        0.02737859        0.97173553        0.03289602        0.00625545        0.00150432
       -2.95247993        0.57393314        0.01482700        0.53976889        0.01497162        0.00356225        0.00080338
       -2.94246992        0.38086681        0.00703686        0.35674137        0.01321087        0.00316938        0.00070833
       -2.93245991        0.23436874        0.00129007        0.21737600        0.01211380        0.00295611        0.00063276
       -2.92244990        0.02318492        0.00045635        0.02143947        0.00110281        0.00014945        0.00003684
       -2.91243989        0.04110895        0.00071794        0.03806835        0.00202402        0.00024043        0.00005822
       -2.90242988        0.06278678        0.00098923        0.05820658        0.00317209        0.00033832        0.00008057
       -2.89241987        0.39049091        0.00641788        0.36036038        0.01996961        0.00300314        0.00073989
       -2.88240986        0.51477609        0.00695877        0.47732716        0.02670238        0.00303171        0.00075606
       -2.87239985        0.64156851        0.00783998        0.59599940        0.03393459        0.00306706        0.00072748
       -2.86238984        0.00358578        0.00012848        0.00319528        0.00024179        0.00001790        0.00000233
       -2.85237983        0.04742919        0.00165348        0.04244263        0.00305906        0.00024091        0.00003311
       -2.84236982        0.08827367        0.00298380        0.07935084        0.00541607        0.00045681        0.00006615
       -2.83235981        0.12611921        0.00411943        0.11391990        0.00731283        0.00066560        0.00010145
       -2.82234980        0.16096581        0.00506038        0.14614982        0.00874932        0.00086727        0.00013902
       -2.81233979        0.19281348        0.00580664        0.17604060        0.00972556        0.00106182        0.00017886
       -2.80232978        0.22166222        0.00635822        0.20359224        0.01024154        0.00124926        0.00022095
       -2.79231977        0.24751202        0.00671511        0.22880474        0.01029726        0.00142958        0.00026532
       -2.78230976        0.29583812        0.00712746        0.27530322        0.01126342        0.00177554        0.00036849
       -2.77229975        0.39687857        0.00847931        0.36955818        0.01570318        0.00255036        0.00058754
       -2.76228974        1.04978023        0.02019854        0.97856577        0.04163227        0.00758558        0.00179807
       -2.75227973        1.32883799        0.03247773        1.20804525        0.07677290        0.00958567        0.00195644
       -2.74226972        0.70676720        0.01743259        0.63631576        0.04432069        0.00713280        0.00156535
       -2.73225971        0.53048599        0.01370013        0.48020976        0.02878912        0.00644958        0.00133739
       -2.72224970        0.62912774        0.01719808        0.57194132        0.03041871        0.00817855        0.00139107
       -2.71223969        0.49722404        0.01407842        0.45510270        0.02106124        0.00593714        0.00104453
       -2.70222968        0.39878520        0.01204842        0.36699509        0.01453503        0.00436141        0.00084525
       -2.69221967        0.29608310        0.01076362        0.27368511        0.00835324        0.00271404        0.00056709
       -2.68220966        0.29567673        0.01130728        0.27404088        0.00730582        0.00244092        0.00058183
       -2.67219965        0.28544851        0.01212181        0.26410117        0.00660794        0.00208019        0.00053740
       -2.66218964        0.66924006        0.01701108        0.60674244        0.03561083        0.00714785        0.00272786
       -2.65217963        0.26020996        0.01156884        0.23898239        0.00738551        0.00180305        0.00047017
       -2.64216962        0.17120648        0.00368126        0.15657845        0.00892765        0.00160811        0.00041101
       -2.63215961        0.21398285        0.00571158        0.19429645        0.01138317        0.00209616        0.00049549
       -2.62214960        0.26400788        0.00844495        0.23810766        0.01399539        0.00281571        0.00064417
       -2.61213959        0.31338339        0.01164506        0.28057732        0.01654803        0.00376584        0.00084713
       -2.60212958        0.13134274        0.00230827        0.11945187        0.00764405        0.00151554        0.00042302
       -2.59211957        0.16506143        0.00360791        0.15015036        0.00884862        0.00193467        0.00051987
       -2.58210956        0.19798541        0.00519220        0.18014506        0.00972464        0.00232675        0.00059676
       -2.57209955        0.28370984        0.00881803        0.25743027        0.01328906        0.00337777        0.00079472
       -2.56208954        0.17901850        0.00597421        0.16254325        0.00818030        0.00192683        0.00039392
       -2.55207953        0.36095349        0.01576029        0.32567019        0.01630420        0.00282304        0.00039577
       -2.54206952        0.78218161        0.03265881        0.71527907        0.02795196        0.00524930        0.00104248
       -2.53205951        0.75699252        0.03000947        0.69844211        0.02281809        0.00449380        0.00122905
       -2.52204950        0.64206132        0.02481593        0.58906290        0.02219079        0.00470074        0.00129096
       -2.51203949        0.58999034        0.02226508        0.53694298        0.02371361        0.00562404        0.00144463
       -2.50202948        0.44567858        0.01542993        0.40279270        0.02130145        0.00502657        0.00112792
       -2.49201947        0.20363529        0.00718581        0.18377653        0.01026365        0.00198673        0.00042258
       -2.48200946        0.48468467        0.01995988        0.44686215        0.01385585        0.00318911        0.00081767
       -2.47199945        0.59900662        0.02628068        0.55232951        0.01612406        0.00337461        0.00089776
       -2.46198944        0.90059852        0.05170941        0.82461510        0.01843685        0.00409661        0.00174055
       -2.45197943        0.33167853        0.00849962        0.31233084        0.00875088        0.00164244        0.00045475
       -2.44196942        0.35223271        0.00667604        0.33221916        0.01077196        0.00202827        0.00053727
       -2.43195941        0.53904005        0.00821169        0.50383531        0.02248053        0.00358018        0.00093234
       -2.42194940        0.75710430        0.01702314        0.69620767        0.03729987        0.00514425        0.00142937
       -2.41193939        1.08584496        0.03437339        0.99067296        0.05087805        0.00761477        0.00230580
       -2.40192938        0.65467588        0.02013660        0.60079250        0.02941269        0.00308445        0.00124963
       -2.39191937        0.84433988        0.02084875        0.77663948        0.04066053        0.00469297        0.00149815
       -2.38190936        0.47373453        0.01482779        0.43410554        0.02080409        0.00302457        0.00097255
       -2.37189935        0.56028662        0.02468256        0.50998948        0.02086007        0.00370794        0.00104657
       -2.36188934        0.50408559        0.01536732        0.46022982        0.02400465        0.00343359        0.00105021
       -2.35187933        0.48764579        0.01556786        0.44473447        0.02296500        0.00338091        0.00099756
       -2.34186932        0.46980366        0.01556079        0.42805035        0.02192623        0.00332335        0.00094295
       -2.33185931        0.64388871        0.02154251        0.58624356        0.03043748        0.00443292        0.00123224
       -2.32184930        0.61818675        0.02611856        0.56159011        0.02517115        0.00414531        0.00116161
       -2.31183929        0.59810720        0.02835117        0.54297610        0.02169205        0.00398868        0.00109919
       -2.30182928        0.93816129        0.04149230        0.85109591        0.03741403        0.00649483        0.00166422
       -2.29181927        0.76159405        0.03130496        0.69413607        0.02920229        0.00554270        0.00140803
       -2.28180926        1.26291364        0.05293010        1.16278167        0.03659146        0.00871595        0.00189445
       -2.27179925        1.30445676        0.06014476        1.19119432        0.04146733        0.00945359        0.00219676
       -2.26178924        1.01405279        0.04642451        0.92580607        0.03245255        0.00753867        0.00183098
