#  aims_uuid : B9006528-BDCB-4BA4-A759-540E4FF0079C                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.60704107        0.00499821        0.02678607        0.56112171        0.01413508
       -9.98998999        0.48795548        0.00436841        0.02341295        0.44959481        0.01057931
       -9.97997998        0.45790584        0.00449215        0.02493476        0.41908789        0.00939104
       -9.96996997        0.42784277        0.00459273        0.02588706        0.38908341        0.00827957
       -9.95995996        0.39776627        0.00467015        0.02626984        0.35958138        0.00724491
       -9.94994995        0.36767634        0.00472443        0.02608310        0.33058178        0.00628704
       -9.93993994        0.33757298        0.00475554        0.02532684        0.30208463        0.00540597
       -9.92992993        0.35654833        0.00482433        0.02475235        0.32186626        0.00510538
       -9.91991992        0.67084349        0.00911263        0.04554305        0.60764260        0.00854520
       -9.90990991        0.71844749        0.00909230        0.05284233        0.64633239        0.01018047
       -9.89989990        0.49507473        0.00714293        0.04604082        0.43487842        0.00701256
       -9.88988989        0.43326538        0.00628991        0.04448258        0.37609600        0.00639690
       -9.87987988        0.53681322        0.00776872        0.05783035        0.46161764        0.00959651
       -9.86986987        0.49619028        0.00742823        0.05634310        0.42336902        0.00904993
       -9.85985986        1.34844801        0.03761819        0.25275337        1.02743960        0.03063685
       -9.84984985        0.59270184        0.01027019        0.06882109        0.50389439        0.00971617
       -9.83983984        0.57039697        0.00749131        0.04758813        0.50794418        0.00737335
       -9.82982983        0.53475067        0.00505653        0.03011314        0.49418087        0.00540013
       -9.81981982        1.34386927        0.00374210        0.02287235        1.29706311        0.02019170
       -9.80980981        1.66816383        0.00603515        0.04311333        1.59707107        0.02194429
       -9.79979980        1.91152767        0.01152221        0.09155566        1.78708282        0.02136697
       -9.78978979        0.47067732        0.00409565        0.03327856        0.42795759        0.00534553
       -9.77977978        0.23287066        0.00083004        0.02109690        0.20820067        0.00274306
       -9.76976977        0.85080931        0.00367888        0.07841101        0.74973322        0.01898621
       -9.75975976        1.72831005        0.01403574        0.23397925        1.44943083        0.03086423
       -9.74974975        1.85201554        0.02958094        0.39076026        1.39382064        0.03785370
       -9.73973974        1.28931577        0.01167450        0.19367766        1.06303901        0.02092459
       -9.72972973        0.81421062        0.00288722        0.09936897        0.69867873        0.01327569
       -9.71971972        0.49620590        0.00250920        0.03793924        0.44630110        0.00945635
       -9.70970971        0.51941813        0.00315496        0.04293276        0.46350957        0.00982084
       -9.69969970        0.65859247        0.00380917        0.05036574        0.59321987        0.01119768
       -9.68968969        0.73274433        0.00225851        0.03168600        0.68708029        0.01171954
       -9.67967968        0.71061434        0.00062594        0.00737241        0.69118266        0.01143332
       -9.66966967        0.01121119        0.00073338        0.00182671        0.00849827        0.00015283
       -9.65965966        0.15971651        0.00121804        0.03018038        0.12295038        0.00536769
       -9.64964965        0.45223213        0.00204198        0.06935254        0.36799396        0.01284364
       -9.63963964        0.45615808        0.00349778        0.06713152        0.37383277        0.01169601
       -9.62962963        0.38521056        0.00529901        0.07857542        0.29180065        0.00953548
       -9.61961962        0.33411250        0.00663590        0.08774814        0.23178662        0.00794185
       -9.60960961        0.29335032        0.00748279        0.09354334        0.18565441        0.00666978
       -9.59959960        0.26292401        0.00783969        0.09596104        0.15340401        0.00571927
       -9.58958959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.57957958        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.56956957        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.55955956        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.54954955        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.53953954        0.20648314        0.00510106        0.04287303        0.15241810        0.00609095
       -9.52952953        0.69894900        0.00972991        0.06533678        0.61234455        0.01153777
       -9.51951952        0.72793332        0.00659263        0.03659365        0.67393547        0.01081157
       -9.50950951        1.01058129        0.00667693        0.02998277        0.96063054        0.01329105
       -9.49949950        1.58751406        0.01423577        0.04016573        1.51658166        0.01653090
       -9.48948949        1.18144909        0.00648715        0.02234112        1.13665592        0.01596490
       -9.47947948        1.17153179        0.00386132        0.01610522        1.13311908        0.01844617
       -9.46946947        1.15249160        0.00214932        0.01291639        1.11707660        0.02034929
       -9.45945946        1.31023478        0.00168013        0.01380839        1.26996870        0.02477756
       -9.44944945        1.24640287        0.00298930        0.01693518        1.20240365        0.02407474
       -9.43943944        1.26146413        0.00509910        0.02542648        1.20618602        0.02475253
       -9.42942943        2.33338350        0.01911643        0.09497286        2.17703721        0.04225700
       -9.41941942        1.72315537        0.01255837        0.06903100        1.60779253        0.03377346
       -9.40940941        1.19579544        0.00874901        0.05570165        1.10737095        0.02397382
       -9.39939940        1.26413033        0.00969522        0.07837107        1.15477835        0.02128570
       -9.38938939        0.99509431        0.00697238        0.06446991        0.90551335        0.01813866
       -9.37937938        0.77092132        0.00532229        0.05459442        0.69560557        0.01539904
       -9.36936937        0.59199608        0.00421053        0.04864394        0.52625424        0.01288737
       -9.35935936        0.45690482        0.00333407        0.04635710        0.39628369        0.01092996
       -9.34934935        0.40981572        0.00327765        0.04806386        0.34805037        0.01042383
       -9.33933934        0.43434080        0.00419942        0.06049838        0.35817409        0.01146891
       -9.32932933        0.43980182        0.00478763        0.06534168        0.35805137        0.01162113
       -9.31931932        0.50392554        0.00594979        0.08358217        0.40133234        0.01306123
       -9.30930931        0.55742153        0.00675841        0.09750547        0.43940533        0.01375232
       -9.29929930        0.55205856        0.00676337        0.09551956        0.43727272        0.01250291
       -9.28928929        0.46366528        0.00559529        0.07850656        0.36992987        0.00963355
       -9.27927928        0.40703163        0.00448082        0.06395350        0.33056771        0.00802960
       -9.26926927        0.36995126        0.00346639        0.05053743        0.30901345        0.00693399
       -9.25925926        1.30368415        0.01015553        0.21105687        1.04766671        0.03480503
       -9.24924925        0.53692071        0.00458750        0.04681485        0.47639295        0.00912541
       -9.23923924        0.53704270        0.00492328        0.04205601        0.48219243        0.00787098
       -9.22922923        0.52583825        0.00506108        0.03960150        0.47396592        0.00720975
       -9.21921922        0.50132324        0.00500096        0.03911064        0.45013422        0.00707743
       -9.20920921        0.31814868        0.00263243        0.02820738        0.28078290        0.00652597
       -9.19919920        0.63951283        0.00941909        0.09736782        0.51564288        0.01708305
       -9.18918919        0.82429879        0.01081589        0.12311472        0.66963260        0.02073558
       -9.17917918        0.95503780        0.00984212        0.12832974        0.79456611        0.02229983
       -9.16916917        0.55704333        0.00379809        0.05789278        0.48202932        0.01332314
       -9.15915916        0.40876231        0.00449914        0.06524153        0.32623007        0.01279158
       -9.14914915        0.26643064        0.00334384        0.05551089        0.19869132        0.00888459
       -9.13913914        0.26941219        0.00365009        0.06523695        0.19052278        0.01000237
       -9.12912913        0.56682894        0.00997438        0.17958273        0.34880968        0.02846214
       -9.11911912        0.55284025        0.00937620        0.13607884        0.38117259        0.02621263
       -9.10910911        0.60794634        0.00878614        0.12007716        0.45016405        0.02891899
       -9.09909910        0.85812867        0.00754820        0.11235658        0.70485280        0.03337110
       -9.08908909        1.38333312        0.00833717        0.17759871        1.14722223        0.05017502
       -9.07907908        0.90137304        0.00510369        0.12990789        0.73369195        0.03266951
       -9.06906907        0.68191982        0.00353480        0.09187287        0.56290060        0.02361155
       -9.05905906        0.51077057        0.00261347        0.05963571        0.43188198        0.01663942
       -9.04904905        0.41091198        0.00225474        0.04188220        0.35409374        0.01268130
       -9.03903904        0.36183470        0.00220113        0.03796107        0.31064490        0.01102760
       -9.02902903        0.46801978        0.00298946        0.07418823        0.37511885        0.01572324
       -9.01901902        0.56019751        0.00444690        0.09373544        0.44313096        0.01888422
       -9.00900901        0.47272155        0.00381340        0.07743049        0.37464885        0.01682881
       -8.99899900        0.84707043        0.00609129        0.08623720        0.72920794        0.02553400
       -8.98898899        0.50401108        0.00321529        0.08481360        0.39778708        0.01819511
       -8.97897898        0.52215653        0.00289933        0.10029549        0.40099885        0.01796286
       -8.96896897        0.48533573        0.00320405        0.08299700        0.38193585        0.01719883
       -8.95895896        0.43175365        0.00312348        0.06345577        0.34861617        0.01655823
       -8.94894895        0.24403860        0.00148798        0.03383049        0.19889416        0.00982598
       -8.93893894        0.25310484        0.00150782        0.03533800        0.20600283        0.01025619
       -8.92892893        0.41319029        0.00186284        0.05490620        0.34089802        0.01552322
       -8.91891892        0.52233318        0.00253239        0.07226829        0.42840722        0.01912528
       -8.90890891        0.54054153        0.00295212        0.07823541        0.43996954        0.01938446
       -8.89889890        0.55665732        0.00312957        0.07910848        0.45476842        0.01965085
       -8.88888889        0.69967812        0.00416445        0.10093065        0.57008421        0.02449881
       -8.87887888        0.81717405        0.00332845        0.13652994        0.64943012        0.02788554
       -8.86886887        0.73201151        0.00413403        0.10130234        0.59950434        0.02707080
       -8.85885886        0.80497012        0.00420948        0.11651610        0.65650533        0.02773922
       -8.84884885        0.98162280        0.00307736        0.17159327        0.77150948        0.03544269
       -8.83883884        1.03802387        0.00398643        0.13488793        0.85958529        0.03956422
       -8.82882883        1.52766405        0.00680244        0.21088262        1.24696562        0.06301337
       -8.81881882        1.14367097        0.00592704        0.16019439        0.93005639        0.04749316
       -8.80880881        0.90771977        0.00608173        0.13574357        0.72759997        0.03829450
       -8.79879880        0.99521826        0.00627217        0.33218884        0.61586451        0.04089274
       -8.78878879        0.91157385        0.00784937        0.19621074        0.66359991        0.04391382
       -8.77877878        0.49614527        0.00532026        0.12016490        0.35068771        0.01997239
       -8.76876877        0.81126091        0.00558479        0.14436004        0.62330839        0.03800769
       -8.75875876        0.39729095        0.00583714        0.08201423        0.29426570        0.01517387
       -8.74874875        0.67622250        0.01001826        0.13648592        0.50435249        0.02536583
       -8.73873874        0.61453675        0.01193600        0.13521810        0.44683156        0.02055110
       -8.72872873        0.48852597        0.00782416        0.13792857        0.32590520        0.01686804
       -8.71871872        0.62009136        0.00785428        0.20599716        0.38405755        0.02218238
       -8.70870871        0.59436194        0.00609811        0.17421243        0.39274538        0.02130603
       -8.69869870        0.62793218        0.00604568        0.12909930        0.47006520        0.02272200
       -8.68868869        0.65303687        0.00693859        0.10838225        0.51278913        0.02492689
       -8.67867868        0.61167505        0.00609248        0.12074318        0.46184548        0.02299391
       -8.66866867        0.73002992        0.00654050        0.17570385        0.52036427        0.02742131
       -8.65865866        0.72026152        0.00654631        0.18188016        0.50554249        0.02629256
       -8.64864865        0.62135401        0.00654758        0.10814172        0.48488087        0.02178383
       -8.63863864        0.68195382        0.00605891        0.14580058        0.50675202        0.02334231
       -8.62862863        0.55690791        0.00263528        0.15024278        0.36529551        0.03873434
       -8.61861862        0.69264634        0.00341011        0.12490324        0.52496434        0.03936866
       -8.60860861        1.23190386        0.00582005        0.19221177        0.98126637        0.05260567
       -8.59859860        0.22271693        0.00309917        0.03076575        0.17807036        0.01078166
       -8.58858859        0.31072961        0.00392021        0.05860415        0.23305678        0.01514846
       -8.57857858        0.51516080        0.00402643        0.12630834        0.36247307        0.02235297
       -8.56856857        0.52913040        0.00222602        0.14466115        0.36114493        0.02109830
       -8.55855856        0.17331708        0.00052695        0.01538851        0.14962361        0.00777801
       -8.54854855        1.12952601        0.01035041        0.25818938        0.81143984        0.04954639
       -8.53853854        0.97466690        0.01127960        0.25501764        0.66983101        0.03853865
       -8.52852853        0.00768956        0.00001300        0.00034148        0.00675626        0.00057883
       -8.51851852        0.00993885        0.00002134        0.00057454        0.00860792        0.00073505
       -8.50850851        0.28717424        0.00161039        0.05681134        0.21969729        0.00905522
       -8.49849850        0.12473756        0.00117484        0.02372707        0.09524803        0.00458763
       -8.48848849        0.64306207        0.00520333        0.10973020        0.50303838        0.02509015
       -8.47847848        0.22512478        0.00229763        0.03757979        0.17376273        0.01148463
       -8.46846847        0.34196716        0.00477565        0.07232167        0.24725435        0.01761550
       -8.45845846        0.48366928        0.00735531        0.08674890        0.36987285        0.01969222
       -8.44844845        0.35132954        0.00471426        0.06907067        0.26123258        0.01631203
       -8.43843844        0.33412747        0.00428520        0.06755968        0.24612080        0.01616178
       -8.42842843        0.57219494        0.00657758        0.09582102        0.44333599        0.02646034
       -8.41841842        0.83889407        0.00912016        0.27788621        0.50862853        0.04325917
       -8.40840841        0.71407337        0.00857243        0.17753448        0.49419741        0.03376906
       -8.39839840        0.47607723        0.00522122        0.11385794        0.33262114        0.02437694
       -8.38838839        0.45686098        0.00487411        0.10811695        0.32012871        0.02374122
       -8.37837838        0.35946501        0.00451867        0.08380924        0.25285299        0.01828410
       -8.36836837        0.34556849        0.00459586        0.08081542        0.24278447        0.01737273
       -8.35835836        0.35354661        0.00465018        0.08099041        0.24975931        0.01814671
       -8.34834835        0.36947488        0.00458174        0.08130458        0.26447380        0.01911477
       -8.33833834        0.37958377        0.00457638        0.08031777        0.27524262        0.01944700
