#  aims_uuid : B9006528-BDCB-4BA4-A759-540E4FF0079C                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.896336 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.10366381        0.65079845        0.00189649        0.01139139        0.62526684        0.01224372
       -4.09365380        0.53329105        0.00182443        0.01249515        0.50980760        0.00916387
       -4.08364379        0.50417705        0.00193865        0.01695793        0.47710254        0.00817793
       -4.07363378        0.47353880        0.00204140        0.02047833        0.44377359        0.00724548
       -4.06362377        0.44137628        0.00213269        0.02305636        0.40982073        0.00636651
       -4.05361376        0.40768951        0.00221250        0.02469200        0.37524397        0.00554104
       -4.04360375        0.37247849        0.00228085        0.02538527        0.34004332        0.00476905
       -4.03359374        0.35476808        0.00234892        0.02533639        0.32216776        0.00491501
       -4.02358373        0.54151742        0.00321526        0.04179954        0.48731446        0.00918816
       -4.01357372        0.56151698        0.00306660        0.04710081        0.50135119        0.00999838
       -4.00356371        0.40835966        0.00287000        0.04206691        0.35589413        0.00752862
       -3.99355370        0.35877952        0.00266557        0.04057697        0.30845682        0.00708016
       -3.98354369        0.42070086        0.00326254        0.05435815        0.35421458        0.00886559
       -3.97353368        0.39482211        0.00358611        0.05732487        0.32489731        0.00901382
       -3.96352367        1.45106113        0.01532069        0.23072275        1.17615677        0.02886093
       -3.95351366        0.44865871        0.00444950        0.08134550        0.35142149        0.01144223
       -3.94350365        0.43094151        0.00328509        0.05616402        0.36157984        0.00991256
       -3.93349364        0.40266913        0.00239786        0.03626109        0.35546358        0.00854661
       -3.92348363        0.94238120        0.00201452        0.02591372        0.90015251        0.01430046
       -3.91347362        1.24472575        0.00279387        0.03086839        1.19190457        0.01915892
       -3.90346361        1.47371339        0.00649922        0.04073413        1.39522352        0.03125652
       -3.89345360        0.30880419        0.00463038        0.01062418        0.28070857        0.01284106
       -3.88344359        0.13664255        0.00129825        0.00298055        0.12661834        0.00574541
       -3.87343358        0.72253448        0.00695200        0.03731118        0.64437716        0.03389415
       -3.86342357        1.53964515        0.02840127        0.16514847        1.30625132        0.03984410
       -3.85341356        1.56477989        0.05870508        0.25909269        1.21252514        0.03445699
       -3.84340355        0.90038267        0.01787228        0.10433464        0.75818521        0.01999054
       -3.83339354        0.38388405        0.00218526        0.03328820        0.33609604        0.01231456
       -3.82338353        0.23226610        0.00045377        0.01442753        0.20955067        0.00783413
       -3.81337352        0.27965106        0.00053537        0.01568220        0.25535435        0.00807914
       -3.80336351        0.43057714        0.00077686        0.01935678        0.39928249        0.01116101
       -3.79335350        0.54757248        0.00059724        0.01307183        0.52312422        0.01077918
       -3.78334349        0.57512954        0.00030659        0.00340508        0.56372172        0.00769614
       -3.77333348        0.00725412        0.00021350        0.00058015        0.00623173        0.00022874
       -3.76332347        0.08369309        0.00039041        0.00607129        0.07076427        0.00646713
       -3.75331346        0.16509814        0.00068762        0.01595320        0.13466570        0.01379162
       -3.74330345        0.15164523        0.00110201        0.01910437        0.11894777        0.01249107
       -3.73329344        0.15923255        0.00162976        0.02881431        0.11796969        0.01081879
       -3.72328343        0.16496856        0.00202238        0.03650743        0.11685346        0.00958529
       -3.71327342        0.16632031        0.00227073        0.04192924        0.11357850        0.00854184
       -3.70326341        0.16328780        0.00237482        0.04507975        0.10814480        0.00768842
       -3.69325340        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.68324339        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.67323338        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.66322337        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.65321336        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.64320335        0.14043190        0.00340387        0.06524133        0.06836942        0.00341727
       -3.63319334        0.37494345        0.00682221        0.12789760        0.23146536        0.00875828
       -3.62318333        0.33926029        0.00439822        0.08719752        0.23915268        0.00851187
       -3.61317332        0.46460315        0.00372270        0.05497535        0.39249492        0.01341018
       -3.60316331        0.73176541        0.00822182        0.08145707        0.61967871        0.02240780
       -3.59315330        0.55153838        0.00398215        0.04687561        0.48554504        0.01513558
       -3.58314329        0.54998229        0.00251155        0.03321158        0.49959186        0.01466730
       -3.57313328        0.55522945        0.00151106        0.02378898        0.51547043        0.01445898
       -3.56312327        0.66793339        0.00120204        0.02260924        0.62676216        0.01735995
       -3.55311326        0.65921277        0.00134356        0.03304910        0.60587551        0.01894460
       -3.54310325        0.70892069        0.00191669        0.05302826        0.63241590        0.02155985
       -3.53309324        1.40191893        0.00680879        0.19561455        1.15724344        0.04225215
       -3.52308323        1.13857155        0.00518557        0.13083799        0.96882129        0.03372670
       -3.51307322        0.83447044        0.00448149        0.09382976        0.71211217        0.02404702
       -3.50306321        0.75902308        0.00850972        0.10893405        0.61861250        0.02296680
       -3.49305320        0.64662510        0.00681943        0.08242935        0.53840863        0.01896769
       -3.48304319        0.53415666        0.00563812        0.06550348        0.44702092        0.01599415
       -3.47303318        0.42466932        0.00495622        0.05367175        0.35231143        0.01372992
       -3.46302317        0.34033593        0.00471978        0.04444437        0.27908459        0.01208718
       -3.45301316        0.31824284        0.00482281        0.04409825        0.25747929        0.01184249
       -3.44300315        0.36273761        0.00548171        0.05484540        0.28901152        0.01339898
       -3.43299314        0.38658061        0.00629643        0.05437711        0.31197313        0.01393395
       -3.42298313        0.47480580        0.00843713        0.06708852        0.38335611        0.01592403
       -3.41297312        0.55831427        0.01035371        0.07824542        0.45233396        0.01738118
       -3.40296311        0.55713979        0.01131435        0.07734941        0.45105213        0.01742390
       -3.39295310        0.46503744        0.00986469        0.06796961        0.37202372        0.01517942
       -3.38294309        0.39613115        0.00833111        0.05970138        0.31467697        0.01342168
       -3.37293308        0.35086460        0.00676477        0.05446425        0.27800648        0.01162910
       -3.36292307        1.85920489        0.02380511        0.23836710        1.54965234        0.04738034
       -3.35291306        0.60062094        0.00808423        0.07682234        0.49908241        0.01663196
       -3.34290305        0.55108571        0.00896879        0.07589665        0.44946360        0.01675667
       -3.33289304        0.50766893        0.00943405        0.07434059        0.40733587        0.01655843
       -3.32288303        0.46805182        0.00948011        0.07208758        0.37052456        0.01595958
       -3.31287302        0.29576861        0.00387949        0.04374723        0.24004646        0.00809543
       -3.30286301        0.68381652        0.01030025        0.11155296        0.54271734        0.01924597
       -3.29285300        0.80024668        0.00869107        0.11837982        0.65278060        0.02039519
       -3.28284299        0.82049244        0.00559255        0.10726700        0.68852944        0.01910345
       -3.27283298        0.55182295        0.00309533        0.05580990        0.48010613        0.01281159
       -3.26282297        0.67138810        0.00216308        0.05776507        0.59496911        0.01649085
       -3.25281296        0.32537728        0.00175793        0.04315210        0.27122711        0.00924014
       -3.24280295        0.37395580        0.00169422        0.04679719        0.31483468        0.01062971
       -3.23279294        0.90376233        0.00554368        0.12965565        0.74242295        0.02614006
       -3.22278293        0.89921088        0.00393077        0.10703116        0.76566145        0.02258750
       -3.21277292        1.03593411        0.00381415        0.10249995        0.90545124        0.02416877
       -3.20276291        1.29817710        0.00306674        0.09903897        1.16914815        0.02692324
       -3.19275290        1.87697219        0.00558655        0.14505940        1.68378375        0.04254250
       -3.18274289        1.17609898        0.00451453        0.09520310        1.04728981        0.02909154
       -3.17273288        0.86816383        0.00328999        0.07516007        0.76755178        0.02216199
       -3.16272287        0.61904168        0.00252566        0.06042847        0.53974695        0.01634061
       -3.15271286        0.46720302        0.00219871        0.05273262        0.39966766        0.01260404
       -3.14270285        0.38898845        0.00214580        0.04983388        0.32643324        0.01057553
       -3.13269284        0.59504126        0.00281061        0.08787411        0.49029706        0.01405948
       -3.12268283        0.64026374        0.00427259        0.10672931        0.51432246        0.01493938
       -3.11267282        0.54833207        0.00378450        0.08525592        0.44617873        0.01311292
       -3.10266281        0.85934464        0.00767135        0.15193727        0.67760197        0.02213405
       -3.09265280        0.61573155        0.00378839        0.07925497        0.51574797        0.01694021
       -3.08264279        0.63605391        0.00238363        0.08244198        0.53223858        0.01898972
       -3.07263278        0.62717814        0.00202320        0.07661530        0.53030458        0.01823506
       -3.06262277        0.62675983        0.00141595        0.06949074        0.53843796        0.01741519
       -3.05261275        0.38131499        0.00076737        0.04559946        0.32354946        0.01139870
       -3.04260274        0.38716926        0.00095675        0.04950640        0.32484144        0.01186467
       -3.03259273        0.51896661        0.00138389        0.06632891        0.43360851        0.01764530
       -3.02258272        0.61173612        0.00223727        0.08989396        0.49892883        0.02067607
       -3.01257271        0.61661896        0.00275621        0.09591206        0.49840750        0.01954320
       -3.00256270        0.61784889        0.00307179        0.09079132        0.50563471        0.01835106
       -2.99255269        0.76999856        0.00511182        0.11247678        0.62905819        0.02335177
       -2.98254268        0.89691537        0.00378949        0.12205288        0.74177482        0.02929817
       -2.97253267        0.87964525        0.00607119        0.13172181        0.71907473        0.02277751
       -2.96252266        0.89117131        0.00628994        0.12650992        0.73678277        0.02158868
       -2.95251265        1.15014821        0.00422601        0.15256062        0.95638067        0.03698092
       -2.94250264        1.30155949        0.00615009        0.18210973        1.07553987        0.03775980
       -2.93249263        1.99685877        0.00928026        0.27528488        1.65363370        0.05865993
       -2.92248262        1.47502215        0.00698821        0.22585684        1.19262662        0.04955048
       -2.91247261        1.08766573        0.00666922        0.21559185        0.82220315        0.04320151
       -2.90246260        1.38614506        0.00465893        0.20909954        1.09429306        0.07809353
       -2.89245259        1.16258247        0.00465393        0.16793027        0.93626008        0.05373819
       -2.88244258        0.77830720        0.00180516        0.08711734        0.65638675        0.03299795
       -2.87243257        1.09649796        0.00401965        0.13433665        0.91850966        0.03963200
       -2.86242256        0.39282852        0.00237636        0.05664114        0.31613338        0.01767764
       -2.85241255        0.54183212        0.00382704        0.07348180        0.44137707        0.02314621
       -2.84240254        0.51849154        0.00371473        0.05223448        0.44174487        0.02079747
       -2.83239253        0.44927315        0.00462685        0.04879724        0.37662764        0.01922141
       -2.82238252        0.55311980        0.00747331        0.06299540        0.45769046        0.02496063
       -2.81237251        0.48114630        0.00542202        0.05380628        0.40066449        0.02125350
       -2.80236250        0.50411945        0.00286524        0.06009897        0.42075914        0.02039610
       -2.79235249        0.54637522        0.00171304        0.07440816        0.44823809        0.02201592
       -2.78234248        0.56558047        0.00193280        0.07368628        0.46806361        0.02189778
       -2.77233247        0.75144905        0.00294656        0.09604272        0.62375085        0.02870891
       -2.76232246        0.79497533        0.00277502        0.09813066        0.66455362        0.02951603
       -2.75231245        0.56432137        0.00210952        0.06974297        0.47288473        0.01958414
       -2.74230244        0.59102045        0.00395501        0.08167429        0.48433862        0.02105253
       -2.73229243        0.50490296        0.00236066        0.08305746        0.38937035        0.03011450
       -2.72228242        0.68236443        0.00415483        0.13050593        0.51747105        0.03023261
       -2.71227241        0.93687911        0.00946735        0.18007732        0.70991226        0.03742218
       -2.70226240        0.23575238        0.00005268        0.03210884        0.19441652        0.00917434
       -2.69225239        0.30977500        0.00030589        0.04906305        0.24659960        0.01380646
       -2.68224238        0.40284428        0.00161752        0.06475158        0.31536247        0.02111270
       -2.67223237        0.41256833        0.00139918        0.03937080        0.35116898        0.02062937
       -2.66222236        0.16398021       -0.00001639        0.00545207        0.15386780        0.00467673
       -2.65221235        0.68667418        0.01242244        0.09154364        0.54576253        0.03694558
       -2.64220234        0.61612441        0.01023485        0.14183507        0.42260151        0.04145297
       -2.63219233        0.00381045        0.00001687        0.00095496        0.00273409        0.00010454
       -2.62218232        0.00504059        0.00002786        0.00131507        0.00353976        0.00015790
       -2.61217231        0.14995852        0.00204483        0.04249204        0.09910962        0.00631203
       -2.60216230        0.07286200        0.00107603        0.02190344        0.04662731        0.00325522
       -2.59215229        0.36493112        0.00725340        0.13063080        0.20686832        0.02017861
       -2.58214228        0.16173331        0.00228384        0.05540124        0.09674760        0.00730064
       -2.57213227        0.25413400        0.00343487        0.08445549        0.15474371        0.01149992
       -2.56212226        0.30915465        0.00473653        0.10919577        0.17852969        0.01669266
       -2.55211225        0.23397474        0.00347649        0.08037921        0.13724770        0.01287135
       -2.54210224        0.22381421        0.00328524        0.07636513        0.13139554        0.01276830
       -2.53209223        0.40396739        0.00499723        0.14579861        0.23018243        0.02298912
       -2.52208222        0.58656225        0.00563674        0.18378298        0.35958083        0.03756170
       -2.51207221        0.45376800        0.00655421        0.14725506        0.26997006        0.02998866
       -2.50206220        0.32659204        0.00421660        0.10682467        0.19442491        0.02112587
       -2.49205219        0.31314829        0.00411200        0.10138504        0.18694770        0.02070354
       -2.48204218        0.24665203        0.00296004        0.07710014        0.15019909        0.01639276
       -2.47203217        0.23932493        0.00263003        0.07385119        0.14675028        0.01609342
       -2.46202216        0.25108048        0.00260778        0.07849510        0.15272650        0.01725111
       -2.45201215        0.27006210        0.00261374        0.08677326        0.16147088        0.01920421
       -2.44200214        0.28475149        0.00270321        0.09621971        0.16492160        0.02090698
       -2.43199213        0.23828224        0.00267115        0.07676944        0.14144423        0.01739742
       -2.42198212        0.25727897        0.00286145        0.08499621        0.15066969        0.01875163
       -2.41197211        0.27851921        0.00307333        0.09386387        0.16134482        0.02023719
       -2.40196210        0.30305422        0.00332151        0.10385220        0.17391624        0.02196426
       -2.39195209        0.31590595        0.00338221        0.11196769        0.17747671        0.02307935
       -2.38194208        0.33712537        0.00354098        0.12236324        0.18649112        0.02473005
       -2.37193207        0.31711726        0.00284592        0.12197592        0.16831136        0.02398406
       -2.36192206        0.33088911        0.00279571        0.13067751        0.17210014        0.02531575
       -2.35191205        0.31535162        0.00237319        0.13045680        0.15780114        0.02472049
       -2.34190204        0.28801908        0.00208841        0.11883829        0.14413057        0.02296181
       -2.33189203        0.36489214        0.00259166        0.12806747        0.20700497        0.02722805
       -2.32188202        0.46290351        0.00261563        0.15742256        0.27038879        0.03247653
       -2.31187201        0.33886732        0.00174342        0.12548630        0.18604230        0.02559530
       -2.30186200        0.35421789        0.00152330        0.13772871        0.18808920        0.02687667
       -2.29185199        0.27914828        0.00107952        0.12111995        0.13405046        0.02289835
       -2.28184198        0.29152817        0.00104456        0.12957944        0.13530640        0.02559777
       -2.27183197        0.31115755        0.00105467        0.13808607        0.14231846        0.02969834
       -2.26182196        0.27985381        0.00109628        0.11803958        0.13539839        0.02531957
       -2.25181195        0.26801829        0.00118049        0.10691912        0.13694464        0.02297405
       -2.24180194        0.32283277        0.00158716        0.12443159        0.16903993        0.02777410
       -2.23179193        0.33644959        0.00175522        0.11677353        0.19035535        0.02756549
       -2.22178192        0.31132677        0.00170725        0.10261653        0.18259698        0.02440601
       -2.21177191        0.22016959        0.00126488        0.08124932        0.11932421        0.01833118
       -2.20176190        0.19502453        0.00132357        0.07617658        0.10126713        0.01625725
       -2.19175189        0.51903085        0.00425960        0.18470579        0.28348161        0.04658385
       -2.18174188        0.44535703        0.00576694        0.12950781        0.28405465        0.02602762
       -2.17173187        0.17974136        0.00160857        0.05675223        0.10667133        0.01470923
       -2.16172186        0.13289540        0.00083816        0.03910052        0.07988229        0.01307443
       -2.15171185        0.12294694        0.00043288        0.03991077        0.06936928        0.01323401
       -2.14170184        0.14200318        0.00034745        0.05427108        0.07232114        0.01506351
       -2.13169183        0.25785553        0.00065678        0.09699497        0.13713154        0.02307224
       -2.12168182        0.28631175        0.00057589        0.11868934        0.13974833        0.02729820
       -2.11167181        0.28866073        0.00061992        0.10160455        0.15711037        0.02932590
       -2.10166180        0.28311080        0.00057251        0.08296568        0.17187495        0.02769765
       -2.09165179        0.52839614        0.00065233        0.19832645        0.27083055        0.05858681
       -2.08164178        0.31961600        0.00108220        0.09677120        0.19698596        0.02477665
       -2.07163177        0.19847291        0.00060617        0.06129187        0.11954936        0.01702552
       -2.06162176        0.10671942        0.00029024        0.03207266        0.06401045        0.01034608
       -2.05161175        0.03279672        0.00007493        0.00950576        0.01956330        0.00365272
       -2.04160174        0.18786581        0.00024167        0.09950199        0.06302240        0.02509975
       -2.03159173        0.27045653        0.00037547        0.13352704        0.10255950        0.03399453
       -2.02158172        0.21697901        0.00033379        0.09484715        0.09727834        0.02451972
       -2.01157171        0.04626131        0.00004857        0.02030823        0.02016357        0.00574094
       -2.00156170        1.21328639        0.00121539        0.57875854        0.48681900        0.14649346
       -1.99155169        0.34221959        0.00035896        0.14102655        0.16471840        0.03611568
       -1.98154168        0.30491330        0.00039523        0.10309202        0.17374500        0.02768104
       -1.97153167        0.19641611        0.00036998        0.05050589        0.13229138        0.01324887
       -1.96152166        0.22009077        0.00042983        0.06394205        0.13979557        0.01592332
       -1.95151165        0.24275468        0.00047924        0.07892008        0.14433822        0.01901715
       -1.94150164        0.13817008        0.00034069        0.04731844        0.07881367        0.01169728
       -1.93149163        0.14037715        0.00044912        0.05876861        0.06862876        0.01253065
       -1.92148162        0.03715516        0.00039630        0.00816472        0.02490814        0.00368600
       -1.91147161        0.04306259        0.00050585        0.00925424        0.02910942        0.00419309
       -1.90146160        0.09207601        0.00126971        0.01934488        0.06264944        0.00881198
       -1.89145159        0.03337475        0.00037668        0.00696003        0.02285164        0.00318640
       -1.88144158        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -1.87143157        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -1.86142156        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -1.85141155        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -1.84140154        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -1.83139153        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -1.82138152        2.89271484        0.05478576        0.13884129        2.68298385        0.01610394
       -1.81137151        1.78789046        0.03250339        0.08621192        1.65881419        0.01036097
       -1.80136150        1.68947166        0.02469514        0.06129168        1.59185796        0.01162689
       -1.79135149        0.02239050        0.00070571        0.00255771        0.01898121        0.00014587
       -1.78134148        1.03912968        0.01700053        0.03723281        0.97782249        0.00707384
       -1.77133147        1.44779798        0.02333885        0.05985703        1.35389598        0.01070612
       -1.76132146        2.64415627        0.03693283        0.12925756        2.45687579        0.02109009
       -1.75131145        2.73787980        0.02875522        0.14792855        2.53443552        0.02676051
       -1.74130144        1.82087815        0.01801652        0.04064277        1.74391550        0.01830336
       -1.73129143        1.67627047        0.01882790        0.04102014        1.60162583        0.01479660
       -1.72128142        1.64645518        0.02325717        0.04953594        1.55976171        0.01390036
       -1.71127141        3.80888300        0.04828135        0.11683387        3.60997672        0.03379106
       -1.70126140        0.79543630        0.00684015        0.06332953        0.71133923        0.01392738
       -1.69125139        0.30802458        0.00365577        0.02056765        0.28023916        0.00356200
       -1.68124138        1.99835551        0.01897963        0.07911095        1.88194513        0.01831980
       -1.67123137        1.94175198        0.02091116        0.06447132        1.83982399        0.01654551
       -1.66122136        3.52309034        0.04592822        0.11104548        3.33152535        0.03459129
       -1.65121135        2.09198228        0.03600014        0.07500176        1.95463177        0.02634862
       -1.64120134        0.22789774        0.00224911        0.00709705        0.21592371        0.00262788
       -1.63119133        0.27452994        0.00364140        0.01116936        0.25649096        0.00322822
       -1.62118132        1.09422486        0.01552705        0.03663615        1.02992410        0.01213756
       -1.61117131        2.49945466        0.04089806        0.10815832        2.32012687        0.03027141
       -1.60116130        1.12155544        0.02281953        0.07897554        1.00569464        0.01406573
       -1.59115129        0.89793907        0.01356012        0.06710578        0.80572454        0.01154864
       -1.58114128        0.80228594        0.00762690        0.05097413        0.73411587        0.00956903
       -1.57113127        1.62181103        0.00736168        0.08159842        1.51615650        0.01669443
       -1.56112126        1.26080876        0.00758321        0.08094023        1.15809759        0.01418772
       -1.55111125        0.84849870        0.00431658        0.04842736        0.78390399        0.01185076
       -1.54110124        1.37891976        0.00493671        0.10575690        1.24858812        0.01963803
       -1.53109123        3.22416633        0.00540886        0.29142223        2.88645507        0.04088017
       -1.52108122        3.07230893        0.01081934        0.26671657        2.76063864        0.03413438
       -1.51107121        1.25283309        0.00252128        0.12181292        1.11686462        0.01163427
       -1.50106120        2.26194122        0.01572319        0.13520176        2.09019629        0.02081998
       -1.49105119        2.57054118        0.01575420        0.15961235        2.37064371        0.02453093
       -1.48104118        2.75685750        0.00962033        0.24303572        2.47628864        0.02791281
       -1.47103117        1.60594828        0.00054310        0.09042872        1.49812774        0.01684871
       -1.46102116        1.59371065       -0.00168699        0.08362877        1.49337612        0.01839275
       -1.45101115        2.33537407        0.00478923        0.07473996        2.22932604        0.02651884
       -1.44100114        2.11612610        0.00939968        0.06235178        2.01949706        0.02487758
       -1.43099113        2.00358411        0.00931176        0.06864058        1.89951178        0.02612000
       -1.42098112        0.77579164        0.00084049        0.04328727        0.72125829        0.01040560
       -1.41097111        0.12914388       -0.00063259        0.00124852        0.12768542        0.00084253
       -1.40096110        1.30645893       -0.01017421        0.05853423        1.24229006        0.01580885
       -1.39095109        1.04320291       -0.00172732        0.06253334        0.96909623        0.01330067
       -1.38094108        0.09416802       -0.00067062        0.00369565        0.08974638        0.00139660
       -1.37093107        1.30610698        0.00297683        0.02139273        1.26938618        0.01235123
       -1.36092106        2.16324849        0.00567428        0.04612293        2.08826067        0.02319062
       -1.35091105        2.47855503        0.01796754        0.05401952        2.38071913        0.02584884
       -1.34090104        0.13088322       -0.00010717        0.00234751        0.12729109        0.00135178
       -1.33089103        0.63092413        0.00255026        0.01584473        0.60436044        0.00816871
       -1.32088102        1.28044664        0.00913965        0.03618041        1.21746456        0.01766201
       -1.31087101        1.25907886        0.01056411        0.03671612        1.19350443        0.01829419
       -1.30086100        1.07885622        0.01068936        0.03308834        1.01807978        0.01699873
       -1.29085099        0.57282609        0.00758757        0.02243210        0.53472247        0.00808394
       -1.28084098        0.48690913        0.00663385        0.01914993        0.45498671        0.00613863
       -1.27083097        0.73690092        0.00461217        0.04177658        0.68005162        0.01046056
       -1.26082096        0.94966597        0.00965974        0.04138646        0.88644043        0.01217935
       -1.25081095        0.97082811        0.01903685        0.03534685        0.90268591        0.01375850
       -1.24080094        1.31980058        0.02884246        0.03733645        1.23290389        0.02071777
       -1.23079093        0.57488404        0.00700798        0.01097303        0.54833646        0.00856657
       -1.22078092        1.30109187        0.01375139        0.04723974        1.21792602        0.02217471
       -1.21077091        1.49356718        0.01835470        0.05618853        1.39402650        0.02499745
       -1.20076090        1.12107450        0.01429635        0.04784027        1.04292790        0.01600998
       -1.19075089        0.41663900        0.00638288        0.01342857        0.38898655        0.00784100
       -1.18074088        0.46650758        0.00650251        0.01676003        0.43533619        0.00790886
       -1.17073087        0.64907032        0.00813958        0.03568764        0.59444878        0.01079433
       -1.16072086        0.50475305        0.00979976        0.02396044        0.46298431        0.00800854
       -1.15071085        0.46996575        0.01291382        0.01153476        0.43917240        0.00634477
       -1.14070084        0.01141761        0.00039977        0.00326729        0.00762120        0.00012935
       -1.13069083        0.06798087        0.00125799        0.00993823        0.05575049        0.00103416
       -1.12068082        0.16569983        0.00197264        0.01495106        0.14599815        0.00277797
       -1.11067081        0.30457449        0.00254371        0.01830580        0.27836418        0.00536080
       -1.10066080        3.31925686        0.02255863        0.11227861        3.12699854        0.05742108
       -1.09065079        0.92308935        0.00631252        0.00565818        0.89757272        0.01354594
       -1.08064078        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -1.07063077        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -1.06062076        0.69337831        0.00348248        0.00809927        0.66779513        0.01400143
       -1.05061075        1.61693752        0.00859186        0.02270943        1.55474414        0.03089208
       -1.04060074        2.93515720        0.00984748        0.04491048        2.82713383        0.05326541
       -1.03059073        0.87681676        0.00365355        0.00822234        0.84830741        0.01663346
       -1.02058072        0.64440996        0.01441686        0.00455620        0.62019897        0.00523794
       -1.01057071        0.65012536        0.01220344        0.00483175        0.62657687        0.00651329
