#  aims_uuid : B9006528-BDCB-4BA4-A759-540E4FF0079C                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.896336 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.10366381        0.44561179        0.00396257        0.41539723        0.02204143        0.00421056
       -4.09365380        0.36788811        0.00331090        0.34216378        0.01882943        0.00358400
       -4.08364379        0.34045090        0.00322225        0.31543368        0.01833992        0.00345504
       -4.07363378        0.31295546        0.00309867        0.28881894        0.01772656        0.00331130
       -4.06362377        0.28540180        0.00294015        0.26231953        0.01698934        0.00315278
       -4.05361376        0.25778991        0.00274669        0.23593548        0.01612826        0.00297948
       -4.04360375        0.23011980        0.00251830        0.20966676        0.01514334        0.00279140
       -4.03359374        0.21755990        0.00237789        0.19745070        0.01496252        0.00276879
       -4.02358373        0.33568765        0.00353065        0.30207183        0.02564838        0.00443679
       -4.01357372        0.37172630        0.00446033        0.33441370        0.02841039        0.00444188
       -4.00356371        0.27376252        0.00350080        0.24622324        0.02076352        0.00327495
       -3.99355370        0.24766784        0.00334635        0.22292863        0.01854631        0.00284656
       -3.98354369        0.36508170        0.00423536        0.33102411        0.02629170        0.00353053
       -3.97353368        0.34714136        0.00410184        0.31453154        0.02517099        0.00333700
       -3.96352367        1.15886641        0.01668691        1.04392444        0.08733274        0.01092232
       -3.95351366        0.42067371        0.00345614        0.38055582        0.03237123        0.00429052
       -3.94350365        0.36237434        0.00269643        0.32872137        0.02681169        0.00414485
       -3.93349364        0.30683732        0.00205606        0.27917396        0.02171773        0.00388957
       -3.92348363        0.53590567        0.01127087        0.48077473        0.03729829        0.00656177
       -3.91347362        0.72593997        0.01221621        0.65412011        0.05062008        0.00898356
       -3.90346361        0.95788049        0.01054901        0.86914897        0.06653390        0.01164860
       -3.89345360        0.25432689        0.00238408        0.23129621        0.01750096        0.00314564
       -3.88344359        0.11488425        0.00088699        0.10562093        0.00717433        0.00120200
       -3.87343358        0.54254576        0.00508709        0.50486739        0.02804758        0.00454370
       -3.86342357        1.06974362        0.01298539        0.97772559        0.06754614        0.01148650
       -3.85341356        1.29474779        0.02019404        1.17616599        0.08555475        0.01283302
       -3.84340355        0.66929847        0.00864599        0.60872418        0.04458191        0.00734639
       -3.83339354        0.38472093        0.00436378        0.35387123        0.02254172        0.00394420
       -3.82338353        0.22000066        0.00275780        0.19962375        0.01536893        0.00225018
       -3.81337352        0.23491324        0.00293910        0.21012980        0.01924776        0.00259659
       -3.80336351        0.36018289        0.00401128        0.32512791        0.02723496        0.00380875
       -3.79335350        0.43977543        0.00429797        0.40275618        0.02868807        0.00403321
       -3.78334349        0.42949388        0.00375924        0.39623717        0.02604208        0.00345539
       -3.77333348        0.01459059        0.00002423        0.01303087        0.00135835        0.00017713
       -3.76332347        0.11212788        0.00031937        0.10090165        0.00935551        0.00155135
       -3.75331346        0.21690387        0.00062286        0.19184913        0.02118340        0.00324848
       -3.74330345        0.18357009        0.00066313        0.15636509        0.02347308        0.00306879
