#  aims_uuid : B9006528-BDCB-4BA4-A759-540E4FF0079C                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.41553287        0.00651700        0.38630209        0.01889173        0.00382206
       -9.98998999        0.33277674        0.00519860        0.30746352        0.01685965        0.00325496
       -9.97997998        0.31413613        0.00466608        0.28878326        0.01747178        0.00321501
       -9.96996997        0.29442574        0.00412197        0.26935109        0.01780570        0.00314698
       -9.95995996        0.27364557        0.00356625        0.24916702        0.01786144        0.00305086
       -9.94994995        0.25179563        0.00299894        0.22823104        0.01763898        0.00292667
       -9.93993994        0.22887590        0.00242003        0.20654315        0.01713832        0.00277439
       -9.92992993        0.22673890        0.00207986        0.20457354        0.01729784        0.00278767
       -9.91991992        0.37637785        0.00288573        0.34154019        0.02749586        0.00445606
       -9.90990991        0.41065085        0.00391665        0.37351534        0.02869152        0.00452734
       -9.89989990        0.29578227        0.00292640        0.26816252        0.02147957        0.00321379
       -9.88988989        0.26551535        0.00282839        0.24062651        0.01929054        0.00276993
       -9.87987988        0.34182948        0.00513265        0.30702408        0.02618959        0.00348316
       -9.86986987        0.32581872        0.00489852        0.29163783        0.02604243        0.00323995
       -9.85985986        1.33107681        0.01384340        1.19698148        0.10859421        0.01165773
       -9.84984985        0.35985528        0.00488118        0.31787675        0.03333452        0.00376282
       -9.83983984        0.29455351        0.00376985        0.26035623        0.02685947        0.00356796
       -9.82982983        0.23584804        0.00281546        0.20847939        0.02126162        0.00329156
       -9.81981982        0.61190777        0.00596112        0.55810539        0.04210632        0.00573494
       -9.80980981        0.80024610        0.00675671        0.73162429        0.05354403        0.00832106
       -9.79979980        0.94829185        0.00711750        0.86679299        0.06367922        0.01070214
       -9.78978979        0.21276199        0.00245273        0.19503373        0.01312522        0.00215030
       -9.77977978        0.10177948        0.00178759        0.09441223        0.00483261        0.00074704
       -9.76976977        0.59704966        0.00510809        0.55967063        0.02811825        0.00415269
