#  aims_uuid : 40D1F579-8B5D-4976-A69D-9BA42D048164                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000       19.70309400        0.24286185       18.29475476        0.98481302        0.18066437
       -9.98998999       15.04594464        0.18890798       13.91056073        0.80100203        0.14547389
       -9.97997998       14.07454045        0.17807174       12.97479311        0.78059941        0.14107619
       -9.96996997       13.10595723        0.16698730       12.04595737        0.75675790        0.13625465
       -9.95995996       12.14019497        0.15565468       11.12405352        0.72947749        0.13100927
       -9.94994995       11.17725367        0.14407386       10.20908156        0.69875818        0.12534006
       -9.93993994       10.21713333        0.13224486        9.30104149        0.66459998        0.11924700
       -9.92992993        9.40129688        0.12449330        8.52770437        0.63559470        0.11350452
       -9.91991992       27.59007163        0.25140937       25.15811281        1.85620753        0.32434191
       -9.90990991       42.72671368        0.48569752       38.74923231        3.09115282        0.40063103
       -9.89989990       16.87294267        0.20729107       15.32865424        1.15432035        0.18267701
       -9.88988989       14.37669988        0.18359977       13.08599004        0.96444078        0.14266929
       -9.87987988       24.87826764        0.29504678       22.65482310        1.72479857        0.20359920
       -9.86986987       24.48000584        0.28263725       22.25947478        1.74350287        0.19439095
       -9.85985986       37.23743457        0.56542914       33.69701223        2.66506347        0.30992973
       -9.84984985       30.84283368        0.45267748       27.92656582        2.19419283        0.26939755
       -9.83983984       20.72095375        0.23985321       18.79361671        1.48238225        0.20510159
       -9.82982983       22.09561581        0.30531629       20.09400401        1.46664014        0.22965536
       -9.81981982       45.29006459        0.57327080       41.45769121        2.83796865        0.42113392
       -9.80980981       35.42258197        0.46490335       32.17048369        2.41189616        0.37529879
       -9.79979980       45.75810793        0.58929174       41.91528566        2.79401344        0.45951709
       -9.78978979       19.64577750        0.31283924       18.16807171        1.01625502        0.14861153
       -9.77977978       12.46571134        0.22033967       11.44392615        0.71404406        0.08740146
       -9.76976977       62.95181281        0.95640317       58.45493605        3.11302213        0.42745145
       -9.75975976       69.12067280        1.62161003       62.72359311        4.12355394        0.65191572
       -9.74974975       42.93277204        1.50935234       39.29603818        1.76233110        0.36505041
       -9.73973974       43.62651553        1.96586667       39.99145676        1.41237714        0.25681497
       -9.72972973       50.57392960        2.66928722       46.35604934        1.33938143        0.20921161
       -9.71971972       21.84531763        0.46684091       20.21280596        1.00693062        0.15874014
       -9.70970971       16.13178080        0.27336702       14.85130336        0.87398389        0.13312654
       -9.69969970       19.63078879        0.26712055       18.03195526        1.15955251        0.17216047
       -9.68968969       19.59263222        0.19603120       18.02446179        1.19549509        0.17664415
       -9.67967968       16.96790635        0.11750014       15.63455917        1.06037359        0.15547344
       -9.66966967        1.17359921        0.01928503        1.05635694        0.08926187        0.00869537
       -9.65965966       25.38507863        0.94724305       23.54184848        0.76547490        0.13051220
       -9.64964965       21.86864594        0.66453469       20.22948869        0.84488697        0.12973559
       -9.63963964       18.86412639        0.47294781       17.34441672        0.92341447        0.12334739
       -9.62962963       17.26540538        0.36736360       15.74477717        1.03290014        0.12036446
       -9.61961962       15.84193380        0.27799646       14.33459471        1.11214695        0.11719568
       -9.60960961       14.40258112        0.19989671       12.93709687        1.15298052        0.11260703
       -9.59959960       12.94734735        0.13306433       11.55228366        1.15540083        0.10659853
       -9.58958959       11.47623248        0.07749934       10.18015507        1.11940790        0.09917017
       -9.57957958        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.56956957        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.55955956        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.54954955        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.53953954        8.87419749        0.09698072        8.03758050        0.66267756        0.07695871
       -9.52952953       16.19220248        0.14046736       14.66863625        1.20078380        0.18231507
       -9.51951952       21.69912484        0.12720391       19.66234506        1.59517705        0.31439882
       -9.50950951       35.33435851        0.17734184       32.00423274        2.57987945        0.57290449
       -9.49949950       25.55312854        0.17170964       23.21382861        1.80325896        0.36433133
       -9.48948949       21.34846234        0.13865964       19.45109451        1.47966765        0.27904054
       -9.47947948       21.88905120        0.14478194       20.01291799        1.47943804        0.25191323
       -9.46946947       23.13224350        0.16392391       21.21647411        1.51815790        0.23368758
       -9.45945946       29.64522213        0.23120250       27.27059699        1.87565814        0.26776450
       -9.44944945       28.47032425        0.22824081       26.22034856        1.76959253        0.25214235
       -9.43943944       53.08592037        0.42880379       48.49725935        3.70322378        0.45663345
       -9.42942943       49.96663618        0.41540515       45.85289691        3.19633208        0.50200205
       -9.41941942       38.48708252        0.34344231       35.45047679        2.29299729        0.40016613
       -9.40940941       29.28515063        0.24019465       26.95862747        1.76404400        0.32228451
       -9.39939940       30.35835096        0.17167205       27.78066284        2.02357812        0.38243795
       -9.38938939       26.87643028        0.17172000       24.63621664        1.74740712        0.32108652
       -9.37937938       23.28555783        0.17354679       21.39181615        1.45677204        0.26342285
       -9.36936937       20.26236758        0.17830164       18.65990281        1.20820560        0.21595752
       -9.35935936       18.70637635        0.18525109       17.26361911        1.06957278        0.18793337
       -9.34934935       18.58550893        0.19454245       17.16505767        1.04818360        0.17772521
       -9.33933934       20.46139173        0.21038546       18.86565392        1.19679125        0.18856109
       -9.32932933       22.47408445        0.22982158       20.68417818        1.35721659        0.20286810
       -9.31931932       24.68234440        0.25346108       22.67433168        1.53334138        0.22121027
       -9.30930931       26.92296600        0.28069358       24.68804029        1.71297852        0.24125362
       -9.29929930       26.67372014        0.26749903       24.38480934        1.77758535        0.24382643
       -9.28928929       46.83036177        0.51544320       42.76751474        3.12774969        0.41965413
       -9.27927928        7.12716029        0.07963572        6.49542395        0.48897257        0.06312805
       -9.26926927        8.99084210        0.10436835        8.19675570        0.60960579        0.08011226
       -9.25925926       59.47551454        0.60942958       54.39121886        3.88987363        0.58499246
       -9.24924925       43.03950008        0.34137040       39.41079707        2.83646084        0.45087178
       -9.23923924        6.57872278        0.05614877        6.01159460        0.44261087        0.06836854
       -9.22922923        7.88265788        0.07193558        7.20893183        0.52205500        0.07973548
       -9.21921922        9.21678751        0.09019686        8.43567077        0.60059726        0.09032262
       -9.20920921       17.27152112        0.22409541       15.80579986        1.08670693        0.15491893
       -9.19919920       20.65876398        0.34703113       18.89942711        1.23696880        0.17533693
