#  aims_uuid : 40D1F579-8B5D-4976-A69D-9BA42D048164                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.911446 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.08855381        0.67231506        0.00305900        0.02579934        0.63136458        0.01209214
       -4.07854380        0.53414418        0.00256915        0.02539253        0.49711591        0.00906660
       -4.06853379        0.49545838        0.00260518        0.02662898        0.45770824        0.00851598
       -4.05852378        0.45782870        0.00263686        0.02729679        0.41994001        0.00795504
       -4.04851377        0.42125514        0.00266418        0.02739597        0.38381122        0.00738378
       -4.03850376        0.38573770        0.00268713        0.02692651        0.34932187        0.00680220
       -4.02849375        0.35127639        0.00270573        0.02588840        0.31647196        0.00621030
       -4.01848374        0.31998408        0.00271827        0.02646986        0.28512282        0.00567314
       -4.00847373        1.00908340        0.00730854        0.05476677        0.92962620        0.01738189
       -3.99846372        1.36434068        0.01618816        0.12697821        1.19798501        0.02318929
       -3.98845371        0.52719076        0.00686790        0.05018575        0.45942403        0.01071308
       -3.97844370        0.42080027        0.00580919        0.04727123        0.35820152        0.00951834
       -3.96843369        0.68487153        0.00773863        0.08564704        0.57554867        0.01593719
       -3.95842368        0.65817161        0.00716724        0.10785833        0.52747175        0.01567429
       -3.94841367        0.86613383        0.01399017        0.20367004        0.62589442        0.02257920
       -3.93840366        0.82248508        0.01233416        0.14464847        0.64806349        0.01743896
       -3.92839365        0.69404826        0.00611320        0.08128668        0.59475331        0.01189507
       -3.91838364        0.77855621        0.00334194        0.08576520        0.67470856        0.01474052
       -3.90837363        1.84985220        0.00292628        0.07365691        1.74400532        0.02926368
       -3.89836362        1.48759956        0.00200906        0.05959841        1.40998283        0.01600926
       -3.88835361        1.83445604        0.00269745        0.09057458        1.71296654        0.02821747
       -3.87834360        0.69783932        0.00058488        0.04879672        0.63530628        0.01315144
       -3.86833359        0.34675934        0.00027637        0.03222869        0.30828682        0.00596746
       -3.85832358        1.34453020        0.01896812        0.14014442        1.14453416        0.04088350
       -3.84831357        1.83189831        0.02481294        0.21071505        1.56711811        0.02925221
       -3.83830356        1.38566182        0.00183539        0.10148141        1.26504079        0.01730423
       -3.82829355        0.95119906        0.00203919        0.10612097        0.82934741        0.01369149
       -3.81828354        0.67260955        0.00204761        0.12149164        0.53658920        0.01248110
       -3.80827353        0.92334159        0.00286629        0.04403835        0.85258162        0.02385533
       -3.79826352        0.52619552        0.00363674        0.03649068        0.47673034        0.00933776
       -3.78825351        0.66103011        0.00431790        0.03910923        0.60590186        0.01170111
       -3.77824350        0.68633782        0.00278055        0.02423537        0.64626435        0.01305755
       -3.76823349        0.62392580        0.00109596        0.00897146        0.60089209        0.01296628
       -3.75822348        0.02879548        0.00119884        0.00766940        0.01916540        0.00076185
       -3.74821347        0.23086317        0.00176663        0.06346168        0.15928600        0.00634886
       -3.73820346        0.30960578        0.00275121        0.05396143        0.24582217        0.00707097
       -3.72819345        0.33445873        0.00445146        0.05702017        0.26612608        0.00686103
       -3.71818344        0.34461059        0.00643601        0.06812382        0.26356925        0.00648151
       -3.70817343        0.35106583        0.00789020        0.07598718        0.26107501        0.00611344
       -3.69816342        0.35052285        0.00879552        0.08020077        0.25583677        0.00568980
       -3.68815341        0.34298165        0.00915196        0.08076457        0.24785453        0.00521059
       -3.67814340        0.32844222        0.00895952        0.07767858        0.23712831        0.00467582
       -3.66813339        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.65812338        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.64811337        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.63810336        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.62809335        0.19549529        0.00177158        0.03098859        0.15855346        0.00418165
       -3.61808334        0.53130591        0.00272752        0.05012543        0.46964376        0.00880920
       -3.60807333        1.00412284        0.00280843        0.05643389        0.93110211        0.01377841
       -3.59806332        1.92530289        0.00278629        0.05312611        1.85066179        0.01872870
       -3.58805331        1.31486607        0.00281683        0.02826986        1.27082815        0.01295123
       -3.57804330        1.08869848        0.00174096        0.02283681        1.05170456        0.01241615
       -3.56803329        1.09900490        0.00119407        0.01973207        1.06286053        0.01521822
       -3.55802328        1.10394578        0.00090061        0.01935793        1.06580610        0.01788114
       -3.54801327        1.29559775        0.00088958        0.02467000        1.24659238        0.02344579
       -3.53800326        1.07579696        0.00130409        0.03047414        1.02269851        0.02132021
       -3.52799325        1.52664833        0.00652778        0.14248682        1.34400599        0.03362774
       -3.51798324        1.72906084        0.00439767        0.10970189        1.58075304        0.03420824
