#  aims_uuid : 1ED9F7ED-269D-4FAB-A3BF-BDC7DF050637                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.489962 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.51003845        1.60456217        0.11939444        1.41675954        0.05943998        0.00747913        0.00148908
       -4.50002844        1.86731913        0.16397675        1.62505544        0.06827869        0.00874612        0.00126214
       -4.49001843        1.28991162        0.11015689        1.10627798        0.06549297        0.00706420        0.00091958
       -4.48000842        0.75715045        0.05338437        0.65611328        0.04258794        0.00442218        0.00064267
       -4.46999841        0.46653736        0.03925227        0.40013750        0.02448443        0.00247279        0.00019036
       -4.45998840        0.60604567        0.05424450        0.51528663        0.03299145        0.00326023        0.00026285
       -4.44997839        0.58362929        0.04177404        0.50059433        0.03773034        0.00322968        0.00030090
       -4.43996838        0.85607968        0.04719736        0.74460309        0.05929743        0.00447793        0.00050386
       -4.42995837        2.35958904        0.19847757        2.02516311        0.12441841        0.01062881        0.00090114
       -4.41994836        1.41011642        0.09885752        1.21640820        0.08640230        0.00780164        0.00064676
       -4.40993835        1.76943323        0.16382796        1.51094395        0.08693360        0.00682596        0.00090176
       -4.39992834        0.53363336        0.05900117        0.45104240        0.02113718        0.00220143        0.00025117
       -4.38991833        1.79148269        0.15607717        1.52556735        0.09994925        0.00889965        0.00098928
       -4.37990832        2.03750057        0.15765005        1.74338287        0.12288337        0.01207448        0.00150980
       -4.36989831        0.87786990        0.06049943        0.75604831        0.05496901        0.00549564        0.00085751
       -4.35988830        1.05864597        0.08984144        0.88375393        0.07540712        0.00826609        0.00137739
       -4.34987829        0.81445364        0.04531772        0.70543423        0.05764927        0.00503880        0.00101363
       -4.33986828        1.44135603        0.12195986        1.21321876        0.09516896        0.00945400        0.00155447
       -4.32985827        2.06339867        0.15857879        1.74770412        0.13868433        0.01596890        0.00246252
       -4.31984826        0.66865210        0.02271881        0.60281671        0.03502704        0.00669297        0.00139656
       -4.30983825        3.03394580        0.29807462        2.57067826        0.14368634        0.01962272        0.00188386
       -4.29982824        0.51633965        0.03531481        0.45710900        0.01948605        0.00378657        0.00064323
       -4.28981823        1.01926449        0.07956848        0.88939353        0.04189279        0.00737010        0.00103960
       -4.27980822        1.63465105        0.16500334        1.38663539        0.07082798        0.01110358        0.00108076
       -4.26979821        0.88690849        0.07529194        0.77414320        0.03149787        0.00511999        0.00085550
       -4.25978820        0.72445261        0.06126599        0.63324430        0.02458768        0.00459790        0.00075673
       -4.24977819        0.54414359        0.04811674        0.47191986        0.01915456        0.00433060        0.00062182
       -4.23976818        1.63352993        0.14964847        1.38780723        0.08128745        0.01376823        0.00101855
       -4.22975817        0.99372054        0.10022065        0.83343265        0.05068152        0.00865779        0.00072793
       -4.21974816        0.71259902        0.07770646        0.59496194        0.03379058        0.00566497        0.00047506
       -4.20973815        0.41603447        0.04641885        0.34993184        0.01637196        0.00306810        0.00024373
       -4.19972814        0.48081752        0.05045292        0.40641615        0.02005302        0.00359212        0.00030331
       -4.18971813        0.67786586        0.06189912        0.57788561        0.03226999        0.00534666        0.00046448
       -4.17970812        1.09947588        0.09079234        0.94454873        0.05463244        0.00872995        0.00077242
       -4.16969811        1.13663561        0.08523733        0.98576516        0.05596401        0.00882140        0.00084771
       -4.15968810        0.92895917        0.05755474        0.82012775        0.04376606        0.00670561        0.00080500
       -4.14967809        0.83850160        0.04121701        0.75372238        0.03716123        0.00550205        0.00089893
       -4.13966808        0.73539717        0.03087342        0.66938436        0.02969001        0.00448354        0.00096584
       -4.12965807        0.51620301        0.02033900        0.47203400        0.01993539        0.00309744        0.00079717
       -4.11964806        0.55746206        0.01853370        0.50956156        0.02466516        0.00383093        0.00087071
       -4.10963805        0.39360143        0.01346613        0.35538496        0.02098843        0.00320905        0.00055286
       -4.09962804        0.27452419        0.00979891        0.25146670        0.01108577        0.00177772        0.00039509
       -4.08961803        0.36632145        0.01099472        0.33719021        0.01515029        0.00242215        0.00056408
       -4.07960802        0.45922777        0.01375366        0.42040129        0.02101896        0.00331170        0.00074215
       -4.06959801        0.53271000        0.01774276        0.48142088        0.02827370        0.00438038        0.00089229
       -4.05958800        0.66043976        0.02754445        0.58818429        0.03826237        0.00542290        0.00102576
       -4.04957799        0.78560061        0.02970267        0.70391852        0.04506205        0.00584790        0.00106947
       -4.03956798        0.70763865        0.02906454        0.63562367        0.03719300        0.00485297        0.00090448
       -4.02955797        0.37164329        0.01433728        0.33703240        0.01700037        0.00261570        0.00065755
       -4.01954796        0.28599153        0.00964592        0.26214311        0.01126869        0.00235468        0.00057914
       -4.00953795        0.32913657        0.00889439        0.30421821        0.01275786        0.00257278        0.00069334
       -3.99952794        0.37421891        0.00720111        0.34927573        0.01420878        0.00271351        0.00081979
       -3.98951793        0.20456234        0.00093201        0.19858534        0.00352245        0.00104680        0.00047575
       -3.97950792        0.23589656        0.00122548        0.22896741        0.00404770        0.00113088        0.00052510
       -3.96949791        0.29717579        0.00348765        0.28332816        0.00790623        0.00177996        0.00067378
       -3.95948790        0.35308985        0.00669341        0.33078389        0.01246117        0.00235325        0.00079813
       -3.94947789        0.49290260        0.01027636        0.46116174        0.01745349        0.00295250        0.00105851
       -3.93946788        1.44803051        0.02214135        1.37394906        0.04332470        0.00594661        0.00266880
       -3.92945787        0.62154448        0.01275009        0.57906213        0.02582492        0.00282453        0.00108280
       -3.91944786        0.47398416        0.02693863        0.41092009        0.03125410        0.00384860        0.00102274
       -3.90943785        0.38974816        0.02144789        0.33648716        0.02783224        0.00312945        0.00085142
       -3.89942784        0.25890083        0.01587638        0.22111620        0.01927190        0.00214247        0.00049388
       -3.88941783        0.19270680        0.01291503        0.16355443        0.01433133        0.00159802        0.00030800
       -3.87940782        0.14547535        0.00888371        0.12586457        0.00935908        0.00115094        0.00021706
       -3.86939781        1.71762823        0.02092677        1.61625169        0.07360619        0.00468732        0.00215626
       -3.85938780        1.13686974        0.01660547        1.07360940        0.04249854        0.00291776        0.00123858
       -3.84937779        1.07867907        0.01610320        1.01607854        0.04183133        0.00339670        0.00126929
       -3.83936778        1.38140340        0.02286165        1.30040830        0.05157823        0.00485847        0.00169676
       -3.82935777        2.18009394        0.03501568        2.05315822        0.07974831        0.00908739        0.00308434
       -3.81934776        1.27459832        0.02011666        1.18276555        0.06438788        0.00521229        0.00211593
       -3.80933775        3.57319565        0.06959443        3.34645724        0.14009233        0.01144946        0.00560218
       -3.79932774        0.65830206        0.01926512        0.60692882        0.02758309        0.00322264        0.00130240
       -3.78931773        0.97082643        0.03412078        0.90388460        0.02707071        0.00425151        0.00149884
       -3.77930772        0.98364577        0.02974836        0.91463784        0.03266399        0.00491976        0.00167583
       -3.76929771        1.39332581        0.03421599        1.29993789        0.04888011        0.00809439        0.00219742
       -3.75928770        1.48414087        0.03410851        1.36456674        0.06984440        0.01289947        0.00272174
       -3.74927769        1.52244481        0.02849220        1.40335405        0.07085135        0.01686286        0.00288434
       -3.73926768        0.22001174        0.01042660        0.18847306        0.01714238        0.00351150        0.00045820
       -3.72925767        1.54931210        0.01751942        1.45052840        0.05939042        0.01911366        0.00276020
       -3.71924766        4.01974295        0.07477262        3.73178455        0.15775337        0.04606892        0.00936349
       -3.70923765        2.27816551        0.04738762        2.12038946        0.08462115        0.02099713        0.00477015
       -3.69922764        2.00330537        0.04082918        1.83143858        0.10367784        0.02282003        0.00453973
       -3.68921763        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.67920762        0.27235491        0.00472640        0.23862483        0.02152180        0.00665831        0.00082358
       -3.66919761        1.35087344        0.00986013        1.26770817        0.05892292        0.01257300        0.00180921
       -3.65918760        1.18061587        0.02068632        1.06795362        0.07884307        0.01095423        0.00217863
       -3.64917759        0.37691466        0.00298639        0.34834980        0.02299970        0.00220553        0.00037323
       -3.63916758        1.23410498        0.01003704        1.12824595        0.08133288        0.01293950        0.00154961
       -3.62915757        0.29638666        0.00729560        0.26909207        0.01737165        0.00214078        0.00048656
       -3.61914756        3.43267767        0.06219728        3.08485690        0.23760983        0.04207237        0.00594130
       -3.60913755        1.03462185        0.00897714        0.96797025        0.04526092        0.01087559        0.00153795
       -3.59912754        2.50326785        0.02490186        2.34627491        0.10754006        0.02114438        0.00340665
       -3.58911753        0.92856226        0.01443104        0.86377680        0.04283871        0.00629078        0.00122493
       -3.57910752        0.84121731        0.01402950        0.79165964        0.03079230        0.00384916        0.00088671
       -3.56909751        0.84675718        0.01414921        0.77685722        0.04528635        0.00927707        0.00118733
       -3.55908750        0.70101866        0.01040431        0.66112650        0.02184215        0.00625281        0.00139290
       -3.54907749        0.61595155        0.01075841        0.57597373        0.02356092        0.00453854        0.00111996
       -3.53906748        0.47709260        0.00755895        0.44433351        0.02037294        0.00389126        0.00093595
       -3.52905747        2.22475272        0.02587898        2.03278210        0.14106117        0.02030649        0.00472398
       -3.51904746        0.51071784        0.00598367        0.47499641        0.02409837        0.00459459        0.00104481
       -3.50903745        0.41909802        0.00487040        0.39138501        0.01827442        0.00375017        0.00081803
       -3.49902744        0.35711647        0.00427165        0.33430064        0.01469456        0.00320390        0.00064572
       -3.48901743        0.31907436        0.00410243        0.29690605        0.01419772        0.00327236        0.00059580
       -3.47900742        0.30290492        0.00417712        0.27861475        0.01573740        0.00377983        0.00059582
       -3.46899741        0.58624651        0.00589287        0.53001974        0.03986196        0.00929306        0.00117888
       -3.45898740        0.39706943        0.00732310        0.35897699        0.02384346        0.00612876        0.00079712
       -3.44897739        0.24892682        0.00672879        0.21717577        0.01973249        0.00450257        0.00078720
       -3.43896738        0.45981485        0.01326384        0.39688619        0.03944871        0.00865065        0.00156545
       -3.42895737        0.77746196        0.02341280        0.67063501        0.06833196        0.01257548        0.00250671
       -3.41894736        0.02899537        0.00100038        0.02528373        0.00200547        0.00060385        0.00010194
       -3.40893735        0.28596894        0.00814772        0.26256197        0.01191778        0.00265156        0.00068992
       -3.39892734        0.62622059        0.01047651        0.57015309        0.03729020        0.00682393        0.00147685
       -3.38891733        0.54319450        0.00790261        0.49372900        0.03468002        0.00563853        0.00124434
       -3.37890732        0.44161095        0.00612892        0.40148402        0.02883325        0.00419158        0.00097317
       -3.36889731        0.05934301        0.00125724        0.05502414        0.00257269        0.00040951        0.00007942
       -3.35888730        2.63046900        0.02948584        2.38817228        0.18194875        0.02509504        0.00576709
       -3.34887729        0.17923890        0.00262987        0.16272989        0.01192798        0.00157514        0.00037602
       -3.33886728        0.17213232        0.00320592        0.15514791        0.01178901        0.00159513        0.00039435
       -3.32885727        0.54614066        0.01377485        0.48902946        0.03633945        0.00552206        0.00147484
       -3.31884726        0.45990845        0.01807863        0.41465333        0.02178279        0.00425854        0.00113517
       -3.30883725        0.24235309        0.00831545        0.22397019        0.00778705        0.00181635        0.00046404
       -3.29882724        0.22648679        0.00687687        0.20959949        0.00803975        0.00159257        0.00037810
       -3.28881723        0.27561702        0.00687074        0.25410288        0.01167146        0.00250265        0.00046928
       -3.27880722        0.35160987        0.00805287        0.32363500        0.01574279        0.00356862        0.00061058
       -3.26879721        0.35119507        0.00708985        0.32239749        0.01757647        0.00356405        0.00056721
       -3.25878720        0.34170082        0.00623736        0.31307590        0.01840577        0.00345956        0.00052224
       -3.24877719        0.32971961        0.00549836        0.30194221        0.01853338        0.00327044        0.00047522
       -3.23876718        3.96804259        0.01584275        3.73691000        0.18598413        0.02461082        0.00469489
       -3.22875717        0.58348000        0.00535999        0.53969472        0.03191348        0.00571385        0.00079795
       -3.21874716        0.51501988        0.00503972        0.47598173        0.02840509        0.00489922        0.00069412
       -3.20873715        1.09661428        0.01308312        1.01281222        0.05902454        0.01045836        0.00123604
       -3.19872714        0.79750118        0.01267153        0.73150222        0.04362876        0.00864312        0.00105555
       -3.18871713        0.66490408        0.00948743        0.60666017        0.03965053        0.00799813        0.00110781
       -3.17870712        0.58295872        0.00833783        0.52798024        0.03837239        0.00721888        0.00104938
       -3.16869711        0.53541110        0.00888246        0.48108367        0.03766625        0.00678408        0.00099465
       -3.15868710        0.64600875        0.01260280        0.57628942        0.04790144        0.00796061        0.00125447
       -3.14867709        0.81739786        0.03217556        0.72515465        0.04910588        0.00981278        0.00114898
       -3.13866708        0.79176311        0.01518519        0.69506114        0.06983810        0.01017971        0.00149897
       -3.12865707        4.07457473        0.02209592        3.84235417        0.18413730        0.02209944        0.00388791
       -3.11864706        0.62722403        0.00870906        0.57677299        0.03509649        0.00562070        0.00102479
       -3.10863705        0.58101411        0.00786862        0.53425699        0.03187683        0.00593169        0.00107997
       -3.09862704        0.52996519        0.00698547        0.49120167        0.02588416        0.00481658        0.00107730
       -3.08861703        0.33408081        0.00314759        0.31186700        0.01617835        0.00237852        0.00050935
       -3.07860702        0.30157399        0.00249455        0.28067911        0.01563707        0.00229635        0.00046692
       -3.06859701        0.30328508        0.00242216        0.28092503        0.01681616        0.00259038        0.00053135
       -3.05858700        0.34175903        0.00253734        0.31477264        0.02052412        0.00324316        0.00068177
       -3.04857699        0.41535222        0.00214328        0.38077178        0.02720373        0.00434633        0.00088711
       -3.03856698        0.20891433        0.00066132        0.19226634        0.01337351        0.00226810        0.00034506
       -3.02855697        0.24851198        0.00067658        0.22765434        0.01705972        0.00273472        0.00038661
       -3.01854696        0.29605975        0.00080151        0.27038959        0.02133656        0.00313279        0.00039929
       -3.00853695        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -2.99852694        0.02825807        0.00037149        0.02415937        0.00304098        0.00060293        0.00008330
       -2.98851693        0.14569922        0.00170723        0.12541187        0.01514917        0.00302811        0.00040284
       -2.97850692        0.29669827        0.00250265        0.25970022        0.02782732        0.00587632        0.00079176
       -2.96849691        0.48125520        0.00275774        0.42702441        0.04107544        0.00914757        0.00125004
       -2.95848690        0.69937002        0.00247251        0.62738444        0.05489352        0.01284185        0.00177770
       -2.94847689        0.40548201        0.00106126        0.36505144        0.02936640        0.00878839        0.00121453
       -2.93846688        0.11059500        0.00068138        0.10023746        0.00739287        0.00202799        0.00025529
       -2.92845687        0.17418651        0.00170522        0.15815548        0.01098094        0.00296220        0.00038268
       -2.91844686        0.23467016        0.00319082        0.21352190        0.01382017        0.00365064        0.00048663
       -2.90843685        0.29585169        0.00521600        0.27003581        0.01590834        0.00412028        0.00057127
       -2.89842684        0.38287329        0.00828991        0.35170986        0.01764279        0.00456670        0.00066403
       -2.88841683        0.47323826        0.01193010        0.43632611        0.01938250        0.00485770        0.00074184
       -2.87840682        0.24281803        0.00339432        0.21917629        0.01664345        0.00321285        0.00039112
       -2.86839681        0.33662836        0.00484310        0.30655284        0.02066387        0.00409110        0.00047745
       -2.85838680        0.43204703        0.00674709        0.39475972        0.02497563        0.00498237        0.00058222
       -2.84837679        0.77274993        0.01056373        0.70833363        0.04449896        0.00841629        0.00093731
       -2.83836678        0.74198856        0.01418656        0.67949411        0.03959110        0.00769973        0.00101706
       -2.82835677        0.71014096        0.01723588        0.64964734        0.03514681        0.00701784        0.00109309
       -2.81834676        0.67295293        0.01957071        0.61484955        0.03102226        0.00635343        0.00115698
       -2.80833675        0.63042445        0.02119105        0.57510075        0.02721745        0.00570648        0.00120872
       -2.79832674        0.73463504        0.02877923        0.66885486        0.02876326        0.00653687        0.00170083
       -2.78831673        0.32049601        0.00770139        0.28983381        0.01853262        0.00353026        0.00089792
       -2.77830672        0.21448464        0.00486317        0.19443434        0.01238254        0.00224177        0.00056282
       -2.76829671        0.19329490        0.00401918        0.17449843        0.01204068        0.00221575        0.00052086
       -2.75828670        0.17904643        0.00345503        0.16100987        0.01184366        0.00225360        0.00048428
       -2.74827669        0.31395702        0.00305501        0.28673192        0.02014775        0.00335759        0.00066476
       -2.73826668        0.74264624        0.00624932        0.67961788        0.04828770        0.00714410        0.00134725
       -2.72825667        1.49394193        0.01327357        1.36677844        0.09852982        0.01311506        0.00224503
       -2.71824666        0.43119962        0.00336866        0.38783547        0.03397547        0.00532105        0.00069896
       -2.70823665        0.55128980        0.00505355        0.49421209        0.04396534        0.00719841        0.00086041
       -2.69822664        0.65311123        0.00718963        0.58305061        0.05279861        0.00904213        0.00103024
       -2.68821663        0.68641635        0.00811119        0.59474148        0.06936271        0.01264037        0.00156059
       -2.67820662        0.20735652        0.00302964        0.18658588        0.01461317        0.00267658        0.00045125
       -2.66819661        0.74957451        0.00834267        0.67302142        0.05882932        0.00801422        0.00136689
       -2.65818660        1.68800672        0.04348714        1.51247577        0.11361670        0.01567155        0.00275556
       -2.64817659        1.02115218        0.03962494        0.93352172        0.03812755        0.00821984        0.00165813
       -2.63816658        1.26221015        0.04557810        1.15762283        0.04639509        0.01042706        0.00218707
       -2.62815657        1.16718294        0.04021342        1.07039268        0.04404748        0.01019840        0.00233096
       -2.61814656        0.75432942        0.02779069        0.68867360        0.02942473        0.00706087        0.00137953
       -2.60813655        0.85464174        0.02436651        0.79128769        0.03117938        0.00661879        0.00118937
       -2.59812654        0.55218470        0.01306516        0.50636950        0.02643146        0.00542848        0.00089010
       -2.58811653        0.57490612        0.00888713        0.52571385        0.03281121        0.00642076        0.00107317
       -2.57810652        0.70782104        0.01355679        0.64134754        0.04295229        0.00843076        0.00153365
       -2.56809651        1.01278856        0.03552424        0.91704636        0.04711645        0.01061340        0.00248810
       -2.55808650        0.99848361        0.03038819        0.89575945        0.05789418        0.01190897        0.00253282
       -2.54807649        0.46681408        0.02009046        0.41932890        0.02173341        0.00453024        0.00113108
       -2.53806648        0.96624224        0.06751419        0.88011528        0.01239113        0.00438983        0.00183180
       -2.52805647        0.52337385        0.02559017        0.47229066        0.02041702        0.00407697        0.00099902
       -2.51804646        0.57677589        0.03754458        0.52555448        0.00902557        0.00348427        0.00116699
       -2.50803645        0.70878989        0.03638641        0.64543691        0.01922121        0.00619149        0.00155387
       -2.49802644        0.73190821        0.03281574        0.67452766        0.01735827        0.00580228        0.00140426
       -2.48801643        0.98631100        0.04289933        0.91201694        0.02212832        0.00750228        0.00176413
       -2.47800642        1.56570911        0.06832822        1.45027793        0.03287190        0.01157777        0.00265330
       -2.46799641        3.00975636        0.17689525        2.79143889        0.02326609        0.01386033        0.00429580
       -2.45798640        2.04489168        0.10808890        1.89443383        0.02776844        0.01163561        0.00296491
       -2.44797639        5.38361025        0.20268661        4.88368561        0.21843651        0.06452591        0.01427561
       -2.43796638        2.28912196        0.11770259        2.12381696        0.03185816        0.01253915        0.00320511
       -2.42795637        1.89160636        0.09351113        1.75722318        0.02799057        0.01024423        0.00263725
       -2.41794636        1.55986783        0.07141367        1.45073534        0.02679518        0.00867234        0.00225129
       -2.40793635        1.33042732        0.05215254        1.23570692        0.03184500        0.00862089        0.00210196
       -2.39792634        1.24660619        0.04389081        1.15808449        0.03383462        0.00870546        0.00209081
       -2.38791633        1.35656745        0.04131510        1.26790737        0.03625042        0.00889191        0.00220266
       -2.37790632        1.34955945        0.03619406        1.26814600        0.03481908        0.00834190        0.00205840
       -2.36789631        1.43329878        0.03393182        1.34793277        0.03936470        0.00980684        0.00226265
       -2.35788630        1.25217500        0.03232714        1.17432308        0.03523756        0.00843187        0.00185535
       -2.34787629        1.39135756        0.03456748        1.30313234        0.04180517        0.00976533        0.00208723
       -2.33786628        6.79270713        0.23171868        6.26316877        0.23330221        0.05394382        0.01057366
       -2.32785627        1.35125123        0.03751883        1.25858604        0.04170039        0.01117909        0.00226688
       -2.31784626        1.00613394        0.02862654        0.93415995        0.03308449        0.00863560        0.00162736
       -2.30783625        1.11758224        0.03185328        1.03957192        0.03543525        0.00901174        0.00171006
       -2.29782624        1.18406809        0.03371630        1.10468225        0.03489982        0.00904285        0.00172687
       -2.28781623        1.24698543        0.03714155        1.16539498        0.03369791        0.00897510        0.00177590
       -2.27780622        1.54397956        0.04791485        1.44764775        0.03637704        0.01007058        0.00196934
       -2.26779621        1.29351200        0.03542182        1.21405397        0.03378936        0.00860565        0.00164120
       -2.25778620        1.13705411        0.02925778        1.06543378        0.03291395        0.00796823        0.00148036
       -2.24777619        1.10511050        0.03023721        1.03290324        0.03270057        0.00785488        0.00141461
       -2.23776618        1.56715388        0.03775003        1.45618830        0.05712090        0.01401581        0.00207885
       -2.22775617        0.84927984        0.02953054        0.79927350        0.01500306        0.00460554        0.00086719
       -2.21774616        0.99115900        0.03299421        0.93393440        0.01750659        0.00570924        0.00101456
       -2.20773615        1.22140481        0.03688017        1.15249621        0.02303858        0.00762983        0.00136002
       -2.19772614        1.80777332        0.03764149        1.70096881        0.05128441        0.01566015        0.00221845
       -2.18771613        0.41163656        0.01704006        0.38427471        0.00705861        0.00245182        0.00081137
       -2.17770612        0.31941906        0.01262583        0.29614550        0.00782394        0.00209939        0.00072440
       -2.16769611        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -2.15768610        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -2.14767609        0.79039339        0.00861336        0.74475853        0.02685716        0.00936194        0.00080240
       -2.13766608        0.52495663        0.00643997        0.49274519        0.01869335        0.00640254        0.00067557
       -2.12765607        0.07648201        0.00017047        0.07209164        0.00329048        0.00080807        0.00012135
       -2.11764606        1.43953917        0.03829863        1.36102219        0.03108714        0.00746106        0.00167014
       -2.10763605        0.86706182        0.01073804        0.82390861        0.02492755        0.00594585        0.00154176
       -2.09762604        0.01476499        0.00005560        0.01407473        0.00046836        0.00014040        0.00002590
       -2.08761603        0.64334311        0.01487030        0.60854846        0.01460613        0.00410763        0.00121058
       -2.07760602        0.62372195        0.00985698        0.59396774        0.01462220        0.00402494        0.00125010
       -2.06759601        0.87591020        0.01775017        0.83479022        0.01761577        0.00444592        0.00130813
       -2.05758600        0.49536820        0.01636053        0.47149465        0.00544946        0.00161864        0.00044492
       -2.04757599        1.06763965        0.04098654        0.97949641        0.03679569        0.00885042        0.00151059
       -2.03756598        0.59235571        0.01946126        0.55651624        0.01191271        0.00374086        0.00072465
       -2.02755597        1.58763940        0.05620960        1.48901301        0.03110423        0.00940845        0.00190413
       -2.01754596        1.40982517        0.04842221        1.32263708        0.02813942        0.00887807        0.00174839
       -2.00753595        1.14167874        0.03816513        1.06871215        0.02574515        0.00754543        0.00151088
       -1.99752594        0.89421113        0.02592965        0.83394201        0.02698511        0.00605262        0.00130175
       -1.98751593        0.61636164        0.02000218        0.57463663        0.01682258        0.00405865        0.00084161
       -1.97750592        0.67634519        0.02262059        0.62777170        0.02029082        0.00483633        0.00082575
       -1.96749591        0.81156969        0.02371389        0.74444845        0.03461561        0.00766170        0.00113004
       -1.95748590        0.57706903        0.01808076        0.53831901        0.01611071        0.00389714        0.00066141
       -1.94747589        0.58397475        0.01776065        0.54508520        0.01647829        0.00398970        0.00066091
       -1.93746588        0.64053241        0.01792748        0.59995504        0.01754604        0.00437644        0.00072741
       -1.92745587        0.72494595        0.01835043        0.68126038        0.01961050        0.00488995        0.00083468
       -1.91744586        0.73291161        0.01756434        0.69394206        0.01654125        0.00406973        0.00079423
       -1.90743585        0.82154636        0.01841111        0.77975087        0.01825029        0.00423309        0.00090100
       -1.89742584        0.81364488        0.01805830        0.77299024        0.01746464        0.00425049        0.00088121
       -1.88741583        0.93443065        0.02008978        0.88959845        0.01917911        0.00457327        0.00099004
       -1.87740582        0.92304084        0.02095832        0.87936184        0.01722191        0.00458524        0.00091353
       -1.86739581        1.04490184        0.02420457        0.99718490        0.01773869        0.00481348        0.00096019
       -1.85738580        1.01917172        0.02351716        0.97203073        0.01784078        0.00484230        0.00094075
       -1.84737579        1.15129965        0.02760049        1.09892290        0.01863498        0.00515540        0.00098588
       -1.83736578        1.26329637        0.03170235        1.20761707        0.01791927        0.00507684        0.00098085
       -1.82735577        1.08070726        0.02708821        1.03277561        0.01567592        0.00434528        0.00082224
       -1.81734576        1.15432363        0.03063057        1.10309877        0.01538876        0.00438143        0.00082411
       -1.80733575        0.98735517        0.02569938        0.94157873        0.01535221        0.00401270        0.00071215
       -1.79732574        0.93100010        0.02337022        0.88615498        0.01661388        0.00417277        0.00068826
       -1.78731573        0.73955901        0.01846392        0.70241447        0.01442160        0.00366794        0.00059108
       -1.77730572        0.66221677        0.01649941        0.62791453        0.01317281        0.00400177        0.00062825
       -1.76729571        0.50174411        0.01215514        0.47521197        0.01041616        0.00344555        0.00051529
       -1.75728570        0.57008413        0.01256495        0.53700689        0.01432516        0.00534336        0.00084378
       -1.74727569        0.48476325        0.01080091        0.45787081        0.01119680        0.00424813        0.00064660
       -1.73726568        0.59842830        0.01335169        0.56737476        0.01217745        0.00478089        0.00074351
       -1.72725567        0.55815995        0.01197892        0.52923816        0.01186932        0.00442157        0.00065199
       -1.71724566        0.47331970        0.00961483        0.44593728        0.01282807        0.00432494        0.00061457
       -1.70723565        0.43742052        0.00855200        0.40620647        0.01699589        0.00498147        0.00068470
       -1.69722564        0.35745630        0.00644913        0.33106768        0.01526259        0.00408016        0.00059674
       -1.68721563        0.28546612        0.00471162        0.26352783        0.01341332        0.00330433        0.00050901
       -1.67720562        0.36995028        0.00518361        0.33813284        0.02093899        0.00514634        0.00054851
       -1.66719561        0.40633884        0.00592125        0.37321998        0.02165472        0.00500269        0.00054021
       -1.65718560        0.98747205        0.01317411        0.92880744        0.03746198        0.00697054        0.00105798
       -1.64717559        1.74130130        0.03128918        1.65715268        0.04457484        0.00672488        0.00155972
       -1.63716558        0.93273101        0.01714481        0.88866643        0.02253724        0.00333549        0.00104704
       -1.62715557        1.65051023        0.02878961        1.56671620        0.04486967        0.00854310        0.00159164
       -1.61714556        1.15384195        0.01329056        1.07922924        0.04717230        0.01283758        0.00131228
       -1.60713555        0.49972401        0.00796270        0.46871545        0.01685795        0.00549150        0.00069642
       -1.59712554        1.10991013        0.01608735        1.06061625        0.02466567        0.00744912        0.00109174
       -1.58711553        0.73381371        0.01031265        0.70319885        0.01542914        0.00415435        0.00071871
       -1.57710552        0.64833384        0.00989176        0.62025080        0.01459975        0.00297601        0.00061552
       -1.56709551        0.76778507        0.01448275        0.72967588        0.02032764        0.00262871        0.00067009
       -1.55708550        0.83700800        0.01290532        0.80105194        0.02040085        0.00206779        0.00058211
