#  aims_uuid : 1ED9F7ED-269D-4FAB-A3BF-BDC7DF050637                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.24192459        0.05704098        1.12299845        0.05522026        0.00602650        0.00063840
       -9.98998999        1.23305966        0.06663105        1.08069479        0.07677542        0.00834951        0.00060889
       -9.97997998        1.32687288        0.12217979        1.11268428        0.08144838        0.00969686        0.00086357
       -9.96996997        0.91047977        0.08938704        0.76303701        0.05060923        0.00669239        0.00075410
       -9.95995996        0.49956942        0.04187037        0.42372113        0.03068517        0.00317997        0.00011277
       -9.94994995        0.71830794        0.06388760        0.60199747        0.04709684        0.00514276        0.00018328
       -9.93993994        0.78445974        0.07209944        0.66081920        0.04605760        0.00522235        0.00026114
       -9.92992993        1.17117908        0.11005568        0.99014211        0.06332071        0.00718962        0.00047096
       -9.91991992        1.55980874        0.13385966        1.32381218        0.09046825        0.01058521        0.00108344
       -9.90990991        2.08061931        0.17264686        1.78890154        0.10690256        0.01133839        0.00082995
       -9.89989990        1.76063561        0.14496110        1.51550840        0.08936339        0.00987177        0.00093095
       -9.88988989        0.38018094        0.02910053        0.32780550        0.02094012        0.00208571        0.00024906
       -9.87987988        1.32747928        0.11484946        1.14773717        0.05639834        0.00730655        0.00118776
       -9.86986987        2.18389960        0.15482309        1.91870944        0.09665474        0.01181384        0.00189849
       -9.85985986        0.87987955        0.05606504        0.78074770        0.03686199        0.00521585        0.00098897
       -9.84984985        1.55606927        0.13718674        1.34377228        0.06588485        0.00813675        0.00108865
       -9.83983984        1.16434218        0.09900580        1.00662645        0.05103631        0.00673188        0.00094175
       -9.82982983        1.50681632        0.08678622        1.33075959        0.07846190        0.00928279        0.00152583
       -9.81981982        2.81033257        0.16972050        2.48781734        0.13360638        0.01627242        0.00291592
       -9.80980981        1.30425344        0.07687673        1.16749038        0.05158675        0.00691474        0.00138484
       -9.79979980        1.80567170        0.11673316        1.57243477        0.10259325        0.01184824        0.00206229
       -9.78978979        0.62324343        0.04086716        0.55185570        0.02633925        0.00345053        0.00073078
       -9.77977978        1.10665728        0.07356050        0.97605098        0.04981982        0.00607245        0.00115352
       -9.76976977        1.38355142        0.10581305        1.20837175        0.06150547        0.00685686        0.00100429
       -9.75975976        0.92494898        0.05003294        0.83897119        0.03192479        0.00319726        0.00082279
       -9.74974975        0.94871001        0.05820678        0.85175006        0.03431566        0.00363236        0.00080515
       -9.73973974        1.00345397        0.07486767        0.88547170        0.03800460        0.00437428        0.00073571
       -9.72972973        2.15678903        0.22060215        1.81677443        0.10512901        0.01289003        0.00139341
       -9.71971972        1.18212744        0.11644120        0.99986014        0.05765613        0.00740752        0.00076246
       -9.70970971        0.62190982        0.05561238        0.52582362        0.03521054        0.00471423        0.00054905
       -9.69969970        0.36297200        0.03610508        0.30243068        0.02097314        0.00310263        0.00036047
       -9.68968969        0.40601137        0.04262315        0.33696119        0.02259899        0.00342237        0.00040567
       -9.67967968        0.58519639        0.06248389        0.48829770        0.02944832        0.00443432        0.00053216
       -9.66966967        0.87799917        0.09141014        0.73404285        0.04518213        0.00659751        0.00076652
       -9.65965966        0.87938289        0.08561979        0.74216395        0.04420574        0.00659237        0.00080104
       -9.64964965        0.70943318        0.05923931        0.61112255        0.03330243        0.00502859        0.00074029
       -9.63963964        0.62672910        0.04245973        0.55081527        0.02839867        0.00425180        0.00080364
       -9.62962963        0.58157644        0.03296478        0.52198671        0.02230691        0.00349582        0.00082222
       -9.61961962        0.43555381        0.02394536        0.39428930        0.01426616        0.00240733        0.00064566
       -9.60960961        0.46511750        0.02511564        0.41969026        0.01691581        0.00269872        0.00069707
       -9.59959960        0.31030949        0.02298160        0.27141254        0.01330433        0.00216533        0.00044569
       -9.58958959        0.25948230        0.01901865        0.23056844        0.00803663        0.00150127        0.00035730
       -9.57957958        0.39311111        0.02427587        0.35297861        0.01317397        0.00214274        0.00053992
       -9.56956957        0.54907369        0.03271001        0.49206744        0.02053833        0.00302857        0.00072933
       -9.55955956        0.69407642        0.04425853        0.61532938        0.02950074        0.00410037        0.00088739
