# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -10.00000000         47.66492457
         -9.98998999         98.43866920
         -9.97997998         92.55360702
         -9.96996997        136.03298509
         -9.95995996        191.32082162
         -9.94994995         48.18167371
         -9.93993994         51.14951342
         -9.92992993         66.42696965
         -9.91991992        141.61984127
         -9.90990991        108.75669465
         -9.89989990        138.19079473
         -9.88988989          9.66533539
         -9.87987988         71.88326946
         -9.86986987        117.81248079
         -9.85985986         89.20312649
         -9.84984985        129.37971881
         -9.83983984         38.83259222
         -9.82982983         90.98614711
         -9.81981982        126.85952517
         -9.80980981         67.06270407
         -9.79979980        228.00086838
         -9.78978979         58.69585353
         -9.77977978         69.10761321
         -9.76976977         94.90683279
         -9.75975976         53.67767982
         -9.74974975         51.32727479
         -9.73973974         48.97686976
         -9.72972973        128.37860306
         -9.71971972         73.37912125
         -9.70970971         51.06238576
         -9.69969970         31.00755863
         -9.68968969         34.63092889
         -9.67967968         55.71773608
         -9.66966967         62.62610110
         -9.65965966         71.80580201
         -9.64964965         58.40871884
         -9.63963964         53.89901504
         -9.62962963         46.09426767
         -9.61961962         34.21692700
         -9.60960961         36.76608023
         -9.59959960         29.16528554
         -9.58958959         22.61387844
         -9.57957958         29.39911990
         -9.56956957         38.08474371
         -9.55955956         46.77036752
         -9.54954955         52.79131720
         -9.53953954         69.46498671
         -9.52952953         71.05167069
         -9.51951952         23.35727702
         -9.50950951         26.90748391
         -9.49949950         30.45769081
         -9.48948949         34.00789771
         -9.47947948         19.93236935
         -9.46946947         13.10279952
         -9.45945946         18.50420658
         -9.44944945         25.41302029
         -9.43943944         32.32183401
         -9.42942943         91.35884344
         -9.41941942         52.62476452
         -9.40940941         52.82476248
         -9.39939940         50.68837762
         -9.38938939         40.63841400
         -9.37937938         30.58845037
         -9.36936937         34.34073644
         -9.35935936         59.95284225
         -9.34934935         87.79394292
         -9.33933934         70.62769897
         -9.32932933         83.96062281
         -9.31931932        102.59853230
         -9.30930931        190.72172951
         -9.29929930        315.82785591
         -9.28928929         52.97178253
         -9.27927928         54.98597240
         -9.26926927        462.00276927
         -9.25925926        130.25744689
         -9.24924925        105.94723359
         -9.23923924        121.73031400
         -9.22922923         21.06628631
         -9.21921922        113.73710037
         -9.20920921        428.77260751
         -9.19919920        132.97302564
         -9.18918919        179.42711022
         -9.17917918          0.00000000
         -9.16916917         39.28268728
         -9.15915916         66.42236156
         -9.14914915        366.19002566
         -9.13913914         42.67226201
         -9.12912913         91.33007719
         -9.11911912          0.00000000
         -9.10910911        264.06594335
         -9.09909910        136.48411237
         -9.08908909        132.37262073
         -9.07907908        155.65094750
         -9.06906907         27.25252783
         -9.05905906         38.45903991
         -9.04904905         41.45463243
         -9.03903904         48.79820790
         -9.02902903         40.39207781
         -9.01901902         71.25128929
         -9.00900901         47.44008119
         -8.99899900         37.44712335
         -8.98898899         30.72631354
         -8.97897898         32.47668399
         -8.96896897         35.25793055
         -8.95895896         68.58893208
         -8.94894895         47.65600332
         -8.93893894         34.58143185
         -8.92892893         95.70074729
         -8.91891892         99.12823210
         -8.90890891          5.83387089
         -8.89889890         31.28259136
         -8.88888889         59.41935326
         -8.87887888         50.68678399
         -8.86886887         40.81135798
         -8.85885886          5.79015474
         -8.84884885          4.75164354
         -8.83883884         31.23637494
         -8.82882883         37.47220232
         -8.81881882         67.68838635
         -8.80880881         60.04175754
         -8.79879880         24.22645501
         -8.78878879         20.32779103
         -8.77877878         32.41507214
         -8.76876877         31.03263230
         -8.75875876         29.65019246
         -8.74874875         28.26775262
         -8.73873874         27.09454001
         -8.72872873         26.02728058
         -8.71871872         49.89126778
         -8.70870871         38.81871861
         -8.69869870         55.38833907
         -8.68868869         66.14589869
         -8.67867868         59.52562409
         -8.66866867         50.39843914
         -8.65865866         47.80498725
         -8.64864865         83.57432256
         -8.63863864         45.47269250
         -8.62862863         70.27162027
         -8.61861862         55.98548908
         -8.60860861         49.97492419
         -8.59859860         43.49760549
         -8.58858859         65.49015141
         -8.57857858         37.92767778
         -8.56856857         26.22332513
         -8.55855856         29.22134400
         -8.54854855         32.21936287
         -8.53853854         35.21738174
         -8.52852853          8.95374465
         -8.51851852         12.60932951
         -8.50850851         37.67503157
         -8.49849850          2.77263373
         -8.48848849         10.02573832
         -8.47847848         17.43984452
         -8.46846847         24.85395072
         -8.45845846         32.26805692
         -8.44844845         39.68216312
         -8.43843844         53.36139285
         -8.42842843          6.93623094
         -8.41841842         11.96993258
         -8.40840841         17.00363423
         -8.39839840         22.38113536
         -8.38838839         30.39689021
         -8.37837838        122.67919015
         -8.36836837         17.40641540
         -8.35835836         22.49656696
         -8.34834835         27.58671853
         -8.33833834         48.64204281
         -8.32832833         47.64689694
         -8.31831832         47.12597369
         -8.30830831         46.60505045
         -8.29829830         46.08412720
         -8.28828829         77.39997258
         -8.27827828         24.80518713
         -8.26826827         22.56083713
         -8.25825826         20.31648714
         -8.24824825         19.43667842
         -8.23823824         17.75707251
         -8.22822823         36.23084779
         -8.21821822         55.35504557
         -8.20820821         23.79223240
         -8.19819820         33.89554510
         -8.18818819         43.99885781
         -8.17817818         43.61323488
         -8.16816817        184.01769561
         -8.15815816         73.31130185
         -8.14814815         23.02632789
         -8.13813814         52.96045647
         -8.12812813         91.78718708
         -8.11811812         31.95025188
         -8.10810811         17.05300523
         -8.09809810         19.50057089
         -8.08808809         20.91692873
         -8.07807808         50.87362170
         -8.06806807         52.04790698
         -8.05805806         97.48565113
         -8.04804805         64.84460936
         -8.03803804        104.62987019
         -8.02802803         28.80792798
         -8.01801802         22.00861967
         -8.00800801         26.41630144
         -7.99799800         34.22510452
         -7.98798799         54.77213640
         -7.97797798         85.72423603
         -7.96796797         86.28611673
         -7.95795796         85.46744371
         -7.94794795        108.05798144
         -7.93793794        123.97324163
         -7.92792793        127.45578380
         -7.91791792        109.63981332
         -7.90790791         96.26116199
         -7.89789790         93.40573858
         -7.88788789         83.11524275
         -7.87787788         93.35029539
         -7.86786787        102.56539784
         -7.85785786         99.12728747
         -7.84784785         85.74018429
         -7.83783784         84.31883267
         -7.82782783         90.14753752
         -7.81781782        106.67979254
         -7.80780781         72.39750362
         -7.79779780         90.82118000
         -7.78778779         83.82795753
         -7.77777778         76.83473507
         -7.76776777         70.44903810
         -7.75775776         83.37085060
         -7.74774775        126.25505457
         -7.73773774         74.61018412
         -7.72772773         64.71633550
         -7.71771772         56.44051636
         -7.70770771        387.59672699
         -7.69769770         87.98855655
         -7.68768769         54.25663050
         -7.67767768         41.01253082
         -7.66766767        463.10751040
         -7.65765766          0.00000000
         -7.64764765          0.00000000
         -7.63763764          0.00000000
         -7.62762763        149.81009625
         -7.61761762         38.93832037
         -7.60760761         64.17325721
         -7.59759760         63.57231043
         -7.58758759         29.98612368
         -7.57757758         75.16531381
         -7.56756757         50.10218564
         -7.55755756         98.46252639
         -7.54754755         52.59540757
         -7.53753754         38.96059929
         -7.52752753         44.29960404
         -7.51751752         98.18257230
         -7.50750751         59.83739624
         -7.49749750         64.65842980
         -7.48748749         49.96986274
         -7.47747748         57.92318716
         -7.46746747         38.91317531
         -7.45745746         43.44256755
         -7.44744745         47.97195978
         -7.43743744         35.50257817
         -7.42742743         36.00092817
         -7.41741742         42.47748042
         -7.40740741         51.13830848
         -7.39739740         61.35298340
         -7.38738739         50.39427449
         -7.37737738         52.91635698
         -7.36736737         55.43843947
         -7.35735736         57.96052195
         -7.34734735         60.48260444
         -7.33733734         55.72320910
         -7.32732733         55.12176296
         -7.31731732         64.37486290
         -7.30730731         51.59304860
         -7.29729730         46.98588425
         -7.28728729         40.89101834
         -7.27727728         30.77177765
         -7.26726727         48.16720533
         -7.25725726         38.94356968
         -7.24724725         50.10579332
         -7.23723724         44.60713085
         -7.22722723         41.22972197
         -7.21721722         38.92120564
         -7.20720721         36.81954165
         -7.19719720         33.74761032
         -7.18718719         38.47674552
         -7.17717718         31.73503013
         -7.16716717         24.99331474
         -7.15715716         18.25159935
         -7.14714715         64.93039985
         -7.13713714        203.23762042
         -7.12712713         48.86095911
         -7.11711712         56.00698925
         -7.10710711         41.58430812
         -7.09709710         32.92152011
         -7.08708709         69.91854961
         -7.07707708         78.27151488
         -7.06706707         84.22056802
         -7.05705706         40.89495801
         -7.04704705         42.52609141
         -7.03703704         43.09832906
         -7.02702703         55.72216235
         -7.01701702         11.96189400
         -7.00700701         38.05279057
         -6.99699700         38.45861895
         -6.98698699         38.86444734
         -6.97697698         40.47524886
         -6.96696697        131.65927079
         -6.95695696         54.27364912
         -6.94694695         24.52380215
         -6.93693694          0.00000000
         -6.92692693         38.99761889
         -6.91691692         32.78977362
         -6.90690691         26.58192836
         -6.89689690         94.23128373
         -6.88688689         35.06597453
         -6.87687688         44.87174425
         -6.86686687         56.37286213
         -6.85685686         84.86348294
         -6.84684685         94.05793579
         -6.83683684        103.24988800
         -6.82682683         94.95955701
         -6.81681682         70.40621370
         -6.80680681         17.99918789
         -6.79679680        174.59625905
         -6.78678679         16.77972998
         -6.77677678         44.43337837
         -6.76676677         36.61327539
         -6.75675676         30.40026670
         -6.74674675         24.18725802
         -6.73673674         52.06085649
         -6.72672673        113.96120305
         -6.71671672         60.82951258
         -6.70670671         49.34237428
         -6.69669670         54.10107954
         -6.68668669         81.23657574
         -6.67667668         75.54162246
         -6.66666667         66.97954779
         -6.65665666         46.26265052
         -6.64664665         43.35892252
         -6.63663664         40.45519452
         -6.62662663        204.76156811
         -6.61661662         79.41098219
         -6.60660661         70.78338465
         -6.59659660         25.39197158
         -6.58658659         41.84379631
         -6.57657658        100.05976811
         -6.56656657        101.26649813
         -6.55655656         88.95800537
         -6.54654655         62.65382944
         -6.53653654         49.17203295
         -6.52652653         17.20991440
         -6.51651652          7.24753967
         -6.50650651         11.57227902
         -6.49649650         15.89701837
         -6.48648649        116.50722823
         -6.47647648         41.98939213
         -6.46646647         10.54535115
         -6.45645646         51.41716078
         -6.44644645         63.83984688
         -6.43643644          4.17178599
         -6.42642643         56.91419779
         -6.41641642         70.31206110
         -6.40640641         18.94610607
         -6.39639640         25.16422791
         -6.38638639         44.96300447
         -6.37637638         64.76178103
         -6.36636637        232.15311351
         -6.35635636         47.59071927
         -6.34634635         34.62849498
         -6.33633634         23.32007447
         -6.32632633         12.48691738
         -6.31631632          1.65376028
         -6.30630631         47.36011323
         -6.29629630         49.29143518
         -6.28628629         95.71675243
         -6.27627628         17.25859338
         -6.26626627         54.53989819
         -6.25625626        130.05824223
         -6.24624625          0.00000000
         -6.23623624          0.00000000
         -6.22622623          0.00000000
         -6.21621622          0.00000000
         -6.20620621          0.00000000
         -6.19619620         76.38435743
         -6.18618619         92.73349630
         -6.17617618         76.24754818
         -6.16616617          0.00000000
         -6.15615616          0.00000000
         -6.14614615          0.00000000
         -6.13613614          0.00000000
         -6.12612613          0.00000000
         -6.11611612          0.00000000
         -6.10610611          0.00000000
         -6.09609610          0.00000000
         -6.08608609          0.00000000
         -6.07607608          0.00000000
         -6.06606607          0.00000000
         -6.05605606          0.00000000
         -6.04604605          0.00000000
         -6.03603604          0.00000000
         -6.02602603          0.00000000
         -6.01601602          0.00000000
         -6.00600601          0.00000000
         -5.99599600          0.00000000
         -5.98598599          0.00000000
         -5.97597598          0.00000000
         -5.96596597          0.00000000
         -5.95595596          0.00000000
         -5.94594595          0.00000000
         -5.93593594          0.00000000
         -5.92592593          0.00000000
         -5.91591592          0.00000000
         -5.90590591          0.00000000
         -5.89589590          0.00000000
         -5.88588589          0.00000000
         -5.87587588          0.00000000
         -5.86586587          0.00000000
         -5.85585586          0.00000000
         -5.84584585          0.00000000
         -5.83583584          0.00000000
         -5.82582583          0.00000000
         -5.81581582          0.00000000
         -5.80580581          0.00000000
         -5.79579580          0.00000000
         -5.78578579          0.00000000
         -5.77577578          0.00000000
         -5.76576577          0.00000000
         -5.75575576          0.00000000
         -5.74574575          0.00000000
         -5.73573574          0.00000000
         -5.72572573        169.38302778
         -5.71571572        152.35983367
         -5.70570571          0.00000000
         -5.69569570          0.00000000
         -5.68568569          0.00000000
         -5.67567568          0.00000000
         -5.66566567          0.00000000
         -5.65565566          0.00000000
         -5.64564565          0.00000000
         -5.63563564          0.00000000
         -5.62562563          0.00000000
         -5.61561562          0.00000000
         -5.60560561          0.00000000
         -5.59559560          0.00000000
         -5.58558559          0.00000000
         -5.57557558          0.00000000
         -5.56556557          0.00000000
         -5.55555556          0.00000000
         -5.54554555          0.00000000
         -5.53553554          0.00000000
         -5.52552553          0.00000000
         -5.51551552          0.00000000
         -5.50550551          0.00000000
         -5.49549550          0.00000000
         -5.48548549          0.00000000
         -5.47547548          0.00000000
         -5.46546547          0.00000000
         -5.45545546          0.00000000
         -5.44544545          0.00000000
         -5.43543544          0.00000000
         -5.42542543          0.00000000
         -5.41541542          0.00000000
         -5.40540541          0.00000000
         -5.39539540          0.00000000
