#  aims_uuid : B6F145FF-F256-4C39-A717-E99596D73321                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.660801 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.33919905        0.79591064        0.07559592        0.66979282        0.04524322        0.00498070        0.00029797
       -4.32918904        2.02815782        0.21899200        1.69146591        0.10385639        0.01262236        0.00122115
       -4.31917903        1.25514896        0.11256493        1.05001735        0.08399296        0.00807995        0.00049378
       -4.30916902        1.73662590        0.09932127        1.53318111        0.09453706        0.00876502        0.00082144
       -4.29915901        1.85672714        0.24557729        1.48783719        0.11199911        0.00987667        0.00143689
       -4.28914900        0.63818814        0.06540729        0.52994232        0.03868269        0.00391732        0.00023852
       -4.27913899        0.76246759        0.08695460        0.63237214        0.03860613        0.00426104        0.00027368
       -4.26912898        1.00798983        0.13233573        0.82512861        0.04481220        0.00533168        0.00038161
       -4.25911897        3.03649171        0.32401277        2.55730250        0.13760789        0.01675024        0.00081832
       -4.24910896        1.52301247        0.17293955        1.25956608        0.07992271        0.00999601        0.00058813
       -4.23909895        2.37716440        0.32522424        1.95341263        0.08750191        0.00976530        0.00126032
       -4.22908894        0.20419762        0.02052241        0.17520723        0.00708942        0.00129078        0.00008778
       -4.21907893        1.62196647        0.18061887        1.36104579        0.07016486        0.00934929        0.00078767
       -4.20906892        1.99631584        0.22079829        1.68759772        0.07523927        0.01138595        0.00129461
       -4.19905891        1.51967670        0.14249096        1.31885396        0.04822499        0.00894240        0.00116439
       -4.18904890        2.97026482        0.32051708        2.51522127        0.11692281        0.01646221        0.00114144
       -4.17903889        0.83083400        0.09166083        0.69981394        0.03450109        0.00455995        0.00029818
       -4.16902888        1.66861408        0.20909539        1.38212753        0.06852124        0.00803978        0.00083014
       -4.15901887        1.86761881        0.10802847        1.63169211        0.11334440        0.01285721        0.00169662
       -4.14900886        0.91069076        0.04007672        0.82232224        0.04144732        0.00559428        0.00125019
       -4.13899885        2.98234303        0.23809148        2.58756385        0.13342992        0.02023435        0.00302343
       -4.12898884        0.87888994        0.07758355        0.75470158        0.04104643        0.00474592        0.00081245
       -4.11897883        0.99132956        0.09166068        0.83493747        0.05716640        0.00672182        0.00084320
       -4.10896882        1.19477338        0.09489255        1.00974420        0.07927470        0.00953460        0.00132733
       -4.09895881        0.58955705        0.03065881        0.52069240        0.03318022        0.00402321        0.00100241
       -4.08894880        0.62581967        0.03846404        0.55185473        0.03091576        0.00363535        0.00094979
       -4.07893879        0.61844256        0.04386563        0.53973646        0.03057076        0.00346253        0.00080718
       -4.06892878        1.68478743        0.09364724        1.47922596        0.09815360        0.01212575        0.00163488
       -4.05891877        0.81379925        0.04468661        0.70271045        0.05773500        0.00752265        0.00114454
       -4.04890876        0.42166811        0.02311486        0.36075642        0.03125763        0.00553243        0.00100676
       -4.03889875        0.26865269        0.01468651        0.23133005        0.01840724        0.00363398        0.00059491
       -4.02888874        0.31273456        0.01782917        0.26862059        0.02132609        0.00432037        0.00063833
       -4.01887873        0.57229133        0.04075010        0.48616450        0.03724468        0.00728988        0.00084218
       -4.00886872        0.63041856        0.04408891        0.53524870        0.04184315        0.00828187        0.00095593
       -3.99885871        0.84966898        0.05724236        0.73267578        0.04932208        0.00937552        0.00105323
       -3.98884870        0.72261189        0.04207376        0.63527125        0.03766578        0.00673890        0.00086220
       -3.97883869        0.63680404        0.02730206        0.57256745        0.03066821        0.00535682        0.00090951
       -3.96882868        0.59976950        0.02038253        0.55146443        0.02272327        0.00428429        0.00091498
       -3.95881867        0.46553665        0.01414006        0.43216978        0.01532754        0.00317037        0.00072891
       -3.94880866        0.45070117        0.01519362        0.41326003        0.01780911        0.00362128        0.00081712
       -3.93879865        0.29106177        0.01195057        0.25898129        0.01640540        0.00310914        0.00061536
       -3.92878864        0.23677061        0.01009029        0.21082843        0.01323809        0.00218670        0.00042710
       -3.91877863        0.30216706        0.01344561        0.26831762        0.01710365        0.00272717        0.00057301
       -3.90876862        0.39081395        0.01924523        0.34507259        0.02221617        0.00356681        0.00071314
       -3.89875861        0.48666107        0.02717362        0.42653350        0.02763673        0.00452649        0.00079072
       -3.88874860        0.51623290        0.03300385        0.44817788        0.02905711        0.00525339        0.00074067
       -3.87873859        0.66114806        0.04542847        0.57262463        0.03609916        0.00608681        0.00090899
       -3.86872858        0.61243140        0.04645086        0.52709125        0.03253524        0.00543770        0.00091635
       -3.85871857        0.29420380        0.01045449        0.27079909        0.01017036        0.00231233        0.00046752
       -3.84870856        0.33849041        0.01126606        0.31281342        0.01128345        0.00258133        0.00054615
       -3.83869855        0.37667414        0.01138596        0.34954309        0.01231953        0.00278965        0.00063591
       -3.82868854        0.40875499        0.01081421        0.38098810        0.01327860        0.00293728        0.00073680
       -3.81867853        0.30483566        0.00164167        0.29679749        0.00431677        0.00152739        0.00055234
       -3.80866852        0.20154337        0.00107972        0.19598807        0.00316700        0.00096041        0.00034817
       -3.79865851        0.28011011        0.00142432        0.26884148        0.00771400        0.00166460        0.00046570
       -3.78864850        0.38728841        0.00273910        0.36813826        0.01333625        0.00244938        0.00062542
       -3.77863849        0.50092818        0.00482674        0.47397964        0.01829286        0.00303186        0.00079708
       -3.76862848        1.51859311        0.04050290        1.42210079        0.04517637        0.00767707        0.00313598
       -3.75861847        0.90242221        0.03559783        0.83312864        0.02709181        0.00457450        0.00202943
       -3.74860846        0.80435557        0.01352148        0.73643809        0.04751235        0.00577738        0.00110627
       -3.73859845        0.73204780        0.01171381        0.66939261        0.04491647        0.00514003        0.00088489
       -3.72858844        0.55516093        0.00843411        0.50688448        0.03528148        0.00392463        0.00063624
       -3.71857843        0.37338495        0.00643006        0.33888430        0.02455303        0.00303226        0.00048529
       -3.70856842        0.56841906        0.00623420        0.53441044        0.02480730        0.00247731        0.00048980
       -3.69855841        0.82425922        0.01946297        0.76894861        0.03143538        0.00327515        0.00113711
       -3.68854840        1.16741255        0.06150672        1.06604790        0.03133577        0.00581619        0.00270597
       -3.67853839        0.91629336        0.03773604        0.84054491        0.03119264        0.00497433        0.00184544
       -3.66852838        1.09429960        0.03873712        1.00578681        0.04123840        0.00642611        0.00211115
       -3.65851837        1.37883115        0.03669657        1.27378602        0.05729387        0.00865615        0.00239853
       -3.64850836        3.63392169        0.12873652        3.38615082        0.09361486        0.01729836        0.00812112
       -3.63849835        5.59046459        0.11418640        5.26855101        0.17991885        0.02015949        0.00764884
       -3.62848834        0.82059983        0.00975848        0.76000963        0.04499229        0.00494101        0.00089842
       -3.61847833        0.57808500        0.01004553        0.53060987        0.03208003        0.00452513        0.00082445
       -3.60846832        4.19379678        0.04829957        3.79541638        0.30421019        0.03741585        0.00845478
       -3.59845831        1.58542864        0.03595634        1.44580626        0.08243383        0.01693356        0.00429866
       -3.58844830        1.70653478        0.02371977        1.57446347        0.09393355        0.01190640        0.00251158
       -3.57843829        1.84286511        0.02133468        1.71792482        0.08634989        0.01436829        0.00288743
       -3.56842828        0.36924305        0.00482562        0.34122356        0.01933627        0.00336110        0.00049651
       -3.55841827        1.97882606        0.01230613        1.83680425        0.11170167        0.01567386        0.00234015
       -3.54840826        6.73580171        0.06960548        6.38319948        0.23102074        0.04123316        0.01074286
       -3.53839825        1.63763121        0.01781231        1.52527507        0.07547328        0.01663590        0.00243465
       -3.52838824        2.51583990        0.03919246        2.37226104        0.07876473        0.02139115        0.00423052
       -3.51837823        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.50836822        0.50658265        0.00495855        0.47789016        0.02072871        0.00260453        0.00040069
       -3.49835821        0.82814235        0.00631942        0.78237474        0.03283234        0.00560550        0.00101034
       -3.48834820        5.47595580        0.05600540        5.12175861        0.24569325        0.04534931        0.00714923
       -3.47833819        0.74371844        0.01478208        0.69105471        0.03309955        0.00399073        0.00079137
       -3.46832818        1.09754077        0.02644382        0.99410380        0.06612111        0.00939492        0.00147713
       -3.45831817        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.44830816        3.21367688        0.07249722        2.92900531        0.18356985        0.02496597        0.00363853
       -3.43829815        2.29821716        0.01605170        2.19397874        0.07653814        0.00864751        0.00300108
       -3.42828814        1.20868156        0.03071443        1.09021659        0.06325953        0.02105608        0.00343493
       -3.41827813        1.13469090        0.01810393        1.01346959        0.08021817        0.01980221        0.00309700
       -3.40826812        0.18075198        0.00084586        0.16386136        0.01222291        0.00330659        0.00051526
       -3.39825811        0.50307948        0.00184258        0.47446800        0.02158201        0.00442468        0.00076222
       -3.38824810        0.51145646        0.00395853        0.48379490        0.01878493        0.00425376        0.00066435
       -3.37823809        0.56556040        0.00407097        0.53048771        0.02451940        0.00559115        0.00089117
       -3.36822808        0.53890941        0.00417035        0.50908363        0.02010943        0.00480668        0.00073932
       -3.35821807        0.86135129        0.00699330        0.81865529        0.02756842        0.00692645        0.00120782
       -3.34820806        0.71574844        0.00559056        0.67909838        0.02371741        0.00642964        0.00091247
       -3.33819805        0.53035188        0.00442275        0.50148255        0.01870920        0.00500635        0.00073103
       -3.32818804        0.38140187        0.00353044        0.35745194        0.01580019        0.00399357        0.00062573
       -3.31817803        0.33265114        0.00345745        0.30934656        0.01573403        0.00346366        0.00064944
       -3.30816802        0.30259620        0.00378848        0.27778884        0.01699705        0.00330452        0.00071731
       -3.29815801        0.43968541        0.00935299        0.38442066        0.03706224        0.00725992        0.00158960
       -3.28814800        0.37537011        0.00566900        0.33770772        0.02676294        0.00417152        0.00105894
       -3.27813799        0.40896551        0.00512025        0.38717426        0.01347745        0.00263200        0.00056154
       -3.26812798        1.14936590        0.01186089        1.09754137        0.03256139        0.00595888        0.00144337
       -3.25811797        1.33640713        0.01497239        1.27693201        0.03685040        0.00626422        0.00138810
       -3.24810796        0.06327209        0.00121636        0.06032927        0.00133595        0.00029317        0.00009734
       -3.23809795        0.31291440        0.00832986        0.29545683        0.00675453        0.00196326        0.00040992
       -3.22808794        0.52787299        0.01193652        0.48966546        0.01967660        0.00553255        0.00106185
       -3.21807793        0.46252114        0.01045655        0.42726077        0.01937455        0.00451819        0.00091108
       -3.20806792        0.39297508        0.00935044        0.36268327        0.01706585        0.00318266        0.00069286
       -3.19805791        0.05875097        0.00176131        0.05390104        0.00261032        0.00039884        0.00007945
       -3.18804790        0.04716492        0.00138141        0.04273748        0.00262450        0.00036203        0.00005950
       -3.17803789        0.37066774        0.00346283        0.34062128        0.02333165        0.00276969        0.00048229
       -3.16802788        0.53957991        0.00361339        0.50605762        0.02577883        0.00347957        0.00065051
       -3.15801787        0.79273431        0.00682244        0.74892770        0.03080616        0.00504961        0.00112840
       -3.14800786        0.59962561        0.00956813        0.56538962        0.01994572        0.00369194        0.00103021
       -3.13799785        0.17139143        0.00540283        0.15662556        0.00765249        0.00135280        0.00035774
       -3.12798784        0.15058229        0.00491927        0.13581101        0.00836997        0.00119312        0.00028892
       -3.11797783        0.30250162        0.00682583        0.27778345        0.01564246        0.00182977        0.00042010
       -3.10796782        0.29413558        0.00681703        0.26769538        0.01707878        0.00211706        0.00042733
       -3.09795781        0.28848723        0.00681009        0.26081425        0.01810598        0.00232800        0.00042891
       -3.08794780        0.28555656        0.00680501        0.25714006        0.01872405        0.00246260        0.00042485
       -3.07793779        0.28688737        0.00680171        0.25778130        0.01933365        0.00255602        0.00041469
       -3.06792778        0.29163624        0.00679136        0.26205980        0.01979263        0.00259426        0.00039819
       -3.05791777        0.52659698        0.00772601        0.47550846        0.03761050        0.00499418        0.00075783
       -3.04790776        0.47144417        0.00778939        0.42812447        0.03104877        0.00390853        0.00057301
       -3.03789775        0.65443763        0.01376167        0.57287465        0.06012631        0.00676934        0.00090567
       -3.02788774        0.74771188        0.01910278        0.64704058        0.07341062        0.00723275        0.00092514
       -3.01787773        0.69518527        0.01280128        0.62678067        0.04813415        0.00653219        0.00093699
       -3.00786772        0.64471321        0.00928806        0.59347820        0.03546461        0.00564978        0.00083255
       -2.99785771        0.63115736        0.00819484        0.58506048        0.03180778        0.00530451        0.00078975
       -2.98784770        1.19954139        0.02187632        1.11306886        0.05385043        0.00942730        0.00131848
       -2.97783769        0.61759818        0.00454062        0.57827037        0.02847360        0.00547346        0.00084014
       -2.96782768        1.20112435        0.01596055        1.13681589        0.04026429        0.00701003        0.00107359
       -2.95781767        0.64100752        0.00638042        0.59468216        0.03137682        0.00746858        0.00109954
       -2.94780766        0.51006258        0.00484325        0.46962880        0.02769775        0.00688494        0.00100785
       -2.93779765        0.41556991        0.00364538        0.38023353        0.02464680        0.00614752        0.00089669
       -2.92778764        0.58717910        0.00399450        0.52346213        0.04673496        0.01142613        0.00156139
       -2.91777763        0.38393308        0.00232637        0.35483781        0.02179246        0.00429601        0.00068043
