#  aims_uuid : B6F145FF-F256-4C39-A717-E99596D73321                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.14705688        0.00806299        0.12758999        0.00971402        0.00142324        0.00026665
       -9.98998999        0.32134620        0.01013945        0.28209890        0.02436710        0.00394530        0.00079544
       -9.97997998        0.42872416        0.01065629        0.39146731        0.02291983        0.00303062        0.00065012
       -9.96996997        1.17560448        0.01804224        1.11167596        0.03846323        0.00589889        0.00152415
       -9.95995996        0.46336961        0.01974692        0.40378951        0.03275032        0.00607109        0.00101176
       -9.94994995        0.16293906        0.00272657        0.14124820        0.01679250        0.00186540        0.00030639
       -9.93993994        0.13295162        0.00487523        0.11062676        0.01536681        0.00176996        0.00031286
       -9.92992993        0.13466716        0.01010809        0.10434299        0.01773754        0.00210158        0.00037696
       -9.91991992        0.31388947        0.01284232        0.25492976        0.04172096        0.00383299        0.00056344
       -9.90990991        0.29844514        0.00911795        0.24468325        0.04016847        0.00394617        0.00052930
       -9.89989990        0.33586359        0.02467847        0.26258344        0.04254826        0.00535147        0.00070195
       -9.88988989        0.06099398        0.00132070        0.05524428        0.00383830        0.00045476        0.00013594
       -9.87987988        0.23764339        0.01640429        0.19772432        0.01970790        0.00311639        0.00069049
       -9.86986987        0.57635122        0.02792091        0.50082010        0.03982153        0.00622464        0.00156405
       -9.85985986        0.67432298        0.01940903        0.61192912        0.03625336        0.00509982        0.00163165
       -9.84984985        0.48374016        0.02115566        0.39965030        0.05468180        0.00670966        0.00154274
       -9.83983984        0.13361962        0.00373769        0.11024705        0.01707130        0.00212367        0.00043992
       -9.82982983        0.34996720        0.02990803        0.28420910        0.03036161        0.00464252        0.00084594
       -9.81981982        0.82197552        0.04845492        0.68976823        0.07580377        0.00651926        0.00142934
       -9.80980981        0.51633418        0.01932738        0.46981796        0.02239736        0.00394826        0.00084322
       -9.79979980        1.00830515        0.06759291        0.86681577        0.06046692        0.01114344        0.00228612
       -9.78978979        0.34709238        0.01353632        0.31351934        0.01606857        0.00326216        0.00070598
       -9.77977978        0.33499756        0.01788651        0.29639736        0.01670565        0.00333729        0.00067075
       -9.76976977        0.47348431        0.02687601        0.42017355        0.02137254        0.00415720        0.00090500
       -9.75975976        0.38285942        0.01575606        0.34831125        0.01538942        0.00269158        0.00071111
       -9.74974975        0.43451471        0.01893198        0.39409167        0.01800922        0.00273325        0.00074858
       -9.73973974        0.48807426        0.02593376        0.43623312        0.02221317        0.00295640        0.00073781
       -9.72972973        1.12583749        0.05521418        1.00571395        0.05663714        0.00704463        0.00122758
       -9.71971972        0.66202493        0.03646202        0.58771725        0.03316776        0.00391071        0.00076718
       -9.70970971        0.56293473        0.03184658        0.50015192        0.02746117        0.00273402        0.00074104
       -9.69969970        0.35137301        0.01809556        0.31263364        0.01832363        0.00182974        0.00049045
       -9.68968969        0.37638670        0.01939990        0.33420143        0.02013520        0.00211006        0.00054012
       -9.67967968        0.68915940        0.05389537        0.59225466        0.03781465        0.00437912        0.00081560
       -9.66966967        0.77109804        0.06043148        0.66199204        0.04288474        0.00490963        0.00088014
       -9.65965966        0.83100017        0.06203410        0.71385769        0.04832694        0.00577017        0.00101127
       -9.64964965        0.68726919        0.05201053        0.59040120        0.03927498        0.00472743        0.00085506
       -9.63963964        0.60955797        0.04409210        0.52639000        0.03405904        0.00415667        0.00086017
       -9.62962963        0.45713777        0.02738003        0.40251518        0.02329743        0.00313144        0.00081369
       -9.61961962        0.32733244        0.01578864        0.29414331        0.01463436        0.00212286        0.00064327
       -9.60960961        0.38621542        0.02538208        0.34117917        0.01636835        0.00258546        0.00070037
       -9.59959960        0.39686157        0.02741505        0.35142557        0.01507438        0.00240232        0.00054424
       -9.58958959        0.40713832        0.02149189        0.37092344        0.01256646        0.00180524        0.00035129
       -9.57957958        0.56417681        0.03119737        0.51290151        0.01728831        0.00235978        0.00042984
       -9.56956957        0.78158842        0.04605009        0.70691085        0.02498464        0.00311758        0.00052526
       -9.55955956        1.03873422        0.06459254        0.93459158        0.03501087        0.00394428        0.00059496
       -9.54954955        1.35789067        0.08979267        1.21377375        0.04865327        0.00502354        0.00064744
       -9.53953954        2.01801413        0.15164343        1.77456384        0.08206413        0.00888015        0.00086257
       -9.52952953        2.52472763        0.20803008        2.20232096        0.10143522        0.01188448        0.00105689
       -9.51951952        0.42003207        0.01862549        0.38410338        0.01516587        0.00174852        0.00038881
       -9.50950951        0.49179208        0.02285081        0.44750900        0.01873934        0.00221692        0.00047601
       -9.49949950        0.57086490        0.02811084        0.51634808        0.02301775        0.00280308        0.00058514
       -9.48948949        0.65725053        0.03440558        0.59062063        0.02800111        0.00350699        0.00071622
       -9.47947948        0.11565550        0.00143191        0.10902006        0.00376350        0.00105669        0.00038334
       -9.46946947        0.07369958        0.00111380        0.06911079        0.00257922        0.00065657        0.00023921
       -9.45945946        0.15830658        0.00244294        0.14838627        0.00610040        0.00104491        0.00033206
       -9.44944945        0.26345153        0.00599889        0.24479492        0.01064283        0.00157808        0.00043682
       -9.43943944        0.35826597        0.01160522        0.32910258        0.01489458        0.00213645        0.00052714
       -9.42942943        0.69832026        0.02787047        0.63195384        0.03191326        0.00519885        0.00138383
       -9.41941942        0.65666756        0.03509624        0.58628845        0.03027449        0.00410772        0.00090066
       -9.40940941        1.40745633        0.07470943        1.26551709        0.05833178        0.00785645        0.00104158
       -9.39939940        1.47859531        0.08138136        1.33015979        0.05847670        0.00756544        0.00101203
       -9.38938939        1.31073368        0.07931604        1.17243949        0.05140095        0.00675188        0.00082532
       -9.37937938        1.15569399        0.07632834        1.02725665        0.04533153        0.00611191        0.00066555
       -9.36936937        1.05421682        0.07425625        0.93231229        0.04141258        0.00559397        0.00064171
       -9.35935936        0.91333996        0.05437765        0.81401099        0.03851624        0.00528475        0.00115033
       -9.34934935        1.19293255        0.07021163        1.06004510        0.05359415        0.00702742        0.00205425
       -9.33933934        1.13853863        0.07763763        1.00539565        0.04725130        0.00684644        0.00140760
       -9.32932933        1.43567713        0.10943350        1.25900403        0.05682838        0.00894402        0.00146719
       -9.31931932        1.70386741        0.13827740        1.49301341        0.06061363        0.01052474        0.00143823
       -9.30930931        1.80465441        0.14102489        1.57065619        0.07543265        0.01466176        0.00287893
       -9.29929930        1.95263749        0.15552351        1.68199481        0.08361962        0.02532031        0.00617923
       -9.28928929        0.77534829        0.05372310        0.67374759        0.03960226        0.00722842        0.00104692
       -9.27927928        1.30972082        0.10896455        1.12544398        0.06354076        0.01068084        0.00109069
       -9.26926927        1.62866796        0.03206569        1.38901347        0.15608867        0.04262235        0.00887778
       -9.25925926        0.97409424        0.04882467        0.85801832        0.05465591        0.00963970        0.00295564
       -9.24924925        1.00894789        0.04103014        0.90767000        0.05062183        0.00771304        0.00191289
       -9.23923924        1.09005121        0.04946823        0.97528423        0.05472926        0.00818018        0.00238931
       -9.22922923        0.24910751        0.01546806        0.21936549        0.01225574        0.00164769        0.00037052
       -9.21921922        2.07172428        0.09748603        1.88744161        0.07786887        0.00665560        0.00227218
       -9.20920921        2.00949541        0.10219482        1.77613110        0.10127885        0.02326329        0.00662735
       -9.19919920        0.72712096        0.02548668        0.64758773        0.03831125        0.01308933        0.00264597
       -9.18918919        0.62661414        0.01959171        0.56256863        0.03401560        0.00851455        0.00192365
       -9.17917918        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.16916917        0.76367866        0.01166209        0.72326133        0.02303412        0.00447074        0.00125039
       -9.15915916        0.97763503        0.01892695        0.91742976        0.03412994        0.00555504        0.00159334
       -9.14914915        3.08088174        0.11322784        2.77993227        0.15241734        0.02902279        0.00628150
       -9.13913914        0.62368208        0.03099431        0.55791855        0.02999639        0.00410539        0.00066744
       -9.12912913        2.17224272        0.12835999        1.94858968        0.08437675        0.00951932        0.00139698
       -9.11911912        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.10910911        7.31596021        0.44106707        6.58363954        0.24846857        0.03780079        0.00498424
       -9.09909910        1.00825722        0.06609703        0.88353760        0.04672219        0.01042757        0.00147282
       -9.08908909        0.96412897        0.04793939        0.84765599        0.05149378        0.01477816        0.00226165
       -9.07907908        2.32503847        0.05825453        2.16788384        0.08323255        0.01335193        0.00231562
       -9.06906907        0.40009157        0.00257167        0.38178061        0.01418357        0.00123781        0.00031791
       -9.05905906        0.42651059        0.00389394        0.40325372        0.01694950        0.00180825        0.00060517
       -9.04904905        0.46625532        0.00583302        0.43817123        0.01850675        0.00286681        0.00087752
       -9.03903904        0.57279998        0.00735786        0.53778321        0.02411612        0.00273765        0.00080513
       -9.02902903        0.41478182        0.00628562        0.38776219        0.01777781        0.00232463        0.00063156
       -9.01901902        1.77471880        0.06332367        1.64970098        0.05550985        0.00479483        0.00138947
       -9.00900901        0.47487054        0.00744819        0.44244793        0.02091246        0.00333648        0.00072549
       -8.99899900        0.39757877        0.00655324        0.37004777        0.01755022        0.00280112        0.00062641
       -8.98898899        0.35979303        0.00635541        0.33465343        0.01583632        0.00239428        0.00055359
       -8.97897898        0.63772016        0.01857720        0.59306153        0.02285637        0.00256025        0.00066481
       -8.96896897        0.88983944        0.03174105        0.82503531        0.02933334        0.00291425        0.00081550
       -8.95895896        1.69782786        0.06403803        1.56648379        0.05892868        0.00663747        0.00173989
       -8.94894895        1.24303268        0.05733527        1.14188697        0.03868044        0.00391273        0.00121728
       -8.93893894        1.09308514        0.05297646        1.00591217        0.03036043        0.00283202        0.00100408
       -8.92892893        3.16767291        0.12808359        2.94120200        0.08667307        0.00892629        0.00278796
       -8.91891892        2.76584836        0.10579779        2.56793737        0.08106308        0.00848660        0.00256352
       -8.90890891        0.25378592        0.00989457        0.23743034        0.00575078        0.00052083        0.00018941
       -8.89889890        0.51743284        0.01874119        0.47976379        0.01587408        0.00260419        0.00044959
       -8.88888889        0.88120315        0.03424651        0.81198325        0.02915045        0.00478123        0.00104171
       -8.87887888        0.76685158        0.02684364        0.70738467        0.02711493        0.00449139        0.00101694
       -8.86886887        0.62002362        0.01846627        0.57296923        0.02366375        0.00403109        0.00089328
       -8.85885886        0.16634461        0.00630100        0.15614557        0.00342095        0.00035307        0.00012402
       -8.84884885        0.12642671        0.00463290        0.11877526        0.00264577        0.00027639        0.00009639
       -8.83883884        0.59803798        0.01229336        0.55195467        0.03006212        0.00305411        0.00067370
       -8.82882883        0.81971232        0.01844057        0.76591138        0.03067189        0.00373830        0.00095018
       -8.81881882        1.72536645        0.06079685        1.60840921        0.04875688        0.00564463        0.00175889
       -8.80880881        2.21103600        0.08469732        2.07900461        0.04122160        0.00422935        0.00188313
       -8.79879880        0.93293518        0.04123410        0.87223049        0.01757597        0.00117958        0.00071504
       -8.78878879        0.74861176        0.03294244        0.69950622        0.01445209        0.00114181        0.00056919
       -8.77877878        1.07803572        0.03769913        1.01494136        0.02291697        0.00173738        0.00074087
       -8.76876877        0.93883860        0.03271865        0.88179503        0.02173010        0.00192597        0.00066885
