#  aims_uuid : 8EBCBA7B-3EF1-44B7-A15D-B3D68FF0703D                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.52164462        0.00522497        0.05340985        0.45814601        0.00358869        0.00127510
       -9.98998999        0.59859837        0.00586309        0.09094378        0.49618349        0.00432970        0.00127830
       -9.97997998        1.29758916        0.01502461        0.19193523        1.07694865        0.01078381        0.00289686
       -9.96996997        0.94777526        0.07208321        0.14686141        0.70630861        0.02018200        0.00234004
       -9.95995996        0.55754039        0.01599833        0.09176236        0.43588298        0.01296035        0.00093636
       -9.94994995        0.86618679        0.01244084        0.12489918        0.71509671        0.01207605        0.00167400
       -9.93993994        1.67933665        0.04346343        0.19057290        1.41888437        0.02446891        0.00194704
       -9.92992993        1.45471909        0.04656717        0.31225845        1.06996300        0.02374472        0.00218576
       -9.91991992        0.58635886        0.03103071        0.13192568        0.41597351        0.00595185        0.00147710
       -9.90990991        1.73790754        0.16814348        0.37961582        1.15347148        0.03015128        0.00652549
       -9.89989990        0.34053251        0.01054765        0.11263611        0.21278004        0.00355182        0.00101689
       -9.88988989        1.22486378        0.03574192        0.38308671        0.78571458        0.01625221        0.00406836
       -9.87987988        0.61367472        0.03776505        0.08800064        0.47851607        0.00810361        0.00128935
       -9.86986987        1.69853672        0.12667367        0.46580262        1.08347965        0.01886227        0.00371851
       -9.85985986        1.73947900        0.13941896        0.38605591        1.19461099        0.01655153        0.00284161
       -9.84984985        2.17018565        0.20861963        0.36870746        1.56406497        0.02487605        0.00391755
       -9.83983984        1.56454722        0.11629290        0.28658457        1.13790066        0.02108768        0.00268141
       -9.82982983        2.19065724        0.11470811        0.30607365        1.73648100        0.03019454        0.00319995
       -9.81981982        1.09791665        0.25375505        0.20968185        0.61078200        0.02131847        0.00237927
       -9.80980981        0.70831601        0.07984018        0.19936697        0.41455819        0.01252961        0.00202104
       -9.79979980        1.87356711        0.33004384        0.39128583        1.11470557        0.03410962        0.00342225
       -9.78978979        1.47164319        0.21180972        0.33917116        0.89880086        0.01923252        0.00262892
       -9.77977978        0.09790118        0.02644581        0.02425044        0.04504936        0.00179906        0.00035651
       -9.76976977        1.54277191        0.39341219        0.30543924        0.82062956        0.02068483        0.00260609
       -9.75975976        0.79356255        0.14415873        0.19310074        0.43920900        0.01498705        0.00210703
       -9.74974975        1.82707179        0.33089596        0.17562671        1.30209163        0.01644793        0.00200956
