#  aims_uuid : A1CD1298-1D66-425F-AD6C-1978470320BD                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.081575 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.91842482        0.91839091        0.04070852        0.11808937        0.74758169        0.01026693        0.00174440
       -4.90841481        0.59158425        0.02159446        0.08000163        0.48264978        0.00635421        0.00098417
       -4.89840480        1.11653919        0.05615776        0.16103701        0.88500953        0.01243548        0.00189940
       -4.88839479        1.97856661        0.18442097        0.28912872        1.48147019        0.01999204        0.00355468
       -4.87838478        1.81804986        0.10528133        0.24354476        1.44781007        0.01854560        0.00286809
       -4.86837477        1.70383859        0.12640825        0.28606345        1.26598373        0.02203356        0.00334959
       -4.85836476        1.85475329        0.14759208        0.33887917        1.33764075        0.02656671        0.00407457
       -4.84835475        1.69470817        0.17873912        0.31918957        1.16437694        0.02810750        0.00429504
       -4.83834474        1.16790200        0.15209482        0.21386986        0.77755233        0.02129713        0.00308786
       -4.82833473        0.89661143        0.13934239        0.15754326        0.58058772        0.01688925        0.00224881
       -4.81832472        1.37652949        0.23303260        0.26529687        0.84639851        0.02805880        0.00374271
       -4.80831471        1.55946402        0.21593786        0.35218634        0.95398684        0.03296811        0.00438487
       -4.79830470        0.90136870        0.11330127        0.29945858        0.46767712        0.01801144        0.00292029
       -4.78829469        0.48473374        0.07191621        0.07909335        0.32195619        0.01076305        0.00100493
       -4.77828468        1.14943890        0.27622558        0.15970144        0.69238102        0.01833958        0.00279129
       -4.76827467        0.54582496        0.12206293        0.10681065        0.30761537        0.00781002        0.00152599
       -4.75826466        1.66873735        0.30974137        0.42022776        0.90869121        0.02574644        0.00433056
       -4.74825465        1.43133324        0.31044052        0.32060144        0.77480925        0.02190993        0.00357210
       -4.73824464        1.63965482        0.31752330        0.37000062        0.92144000        0.02653260        0.00415831
       -4.72823463        0.80040423        0.15992840        0.18197248        0.44232162        0.01409917        0.00208256
       -4.71822462        0.63743996        0.14583072        0.13387762        0.34482844        0.01119222        0.00171095
       -4.70821461        0.72579625        0.13385365        0.13302306        0.44300980        0.01406340        0.00184634
       -4.69820460        1.98101974        0.19793777        0.33039776        1.41372435        0.03444562        0.00451423
       -4.68819459        1.68625548        0.16558333        0.27288600        1.21629801        0.02769976        0.00378840
       -4.67818458        2.27470484        0.36302948        0.35137000        1.51858384        0.03680588        0.00491564
       -4.66817457        1.30437256        0.22500750        0.18768299        0.86986682        0.01910644        0.00270881
       -4.65816456        2.16553435        0.28928372        0.22041692        1.61425015        0.03806581        0.00351776
       -4.64815455        0.56988472        0.08854347        0.06537867        0.40417233        0.01079691        0.00099335
       -4.63814454        0.38941382        0.05796101        0.04510158        0.27809181        0.00758731        0.00067211
       -4.62813453        0.27863673        0.03914330        0.03468746        0.19859083        0.00574023        0.00047490
       -4.61812452        0.21130345        0.03142674        0.02975475        0.14477224        0.00496109        0.00038864
       -4.60811451        0.15505181        0.02448565        0.02494493        0.10103333        0.00427356        0.00031435
       -4.59810450        0.11744084        0.01982800        0.02143757        0.07216329        0.00374806        0.00026393
       -4.58809449        0.29985345        0.05919457        0.03938849        0.19374198        0.00681024        0.00071817
       -4.57808448        1.21037171        0.12641847        0.07082140        0.99099867        0.01991890        0.00221428
       -4.56807447        4.20603122        0.52928880        0.19890348        3.38124442        0.09013815        0.00645638
       -4.55806446        0.15817683        0.00664613        0.01439297        0.13319049        0.00374580        0.00020144
       -4.54805445        0.41400219        0.01816417        0.03628500        0.34767918        0.01133006        0.00054378
       -4.53804444        0.51658874        0.02427797        0.04439448        0.43087313        0.01636399        0.00067917
       -4.52803443        0.90467594        0.05286520        0.06600552        0.75674960        0.02739147        0.00166415
       -4.51802442        0.26094360        0.00706386        0.03641316        0.20937539        0.00761710        0.00047409
       -4.50801441        0.30336701        0.01287602        0.02827132        0.25409750        0.00752790        0.00059428
       -4.49800440        0.31643500        0.01976942        0.02602441        0.26386610        0.00604100        0.00073409
       -4.48799439        0.42022696        0.02485246        0.05532859        0.33224433        0.00673558        0.00106601
       -4.47798438        0.79473507        0.04826352        0.09060841        0.64200413        0.01176021        0.00209881
       -4.46797437        1.07592470        0.08050282        0.09023145        0.88824785        0.01399553        0.00294704
       -4.45796436        0.37619826        0.01559261        0.04464120        0.30625766        0.00879901        0.00090778
       -4.44795435        0.36489549        0.02223811        0.02960375        0.30505708        0.00711526        0.00088129
       -4.43794434        0.42277502        0.03076196        0.02481522        0.35857042        0.00761140        0.00101602
       -4.42793433        0.56402285        0.04755037        0.02561643        0.48053206        0.00891920        0.00140478
       -4.41792432        0.19632898        0.01587541        0.01114347        0.16576723        0.00295516        0.00058771
       -4.40791431        0.29601996        0.02105867        0.01837154        0.25042996        0.00532582        0.00083397
       -4.39790430        0.37578059        0.02243296        0.02562646        0.31867510        0.00806616        0.00097991
       -4.38789429        0.43561086        0.01999825        0.03290824        0.37050266        0.01117617        0.00102553
       -4.37788428        0.40512194        0.01427467        0.03235639        0.34686453        0.01073895        0.00088741
       -4.36787427        0.42500686        0.00983788        0.03560570        0.36706106        0.01166708        0.00083515
       -4.35786426        0.86634078        0.01158166        0.07317800        0.75759088        0.02246203        0.00152820
       -4.34785425        0.61529083        0.01335582        0.05141379        0.53459839        0.01445964        0.00146319
       -4.33784424        0.46353794        0.01129349        0.04228554        0.39806044        0.01078145        0.00111702
       -4.32783423        0.27729174        0.00797798        0.02267987        0.24068374        0.00530157        0.00064858
       -4.31782422        0.38294878        0.01323654        0.02569374        0.33717347        0.00594465        0.00090039
       -4.30781421        0.56242769        0.01570632        0.05027102        0.48663524        0.00824707        0.00156804
       -4.29780420        0.81246737        0.01573343        0.08784157        0.69458076        0.01158919        0.00272243
       -4.28779419        0.94955032        0.01352665        0.10090860        0.81865276        0.01314345        0.00331886
       -4.27778418        1.20508328        0.01375417        0.12819258        1.04276560        0.01603812        0.00433281
       -4.26777417        1.24918293        0.01411708        0.11843794        1.09752023        0.01487499        0.00423270
       -4.25776416        1.53265275        0.01981075        0.12951494        1.36209651        0.01666644        0.00456411
       -4.24775415        1.62769768        0.02082090        0.13818929        1.44775469        0.01649184        0.00444095
       -4.23774414        2.22472256        0.04786527        0.19550956        1.95265308        0.02196567        0.00672899
       -4.22773413        2.22138439        0.03069287        0.16735427        1.99350423        0.02349623        0.00633678
       -4.21772412        1.96454521        0.01344027        0.15872480        1.76537498        0.02064838        0.00635679
       -4.20771411        2.80945111        0.01531661        0.18473781        2.56478438        0.03348581        0.01112651
       -4.19770410        3.16278677        0.02103145        0.30173376        2.77813694        0.04902823        0.01285640
       -4.18769409        0.84345011        0.00441320        0.20208932        0.62206609        0.01097293        0.00390857
       -4.17768408        1.28005585        0.02006420        0.16493424        1.06824819        0.02024523        0.00656399
       -4.16767407        2.58714296        0.01795809        0.21544213        2.31729677        0.02576076        0.01068520
       -4.15766406        3.35608329        0.01714916        0.23168374        3.06682581        0.02558324        0.01484135
       -4.14765405        2.10664351        0.00403842        0.17605285        1.90290922        0.01847311        0.00516991
       -4.13764404        1.25249796        0.01409187        0.22278736        0.99455569        0.01396180        0.00710124
       -4.12763403        1.78254674        0.01219656        0.23824683        1.50962411        0.01355801        0.00892123
       -4.11762402        1.40807520        0.01980563        0.18732603        1.18184934        0.01434098        0.00475321
       -4.10761401        1.13753497        0.01865533        0.08144907        1.01586310        0.01667560        0.00489186
       -4.09760400        2.12476630        0.03438943        0.16316425        1.89645464        0.02283076        0.00792723
       -4.08759399        1.20141777        0.01081509        0.10122370        1.07323844        0.01180401        0.00433653
       -4.07758398        0.48575556        0.00545674        0.07655609        0.39677500        0.00465481        0.00231292
       -4.06757397        0.81867729        0.00578403        0.11955919        0.68049758        0.00924898        0.00358751
       -4.05756396        2.70249442        0.00654719        0.22611150        2.42997558        0.02677921        0.01308093
       -4.04755395        3.04561632        0.00814309        0.81871387        2.17925950        0.02781019        0.01168967
       -4.03754394        0.64431683        0.00483071        0.06727697        0.56357721        0.00551292        0.00311904
       -4.02753393        1.72679547        0.00558083        0.16643959        1.53131007        0.01559641        0.00786856
       -4.01752392        0.99071521        0.00528101        0.05945552        0.91308275        0.00869429        0.00420164
       -4.00751391        1.02447595        0.00551161        0.09332585        0.90847308        0.01204267        0.00512273
       -3.99750390        1.05328570        0.00529724        0.11381937        0.91526057        0.01385712        0.00505141
       -3.98749389        0.90958616        0.00460839        0.10948532        0.77930777        0.01217582        0.00400886
       -3.97748388        1.14799765        0.00492324        0.15093864        0.96968402        0.01768460        0.00476714
       -3.96747387        0.77965394        0.00405612        0.09363825        0.66775186        0.01096544        0.00324227
       -3.95746386        0.67599263        0.00505690        0.07429294        0.58430994        0.00957484        0.00275800
       -3.94745385        0.50646793        0.00548286        0.05444695        0.43695266        0.00753029        0.00205518
       -3.93744384        0.34490673        0.00515544        0.03581474        0.29707335        0.00546620        0.00139699
       -3.92743383        0.19612053        0.00408146        0.01900275        0.16880743        0.00342702        0.00080188
       -3.91742382        1.47780970        0.00467032        0.10161980        1.34870629        0.01856365        0.00424964
       -3.90741381        0.63772115        0.00348874        0.01764524        0.60518590        0.00999495        0.00140633
       -3.89740380        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.88739379        3.77217182        0.01981698        0.22062111        3.42566066        0.09297172        0.01310136
       -3.87738378        0.26219138        0.00153698        0.01928105        0.23417421        0.00659724        0.00060191
       -3.86737377        0.42814961        0.00532816        0.02849077        0.38490257        0.00827528        0.00115283
       -3.85736376        0.27834682        0.00312701        0.02263433        0.24598745        0.00578950        0.00080855
       -3.84735375        0.24019898        0.00282506        0.02113402        0.21047167        0.00501292        0.00075531
       -3.83734374        0.36804997        0.00478151        0.05742363        0.29825156        0.00645156        0.00114171
       -3.82733373        0.53769320        0.01046599        0.07295994        0.44422169        0.00793098        0.00211460
       -3.81732372        0.50138149        0.00807196        0.06204643        0.42099926        0.00818390        0.00207993
       -3.80731371        0.46462127        0.00622753        0.05239411        0.39554476        0.00843472        0.00202015
       -3.79730370        0.42899072        0.00526034        0.05820629        0.35351164        0.00998213        0.00203031
       -3.78729369        0.49403112        0.00534381        0.05797157        0.41415834        0.01418550        0.00237190
       -3.77728368        0.37592315        0.00244218        0.02006307        0.34290574        0.00943863        0.00107353
       -3.76727367        0.85258814        0.00438596        0.03187804        0.79727246        0.01660172        0.00244995
       -3.75726366        0.47962856        0.00496465        0.02710871        0.43695944        0.00911804        0.00147771
       -3.74725365        0.44975624        0.00684067        0.03158916        0.40193802        0.00793881        0.00144959
       -3.73724364        0.67397019        0.01036724        0.04365603        0.60660552        0.01110439        0.00223701
       -3.72723363        0.44400663        0.00605972        0.03673079        0.39200325        0.00776169        0.00145119
       -3.71722362        0.41018982        0.00563039        0.04208732        0.35367771        0.00748173        0.00131266
       -3.70721361        0.37698262        0.00508144        0.04436845        0.31933077        0.00700582        0.00119614
       -3.69720360        0.33543837        0.00434808        0.04287314        0.28094196        0.00620187        0.00107332
       -3.68719359        0.26318694        0.00321478        0.03498860        0.21940025        0.00471466        0.00086865
       -3.67718358        0.40692115        0.00230626        0.03533396        0.36133018        0.00654306        0.00140769
       -3.66717357        0.36705259        0.00242125        0.03529061        0.32227459        0.00579245        0.00127368
       -3.65716356        0.32881624        0.00246079        0.03427633        0.28587505        0.00506334        0.00114073
       -3.64715355        0.45093412        0.00554108        0.07932379        0.35515097        0.00953513        0.00138315
       -3.63714354        0.58602514        0.00521169        0.07101838        0.49324923        0.01490070        0.00164514
       -3.62713353        0.35569871        0.00348648        0.04224599        0.30131814        0.00760487        0.00104323
       -3.61712352        0.99937602        0.00523946        0.07540614        0.89580314        0.02092556        0.00200172
       -3.60711351        0.73634227        0.00570554        0.07929469        0.63632658        0.01310655        0.00190890
       -3.59710350        0.80277213        0.00714087        0.08974897        0.69090942        0.01278629        0.00218659
       -3.58709349        0.85624262        0.00902062        0.09853532        0.73375578        0.01257201        0.00235889
       -3.57708348        0.66919711        0.00934090        0.10978861        0.53488532        0.01349365        0.00168863
       -3.56707347        1.04469086        0.01328206        0.14167502        0.86493705        0.02218984        0.00260689
       -3.55706346        1.07118854        0.01408589        0.13055389        0.89959684        0.02409007        0.00286184
       -3.54705345        0.86636690        0.01494356        0.12752682        0.70284779        0.01845513        0.00259360
       -3.53704344        0.84026399        0.01023428        0.11233020        0.69962461        0.01548635        0.00258854
       -3.52703343        0.89860076        0.00885244        0.12356958        0.74793318        0.01543693        0.00280864
       -3.51702342        0.51215684        0.00274532        0.03888953        0.46023655        0.00868354        0.00160190
       -3.50701341        0.49418758        0.00223793        0.03789587        0.44452697        0.00797374        0.00155306
       -3.49700340        0.45550292        0.00177413        0.03850408        0.40649389        0.00729010        0.00144071
       -3.48699339        0.39436218        0.00121936        0.03713124        0.34819147        0.00656384        0.00125626
       -3.47698338        0.72706574        0.00177376        0.04808143        0.66593720        0.00885283        0.00242051
       -3.46697337        1.12572447        0.00338012        0.08056150        1.02355042        0.01448855        0.00374389
       -3.45696336        1.00608289        0.00406737        0.09693430        0.88659745        0.01544776        0.00303602
       -3.44695335        0.13707653        0.00048709        0.02699041        0.10640845        0.00274494        0.00044565
       -3.43694334        0.06170343        0.00031346        0.01174906        0.04827059        0.00121877        0.00015155
       -3.42693333        0.25932700        0.00035659        0.01145748        0.24423562        0.00225208        0.00102524
       -3.41692332        0.51989211        0.00061466        0.01762954        0.49535291        0.00418412        0.00211088
       -3.40691331        0.72940917        0.00104827        0.02647793        0.69278222        0.00620633        0.00289443
       -3.39690330        0.88787820        0.00165742        0.03800264        0.83652355        0.00831870        0.00337588
       -3.38689329        0.39473422        0.00117252        0.02495616        0.36290968        0.00432149        0.00137436
       -3.37688328        0.10056678        0.00041685        0.01268582        0.08541158        0.00178768        0.00026486
       -3.36687327        0.09280088        0.00038246        0.01194868        0.07856384        0.00166358        0.00024232
       -3.35686326        0.08498489        0.00034865        0.01111678        0.07176488        0.00153457        0.00022001
       -3.34685325        0.13068726        0.00034385        0.00997265        0.11723550        0.00280206        0.00033319
       -3.33684324        0.22067606        0.00038178        0.00930689        0.20548760        0.00491330        0.00058648
       -3.32683323        0.32660968        0.00046417        0.00992348        0.30774651        0.00755221        0.00092330
       -3.31682322        0.45487785        0.00060929        0.01225335        0.43026153        0.01037910        0.00137458
       -3.30681321        0.59490103        0.00080715        0.01610457        0.56351246        0.01256415        0.00191270
       -3.29680320        0.74667921        0.00105776        0.02147712        0.70749930        0.01410736        0.00253767
       -3.28679319        0.69722354        0.00116896        0.02405258        0.65825381        0.01138774        0.00236044
       -3.27678318        0.58263548        0.00117728        0.02431407        0.54642437        0.00877045        0.00194931
       -3.26677317        0.47664007        0.00114536        0.02226479        0.44437519        0.00729634        0.00155839
       -3.25676316        1.00389551        0.00243919        0.03294785        0.94517421        0.02048447        0.00284979
       -3.24675315        0.66727452        0.00152479        0.02401216        0.62729264        0.01257775        0.00186718
       -3.23674314        0.53536722        0.00117617        0.01688046        0.50609984        0.00970757        0.00150317
       -3.22673313        0.51070690        0.00106539        0.01351221        0.48576171        0.00896113        0.00140647
       -3.21672312        0.54817777        0.00112828        0.01332488        0.52297300        0.00929935        0.00145226
       -3.20671311        0.33896598        0.00113245        0.01202844        0.31855627        0.00638477        0.00086405
       -3.19670310        0.63535845        0.00269383        0.02951053        0.58932558        0.01228389        0.00154462
       -3.18669309        1.03903160        0.00492953        0.05315679        0.95943371        0.01902474        0.00248683
       -3.17668308        0.46015577        0.00675323        0.06972559        0.37225367        0.01018408        0.00123921
       -3.16667307        0.58187154        0.01032476        0.10241920        0.45375610        0.01379591        0.00157558
       -3.15666306        1.15854738        0.02146139        0.22380318        0.88199000        0.02806815        0.00322466
       -3.14665305        0.43088380        0.01033658        0.07126190        0.33647595        0.01158328        0.00122609
       -3.13664304        0.44585829        0.00277007        0.04660502        0.38769358        0.00727882        0.00151080
       -3.12663303        0.71649477        0.00583194        0.09178700        0.60377097        0.01268813        0.00241673
       -3.11662302        1.15488845        0.01136520        0.17149185        0.94602147        0.02216326        0.00384667
       -3.10661301        1.60366495        0.02043255        0.28084812        1.26289616        0.03428849        0.00519964
       -3.09660300        1.19686080        0.01968653        0.22578971        0.91949631        0.02818165        0.00370660
       -3.08659299        0.72723547        0.01299208        0.12347278        0.57060711        0.01791475        0.00224875
       -3.07658298        0.57345679        0.00430850        0.08196517        0.47386963        0.01143532        0.00187816
       -3.06657297        0.77172484        0.00520186        0.10852813        0.64030756        0.01515379        0.00253351
       -3.05656296        0.99042085        0.00536999        0.12909611        0.83377677        0.01883434        0.00334364
       -3.04655295        1.31472622        0.00511786        0.19023322        1.08988713        0.02500615        0.00448186
       -3.03654294        0.82206591        0.00622736        0.09812040        0.69694568        0.01799365        0.00277883
       -3.02653293        0.73593911        0.00607598        0.09349010        0.61709427        0.01677511        0.00250364
