#  aims_uuid : B566376E-4EAE-49C1-A77A-919DA6BB81A9                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.39788822        0.00861367        0.36595608        0.01954209        0.00377639
       -9.98998999        0.26920626        0.00701072        0.24700825        0.01304142        0.00214586
       -9.97997998        0.27353938        0.00726825        0.24458522        0.01883318        0.00285273
       -9.96996997        0.31204570        0.00635625        0.27238091        0.02984085        0.00346769
       -9.95995996        0.29826219        0.00620933        0.25795690        0.03050702        0.00358894
       -9.94994995        0.36051937        0.01025201        0.31188183        0.03425549        0.00413005
       -9.93993994        0.41523620        0.01308775        0.35914074        0.03825392        0.00475379
       -9.92992993        0.46241269        0.01471656        0.39973365        0.04250231        0.00546017
       -9.91991992        0.15320895        0.00303064        0.13209436        0.01552086        0.00256309
       -9.90990991        0.11394101        0.00259367        0.10048716        0.00906613        0.00179405
       -9.89989990        0.13258516        0.00266917        0.11878195        0.00934873        0.00178531
       -9.88988989        0.29215145        0.00473743        0.26580667        0.01844482        0.00316252
       -9.87987988        0.47555968        0.00778724        0.43723623        0.02583228        0.00470394
       -9.86986987        0.68280986        0.01181858        0.63307063        0.03151111        0.00640954
       -9.85985986        0.26764102        0.00497228        0.24783563        0.01291235        0.00192077
       -9.84984985        0.14266042        0.00256258        0.13049936        0.00843507        0.00116341
       -9.83983984        0.30153947        0.00336084        0.27796760        0.01807122        0.00213981
       -9.82982983        0.30354624        0.00335353        0.27843626        0.01953845        0.00221799
       -9.81981982        0.33630458        0.00386093        0.30649087        0.02328382        0.00266896
       -9.80980981        0.36028958        0.00420843        0.32659120        0.02637656        0.00311340
       -9.79979980        0.34938780        0.00402906        0.31545898        0.02657450        0.00332526
       -9.78978979        0.32060416        0.00275068        0.28346178        0.03082844        0.00356326
       -9.77977978        0.57796974        0.00570675        0.51337824        0.05191014        0.00697461
       -9.76976977        0.36039726        0.00680560        0.32273880        0.02678886        0.00406400
       -9.75975976        0.20567459        0.00319432        0.18435691        0.01572774        0.00239561
       -9.74974975        0.26038602        0.00366415        0.23481163        0.01887850        0.00303175
       -9.73973974        0.31538473        0.00431453        0.28557303        0.02168302        0.00381416
       -9.72972973        0.39510257        0.00547935        0.35767828        0.02668433        0.00526062
       -9.71971972        0.62274876        0.00669929        0.57151087        0.03740920        0.00712941
       -9.70970971        0.70349588        0.00517665        0.64679764        0.04410534        0.00741624
