#  aims_uuid : A1CD1298-1D66-425F-AD6C-1978470320BD                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.04728928        0.06595018        0.91370773        0.06105112        0.00600642        0.00057383
       -9.98998999        0.77579080        0.06253015        0.66853482        0.03944078        0.00491851        0.00036653
       -9.97997998        1.62831165        0.14296252        1.38996478        0.08425824        0.01035166        0.00077446
       -9.96996997        2.61876708        0.22189225        2.23739322        0.14179369        0.01631889        0.00136903
       -9.95995996        1.71596819        0.12170767        1.48729416        0.09520679        0.01091938        0.00084020
       -9.94994995        1.51723450        0.10384050        1.31278265        0.08924557        0.01041299        0.00095280
       -9.93993994        1.56296414        0.10821770        1.34757644        0.09437260        0.01155340        0.00124399
       -9.92992993        1.52631547        0.11350920        1.31375398        0.08591862        0.01163130        0.00150237
       -9.91991992        1.09948901        0.08574101        0.94802331        0.05644870        0.00813332        0.00114267
       -9.90990991        0.88277506        0.07289356        0.75900596        0.04354771        0.00649260        0.00083524
       -9.89989990        1.40427439        0.10021825        1.22048075        0.07193772        0.01033851        0.00129915
       -9.88988989        1.56337192        0.10089005        1.34865123        0.09938146        0.01269083        0.00175835
       -9.87987988        1.09928899        0.10302968        0.92789151        0.05964072        0.00761180        0.00111528
       -9.86986987        0.40265339        0.03337425        0.34650801        0.01944820        0.00280594        0.00051700
       -9.85985986        1.03402522        0.08889332        0.87583115        0.06012418        0.00793415        0.00124242
       -9.84984985        0.39658017        0.03603996        0.33273346        0.02367532        0.00357890        0.00055253
       -9.83983984        1.89598966        0.18766800        1.60054481        0.09370377        0.01272635        0.00134674
       -9.82982983        1.74855670        0.14950121        1.50512786        0.08147307        0.01114157        0.00131298
       -9.81981982        1.76712319        0.12649696        1.54585756        0.08202349        0.01123330        0.00151187
       -9.80980981        0.76414046        0.05590154        0.66365001        0.03817115        0.00563424        0.00078351
       -9.79979980        0.62334922        0.04897567        0.53647654        0.03250705        0.00474149        0.00064847
       -9.78978979        0.97993931        0.09812950        0.82745286        0.04657442        0.00696188        0.00082064
       -9.77977978        2.19233243        0.20175559        1.87415081        0.09797779        0.01635596        0.00209228
       -9.76976977        1.57598707        0.13136010        1.36541859        0.06686878        0.01077449        0.00156511
       -9.75975976        2.48433331        0.23760590        2.10370566        0.12429772        0.01668385        0.00204019
       -9.74974975        1.57725494        0.14402898        1.35755599        0.06557803        0.00886813        0.00122381
       -9.73973974        2.62796588        0.19928937        2.31695708        0.09630746        0.01296526        0.00244672
       -9.72972973        0.73067499        0.05928953        0.64135723        0.02594032        0.00345999        0.00062792
       -9.71971972        0.49546335        0.04121505        0.43283536        0.01842840        0.00251409        0.00047045
       -9.70970971        0.37180294        0.03330422        0.32189721        0.01426879        0.00196919        0.00036353
       -9.69969970        0.30714714        0.03025850        0.26317785        0.01179974        0.00163167        0.00027938
       -9.68968969        0.25705708        0.02821914        0.21797375        0.00938980        0.00128698        0.00018741
       -9.67967968        0.22696102        0.02728780        0.19094283        0.00759208        0.00102289        0.00011541
       -9.66966967        0.41539549        0.04601700        0.34990626        0.01673693        0.00244466        0.00029064
       -9.65965966        1.32718367        0.07281357        1.19595222        0.04976509        0.00705587        0.00159692
       -9.64964965        4.76970678        0.20582568        4.31678920        0.21241285        0.02785748        0.00682158
       -9.63963964        0.17290378        0.01103229        0.15393900        0.00681620        0.00096824        0.00014805
       -9.62962963        0.45650676        0.02575600        0.41045240        0.01726803        0.00254629        0.00048405
       -9.61961962        0.53525040        0.02452965        0.48627434        0.02049168        0.00321574        0.00073900
       -9.60960961        0.66253287        0.02255295        0.60743586        0.02684413        0.00455299        0.00114695
       -9.59959960        0.55534413        0.04216425        0.49247760        0.01760773        0.00268745        0.00040711
       -9.58958959        0.52643164        0.03482934        0.47004588        0.01837309        0.00266424        0.00051909
       -9.57957958        0.42102011        0.02907416        0.37210301        0.01674505        0.00263082        0.00046707
       -9.56956957        0.40378797        0.02728125        0.35395935        0.01896617        0.00307510        0.00050610
       -9.55955956        0.70325470        0.04820220        0.61456207        0.03365219        0.00585553        0.00098271
       -9.54954955        0.81080718        0.05239151        0.70575348        0.04351557        0.00780556        0.00134106
       -9.53953954        0.37658385        0.02050470        0.33777192        0.01486755        0.00294190        0.00049778
       -9.52952953        0.33464338        0.01927418        0.29822165        0.01376021        0.00289205        0.00049529
       -9.51951952        0.35990085        0.02051383        0.32019356        0.01524449        0.00337130        0.00057768
       -9.50950951        0.41843052        0.02368381        0.36968785        0.01982085        0.00449353        0.00074448
       -9.49949950        0.12943869        0.00748289        0.11185178        0.00821173        0.00165695        0.00023534
       -9.48948949        0.21868354        0.01108016        0.19221421        0.01249444        0.00250856        0.00038618
