#  aims_uuid : A1CD1298-1D66-425F-AD6C-1978470320BD                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.081575 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.91842482        0.90390105        0.06632234        0.77090086        0.05988162        0.00622174        0.00057449
       -4.90841481        0.73401134        0.05723164        0.63279121        0.03866922        0.00494622        0.00037304
       -4.89840480        1.59550070        0.13310516        1.36691234        0.08413050        0.01055082        0.00080188
       -4.88839479        2.41294960        0.20353702        2.04532567        0.14607805        0.01670659        0.00130228
       -4.87838478        1.61863704        0.11896513        1.39335490        0.09498388        0.01044303        0.00089009
       -4.86837477        1.56304757        0.10192511        1.35367784        0.09637458        0.01000682        0.00106322
       -4.85836476        1.68918062        0.10558128        1.46295914        0.10798348        0.01128531        0.00137141
       -4.84835475        1.58844886        0.10007705        1.37138887        0.10384177        0.01157017        0.00157100
       -4.83834474        1.22575249        0.08139308        1.06500484        0.06957756        0.00844931        0.00132770
       -4.82833473        0.99144734        0.07122819        0.86102227        0.05146906        0.00674149        0.00098633
       -4.81832472        1.40743722        0.09721221        1.22201454        0.07567740        0.01086773        0.00166534
       -4.80831471        1.92292763        0.11977865        1.66870913        0.11913040        0.01328085        0.00202860
       -4.79830470        1.38133468        0.11566504        1.17693606        0.07856340        0.00906495        0.00110523
       -4.78829469        0.44012046        0.02619381        0.38582034        0.02477496        0.00272483        0.00060653
       -4.77828468        1.02476382        0.07066533        0.88371548        0.06158604        0.00752242        0.00127454
       -4.76827467        0.45217836        0.03777366        0.38237919        0.02805441        0.00339693        0.00057418
       -4.75826466        1.90781080        0.18319170        1.60670489        0.10453794        0.01190294        0.00147332
       -4.74825465        1.44494460        0.14139866        1.21081076        0.08082764        0.01039002        0.00151752
       -4.73824464        1.23792790        0.10867637        1.03217301        0.08340238        0.01203290        0.00164324
       -4.72823463        0.58384039        0.04812081        0.48821389        0.04092871        0.00578140        0.00079558
       -4.71822462        0.51699094        0.04308908        0.43339443        0.03471504        0.00513014        0.00066225
       -4.70821461        0.99210249        0.08962904        0.84049765        0.05383730        0.00737130        0.00076720
       -4.69820460        2.23881943        0.19031612        1.92305800        0.10808004        0.01523416        0.00213112
       -4.68819459        1.43145016        0.10852548        1.24537178        0.06575067        0.00997055        0.00183167
       -4.67818458        2.40998494        0.21024226        2.04209379        0.13819834        0.01709767        0.00235288
       -4.66817457        1.33288340        0.11533329        1.13702735        0.06956212        0.00937633        0.00158430
       -4.65816456        1.86955219        0.13431808        1.62467593        0.09141632        0.01566933        0.00347253
       -4.64815455        0.53690305        0.04197705        0.46660035        0.02322934        0.00419839        0.00089792
       -4.63814454        0.37931898        0.03071838        0.32862318        0.01631866        0.00302817        0.00063057
       -4.62813453        0.30432254        0.02654090        0.26206524        0.01289353        0.00235974        0.00046313
       -4.61812452        0.27338849        0.02569069        0.23431412        0.01106703        0.00197355        0.00034311
       -4.60811451        0.25090187        0.02495922        0.21472752        0.00940704        0.00158039        0.00022769
       -4.59810450        0.23817633        0.02451983        0.20414607        0.00809211        0.00127452        0.00014380
       -4.58809449        0.44700534        0.04191648        0.38441660        0.01757060        0.00277786        0.00032381
       -4.57808448        1.16999667        0.06797914        1.05073375        0.04261560        0.00722469        0.00144349
       -4.56807447        5.06902146        0.28608327        4.55118391        0.19718620        0.02947024        0.00509785
       -4.55806446        0.16012186        0.01126938        0.13990264        0.00778015        0.00091311        0.00025658
       -4.54805445        0.42812092        0.02501929        0.37855413        0.02136993        0.00246728        0.00071030
       -4.53804444        0.51077727        0.02176474        0.45576704        0.02907367        0.00325504        0.00091677
       -4.52803443        0.69636054        0.01788033        0.62255881        0.05011187        0.00459760        0.00121193
       -4.51802442        0.47598207        0.03563861        0.41771196        0.01971538        0.00256167        0.00035444
       -4.50801441        0.45493126        0.02931476        0.40509149        0.01769161        0.00241309        0.00042031
       -4.49800440        0.35812623        0.02491864        0.31525035        0.01523631        0.00232225        0.00039867
       -4.48799439        0.36808024        0.02394511        0.31958578        0.02126623        0.00281938        0.00046375
       -4.47798438        0.61850688        0.03927078        0.53665126        0.03641947        0.00514886        0.00101652
       -4.46797437        0.70135763        0.04473557        0.60822617        0.04046040        0.00660745        0.00132804
       -4.45796436        0.38046637        0.01892817        0.33997303        0.01830151        0.00272627        0.00053739
       -4.44795435        0.31682896        0.01560908        0.28075205        0.01733943        0.00255099        0.00057741
       -4.43794434        0.33463599        0.01581626        0.29566619        0.01955434        0.00290606        0.00069313
       -4.42793433        0.39856378        0.01807752        0.34929025        0.02634357        0.00396109        0.00089135
       -4.41792432        0.15410237        0.00839287        0.13374543        0.01000211        0.00175387        0.00020809
       -4.40791431        0.25813692        0.01318605        0.22617863        0.01584087        0.00259962        0.00033175
       -4.39790430        0.36602738        0.01746761        0.32363213        0.02124896        0.00322979        0.00044889
       -4.38789429        0.47777373        0.02123755        0.42610592        0.02622639        0.00364438        0.00055949
       -4.37788428        0.44094299        0.01818310        0.39591453        0.02328648        0.00302842        0.00053046
       -4.36787427        0.44509547        0.01647330        0.40232751        0.02307483        0.00265291        0.00056692
       -4.35786426        0.70654923        0.01793331        0.64305847        0.04123060        0.00315336        0.00117349
       -4.34785425        0.62851780        0.02085099        0.58357608        0.01986764        0.00325803        0.00096506
       -4.33784424        0.49187124        0.01781205        0.45617738        0.01440536        0.00273818        0.00073826
       -4.32783423        0.28305701        0.01013487        0.26142746        0.00923641        0.00183980        0.00041847
       -4.31782422        0.34713701        0.01280605        0.31802524        0.01320901        0.00246893        0.00062779
       -4.30781421        0.57640334        0.02342357        0.52552791        0.02314516        0.00326512        0.00104157
       -4.29780420        0.92034643        0.03652576        0.84169700        0.03623604        0.00424405        0.00164358
       -4.28779419        0.95507156        0.03675112        0.87216748        0.03967019        0.00470520        0.00177757
       -4.27778418        1.12676129        0.04138578        1.03120288        0.04625292        0.00575693        0.00216278
       -4.26777417        0.96347334        0.03666601        0.87821690        0.04127013        0.00543536        0.00188494
       -4.25776416        1.14885935        0.03878480        1.05211291        0.04905297        0.00678658        0.00212208
       -4.24775415        1.26872856        0.03418906        1.17312325        0.05174399        0.00749225        0.00218001
       -4.23774414        1.62929887        0.03970173        1.48702907        0.08777517        0.01212416        0.00266873
       -4.22773413        1.47554720        0.03395127        1.35928243        0.06915133        0.01066970        0.00249247
       -4.21772412        1.15020001        0.02810878        1.06410887        0.04737945        0.00842031        0.00218260
       -4.20771411        1.52960951        0.03895022        1.39855778        0.07564925        0.01285438        0.00359788
       -4.19770410        2.03234903        0.05098859        1.86898741        0.09070190        0.01756749        0.00410364
       -4.18769409        0.90610244        0.02047734        0.83241361        0.04648885        0.00565500        0.00106764
       -4.17768408        1.68057493        0.06557143        1.54419455        0.05744842        0.01157509        0.00178543
       -4.16767407        1.72344136        0.03741846        1.60477128        0.06331742        0.01514345        0.00279076
       -4.15766406        3.18747571        0.04560951        3.02409245        0.09248927        0.02083915        0.00444533
       -4.14765405        2.05786226        0.03410553        1.95268646        0.05799066        0.01009523        0.00298439
       -4.13764404        1.11874180        0.02245209        1.03891487        0.04461459        0.01047255        0.00228770
       -4.12763403        1.24618003        0.02116452        1.14717343        0.06534975        0.01041322        0.00207910
       -4.11762402        1.03269379        0.02551169        0.94143591        0.05668627        0.00719953        0.00186038
       -4.10761401        0.75812632        0.01553165        0.69438161        0.03569963        0.01082046        0.00169297
       -4.09760400        1.41642321        0.03117404        1.30751193        0.06043306        0.01448275        0.00282143
       -4.08759399        0.67756633        0.01534796        0.62710099        0.02676734        0.00698473        0.00136530
       -4.07758398        0.35926357        0.00958523        0.32940415        0.01639190        0.00319274        0.00068956
