#  aims_uuid : 596828DB-4C95-428C-A2C3-FD921D087CB3                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -6.356345 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -3.64365470        0.44545060        0.00510289        0.41515531        0.02207316        0.00311922
       -3.63364469        0.36350572        0.00442743        0.33130009        0.02420769        0.00357051
       -3.62363468        0.32344315        0.00376753        0.29359927        0.02283360        0.00324275
       -3.61362467        0.29197463        0.00321821        0.26445338        0.02134299        0.00296006
       -3.60361466        0.27712913        0.00321708        0.25102520        0.02011603        0.00277082
       -3.59360465        0.29349255        0.00450790        0.26604690        0.02015736        0.00278038
       -3.58359464        0.30645022        0.00516808        0.27845302        0.02003642        0.00279269
       -3.57358463        0.31600213        0.00519761        0.28824357        0.01975321        0.00280773
       -3.56357462        0.17584321        0.00106694        0.16392795        0.00921295        0.00163538
       -3.55356461        0.12738938        0.00070000        0.12001587        0.00555044        0.00112307
       -3.54355460        0.17175703        0.00204764        0.15904199        0.00885741        0.00180999
       -3.53354459        0.29553130        0.00652487        0.26592906        0.01951424        0.00356314
       -3.52353458        0.43114688        0.01235645        0.38268020        0.03104267        0.00506756
       -3.51352457        1.71735073        0.06749006        1.50588982        0.12784357        0.01612728
       -3.50351456        0.26074124        0.01435811        0.22587949        0.01847585        0.00202778
       -3.49350455        0.13079743        0.00833786        0.11220168        0.00926738        0.00099051
       -3.48349454        0.16217565        0.00263070        0.14960496        0.00841964        0.00152036
       -3.47348453        0.18452395        0.00277388        0.17046113        0.00950848        0.00178045
       -3.46347452        0.20510651        0.00304653        0.18926715        0.01075644        0.00203640
       -3.45346451        0.22392333        0.00344865        0.20602299        0.01216350        0.00228819
       -3.44345450        0.24097443        0.00398024        0.22072866        0.01372968        0.00253584
       -3.43344449        0.29638088        0.00466562        0.27228406        0.01680163        0.00262957
       -3.42343448        0.53836024        0.00949801        0.48737118        0.03701940        0.00447165
       -3.41342447        0.31867852        0.00171128        0.28269100        0.03078602        0.00349022
       -3.40341446        0.24112844        0.00188467        0.21682737        0.02002435        0.00239204
       -3.39340445        0.30250618        0.00226944        0.27505122        0.02237689        0.00280863
       -3.38339444        0.35644304        0.00238694        0.32675430        0.02409566        0.00320614
       -3.37338443        0.50745839        0.00448789        0.46122761        0.03737746        0.00436543
       -3.36337442        0.81152721        0.00713191        0.73940340        0.05798638        0.00700552
       -3.35336441        1.10532885        0.00916580        1.01604333        0.07046625        0.00965348
       -3.34335440        0.50628963        0.00763370        0.45394686        0.03942434        0.00528474
       -3.33334439        0.48660962        0.00411137        0.44378743        0.03387011        0.00484072
       -3.32333438        0.56853061        0.00415127        0.52001021        0.03863999        0.00572913
       -3.31332437        0.59899804        0.00423593        0.54606660        0.04216201        0.00653349
       -3.30331436        0.46371069        0.00326859        0.42613105        0.02976464        0.00454641
       -3.29330435        0.39202949        0.00302596        0.35535631        0.02864572        0.00500151
       -3.28329434        0.81104710        0.00738018        0.75259774        0.04361213        0.00745705
       -3.27328433        0.43030420        0.00326099        0.39193049        0.03017082        0.00494190
       -3.26327432        0.39365733        0.00277452        0.35538730        0.03051435        0.00498116
       -3.25326431        0.20766979        0.00208858        0.18367048        0.01911983        0.00279090
       -3.24325430        0.19227671        0.00191540        0.16703594        0.02051841        0.00280696
       -3.23324429        0.18328292        0.00174153        0.15641559        0.02230321        0.00282260
