#  aims_uuid : 596828DB-4C95-428C-A2C3-FD921D087CB3                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.34407992        0.00127300        0.32000547        0.01984918        0.00295227
       -9.98998999        0.33729480        0.00146965        0.30626016        0.02553385        0.00403114
       -9.97997998        0.30077139        0.00182825        0.27110014        0.02399969        0.00384331
       -9.96996997        0.27158166        0.00229682        0.24316400        0.02245604        0.00366480
       -9.95995996        0.25164239        0.00286400        0.22425323        0.02098978        0.00353538
       -9.94994995        0.24730141        0.00347312        0.22011783        0.02013787        0.00357258
       -9.93993994        0.25222505        0.00414887        0.22466562        0.01977558        0.00363498
       -9.92992993        0.26641330        0.00489125        0.23789658        0.01990290        0.00372257
       -9.91991992        0.12220664        0.00340985        0.10788937        0.00905869        0.00184873
       -9.90990991        0.07805422        0.00202006        0.07025163        0.00472676        0.00105577
       -9.89989990        0.12269480        0.00178284        0.11294307        0.00659495        0.00137394
       -9.88988989        0.26610506        0.00287199        0.24502066        0.01549074        0.00272168
       -9.87987988        0.42853856        0.00615160        0.39080669        0.02722435        0.00435591
       -9.86986987        1.94677180        0.05576062        1.73216331        0.14030513        0.01854273
       -9.85985986        0.27007206        0.01875898        0.23231797        0.01697271        0.00202241
       -9.84984985        0.13684818        0.01303436        0.11664806        0.00641066        0.00075510
       -9.83983984        0.20269811        0.00440118        0.18526003        0.01157188        0.00146502
       -9.82982983        0.23512401        0.00452009        0.21562027        0.01322172        0.00176193
       -9.81981982        0.25966968        0.00472529        0.23796054        0.01490477        0.00207908
       -9.80980981        0.27633510        0.00501676        0.25228082        0.01662106        0.00241646
       -9.79979980        0.28512029        0.00539451        0.25858112        0.01837057        0.00277408
       -9.78978979        0.35307208        0.00590237        0.32107898        0.02290091        0.00318982
       -9.77977978        0.58844929        0.01172257        0.52656090        0.04408320        0.00608262
       -9.76976977        0.31186233        0.00467917        0.27458741        0.02727559        0.00532016
