#  aims_uuid : 8EBCBA7B-3EF1-44B7-A15D-B3D68FF0703D                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.059264 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.94073582        0.36707860        0.03542885        0.30702482        0.02190160        0.00258566        0.00013767
       -4.93072581        0.56959511        0.05666001        0.47368293        0.03475257        0.00425004        0.00024956
       -4.92071580        1.20671950        0.12101479        1.00881594        0.06763891        0.00870516        0.00054471
       -4.91070579        1.54090977        0.12807121        1.30738188        0.09314920        0.01140217        0.00090530
       -4.90069578        1.01755200        0.07536309        0.88324807        0.05135796        0.00685084        0.00073203
       -4.89068577        1.21309178        0.09789358        1.04210590        0.06425817        0.00822483        0.00060929
       -4.88067576        1.90067164        0.13355390        1.66356780        0.09005564        0.01248180        0.00101250
       -4.87066575        1.35677848        0.07745218        1.17728433        0.09143161        0.00972999        0.00088037
       -4.86065574        0.49435072        0.03760277        0.42948077        0.02368897        0.00306631        0.00051191
       -4.85064573        1.44379489        0.09271957        1.23081206        0.10556766        0.01325569        0.00143990
       -4.84063572        0.44085818        0.04671602        0.36579793        0.02509084        0.00307434        0.00017904
       -4.83062571        1.58766198        0.15101807        1.34504135        0.08063114        0.01030943        0.00066198
       -4.82061570        0.89707625        0.07024673        0.77622668        0.04530580        0.00482596        0.00047107
       -4.81060569        1.78494389        0.14378069        1.52442373        0.10441411        0.01114409        0.00118127
       -4.80059568        1.79344266        0.16820273        1.52995664        0.08623328        0.00805308        0.00099693
       -4.79058567        2.84483249        0.26890914        2.42199024        0.13851481        0.01414503        0.00127327
       -4.78057566        2.86748586        0.28694995        2.44798502        0.11986137        0.01182409        0.00086543
       -4.77056565        3.11954864        0.30328857        2.68155139        0.11896995        0.01452238        0.00121635
       -4.76055564        1.72690966        0.15438115        1.47949642        0.08439202        0.00749386        0.00114622
       -4.75054563        0.73142454        0.04621821        0.63522149        0.04470147        0.00474149        0.00054188
       -4.74053562        1.26739181        0.05174357        1.11306217        0.09038738        0.01053884        0.00165985
       -4.73052561        0.75900576        0.04062009        0.64660870        0.06375153        0.00662814        0.00139730
       -4.72051560        0.16401354        0.01388214        0.14071106        0.00838797        0.00088223        0.00015015
