#  aims_uuid : F128D8B5-E5F3-407F-ADF6-DC6AC86BB935                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.95573864        0.06597422        0.10353486        0.77571341        0.00920920        0.00130695
       -9.98998999        0.99444254        0.07193353        0.10978315        0.80174468        0.00961355        0.00136764
       -9.97997998        1.03178697        0.07802162        0.11618129        0.82612805        0.01002742        0.00142859
       -9.96996997        1.06743552        0.08418057        0.12267732        0.84864004        0.01044819        0.00148939
       -9.95995996        1.10107462        0.09034772        0.12921586        0.86908814        0.01087325        0.00154965
       -9.94994995        1.13241800        0.09645709        0.13573887        0.88731302        0.01130004        0.00160897
       -9.93993994        1.16121031        0.10244113        0.14218669        0.90318941        0.01172610        0.00166697
       -9.92992993        1.18722973        0.10823256        0.14849896        0.91662591        0.01214902        0.00172329
       -9.91991992        1.21029004        0.11376637        0.15461573        0.92756392        0.01256642        0.00177760
       -9.90990991        1.23024200        0.11898189        0.16047856        0.93597602        0.01297597        0.00182956
       -9.89989990        1.24697432        0.12382471        0.16603161        0.94186380        0.01337532        0.00187889
       -9.88988989        1.26041429        0.12824851        0.17122279        0.94525560        0.01376206        0.00192532
       -9.87987988        1.27052796        0.13221659        0.17600482        0.94620417        0.01413377        0.00196861
       -9.86986987        1.27731996        0.13570296        0.18033616        0.94478437        0.01448793        0.00200854
       -9.85985986        1.28083281        0.13869312        0.18418180        0.94109095        0.01482200        0.00204494
       -9.84984985        1.28114564        0.14118414        0.18751395        0.93523650        0.01513340        0.00207766
       -9.83983984        1.27837225        0.14318438        0.19031230        0.92734942        0.01541957        0.00210660
       -9.82982983        1.27265843        0.14471254        0.19256422        0.91757198        0.01567801        0.00213167
       -9.81981982        1.26417850        0.14579630        0.19426459        0.90605840        0.01590634        0.00215287
       -9.80980981        1.25313121        0.14647042        0.19541536        0.89297285        0.01610237        0.00217020
       -9.79979980        1.23973506        0.14677470        0.19602498        0.87848748        0.01626416        0.00218373
       -9.78978979        1.22422322        0.14675156        0.19610758        0.86278043        0.01639009        0.00219356
       -9.77977978        1.20683835        0.14644368        0.19568205        0.84603384        0.01647893        0.00219985
       -9.76976977        1.18782753        0.14589176        0.19477118        0.82843195        0.01652986        0.00220278
       -9.75975976        1.16743754        0.14513244        0.19340067        0.81015932        0.01654253        0.00220258
       -9.74974975        1.14591080        0.14419666        0.19159836        0.79139916        0.01651710        0.00219952
       -9.73973974        1.12348200        0.14310845        0.18939353        0.77233189        0.01645425        0.00219388
       -9.72972973        1.10037558        0.14188427        0.18681641        0.75313377        0.01635515        0.00218598
       -9.71971972        1.07680407        0.14053288        0.18389778        0.73397576        0.01622152        0.00217614
       -9.70970971        1.05296709        0.13905575        0.18066880        0.71502231        0.01605551        0.00216471
       -9.69969970        1.02905096        0.13744802        0.17716094        0.69643021        0.01585977        0.00215202
       -9.68968969        1.00522870        0.13569974        0.17340592        0.67834734        0.01563730        0.00213840
       -9.67967968        0.98166008        0.13379747        0.16943580        0.66091117        0.01539146        0.00212418
       -9.66966967        0.95849175        0.13172610        0.16528291        0.64424723        0.01512588        0.00210964
       -9.65965966        0.93585710        0.12947059        0.16097980        0.62846732        0.01484433        0.00209506
