#  aims_uuid : F128D8B5-E5F3-407F-ADF6-DC6AC86BB935                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.99637709        0.07055208        0.86088155        0.05780631        0.00653661        0.00060054
       -9.98998999        1.04860326        0.07492817        0.90540103        0.06080681        0.00684245        0.00062479
       -9.97997998        1.10057681        0.07931143        0.94978900        0.06369142        0.00713469        0.00065027
       -9.96996997        1.15187258        0.08367961        0.99366912        0.06643585        0.00741122        0.00067678
       -9.95995996        1.20206531        0.08800947        1.03666376        0.06901773        0.00767021        0.00070414
       -9.94994995        1.25073409        0.09227661        1.07839837        0.07141682        0.00791016        0.00073212
       -9.93993994        1.29746638        0.09645536        1.11850544        0.07361524        0.00812983        0.00076051
       -9.92992993        1.34186181        0.10051877        1.15662822        0.07559747        0.00832829        0.00078906
       -9.91991992        1.38353594        0.10443864        1.19242438        0.07735050        0.00850489        0.00081753
       -9.90990991        1.42212406        0.10818573        1.22556960        0.07886384        0.00865922        0.00084567
       -9.89989990        1.45728515        0.11173009        1.25576124        0.08012949        0.00879112        0.00087320
       -9.88988989        1.48870600        0.11504143        1.28272210        0.08114197        0.00890063        0.00089986
       -9.87987988        1.51610540        0.11808971        1.30620412        0.08189826        0.00898794        0.00092538
       -9.86986987        1.53923831        0.12084566        1.32599204        0.08239772        0.00905341        0.00094948
       -9.85985986        1.55789972        0.12328143        1.34190680        0.08264209        0.00909752        0.00097189
       -9.84984985        1.57192813        0.12537119        1.35380844        0.08263530        0.00912084        0.00099235
       -9.83983984        1.58120835        0.12709175        1.36159853        0.08238342        0.00912404        0.00101062
       -9.82982983        1.58567355        0.12842304        1.36522175        0.08189444        0.00910783        0.00102648
       -9.81981982        1.58530629        0.12934861        1.36466680        0.08117816        0.00907298        0.00103975
       -9.80980981        1.58013880        0.12985592        1.35996637        0.08024596        0.00902028        0.00105027
       -9.79979980        1.57025222        0.12993671        1.35119641        0.07911057        0.00895058        0.00105794
       -9.78978979        1.55577512        0.12958710        1.33847467        0.07778591        0.00886473        0.00106270
       -9.77977978        1.53688141        0.12880778        1.32195866        0.07628684        0.00876360        0.00106453
       -9.76976977        1.51378770        0.12760401        1.30184313        0.07462897        0.00864811        0.00106347
       -9.75975976        1.48675034        0.12598569        1.27835736        0.07282849        0.00851919        0.00105961
       -9.74974975        1.45606221        0.12396725        1.25176205        0.07090201        0.00837782        0.00105307
       -9.73973974        1.42204926        0.12156765        1.22234610        0.06886645        0.00822502        0.00104404
       -9.72972973        1.38506685        0.11881015        1.19042322        0.06673889        0.00806185        0.00103274
       -9.71971972        1.34549580        0.11572217        1.15632822        0.06453654        0.00788947        0.00101940
       -9.70970971        1.30373797        0.11233497        1.12041304        0.06227658        0.00770908        0.00100430
       -9.69969970        1.26021142        0.10868325        1.08304232        0.05997616        0.00752195        0.00098774
       -9.68968969        1.21534492        0.10480467        1.04458857        0.05765222        0.00732943        0.00097003
       -9.67967968        1.16957188        0.10073924        1.00542685        0.05532140        0.00713293        0.00095146
       -9.66966967        1.12332370        0.09652854        0.96592899        0.05299992        0.00693390        0.00093235
       -9.65965966        1.07702282        0.09221495        0.92645765        0.05070339        0.00673383        0.00091300
       -9.64964965        1.03107548        0.08784073        0.88736025        0.04844661        0.00653419        0.00089371
       -9.63963964        0.98586483        0.08344710        0.84896312        0.04624341        0.00633645        0.00087473
       -9.62962963        0.94174450        0.07907335        0.81156634        0.04410644        0.00614203        0.00085634
       -9.61961962        0.89903330        0.07475596        0.77543934        0.04204700        0.00595225        0.00083876
       -9.60960961        0.85801115        0.07052790        0.74081783        0.04007489        0.00576832        0.00082220
       -9.59959960        0.81891679        0.06641806        0.70790217        0.03819835        0.00559134        0.00080688
       -9.58958959        0.78194739        0.06245084        0.67685740        0.03642396        0.00542223        0.00079296
       -9.57957958        0.74726009        0.05864600        0.64781496        0.03475676        0.00526177        0.00078060
       -9.56956957        0.71497546        0.05501868        0.62087596        0.03320026        0.00511057        0.00076998
       -9.55955956        0.68518254        0.05157965        0.59611590        0.03175668        0.00496909        0.00076123
       -9.54954955        0.65794532        0.04833572        0.57359035        0.03042709        0.00483767        0.00075450
       -9.53953954        0.63330993        0.04529034        0.55334142        0.02921173        0.00471651        0.00074994
       -9.52952953        0.61131222        0.04244420        0.53540427        0.02811026        0.00460576        0.00074772
       -9.51951952        0.59198510        0.03979598        0.51981348        0.02712209        0.00450555        0.00074800
       -9.50950951        0.57536526        0.03734303        0.50660863        0.02624663        0.00441600        0.00075097
       -9.49949950        0.56149859        0.03508204        0.49583887        0.02548357        0.00433729        0.00075682
       -9.48948949        0.55044430        0.03300955        0.48756617        0.02483311        0.00426970        0.00076576
       -9.47947948        0.54227726        0.03112243        0.48186701        0.02429615        0.00421366        0.00077802
       -9.46946947        0.53708856        0.02941813        0.47883251        0.02387436        0.00416975        0.00079381
       -9.45945946        0.53498430        0.02789482        0.47856703        0.02357031        0.00413877        0.00081337
       -9.44944945        0.53608273        0.02655137        0.48118531        0.02338741        0.00412173        0.00083692
       -9.43943944        0.54050990        0.02538719        0.48680832        0.02332988        0.00411984        0.00086466
       -9.42942943        0.54839397        0.02440197        0.49555807        0.02340259        0.00413454        0.00089680
       -9.41941942        0.55985857        0.02359531        0.50755144        0.02361091        0.00416742        0.00093348
       -9.40940941        0.57501526        0.02296630        0.52289346        0.02396044        0.00422024        0.00097483
       -9.39939940        0.59395557        0.02251309        0.54167002        0.02445671        0.00429483        0.00102091
       -9.38938939        0.61674253        0.02223248        0.56394039        0.02510488        0.00439304        0.00107174
       -9.37937938        0.64340228        0.02211952        0.58972953        0.02590932        0.00451664        0.00112726
       -9.36936937        0.67391567        0.02216721        0.61902062        0.02687322        0.00466727        0.00118735
       -9.35935936        0.70821037        0.02236632        0.65174784        0.02799813        0.00484627        0.00125181
       -9.34934935        0.74615357        0.02270523        0.68778978        0.02928357        0.00505466        0.00132034
       -9.33933934        0.78754582        0.02316997        0.72696373        0.03072660        0.00529296        0.00139256
       -9.32932933        0.83211613        0.02374435        0.76902120        0.03232143        0.00556114        0.00146801
       -9.31931932        0.87951899        0.02441021        0.81364502        0.03405910        0.00585853        0.00154613
       -9.30930931        0.92933342        0.02514770        0.86044844        0.03592730        0.00618371        0.00162628
       -9.29929930        0.98106463        0.02593577        0.90897648        0.03791015        0.00653450        0.00170772
       -9.28928929        1.03414846        0.02675263        0.95870993        0.03998832        0.00690793        0.00178966
       -9.27927928        1.08795872        0.02757620        1.00907196        0.04213910        0.00730023        0.00187123
       -9.26926927        1.14181757        0.02838475        1.05943771        0.04433672        0.00770688        0.00195152
       -9.25925926        1.19500873        0.02915729        1.10914636        0.04655281        0.00812270        0.00202957
       -9.24924925        1.24679321        0.02987417        1.15751572        0.04875700        0.00854190        0.00210442
       -9.23923924        1.29642700        0.03051742        1.20385858        0.05091760        0.00895829        0.00217511
       -9.22922923        1.34318010        0.03107115        1.24750044        0.05300242        0.00936539        0.00224070
       -9.21921922        1.38635614        0.03152184        1.28779773        0.05497964        0.00975662        0.00230031
       -9.20920921        1.42531157        0.03185854        1.32415572        0.05681868        0.01012550        0.00235313
       -9.19919920        1.45947368        0.03207301        1.35604532        0.05849107        0.01046586        0.00239842
       -9.18918919        1.48835649        0.03215977        1.38301789        0.05997124        0.01077201        0.00243558
       -9.17917918        1.51157383        0.03211605        1.40471748        0.06123723        0.01103894        0.00246413
       -9.16916917        1.52884895        0.03194175        1.42088976        0.06227128        0.01126245        0.00248372
       -9.15915916        1.54002032        0.03163927        1.43138739        0.06306022        0.01143930        0.00249415
       -9.14914915        1.54504338        0.03121331        1.43617160        0.06359578        0.01156730        0.00249539
       -9.13913914        1.54398826        0.03067068        1.43531004        0.06387463        0.01164535        0.00248755
       -9.12912913        1.53703384        0.03002004        1.42897106        0.06389837        0.01167347        0.00247090
       -9.11911912        1.52445837        0.02927158        1.41741493        0.06367328        0.01165275        0.00244584
       -9.10910911        1.50662738        0.02843679        1.40098245        0.06320998        0.01158527        0.00241289
       -9.09909910        1.48397950        0.02752812        1.38008164        0.06252298        0.01147406        0.00237270
       -9.08908909        1.45701091        0.02655867        1.35517318        0.06163016        0.01132289        0.00232601
       -9.07907908        1.42625904        0.02554191        1.32675520        0.06055215        0.01113616        0.00227362
       -9.06906907        1.39228645        0.02449137        1.29534821        0.05931172        0.01091876        0.00221639
       -9.05905906        1.35566510        0.02342032        1.26148060        0.05793316        0.01067581        0.00215520
       -9.04904905        1.31696195        0.02234157        1.22567526        0.05644159        0.01041260        0.00209093
       -9.03903904        1.27672598        0.02126715        1.18843761        0.05486244        0.01013431        0.00202447
       -9.02902903        1.23547702        0.02020812        1.15024549        0.05322080        0.00984598        0.00195663
       -9.01901902        1.19369671        0.01917441        1.11154087        0.05154095        0.00955229        0.00188820
       -9.00900901        1.15182147        0.01817463        1.07272361        0.04984585        0.00925747        0.00181991
       -8.99899900        1.11023774        0.01721604        1.03414728        0.04815678        0.00896528        0.00175236
       -8.98898899        1.06927928        0.01630443        0.99611687        0.04649297        0.00867889        0.00168613
       -8.97897898        1.02922651        0.01544417        0.95888844        0.04487138        0.00840087        0.00162165
       -8.96896897        0.99030769        0.01463826        0.92267041        0.04330650        0.00813324        0.00155928
       -8.95895896        0.95270179        0.01388839        0.88762636        0.04181033        0.00787742        0.00149929
       -8.94894895        0.91654269        0.01319507        0.85387911        0.04039230        0.00763435        0.00144186
       -8.93893894        0.88192456        0.01255782        0.82151569        0.03905946        0.00740450        0.00138709
       -8.92892893        0.84890792        0.01197532        0.79059302        0.03781660        0.00718796        0.00133502
       -8.91891892        0.81752618        0.01144559        0.76114393        0.03666649        0.00698455        0.00128561
       -8.90890891        0.78779215        0.01096618        0.73318310        0.03561021        0.00679386        0.00123880
       -8.89889890        0.75970433        0.01053436        0.70671271        0.03464743        0.00661534        0.00119449
       -8.88888889        0.73325248        0.01014722        0.68172750        0.03377680        0.00644840        0.00115256
       -8.87887888        0.70842228        0.00980186        0.65821885        0.03299623        0.00629246        0.00111289
       -8.86886887        0.68519891        0.00949541        0.63617791        0.03230326        0.00614697        0.00107536
       -8.85885886        0.66356928        0.00922513        0.61559753        0.03169526        0.00601150        0.00103985
       -8.84884885        0.64352309        0.00898844        0.59647298        0.03116965        0.00588572        0.00100629
       -8.83883884        0.62505252        0.00878288        0.57880160        0.03072403        0.00576940        0.00097461
       -8.82882883        0.60815094        0.00860609        0.56258140        0.03035624        0.00566244        0.00094477
       -8.81881882        0.59281072        0.00845577        0.54780902        0.03006436        0.00556483        0.00091675
       -8.80880881        0.57902040        0.00832962        0.53447701        0.02984661        0.00547660        0.00089056
       -8.79879880        0.56676161        0.00822528        0.52257102        0.02970124        0.00539784        0.00086622
       -8.78878879        0.55600598        0.00814026        0.51206691        0.02962641        0.00532862        0.00084378
       -8.77877878        0.54671239        0.00807193        0.50292823        0.02961995        0.00526899        0.00082328
