#  aims_uuid : F128D8B5-E5F3-407F-ADF6-DC6AC86BB935                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.106688 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.89331207        0.99613751        0.07051334        0.86066894        0.05781935        0.00653581        0.00060008
       -4.88330206        1.04834842        0.07488856        0.90517479        0.06081912        0.00684168        0.00062428
       -4.87329205        1.10030829        0.07927140        0.94955060        0.06370262        0.00713395        0.00064972
       -4.86328204        1.15159262        0.08363966        0.99342068        0.06644555        0.00741052        0.00067619
       -4.85327203        1.20177685        0.08797016        1.03640804        0.06902556        0.00766957        0.00070352
       -4.84326202        1.25044073        0.09223853        1.07813873        0.07142242        0.00790958        0.00073148
       -4.83325201        1.29717229        0.09641911        1.11824577        0.07361825        0.00812931        0.00075984
       -4.82324200        1.34157165        0.10048497        1.15637285        0.07559761        0.00832784        0.00078839
       -4.81323199        1.38325472        0.10440789        1.19217794        0.07734753        0.00850451        0.00081686
       -4.80322198        1.42185698        0.10815862        1.22533686        0.07885758        0.00865892        0.00084500
       -4.79321197        1.45703742        0.11170717        1.25554695        0.08011985        0.00879089        0.00087256
       -4.78320196        1.48848263        0.11502321        1.28253078        0.08112892        0.00890047        0.00089925
       -4.77319195        1.51591103        0.11807661        1.30603990        0.08188187        0.00898784        0.00092480
       -4.76318194        1.53907701        0.12083804        1.32585850        0.08237815        0.00905337        0.00094895
       -4.75317193        1.55777485        0.12327955        1.34180679        0.08261956        0.00909754        0.00097141
       -4.74316192        1.57184219        0.12537523        1.35374402        0.08261011        0.00912091        0.00099193
       -4.73315191        1.58116296        0.12710177        1.36157086        0.08235592        0.00912414        0.00101027
       -4.72314190        1.58566936        0.12843901        1.36523112        0.08186507        0.00910796        0.00102620
       -4.71313189        1.58534305        0.12937039        1.36471264        0.08114736        0.00907312        0.00103954
       -4.70312188        1.58021541        0.12988329        1.36004735        0.08021420        0.00902043        0.00105014
       -4.69311187        1.57036683        0.12996935        1.35131052        0.07907836        0.00895072        0.00105788
       -4.68310186        1.55592531        0.12962462        1.33861939        0.07775373        0.00886485        0.00106271
       -4.67309185        1.53706430        0.12884970        1.32213111        0.07625518        0.00876370        0.00106460
       -4.66308184        1.51400013        0.12764982        1.30204024        0.07459828        0.00864819        0.00106360
       -4.65307183        1.48698903        0.12603479        1.27857600        0.07279921        0.00851924        0.00105979
       -4.64306182        1.45632387        0.12401905        1.25199916        0.07087453        0.00837784        0.00105329
       -4.63305181        1.42233072        0.12162149        1.22259881        0.06884112        0.00822501        0.00104430
       -4.62304180        1.38536511        0.11886538        1.19068887        0.06671602        0.00806182        0.00103301
       -4.61303179        1.34580805        0.11577814        1.15660442        0.06451638        0.00788943        0.00101969
       -4.60302178        1.30406164        0.11239103        1.12069765        0.06225933        0.00770903        0.00100460
       -4.59301177        1.26054409        0.10873878        1.08333340        0.05996197        0.00752191        0.00098804
       -4.58300176        1.21568433        0.10485910        1.04488434        0.05764117        0.00732941        0.00097031
       -4.57299175        1.16991584        0.10079203        1.00572561        0.05531354        0.00713294        0.00095172
       -4.56298174        1.12367007        0.09657922        0.96622908        0.05299523        0.00693395        0.00093258
       -4.55297173        1.07736941        0.09226313        0.92675736        0.05070178        0.00673393        0.00091320
       -4.54296172        1.03142008        0.08788609        0.88765779        0.04844797        0.00653435        0.00089387
       -4.53295171        0.98620515        0.08348941        0.84925664        0.04624756        0.00633668        0.00087485
       -4.52294170        0.94207824        0.07911245        0.81185388        0.04411315        0.00614233        0.00085642
       -4.51293169        0.89935811        0.07479178        0.77571890        0.04205602        0.00595262        0.00083879
       -4.50292168        0.85832474        0.07056046        0.74108740        0.04008592        0.00576877        0.00082219
       -4.49291167        0.81921700        0.06644742        0.70815982        0.03821107        0.00559185        0.00080683
       -4.48290166        0.78223224        0.06247715        0.67710137        0.03643806        0.00542280        0.00079286
       -4.47289165        0.74752790        0.05866943        0.64804371        0.03477189        0.00526240        0.00078048
       -4.46288164        0.71522489        0.05503944        0.62108830        0.03321610        0.00511124        0.00076982
       -4.45287163        0.68541271        0.05159796        0.59631102        0.03177291        0.00496979        0.00076104
