#  aims_uuid : 423CB2F0-46F7-4054-A0D7-B2ADBCC3D8ED                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.06117779        0.00895541        0.08694447        0.95279063        0.01130710        0.00118019
       -9.98998999        1.94806794        0.02726965        0.24629298        1.65229390        0.01975840        0.00245301
       -9.97997998        3.80189665        0.03941320        0.45788635        3.26477845        0.03185664        0.00796201
       -9.96996997        0.43824223        0.00250949        0.04129058        0.39043807        0.00342655        0.00057755
       -9.95995996        1.50342892        0.01814798        0.18374950        1.28931781        0.01030506        0.00190857
       -9.94994995        0.82523795        0.01676419        0.09585047        0.70225578        0.00971768        0.00064983
       -9.93993994        1.34256396        0.01764083        0.12730985        1.18345942        0.01268986        0.00146401
       -9.92992993        1.18130887        0.02346518        0.09903592        1.04768561        0.00937856        0.00174361
       -9.91991992        0.95707022        0.05520160        0.14111892        0.74970415        0.00924472        0.00180084
       -9.90990991        1.19623008        0.08809013        0.19625171        0.89742890        0.01218863        0.00227071
       -9.89989990        0.48445484        0.01958995        0.06360871        0.39601684        0.00442219        0.00081715
       -9.88988989        1.28944412        0.09632038        0.18263757        0.99665226        0.01164885        0.00218505
       -9.87987988        1.58180358        0.26871368        0.26252318        1.03091607        0.01655003        0.00310062
       -9.86986987        1.52365686        0.08616525        0.23111334        1.18941759        0.01446146        0.00249921
       -9.85985986        2.14674846        0.16318467        0.40302495        1.55186027        0.02449000        0.00418857
       -9.84984985        1.85662869        0.18124499        0.36517892        1.27911272        0.02669611        0.00439595
       -9.83983984        1.83356814        0.18497117        0.38167421        1.23335875        0.02901774        0.00454629
       -9.82982983        2.40002433        0.31185414        0.42051001        1.62846128        0.03388719        0.00531171
       -9.81981982        1.01911709        0.21419440        0.24506763        0.54135915        0.01591641        0.00257951
       -9.80980981        1.32179542        0.15559244        0.32400811        0.81386268        0.02512478        0.00320740
       -9.79979980        2.68846640        0.27356164        0.60468654        1.75026901        0.05374639        0.00620283
       -9.78978979        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.77977978        1.08411274        0.15812777        0.19213598        0.71139278        0.02079817        0.00165805
       -9.76976977        1.36800679        0.31054789        0.25066611        0.78072676        0.02260259        0.00346344
       -9.75975976        1.66920237        0.28256999        0.38788544        0.96855996        0.02648475        0.00370222
       -9.74974975        1.10515125        0.21503043        0.23320755        0.63610792        0.01841354        0.00239181
       -9.73973974        1.14386938        0.24008769        0.25804285        0.62682157        0.01622574        0.00269153
       -9.72972973        1.18987143        0.21826662        0.30312674        0.64423650        0.02141770        0.00282388
       -9.71971972        0.79453030        0.18397114        0.16260306        0.43267916        0.01354629        0.00173066
       -9.70970971        0.69289821        0.14618092        0.12451442        0.40819874        0.01250142        0.00150271
       -9.69969970        0.98323533        0.11401795        0.18083282        0.66799035        0.01819562        0.00219859
       -9.68968969        0.94621984        0.14521309        0.21796867        0.56199892        0.01860981        0.00242935
       -9.67967968        0.94431562        0.11263336        0.15698960        0.65650212        0.01649748        0.00169306
       -9.66966967        1.54159183        0.16693025        0.19403016        1.15514009        0.02301436        0.00247698
       -9.65965966        1.55368396        0.20788863        0.20686366        1.11577880        0.02025778        0.00289509
       -9.64964965        1.00213344        0.17902827        0.14451499        0.66539411        0.01077388        0.00242219
       -9.63963964        1.03165843        0.13920470        0.08952379        0.78303936        0.01793308        0.00195750
       -9.62962963        0.58852743        0.09029678        0.06604470        0.42056617        0.01045439        0.00116539
       -9.61961962        0.44208570        0.07132705        0.06049085        0.30095970        0.00844920        0.00085889
       -9.60960961        0.16110896        0.02670774        0.02503440        0.10622784        0.00284405        0.00029493
       -9.59959960        0.14445105        0.02654710        0.01892558        0.09644519        0.00226370        0.00026948
       -9.58958959        0.12615284        0.02552604        0.01326349        0.08537702        0.00174375        0.00024254
       -9.57957958        0.42613884        0.05042445        0.03077326        0.33637985        0.00784466        0.00071663
       -9.56956957        1.31979712        0.10798042        0.08315750        1.10089941        0.02589053        0.00186926
       -9.55955956        0.57116209        0.06764500        0.02431093        0.46487475        0.01357777        0.00075363
       -9.54954955        0.53199685        0.05726554        0.03224450        0.43375547        0.00767924        0.00105210
       -9.53953954        0.45950754        0.04079267        0.03241746        0.37839869        0.00698478        0.00091394
       -9.52952953        0.44461439        0.02993802        0.03403396        0.37102193        0.00887506        0.00074541
       -9.51951952        0.75606421        0.03136415        0.09366497        0.61211545        0.01770264        0.00121701
       -9.50950951        0.76804555        0.02436240        0.09011439        0.63050742        0.02200702        0.00105431
       -9.49949950        0.21266192        0.00684318        0.03054251        0.17009363        0.00476192        0.00042070
       -9.48948949        0.22038672        0.01002637        0.02888330        0.17678327        0.00421616        0.00047762
       -9.47947948        0.30817455        0.01314903        0.04538249        0.24315195        0.00581948        0.00067159
       -9.46946947        0.38973388        0.01682312        0.05379200        0.31017685        0.00808048        0.00086143
       -9.45945946        0.46506470        0.02104863        0.05411182        0.37785796        0.01099916        0.00104713
       -9.44944945        0.51310318        0.03215612        0.04696025        0.42343337        0.00930609        0.00124736
       -9.43943944        0.62683459        0.04895173        0.04426517        0.52338709        0.00861672        0.00161388
       -9.42942943        0.83904158        0.06946654        0.05368277        0.70256376        0.01111892        0.00220959
