#  aims_uuid : 423CB2F0-46F7-4054-A0D7-B2ADBCC3D8ED                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.90256650        0.04738599        0.80989774        0.04042310        0.00408572        0.00077395
       -9.98998999        2.32265936        0.13338219        2.06450773        0.11241220        0.01100666        0.00135058
       -9.97997998        6.40328170        0.56367921        5.50214740        0.29554011        0.04083750        0.00107748
       -9.96996997        0.20735669        0.00872341        0.18330215        0.01378440        0.00136948        0.00017726
       -9.95995996        0.90920864        0.04122314        0.80337437        0.05887110        0.00528658        0.00045345
       -9.94994995        0.58261189        0.03387206        0.51329692        0.03112073        0.00386090        0.00046127
       -9.93993994        0.88258514        0.06970749        0.75037308        0.05495759        0.00711844        0.00042853
       -9.92992993        0.96125014        0.08705120        0.81362738        0.05304121        0.00724545        0.00028490
       -9.91991992        1.43480656        0.12995267        1.23640322        0.05937231        0.00857369        0.00050467
       -9.90990991        2.02078210        0.18151190        1.74427551        0.08255128        0.01172370        0.00071972
       -9.89989990        0.40740124        0.02736975        0.35171808        0.02533597        0.00270124        0.00027620
       -9.88988989        1.43227094        0.11027923        1.24105807        0.07204506        0.00806308        0.00082550
       -9.87987988        2.06799479        0.18062597        1.79461651        0.08043710        0.01094350        0.00137171
       -9.86986987        1.78332533        0.17970123        1.50412921        0.08860008        0.01012601        0.00076880
       -9.85985986        2.05631190        0.16447228        1.72651102        0.15051279        0.01366924        0.00114658
       -9.84984985        2.07840828        0.12639048        1.80290112        0.13559340        0.01221567        0.00130759
       -9.83983984        1.99889967        0.09437084        1.75257203        0.13779585        0.01245719        0.00170377
       -9.82982983        2.20573304        0.15001677        1.88918047        0.14810071        0.01646798        0.00196710
       -9.81981982        0.81693374        0.05854962        0.68429936        0.06592792        0.00723001        0.00092682
       -9.80980981        1.03163125        0.07438552        0.87193114        0.07629294        0.00767294        0.00134872
       -9.79979980        3.43182955        0.30961183        2.94135623        0.15655679        0.02041226        0.00389244
       -9.78978979        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.77977978        1.08709295        0.09173003        0.97119120        0.01769385        0.00507791        0.00139997
       -9.76976977        1.66125494        0.13954362        1.42715697        0.08267298        0.01031227        0.00156910
       -9.75975976        2.08363831        0.23360211        1.73796242        0.09724831        0.01335858        0.00146689
       -9.74974975        0.98012061        0.09429587        0.81795794        0.05848839        0.00815033        0.00122808
       -9.73973974        0.78459626        0.07610711        0.64505186        0.05348545        0.00862063        0.00133122
       -9.72972973        1.26065108        0.13417382        1.04661816        0.07017279        0.00840369        0.00128262
       -9.71971972        0.82184234        0.09747081        0.67625854        0.04121554        0.00596806        0.00092939
       -9.70970971        1.05429323        0.11232523        0.89223900        0.04304922        0.00582782        0.00085197
       -9.69969970        1.69218177        0.16060630        1.46185152        0.06202630        0.00674482        0.00095283
       -9.68968969        1.75336131        0.16955782        1.51944576        0.05691504        0.00643778        0.00100491
       -9.67967968        1.12248521        0.10645316        0.95789490        0.04970309        0.00751136        0.00092270
       -9.66966967        1.10901673        0.07074399        0.95984011        0.06695442        0.00969475        0.00178347
       -9.65965966        1.02681779        0.05075072        0.88876940        0.07350771        0.01195455        0.00183541
       -9.64964965        0.49755733        0.01482684        0.43423164        0.03966606        0.00781893        0.00101387
       -9.63963964        1.18048814        0.06540800        1.05371927        0.05252257        0.00812990        0.00070840
       -9.62962963        0.84105427        0.05285724        0.74228441        0.04026912        0.00516188        0.00048163
       -9.61961962        0.78035701        0.05393741        0.68405586        0.03781058        0.00414328        0.00040988
       -9.60960961        0.28783761        0.01678148        0.25313266        0.01602394        0.00170588        0.00019365
       -9.59959960        0.23986532        0.01277709        0.21159375        0.01382421        0.00149932        0.00017095
       -9.58958959        0.18383230        0.00933612        0.16241573        0.01072990        0.00121282        0.00013772
       -9.57957958        0.27526274        0.01842137        0.23871311        0.01455423        0.00307133        0.00050269
       -9.56956957        0.86598739        0.02920321        0.78316760        0.04337647        0.00833245        0.00190766
       -9.55955956        0.55950865        0.01006835        0.51782919        0.02636871        0.00459673        0.00064567
       -9.54954955        0.45343441        0.03274923        0.39352168        0.02261486        0.00403053        0.00051810
       -9.53953954        0.41341238        0.03386000        0.35802882        0.01801422        0.00311215        0.00039719
       -9.52952953        0.44811508        0.03187726        0.39766080        0.01580775        0.00243346        0.00033581
       -9.51951952        0.91946426        0.06688053        0.81941441        0.02814510        0.00443310        0.00059111
