#  aims_uuid : 7EA6C34F-1953-4B18-AA16-E2C77C339481                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.394945 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.60505467        0.50105673        0.00561057        0.04569871        0.44569532        0.00313906        0.00091308
       -4.59504466        0.89905485        0.03329423        0.11182752        0.74448968        0.00718786        0.00225555
       -4.58503465        1.47327778        0.03621558        0.17620941        1.24732062        0.01046143        0.00307074
       -4.57502464       10.01355594        0.14732521        1.24817593        8.53014731        0.07519034        0.01271716
       -4.56501463        0.21150615        0.00623582        0.02590534        0.17762747        0.00129716        0.00044036
       -4.55500462        2.33537993        0.11979656        0.69946263        1.48301426        0.02857075        0.00453574
       -4.54499461        0.68977867        0.00992244        0.10883383        0.56086118        0.00915937        0.00100185
       -4.53498460        1.34531882        0.04850420        0.22086115        1.04345874        0.02933766        0.00315707
       -4.52497459        0.51217687        0.02155825        0.07726008        0.41016446        0.00250174        0.00069235
       -4.51496458        3.19013236        0.13508252        0.79136498        2.22094322        0.03627801        0.00646363
       -4.50495457        0.40015235        0.02917092        0.07950587        0.28698118        0.00368123        0.00081316
       -4.49494456        1.92225124        0.14971448        0.45495437        1.29464582        0.01878194        0.00415463
       -4.48493455        0.46778145        0.01649066        0.06034414        0.38379576        0.00624724        0.00090364
       -4.47492454        1.93148653        0.15787122        0.31870148        1.42535015        0.02513301        0.00443067
       -4.46491453        1.86343603        0.15735828        0.38833226        1.29369770        0.02048261        0.00356517
       -4.45490452        2.31689328        0.22278049        0.51667771        1.55002667        0.02291434        0.00449407
       -4.44489451        1.83889313        0.15691688        0.41571351        1.24100309        0.02145025        0.00380940
       -4.43488450        2.25320142        0.11466580        0.25657442        1.85366876        0.02493919        0.00335325
       -4.42487449        2.07255145        0.38653177        0.29052058        1.36873240        0.02384249        0.00292421
       -4.41486448        0.68002712        0.16149666        0.07535124        0.42951184        0.01238374        0.00128364
       -4.40485447        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.39484446        1.91512435        0.47156054        0.34342409        1.07866999        0.01822220        0.00324753
       -4.38483445      192.90546729       29.01080924       53.14624988      104.99843183        5.03920038        0.71077595
       -4.37482444        1.73750759        0.34525811        0.28726527        1.06883883        0.03281778        0.00332760
       -4.36481443        1.48201134        0.13160043        0.14800406        1.17177783        0.02827399        0.00235503
       -4.35480442        0.98951772        0.07843601        0.18198523        0.70381931        0.02264551        0.00263166
       -4.34479441        0.23748236        0.04495197        0.04991725        0.13623128        0.00578283        0.00059903
       -4.33478440        2.08489290        0.43971958        0.25966882        1.34614061        0.03593419        0.00342970
       -4.32477439        0.26265674        0.06244986        0.04227028        0.15245926        0.00498816        0.00048918
       -4.31476438        1.32020562        0.13857160        0.12698251        1.02414596        0.02788024        0.00262531
       -4.30475437        0.54284388        0.06201992        0.07692836        0.39614293        0.00679093        0.00096174
       -4.29474436        2.20358304        0.29448679        0.23659489        1.62772634        0.04087862        0.00389640
       -4.28473435        0.64139396        0.09510790        0.07147307        0.45991276        0.01337370        0.00152653
       -4.27472434        2.18072919        0.22266525        0.18882715        1.71434514        0.04871159        0.00618006
       -4.26471433        0.08782259        0.00446311        0.01155920        0.06899735        0.00246056        0.00034236
       -4.25470432        0.77728985        0.03328558        0.11119381        0.61585100        0.01479397        0.00216548
       -4.24469431        0.98924575        0.07574306        0.15428738        0.73468941        0.02218460        0.00234130
       -4.23468430        0.22685605        0.02798616        0.04132415        0.15285861        0.00406469        0.00062244
       -4.22467429        0.19822628        0.02728817        0.02856385        0.13874599        0.00309385        0.00053441
       -4.21466428        0.15695468        0.02477634        0.01740905        0.11213849        0.00221723        0.00041358
       -4.20465427        0.10304126        0.02045065        0.00785973        0.07303609        0.00143485        0.00025994
       -4.19464426        0.29816731        0.03575359        0.01217264        0.24294823        0.00681468        0.00047818
       -4.18463425        0.40064245        0.03351358        0.02153300        0.33470441        0.01027046        0.00062100
       -4.17462424        0.87028170        0.07166106        0.07291980        0.70650731        0.01751736        0.00167617
       -4.16461423        0.49671483        0.03432245        0.06299708        0.38463942        0.01360869        0.00114718
       -4.15460422        0.27729259        0.02517074        0.04845519        0.19463917        0.00823162        0.00079587
       -4.14459421        0.20896859        0.02240336        0.03196518        0.15039348        0.00363864        0.00056794
       -4.13458420        0.42410634        0.03036140        0.05631986        0.32772982        0.00870020        0.00099505
       -4.12457419        0.49491979        0.03086606        0.05691789        0.39569461        0.01042170        0.00101953
       -4.11456418        0.62321586        0.04039052        0.06140252        0.50737241        0.01276900        0.00128141
       -4.10455417        0.78416910        0.04768178        0.06457467        0.65440845        0.01596786        0.00153633
       -4.09454416        0.78098318        0.04683135        0.04424696        0.67251255        0.01589940        0.00149292
       -4.08453415        0.58576826        0.04166251        0.03587812        0.50052259        0.00640421        0.00130083
       -4.07452414        0.95019089        0.07203953        0.04877924        0.81689354        0.01035993        0.00211865
       -4.06451413        0.45227866        0.03421229        0.02183118        0.38577626        0.00967956        0.00077937
       -4.05450412        0.60581425        0.04760505        0.03911824        0.50422090        0.01368387        0.00118619
       -4.04449411        0.41055057        0.05375543        0.03244004        0.31545249        0.00802087        0.00088174
       -4.03448410        0.44150771        0.06535744        0.03902340        0.32801969        0.00809280        0.00101437
       -4.02447409        0.49477875        0.07852697        0.04490778        0.36195225        0.00820019        0.00119156
       -4.01446408        0.56256694        0.09270780        0.05008624        0.41005828        0.00831627        0.00139835
       -4.00445407        0.18509826        0.00505180        0.02075038        0.15546112        0.00331922        0.00051574
       -3.99444406        0.23079427        0.00643873        0.02227512        0.19726746        0.00416307        0.00064988
       -3.98443405        0.27559732        0.00764866        0.02314699        0.23895151        0.00506342        0.00078674
       -3.97442404        0.31950741        0.00868160        0.02336597        0.28051325        0.00602027        0.00092632
       -3.96441403        0.36252454        0.00953754        0.02293208        0.32195269        0.00703361        0.00106862
       -3.95440402        0.31772853        0.00897520        0.01853836        0.28347229        0.00573582        0.00100685
       -3.94439401        0.36680167        0.00942971        0.02098040        0.32835385        0.00682053        0.00121719
       -3.93438400        0.41961080        0.01040284        0.02438888        0.37549360        0.00785745        0.00146802
       -3.92437399        0.61850989        0.01725992        0.03547353        0.55328907        0.01050285        0.00198452
       -3.91436398        0.81191445        0.02421795        0.04246916        0.72967287        0.01329808        0.00225639
       -3.90435397        0.42859911        0.02181316        0.03102990        0.36785169        0.00623667        0.00166769
       -3.89434396        0.44225699        0.02268097        0.03803205        0.37367700        0.00592061        0.00194635
       -3.88433395        0.63601382        0.02236700        0.08549453        0.51687697        0.00863403        0.00264128
       -3.87432394        0.90388824        0.02107541        0.13501773        0.73286948        0.01128227        0.00364335
       -3.86431393        1.28861395        0.03922828        0.13252029        1.09790813        0.01388226        0.00507499
       -3.85430392        1.37773090        0.03200296        0.11221057        1.21724609        0.01179140        0.00447988
       -3.84429391        1.48360323        0.04656692        0.11938148        1.29968354        0.01315737        0.00481392
       -3.83428390        1.32020399        0.02941829        0.14097340        1.13036819        0.01259780        0.00684631
       -3.82427389        1.47630731        0.02284804        0.19676258        1.23133688        0.01762793        0.00773188
       -3.81426388        1.41834158        0.01395095        0.21046564        1.16857194        0.01695498        0.00839807
       -3.80425387        1.67754568        0.02369712        0.30444356        1.31616312        0.02513842        0.00810346
