#  aims_uuid : 34ED089B-8E9C-4626-A65E-7A0C34F4742C                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.99866921        0.07788634        0.85780514        0.05578021        0.00657073        0.00062679
       -9.98998999        1.04886999        0.08242062        0.90023835        0.05866876        0.00688674        0.00065552
       -9.97997998        1.09885717        0.08691683        0.94259371        0.06147130        0.00718981        0.00068552
       -9.96996997        1.14824306        0.09134434        0.98454015        0.06416450        0.00747745        0.00071661
       -9.95995996        1.19663196        0.09567151        1.02573825        0.06672611        0.00774747        0.00074862
       -9.94994995        1.24362243        0.09986576        1.06584226        0.06913511        0.00799795        0.00078134
       -9.93993994        1.28880971        0.10389367        1.10450221        0.07137189        0.00822736        0.00081457
       -9.92992993        1.33178844        0.10772123        1.14136628        0.07341840        0.00843445        0.00084808
       -9.91991992        1.37215616        0.11131414        1.17608388        0.07525821        0.00861831        0.00088163
       -9.90990991        1.40951775        0.11463834        1.20830943        0.07687667        0.00877834        0.00091496
       -9.89989990        1.44349091        0.11766057        1.23770725        0.07826105        0.00891424        0.00094780
       -9.88988989        1.47371282        0.12034912        1.26395729        0.07940061        0.00902593        0.00097987
       -9.87987988        1.49984766        0.12267463        1.28676177        0.08028680        0.00911359        0.00101088
       -9.86986987        1.52159474        0.12461090        1.30585234        0.08091339        0.00917761        0.00104050
       -9.85985986        1.53869685        0.12613571        1.32099754        0.08127664        0.00921852        0.00106844
       -9.84984985        1.55094825        0.12723155        1.33200989        0.08137541        0.00923701        0.00109439
       -9.83983984        1.55820179        0.12788622        1.33875236        0.08121127        0.00923388        0.00111805
       -9.82982983        1.56037470        0.12809329        1.34114367        0.08078856        0.00921003        0.00113915
       -9.81981982        1.55745255        0.12785233        1.33916199        0.08011438        0.00916640        0.00115744
       -9.80980981        1.54949111        0.12716896        1.33284692        0.07919852        0.00910400        0.00117271
       -9.79979980        1.53661607        0.12605467        1.32229941        0.07805334        0.00902387        0.00118477
       -9.78978979        1.51902048        0.12452652        1.30767985        0.07669355        0.00892705        0.00119352
       -9.77977978        1.49696022        0.12260660        1.28920423        0.07513592        0.00881459        0.00119887
       -9.76976977        1.47074777        0.12032146        1.26713891        0.07339906        0.00868755        0.00120080
       -9.75975976        1.44074462        0.11770140        1.24179395        0.07150296        0.00854697        0.00119934
       -9.74974975        1.40735284        0.11477978        1.21351583        0.06946872        0.00839392        0.00119459
       -9.73973974        1.37100606        0.11159233        1.18267946        0.06731816        0.00822943        0.00118667
       -9.72972973        1.33216044        0.10817646        1.14968017        0.06507344        0.00805460        0.00117577
       -9.71971972        1.29128574        0.10457059        1.11492575        0.06275678        0.00787051        0.00116210
       -9.70970971        1.24885677        0.10081362        1.07882880        0.06039014        0.00767830        0.00114591
       -9.69969970        1.20534537        0.09694431        1.04179948        0.05799495        0.00747915        0.00112749
       -9.68968969        1.16121285        0.09300079        1.00423879        0.05559188        0.00727428        0.00110712
       -9.67967968        1.11690309        0.08902005        0.96653234        0.05320059        0.00706498        0.00108512
       -9.66966967        1.07283612        0.08503743        0.92904464        0.05083963        0.00685260        0.00106182
       -9.65965966        1.02940230        0.08108611        0.89211398        0.04852616        0.00663851        0.00103754
       -9.64964965        0.98695718        0.07719667        0.85604787        0.04627589        0.00642415        0.00101260
       -9.63963964        0.94581708        0.07339661        0.82111928        0.04410289        0.00621097        0.00098732
       -9.62962963        0.90625558        0.06970994        0.78756372        0.04201950        0.00600040        0.00096203
       -9.61961962        0.86850124        0.06615685        0.75557732        0.04003619        0.00579386        0.00093702
       -9.60960961        0.83273655        0.06275347        0.72531619        0.03816156        0.00559274        0.00091260
       -9.59959960        0.79909852        0.05951174        0.69689713        0.03640228        0.00539832        0.00088905
       -9.58958959        0.76768091        0.05643947        0.67039987        0.03476310        0.00521182        0.00086665
       -9.57957958        0.73853826        0.05354050        0.64587081        0.03324696        0.00503435        0.00084566
       -9.56956957        0.71169158        0.05081502        0.62332825        0.03185510        0.00486687        0.00082634
       -9.55955956        0.68713550        0.04826010        0.60276892        0.03058729        0.00471026        0.00080894
       -9.54954955        0.66484675        0.04587024        0.58417552        0.02944204        0.00456526        0.00079370
       -9.53953954        0.64479331        0.04363808        0.56752494        0.02841694        0.00443250        0.00078085
       -9.52952953        0.62694390        0.04155512        0.55279665        0.02750899        0.00431251        0.00077064
       -9.51951952        0.61127726        0.03961245        0.53998080        0.02671496        0.00420576        0.00076329
       -9.50950951        0.59779053        0.03780144        0.52908561        0.02603179        0.00411266        0.00075902
       -9.49949950        0.58650640        0.03611433        0.52014349        0.02545688        0.00403362        0.00075808
       -9.48948949        0.57747839        0.03454470        0.51321548        0.02498850        0.00396903        0.00076067
       -9.47947948        0.57079406        0.03308784        0.50839384        0.02462598        0.00391936        0.00076703
       -9.46946947        0.56657580        0.03174092        0.50580242        0.02436998        0.00388510        0.00077738
       -9.45945946        0.56497915        0.03050297        0.50559480        0.02422256        0.00386688        0.00079194
       -9.44944945        0.56618861        0.02937482        0.50795023        0.02418725        0.00386540        0.00081090
       -9.43943944        0.57041111        0.02835874        0.51306742        0.02426895        0.00388153        0.00083447
       -9.42942943        0.57786735        0.02745812        0.52115641        0.02447377        0.00391624        0.00086282
       -9.41941942        0.58878132        0.02667693        0.53242887        0.02480880        0.00397063        0.00089609
       -9.40940941        0.60336832        0.02601922        0.54708709        0.02528169        0.00404591        0.00093442
       -9.39939940        0.62182206        0.02548853        0.56531205        0.02590023        0.00414337        0.00097788
       -9.38938939        0.64430108        0.02508734        0.58725103        0.02667187        0.00426432        0.00102651
       -9.37937938        0.67091522        0.02481655        0.61300521        0.02760311        0.00441006        0.00108029
       -9.36936937        0.70171250        0.02467498        0.64261766        0.02869894        0.00458177        0.00113914
       -9.35935936        0.73666698        0.02465905        0.67606231        0.02996225        0.00478046        0.00120290
       -9.34934935        0.77566825        0.02476250        0.71323433        0.03139325        0.00500684        0.00127134
       -9.33933934        0.81851296        0.02497619        0.75394241        0.03298897        0.00526128        0.00134411
       -9.32932933        0.86489896        0.02528819        0.79790350        0.03474284        0.00554362        0.00142080
       -9.31931932        0.91442266        0.02568381        0.84474040        0.03664438        0.00585319        0.00150088
       -9.30930931        0.96657986        0.02614593        0.89398259        0.03867899        0.00618862        0.00158373
       -9.29929930        1.02077040        0.02665533        0.94507062        0.04082797        0.00654786        0.00166861
       -9.28928929        1.07630689        0.02719126        0.99736418        0.04306865        0.00692807        0.00175472
       -9.27927928        1.13242737        0.02773195        1.05015388        0.04537471        0.00732569        0.00184115
       -9.26926927        1.18831181        0.02825533        1.10267651        0.04771669        0.00773638        0.00192692
       -9.25925926        1.24310186        0.02873969        1.15413343        0.05006262        0.00815513        0.00201099
       -9.24924925        1.29592338        0.02916440        1.20371146        0.05237884        0.00857636        0.00209231
       -9.23923924        1.34591069        0.02951056        1.25060546        0.05463086        0.00899403        0.00216978
       -9.22922923        1.39223171        0.02976161        1.29404167        0.05678430        0.00940178        0.00224235
       -9.21921922        1.43411270        0.02990384        1.33330079        0.05880591        0.00979318        0.00230898
       -9.20920921        1.47086157        0.02992680        1.36773973        0.06066448        0.01016187        0.00236870
       -9.19919920        1.50188846        0.02982353        1.39681077        0.06233175        0.01050178        0.00242065
       -9.18918919        1.52672279        0.02959072        1.42007754        0.06378314        0.01080735        0.00246404
       -9.17917918        1.54502574        0.02922865        1.43722665        0.06499844        0.01107373        0.00249827
       -9.16916917        1.55659775        0.02874101        1.44807476        0.06596224        0.01129689        0.00252284
       -9.15915916        1.56138070        0.02813464        1.45257055        0.06666425        0.01147382        0.00253744
       -9.14914915        1.55945472        0.02741908        1.45079179        0.06709936        0.01160257        0.00254193
       -9.13913914        1.55103015        0.02660610        1.44293778        0.06726762        0.01168232        0.00253634
       -9.12912913        1.53643510        0.02570921        1.42931766        0.06717397        0.01171340        0.00252086
       -9.11911912        1.51609944        0.02474303        1.41033541        0.06682789        0.01169722        0.00249588
       -9.10910911        1.49053636        0.02372282        1.38647250        0.06624293        0.01163621        0.00246190
       -9.09909910        1.46032231        0.02266390        1.35826906        0.06543609        0.01153368        0.00241959
       -9.08908909        1.42607656        0.02158124        1.32630465        0.06442728        0.01139366        0.00236972
       -9.07907908        1.38844118        0.02048909        1.29117951        0.06323863        0.01122079        0.00231316
       -9.06906907        1.34806238        0.01940061        1.25349704        0.06189385        0.01102002        0.00225085
       -9.05905906        1.30557384        0.01832769        1.21384815        0.06041766        0.01079655        0.00218379
       -9.04904905        1.26158236        0.01728081        1.17279791        0.05883514        0.01055554        0.00211296
       -9.03903904        1.21665628        0.01626896        1.13087471        0.05717124        0.01030199        0.00203938
       -9.02902903        1.17131655        0.01529966        1.08856205        0.05545025        0.01004057        0.00196402
       -9.01901902        1.12603053        0.01437895        1.04629288        0.05369539        0.00977553        0.00188778
       -9.00900901        1.08120827        0.01351156        1.00444622        0.05192842        0.00951054        0.00181153
       -8.99899900        1.03720099        0.01270095        0.96334602        0.05016933        0.00924868        0.00173602
       -8.98898899        0.99430159        0.01194951        0.92326172        0.04843609        0.00899237        0.00166190
       -8.97897898        0.95274672        0.01125861        0.88441048        0.04674446        0.00874342        0.00158975
       -8.96896897        0.91272029        0.01062882        0.84696061        0.04510787        0.00850300        0.00152000
       -8.95895896        0.87435807        0.01005997        0.81103599        0.04353740        0.00827172        0.00145299
       -8.94894895        0.83775315        0.00955130        0.77672135        0.04204181        0.00804972        0.00138896
       -8.93893894        0.80296199        0.00910153        0.74406800        0.04062764        0.00783677        0.00132806
       -8.92892893        0.77001093        0.00870896        0.71309995        0.03929938        0.00763231        0.00127033
       -8.91891892        0.73890282        0.00837151        0.68382011        0.03805975        0.00743564        0.00121579
       -8.90890891        0.70962355        0.00808683        0.65621641        0.03690995        0.00724598        0.00116438
       -8.89889890        0.68214834        0.00785225        0.63026756        0.03584997        0.00706256        0.00111599
       -8.88888889        0.65644738        0.00766489        0.60594829        0.03487895        0.00688473        0.00107054
       -8.87887888        0.63249072        0.00752163        0.58323375        0.03399545        0.00671201        0.00102789
       -8.86886887        0.61025209        0.00741913        0.56210307        0.03319780        0.00654414        0.00098794
       -8.85885886        0.58971159        0.00735384        0.54254174        0.03248426        0.00638113        0.00095061
       -8.84884885        0.57085710        0.00732201        0.52454277        0.03185325        0.00622324        0.00091582
       -8.83883884        0.55368430        0.00731968        0.50810671        0.03130342        0.00607096        0.00088353
       -8.82882883        0.53819547        0.00734270        0.49324036        0.03083367        0.00592502        0.00085372
       -8.81881882        0.52439703        0.00738675        0.47995448        0.03044310        0.00578630        0.00082641
       -8.80880881        0.51229614        0.00744736        0.46826046        0.03013092        0.00565579        0.00080160
       -8.79879880        0.50189645        0.00751997        0.45816638        0.02989620        0.00553456        0.00077935
       -8.78878879        0.49319345        0.00759995        0.44967246        0.02973771        0.00542364        0.00075968
       -8.77877878        0.48616952        0.00768271        0.44276647        0.02965368        0.00532400        0.00074265
       -8.76876877        0.48078923        0.00776374        0.43741918        0.02964156        0.00523646        0.00072828
       -8.75875876        0.47699503        0.00783870        0.43358023        0.02969783        0.00516169        0.00071659
       -8.74874875        0.47470376        0.00790350        0.43117477        0.02981780        0.00510012        0.00070756
       -8.73873874        0.47380412        0.00795442        0.43010101        0.02999558        0.00505194        0.00070118
       -8.72872873        0.47415549        0.00798811        0.43022895        0.03022397        0.00501708        0.00069738
       -8.71871872        0.47558813        0.00800173        0.43140057        0.03049454        0.00499522        0.00069608
       -8.70870871        0.47790501        0.00799298        0.43343136        0.03079774        0.00498576        0.00069717
       -8.69869870        0.48088513        0.00796011        0.43611353        0.03112310        0.00498788        0.00070052
       -8.68868869        0.48428849        0.00790196        0.43922058        0.03145943        0.00500054        0.00070597
       -8.67867868        0.48786239        0.00781798        0.44251334        0.03179520        0.00502252        0.00071334
       -8.66866867        0.49134901        0.00770817        0.44574714        0.03211880        0.00505246        0.00072244
       -8.65865866        0.49449380        0.00757309        0.44867986        0.03241892        0.00508889        0.00073305
       -8.64864865        0.49705444        0.00741379        0.45108052        0.03268491        0.00513028        0.00074495
       -8.63863864        0.49880979        0.00723180        0.45273794        0.03290708        0.00517507        0.00075790
       -8.62862863        0.49956844        0.00702903        0.45346902        0.03307699        0.00522174        0.00077166
       -8.61861862        0.49917636        0.00680775        0.45312614        0.03318768        0.00526882        0.00078597
       -8.60860861        0.49752317        0.00657052        0.45160331        0.03323386        0.00531491        0.00080057
       -8.59859860        0.49454654        0.00632013        0.44884048        0.03321198        0.00535875        0.00081520
       -8.58858859        0.49023461        0.00605957        0.44482596        0.03312029        0.00539921        0.00082958
       -8.57857858        0.48462604        0.00579193        0.43959656        0.03295878        0.00543533        0.00084344
       -8.56856857        0.47780778        0.00552044        0.43323546        0.03272907        0.00546629        0.00085652
       -8.55855856        0.46991061        0.00524831        0.42586798        0.03243429        0.00549148        0.00086856
       -8.54854855        0.46110275        0.00497877        0.41765534        0.03207888        0.00551046        0.00087930
       -8.53853854        0.45158190        0.00471498        0.40878702        0.03166841        0.00552295        0.00088853
       -8.52852853        0.44156621        0.00446002        0.39947196        0.03120932        0.00552886        0.00089605
       -8.51851852        0.43128481        0.00421677        0.38992932        0.03070876        0.00552827        0.00090168
       -8.50850851        0.42096842        0.00398796        0.38037933        0.03017438        0.00552142        0.00090532
       -8.49849850        0.41084066        0.00377606        0.37103479        0.02961422        0.00550870        0.00090689
       -8.48848849        0.40111054        0.00358328        0.36209370        0.02903654        0.00549065        0.00090636
       -8.47847848        0.39196660        0.00341153        0.35373353        0.02844979        0.00546796        0.00090378
       -8.46846847        0.38357285        0.00326241        0.34610721        0.02786252        0.00544146        0.00089926
       -8.45845846        0.37606686        0.00313721        0.33934120        0.02728341        0.00541208        0.00089296
       -8.44844845        0.36955969        0.00303689        0.33353547        0.02672130        0.00538092        0.00088511
       -8.43843844        0.36413774        0.00296212        0.32876532        0.02618515        0.00534916        0.00087598
       -8.42842843        0.35986613        0.00291334        0.32508463        0.02568412        0.00531811        0.00086592
       -8.41841842        0.35679316        0.00289074        0.32253037        0.02522759        0.00528915        0.00085531
       -8.40840841        0.35495545        0.00289436        0.32112767        0.02482512        0.00526374        0.00084456
       -8.39839840        0.35438328        0.00292415        0.32089521        0.02448643        0.00524339        0.00083410
       -8.38838839        0.35510564        0.00298001        0.32185028        0.02422136        0.00522962        0.00082438
       -8.37837838        0.35715445        0.00306187        0.32401313        0.02403966        0.00522394        0.00081585
