#  aims_uuid : 34ED089B-8E9C-4626-A65E-7A0C34F4742C                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.302743 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.69725688        1.07547980        0.07917623        0.93519699        0.05404272        0.00645961        0.00060426
       -4.68724687        1.12437709        0.08336405        0.97668066        0.05692964        0.00677010        0.00063265
       -4.67723686        1.17201581        0.08745969        1.01706984        0.05975088        0.00707239        0.00066302
       -4.66722685        1.21803958        0.09143952        1.05605438        0.06248597        0.00736451        0.00069521
       -4.65721684        1.26211027        0.09528081        1.09334105        0.06511480        0.00764460        0.00072901
       -4.64720683        1.30391010        0.09896173        1.12865557        0.06761770        0.00791090        0.00076420
       -4.63719682        1.34314300        0.10246150        1.16174384        0.06997544        0.00816172        0.00080050
       -4.62718681        1.37953552        0.10576038        1.19237264        0.07216939        0.00839551        0.00083760
       -4.61717680        1.41283758        0.10883979        1.22033019        0.07418162        0.00861082        0.00087516
       -4.60716679        1.44282322        0.11168236        1.24542658        0.07599511        0.00880635        0.00091281
       -4.59715678        1.46929157        0.11427201        1.26749445        0.07759403        0.00898094        0.00095014
       -4.58714677        1.49206825        0.11659398        1.28638992        0.07896402        0.00913358        0.00098674
       -4.57713676        1.51100693        0.11863490        1.30199382        0.08009260        0.00926345        0.00102216
       -4.56712675        1.52599126        0.12038277        1.31421311        0.08096949        0.00936994        0.00105595
       -4.55711674        1.53693680        0.12182696        1.32298252        0.08158703        0.00945262        0.00108768
       -4.54710673        1.54379284        0.12295817        1.32826598        0.08194048        0.00951132        0.00111690
       -4.53709672        1.54654391        0.12376841        1.33005792        0.08202831        0.00954605        0.00114322
       -4.52708671        1.54521076        0.12425101        1.32838410        0.08185232        0.00955708        0.00116626
       -4.51707670        1.53985072        0.12440058        1.32330181        0.08141774        0.00954488        0.00118571
       -4.50706669        1.53055725        0.12421314        1.31489952        0.08073315        0.00951014        0.00120130
       -4.49705668        1.51745883        0.12368622        1.30329578        0.07981029        0.00945370        0.00121284
       -4.48704667        1.50071709        0.12281908        1.28863746        0.07866374        0.00937660        0.00122021
       -4.47703666        1.48052445        0.12161300        1.27109756        0.07731055        0.00927999        0.00122335
       -4.46702665        1.45710123        0.12007160        1.25087247        0.07576974        0.00916512        0.00122230
       -4.45701664        1.43069258        0.11820126        1.22817901        0.07406180        0.00903336        0.00121715
       -4.44700663        1.40156522        0.11601149        1.20325144        0.07220813        0.00888608        0.00120807
       -4.43699662        1.37000422        0.11351532        1.17633829        0.07023058        0.00872473        0.00119529
       -4.42698661        1.33630978        0.11072953        1.14769942        0.06815094        0.00855078        0.00117911
       -4.41697660        1.30079407        0.10767490        1.11760308        0.06599055        0.00836568        0.00115986
       -4.40696659        1.26377812        0.10437620        1.08632312        0.06376997        0.00817092        0.00113790
       -4.39695658        1.22558861        0.10086202        1.05413623        0.06150874        0.00796800        0.00111363
       -4.38694657        1.18655461        0.09716442        1.02131913        0.05922520        0.00775840        0.00108747
       -4.37693656        1.14700405        0.09331838        0.98814580        0.05693642        0.00754363        0.00105982
       -4.36692655        1.10726001        0.08936107        0.95488443        0.05465817        0.00732523        0.00103111
       -4.35691654        1.06763677        0.08533092        0.92179447        0.05240493        0.00710473        0.00100173
       -4.34690653        1.02843583        0.08126665        0.88912348        0.05018995        0.00688367        0.00097208
       -4.33689652        0.98994183        0.07720625        0.85710414        0.04802532        0.00666360        0.00094253
       -4.32688651        0.95241888        0.07318587        0.82595146        0.04592207        0.00644606        0.00091341
       -4.31687650        0.91610722        0.06923894        0.79586042        0.04389022        0.00623257        0.00088507
       -4.30686649        0.88122077        0.06539529        0.76700423        0.04193889        0.00602457        0.00085779
       -4.29685648        0.84794563        0.06168052        0.73953349        0.04007629        0.00582348        0.00083185
       -4.28684647        0.81643973        0.05811559        0.71357618        0.03830986        0.00563058        0.00080752
       -4.27683646        0.78683386        0.05471663        0.68923890        0.03664624        0.00544706        0.00078503
       -4.26682645        0.75923395        0.05149498        0.66660905        0.03509133        0.00527398        0.00076462
       -4.25681644        0.73372462        0.04845749        0.64575812        0.03365028        0.00511223        0.00074650
       -4.24680643        0.71037382        0.04560698        0.62674579        0.03232759        0.00496257        0.00073090
       -4.23679642        0.68923816        0.04294291        0.60962460        0.03112706        0.00482557        0.00071802
       -4.22678641        0.67036868        0.04046209        0.59444497        0.03005187        0.00470166        0.00070810
       -4.21677640        0.65381666        0.03815948        0.58126015        0.02910459        0.00459109        0.00070134
       -4.20676639        0.63963903        0.03602896        0.57013083        0.02828725        0.00449403        0.00069797
       -4.19675638        0.62790301        0.03406407        0.56112887        0.02760134        0.00441051        0.00069821
       -4.18674637        0.61868959        0.03225866        0.55434023        0.02704793        0.00434048        0.00070230
       -4.17673636        0.61209566        0.03060732        0.54986640        0.02662763        0.00428387        0.00071044
       -4.16672635        0.60823454        0.02910580        0.54782456        0.02634072        0.00424061        0.00072286
       -4.15671634        0.60723480        0.02775114        0.54834609        0.02618718        0.00421064        0.00073977
       -4.14670633        0.60923732        0.02654172        0.55157358        0.02616670        0.00419399        0.00076134
       -4.13669632        0.61439070        0.02547710        0.55765626        0.02627876        0.00419082        0.00078775
       -4.12668631        0.62284506        0.02455780        0.56674408        0.02652265        0.00420139        0.00081915
       -4.11667630        0.63474457        0.02378487        0.57898047        0.02689746        0.00422615        0.00085563
       -4.10666629        0.65021868        0.02315952        0.59449416        0.02740204        0.00426569        0.00089727
       -4.09665628        0.66937260        0.02268259        0.61339012        0.02803502        0.00432078        0.00094409
       -4.08664627        0.69227725        0.02235407        0.63574015        0.02879463        0.00439234        0.00099605
       -4.07663626        0.71895904        0.02217261        0.66157331        0.02967867        0.00448138        0.00105307
       -4.06662625        0.74938995        0.02213509        0.69086663        0.03068426        0.00458900        0.00111498
       -4.05661624        0.78347831        0.02223628        0.72353654        0.03180769        0.00471626        0.00118154
       -4.04660623        0.82106085        0.02246855        0.75943151        0.03304415        0.00486419        0.00125246
       -4.03659622        0.86189644        0.02282171        0.79832630        0.03438750        0.00503362        0.00132731
       -4.02658621        0.90566201        0.02328299        0.83991827        0.03583000        0.00522514        0.00140562
       -4.01657620        0.95195117        0.02383711        0.88382622        0.03736203        0.00543901        0.00148681
       -4.00656619        1.00027580        0.02446650        0.92959216        0.03897192        0.00567504        0.00157019
       -3.99655618        1.05007096        0.02515163        0.97668601        0.04064577        0.00593256        0.00165500
       -3.98654617        1.10070319        0.02587144        1.02451367        0.04236737        0.00621031        0.00174040
       -3.97653616        1.15148222        0.02660390        1.07242819        0.04411823        0.00650644        0.00182546
       -3.96652615        1.20167574        0.02732655        1.11974380        0.04587772        0.00681847        0.00190921
