#  aims_uuid : 845FF933-4C15-4E2A-A819-92AFB6589C61                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.302743 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.69725688        1.30890635        0.07808814        1.16341180        0.06036058        0.00640124        0.00064459
       -4.68724687        2.89635973        0.25819425        2.47853026        0.13845389        0.01962052        0.00156082
       -4.67723686        0.66327207        0.02964560        0.60326205        0.02681662        0.00289153        0.00065626
       -4.66722685        1.14735332        0.05437464        1.02181117        0.06451629        0.00621610        0.00043511
       -4.65721684        1.18927551        0.11018803        1.00933796        0.06169333        0.00765431        0.00040189
       -4.64720683       22.50611336        0.96152649       20.75230317        0.71730050        0.05668461        0.01829860
       -4.63719682        0.99108513        0.05264733        0.87959082        0.05296758        0.00510039        0.00077902
       -4.62718681        0.61300676        0.04395178        0.54111781        0.02482650        0.00269841        0.00041226
       -4.61717680        1.45880452        0.10391518        1.28025104        0.06703687        0.00685473        0.00074670
       -4.60716679        0.39840367        0.02994486        0.35034347        0.01580811        0.00214677        0.00016045
       -4.59715678        0.64741581        0.04915111        0.56571461        0.02877430        0.00350387        0.00027191
       -4.58714677        1.98471920        0.17209772        1.70580254        0.09494207        0.01099354        0.00088333
       -4.57713676        0.57817669        0.03388941        0.50956225        0.03085492        0.00357099        0.00029912
       -4.56712675        1.56780427        0.11018222        1.36569695        0.08191093        0.00927520        0.00073898
       -4.55711674        2.40006215        0.17650555        2.07930896        0.12686441        0.01610367        0.00127956
       -4.54710673        1.41927496        0.10210541        1.21905384        0.08620917        0.01089352        0.00101303
       -4.53709672        1.55235115        0.11428056        1.34046209        0.08666091        0.00999250        0.00095509
       -4.52708671        1.76293910        0.12590199        1.52437574        0.09870845        0.01244124        0.00151168
       -4.51707670        0.36365876        0.02673421        0.30833140        0.02414687        0.00393862        0.00050765
       -4.50706669        1.91092262        0.15443545        1.63559131        0.10611693        0.01283425        0.00194467
       -4.49705668        5.36550619        0.33268361        4.79473608        0.20334208        0.02953647        0.00520795
       -4.48704667        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.47703666        1.78338440        0.13544846        1.54356203        0.09166657        0.01088219        0.00182515
       -4.46702665        1.69513695        0.15023135        1.43686387        0.09421807        0.01215774        0.00166593
       -4.45701664        2.62833315        0.24205499        2.24534865        0.12407990        0.01498606        0.00186354
       -4.44700663        1.03578154        0.08215690        0.90568025        0.04119279        0.00597176        0.00077984
       -4.43699662        1.21650768        0.08932262        1.07070700        0.04852410        0.00700096        0.00095300
       -4.42698661        1.08016954        0.06987993        0.95891455        0.04424068        0.00626423        0.00087016
       -4.41697660        0.91235746        0.06881343        0.80188352        0.03624071        0.00479012        0.00062968
       -4.40696659       20.56801612        2.67265587       16.97624580        0.76810511        0.14276797        0.00824138
       -4.39695658        1.52114376        0.17822353        1.26874359        0.06330426        0.01013429        0.00073809
       -4.38694657        1.08326514        0.09296146        0.91788713        0.06219677        0.00905990        0.00115987
       -4.37693656        1.20141965        0.09173662        1.05831928        0.04475362        0.00564099        0.00096914
       -4.36692655        1.60430012        0.11327121        1.42162965        0.06048607        0.00779383        0.00111935
       -4.35691654        1.21172384        0.08932754        1.06495623        0.04937273        0.00703622        0.00103113
       -4.34690653        0.78613021        0.05153132        0.68663539        0.04038875        0.00665881        0.00091594
       -4.33689652        1.79328064        0.12340763        1.56179432        0.09258601        0.01288210        0.00261058
       -4.32688651        0.73747367        0.06357376        0.63911161        0.03003611        0.00401595        0.00073624
       -4.31687650        0.66631979        0.06775512        0.56998486        0.02487028        0.00318403        0.00052551
       -4.30686649        0.22986467        0.02342454        0.19623500        0.00881215        0.00119459        0.00019840
       -4.29685648        0.17576577        0.01771471        0.14956399        0.00732400        0.00098969        0.00017338
       -4.28684647        0.12808807        0.01281428        0.10862140        0.00574205        0.00077117        0.00013917
       -4.27683646        0.08683156        0.00872323        0.07340722        0.00406631        0.00053903        0.00009576
       -4.26682645        1.67329313        0.08421826        1.52811806        0.05301493        0.00636712        0.00157475
       -4.25681644        0.48801809        0.01805926        0.44525464        0.02170416        0.00237150        0.00062854
       -4.24680643        0.57227445        0.02870002        0.51262847        0.02656966        0.00373045        0.00064586
       -4.23679642        0.48802823        0.02616877        0.43666438        0.02134758        0.00328154        0.00056595
       -4.22678641        0.46466677        0.02505258        0.41822493        0.01799187        0.00280254        0.00059484
       -4.21677640        0.91933904        0.06209661        0.81868698        0.03234032        0.00531019        0.00090494
       -4.20676639        0.80502860        0.04152842        0.72794945        0.02977415        0.00470004        0.00107654
       -4.19675638        0.25059123        0.01790683        0.22118196        0.00991373        0.00138053        0.00020818
       -4.18674637        0.25722313        0.01634004        0.22811067        0.01096378        0.00155233        0.00025631
       -4.17673636        0.34168223        0.01666576        0.30765904        0.01486270        0.00209629        0.00039845
       -4.16672635        0.41812244        0.01757176        0.37923889        0.01809526        0.00269326        0.00052326
       -4.15671634        0.48654375        0.01905806        0.44285022        0.02066144        0.00334327        0.00063075
       -4.14670633        0.39955099        0.01604880        0.35928411        0.02040441        0.00324382        0.00056985
       -4.13669632        0.53376942        0.02374454        0.47534353        0.02913010        0.00475857        0.00079268
       -4.12668631        0.64901447        0.03492519        0.57158393        0.03526124        0.00622883        0.00101528
       -4.11667630        0.38635953        0.02698145        0.34374810        0.01238128        0.00283509        0.00041360
       -4.10666629        0.44159666        0.02902748        0.39419590        0.01452205        0.00335020        0.00050104
       -4.09665628        0.48667190        0.02827409        0.43733600        0.01663094        0.00382352        0.00060736
       -4.08664627        0.52158525        0.02472126        0.47316840        0.01870797        0.00425505        0.00073257
       -4.07663626        0.29202016        0.01113178        0.26772205        0.01068645        0.00207965        0.00040023
       -4.06662625        0.33543086        0.00871953        0.31007507        0.01344616        0.00260467        0.00058542
       -4.05661624        0.30257304        0.00685662        0.27926732        0.01335502        0.00247704        0.00061704
       -4.04660623        0.36029696        0.00963289        0.33087291        0.01617606        0.00279257        0.00082252
       -4.03659622        0.49332409        0.02066227        0.44941663        0.01943120        0.00279379        0.00102019
       -4.02658621        1.81108908        0.02429127        1.71066812        0.06868421        0.00532279        0.00212269
       -4.01657620        0.36453494        0.01023551        0.33393655        0.01765718        0.00220385        0.00050184
       -4.00656619        0.46991899        0.01430063        0.43225177        0.02007032        0.00256138        0.00073488
       -3.99655618        0.67963898        0.02088153        0.62845581        0.02543107        0.00368548        0.00118509
       -3.98654617        0.85995181        0.02324112        0.79942719        0.03102834        0.00474454        0.00151063
       -3.97653616        1.17842322        0.03218551        1.09705444        0.04124758        0.00598579        0.00194990
       -3.96652615        1.29253013        0.03652014        1.20456718        0.04329545        0.00606959        0.00207777
       -3.95651614        1.02942793        0.03282714        0.95421605        0.03587703        0.00479364        0.00171406
       -3.94650613        1.37585586        0.03723241        1.28229063        0.04882983        0.00551547        0.00198751
       -3.93649612        1.36886586        0.03520788        1.27718894        0.04885427        0.00560225        0.00201251
       -3.92648611        1.11348586        0.02901428        1.03737776        0.03970923        0.00562273        0.00176187
       -3.91647610        0.97293839        0.02789510        0.90817749        0.03049328        0.00465516        0.00171736
       -3.90646609        1.80586225        0.05493843        1.65750345        0.07708984        0.01303556        0.00329498
       -3.89645608        2.11443966        0.08132365        1.94717302        0.07173510        0.01148396        0.00272393
       -3.88644607        1.53575666        0.03740100        1.43520540        0.05189592        0.00899395        0.00226038
       -3.87643606        2.35953508        0.09344468        2.17443165        0.07441577        0.01465425        0.00258873
       -3.86642605        1.24431218        0.03545230        1.14109893        0.05701426        0.00933401        0.00141267
       -3.85641604        1.53228354        0.03714600        1.42332435        0.05745837        0.01212173        0.00223309
       -3.84640603        3.00322645        0.07357362        2.72235029        0.16274216        0.03752280        0.00703758
       -3.83639602        1.63520901        0.04292936        1.51071019        0.06452096        0.01432659        0.00272192
       -3.82638601        1.31036788        0.03328205        1.22048782        0.04358189        0.01046498        0.00255115
       -3.81637600        1.80431089        0.02952536        1.68927244        0.06780924        0.01426468        0.00343917
       -3.80636599        0.64067321        0.00791001        0.60015140        0.02674745        0.00469933        0.00116502
       -3.79635598        1.40999050        0.02954663        1.29948459        0.06716527        0.01159538        0.00219864
       -3.78634597        0.59910278        0.01121388        0.55303769        0.02830815        0.00556332        0.00097975
       -3.77633596        1.02055409        0.00711025        0.96657340        0.03781352        0.00767907        0.00137786
       -3.76632595        0.72028638        0.01720211        0.66841858        0.02762659        0.00587516        0.00116393
       -3.75631594        0.90601173        0.03576040        0.81916373        0.04045392        0.00886771        0.00176596
       -3.74630593        1.04687358        0.03880155        0.94902051        0.04395899        0.01228184        0.00281070
       -3.73629592        0.62954793        0.01734951        0.57943711        0.02292190        0.00800986        0.00182954
       -3.72628591        0.39274594        0.00567842        0.36881744        0.01459871        0.00294783        0.00070354
       -3.71627590        0.21920331        0.00324914        0.20531220        0.00873679        0.00153211        0.00037307
       -3.70626589        1.14120433        0.00953960        1.05811123        0.05480281        0.01596706        0.00278364
       -3.69625588        1.08129573        0.01294010        1.00894454        0.04906817        0.00835455        0.00198837
       -3.68624587        0.70658282        0.00997356        0.65709360        0.03201594        0.00609857        0.00140115
       -3.67623586        0.92880777        0.01322089        0.87214617        0.03617080        0.00587958        0.00139032
       -3.66622585        0.77119766        0.01089574        0.72240639        0.03187237        0.00484843        0.00117472
       -3.65621584        0.62643774        0.00886808        0.58574276        0.02691360        0.00394651        0.00096678
       -3.64620583        0.61608340        0.00875337        0.57427882        0.02826281        0.00386118        0.00092722
       -3.63619582        0.47458638        0.00723496        0.44268089        0.02084476        0.00310959        0.00071619
       -3.62618581        0.36677782        0.00609154        0.34254388        0.01489134        0.00272355        0.00052751
       -3.61617580        0.66460095        0.00768016        0.63015416        0.02192165        0.00409688        0.00074810
       -3.60616579        0.89018393        0.00859639        0.84671297        0.02839590        0.00546335        0.00101532
       -3.59615578        1.07230519        0.00874267        1.02060565        0.03474126        0.00683645        0.00137915
       -3.58614577        0.50489382        0.00507090        0.47773053        0.01776608        0.00370504        0.00062127
       -3.57613576        1.26407476        0.00740480        1.20511459        0.04317535        0.00696900        0.00141102
       -3.56612575        1.00026296        0.01178369        0.93435215        0.04707623        0.00570386        0.00134702
       -3.55611574        1.11647640        0.01530505        1.02272209        0.06725852        0.00970661        0.00148414
       -3.54610573        0.32412124        0.00640029        0.29478374        0.01891642        0.00347886        0.00054193
       -3.53609572        0.27407281        0.00586380        0.24936215        0.01548090        0.00289001        0.00047595
       -3.52608571        0.22861137        0.00522114        0.20826550        0.01235651        0.00235387        0.00041435
       -3.51607570        0.18773694        0.00447231        0.17149378        0.00954328        0.00187044        0.00035713
       -3.50606569        0.19716035        0.00458436        0.18230063        0.00808778        0.00176008        0.00042749
       -3.49605568        1.40952492        0.02305051        1.31597361        0.05755268        0.01077856        0.00216957
       -3.48604567        1.26624683        0.01972129        1.18699960        0.04830741        0.00944190        0.00177664
       -3.47603566        0.68937109        0.00648125        0.65040617        0.02710679        0.00479968        0.00057720
       -3.46602565        0.44518548        0.00377896        0.41936741        0.01876712        0.00284799        0.00042400
       -3.45601564        0.63225307        0.00575435        0.59116954        0.03051034        0.00412145        0.00069739
       -3.44600563        0.83466751        0.00837626        0.77481681        0.04479010        0.00564937        0.00103497
       -3.43599562        0.68249193        0.00857988        0.62817789        0.03997117        0.00491903        0.00084396
       -3.42598561        0.90680137        0.01589677        0.82779311        0.05498541        0.00709094        0.00103514
       -3.41597560        0.55990344        0.01319312        0.51946212        0.02393246        0.00292440        0.00039134
       -3.40596559        0.36647562        0.00785834        0.34175274        0.01386123        0.00253029        0.00047301
       -3.39595558        0.16452754        0.00198268        0.15025883        0.00962268        0.00223187        0.00043147
       -3.38594557        0.17213060        0.00192992        0.15698043        0.01034400        0.00241889        0.00045736
       -3.37593556        0.18716180        0.00196587        0.17077271        0.01133015        0.00260583        0.00048726
       -3.36592555        0.21877155        0.00228237        0.19938817        0.01374905        0.00279831        0.00055366
       -3.35591554        0.44307924        0.01035902        0.40212248        0.02523679        0.00450863        0.00085232
       -3.34590553        0.63863293        0.01523199        0.58377870        0.03282246        0.00578025        0.00101954
       -3.33589552        0.79824106        0.01444023        0.73441035        0.04097033        0.00716296        0.00125719
       -3.32588551        0.46609180        0.00690610        0.43108254        0.02305749        0.00438862        0.00065705
       -3.31587550        0.64831446        0.00800523        0.60030384        0.03517090        0.00410960        0.00072489
       -3.30586549        0.99937113        0.01224528        0.92540989        0.05394873        0.00651702        0.00125022
       -3.29585548        0.64902612        0.00871448        0.59908499        0.03563304        0.00478914        0.00080447
       -3.28584547        0.91794219        0.01151435        0.84878072        0.04978889        0.00682004        0.00103818
       -3.27583546        1.29440649        0.01596367        1.20050705        0.06704410        0.00951561        0.00137605
       -3.26582545        0.86269718        0.01013343        0.80411269        0.04087076        0.00641230        0.00116800
       -3.25581544        0.86235413        0.00933813        0.79917696        0.04544950        0.00699738        0.00139216
       -3.24580543        0.86952957        0.01315326        0.80464861        0.04195364        0.00778016        0.00199390
       -3.23579542        0.53277508        0.00719624        0.48382570        0.03543617        0.00531233        0.00100464
       -3.22578541        0.69374970        0.01177970        0.62501513        0.04785710        0.00754207        0.00155570
       -3.21577540        0.82297367        0.01660402        0.73501090        0.05881380        0.01035381        0.00219113
       -3.20576539        0.49456739        0.00667531        0.43854589        0.04153805        0.00652031        0.00128784
       -3.19575538        0.26698944        0.00453046        0.23528550        0.02201007        0.00427936        0.00088404
       -3.18574537        0.22369720        0.00399977        0.19472942        0.02021124        0.00392021        0.00083656
       -3.17573536        0.17719261        0.00371669        0.15257400        0.01693361        0.00322341        0.00074489
       -3.16572535        0.13359586        0.00310978        0.11343137        0.01384929        0.00256175        0.00064366
       -3.15571534        0.16019974        0.00299854        0.13554731        0.01747591        0.00325804        0.00091994
       -3.14570533        2.03146165        0.03025922        1.83284349        0.13604204        0.02769885        0.00461804
       -3.13569532        0.07482344        0.00069446        0.06858557        0.00410705        0.00113270        0.00030365
       -3.12568531        0.02790608        0.00026086        0.02442093        0.00256587        0.00055726        0.00010117
       -3.11567530        0.02740272        0.00023008        0.02384910        0.00271296        0.00051571        0.00009487
       -3.10566529        0.02672807        0.00020124        0.02314515        0.00281813        0.00047500        0.00008855
       -3.09565528        0.02588213        0.00017432        0.02230908        0.00288138        0.00043513        0.00008222
       -3.08564527        0.02486491        0.00014933        0.02134089        0.00290270        0.00039611        0.00007588
       -3.07563526        0.02367639        0.00012627        0.02024058        0.00288210        0.00035793        0.00006952
       -3.06562525        0.93232385        0.01211075        0.85394916        0.05359571        0.01053712        0.00213110
       -3.05561524        0.59343336        0.00838327        0.54503889        0.03155585        0.00707519        0.00138016
       -3.04560523        0.22810760        0.00359344        0.21504944        0.00759335        0.00155209        0.00031927
       -3.03559522        0.30567917        0.00485411        0.28971587        0.00866932        0.00203041        0.00040945
       -3.02558520        0.38271857        0.00607937        0.36351116        0.01007060        0.00255409        0.00050334
       -3.01557519        0.45922578        0.00726923        0.43643532        0.01179718        0.00312310        0.00060095
       -3.00556518        0.53520081        0.00842369        0.50848833        0.01384906        0.00373747        0.00070226
       -2.99555517        0.61064366        0.00954274        0.57967020        0.01622624        0.00439719        0.00080729
       -2.98554516        0.51123820        0.00740533        0.48265372        0.01652629        0.00395423        0.00069865
       -2.97553515        0.63194659        0.00919497        0.59309536        0.02372556        0.00508775        0.00084295
       -2.96552514        0.76372161        0.01093210        0.70927612        0.03605751        0.00647756        0.00097833
       -2.95551513        0.48469895        0.00617878        0.44676956        0.02619708        0.00480191        0.00075163
       -2.94550512        0.40296500        0.00479983        0.36814258        0.02466488        0.00461991        0.00073780
       -2.93549511       14.65228979        0.08728102       13.11440136        1.11032590        0.28751566        0.05276585
       -2.92548510        0.39248142        0.00584149        0.35335957        0.02733538        0.00499692        0.00094806
       -2.91547509        0.35157619        0.00523298        0.31792604        0.02318143        0.00439297        0.00084277
       -2.90546508        0.33399459        0.00508595        0.30253407        0.02153075        0.00405661        0.00078721
       -2.89545507        0.39236635        0.00671996        0.34976696        0.02892763        0.00578048        0.00117132
       -2.88544506        0.31687470        0.00627877        0.28415744        0.02161041        0.00403742        0.00079066
       -2.87543505        0.47984811        0.00982076        0.42947012        0.03351002        0.00589730        0.00114990
       -2.86542504        0.66945485        0.01374127        0.59834078        0.04807826        0.00781275        0.00148179
       -2.85541503        0.38115345        0.00816590        0.34028863        0.02734745        0.00436756        0.00098390
       -2.84540502        0.50622794        0.00820320        0.45796497        0.03361870        0.00535976        0.00108131
       -2.83539501        0.70810248        0.02033270        0.63376470        0.04270297        0.00997280        0.00132930
       -2.82538500        0.80803716        0.02117143        0.72960607        0.04528464        0.01029713        0.00167789
       -2.81537499        0.68366270        0.01119199        0.62194563        0.04149847        0.00786355        0.00116307
       -2.80536498        1.02597650        0.03802034        0.92651160        0.04570977        0.01285682        0.00287797
       -2.79535497        0.69876989        0.02155142        0.63000565        0.03633892        0.00908016        0.00179374
       -2.78534496        0.27626922        0.00305838        0.25580261        0.01420469        0.00275866        0.00044488
       -2.77533495        0.89427576        0.01598621        0.80928749        0.05807455        0.00951627        0.00141124
       -2.76532494        1.78816010        0.04684216        1.65368702        0.07446648        0.01095155        0.00221289
       -2.75531493        5.35611824        0.20161911        4.88867373        0.20450223        0.04742020        0.01390297
       -2.74530492        0.91576109        0.03112415        0.83996730        0.03543393        0.00751738        0.00171833
       -2.73529491        1.61821258        0.05337413        1.48856259        0.06099330        0.01260195        0.00268062
       -2.72528490        0.20566054        0.00415417        0.18871142        0.00997917        0.00234779        0.00046799
       -2.71527489        0.21592682        0.00432696        0.19800004        0.01055315        0.00253169        0.00051497
       -2.70526488        0.22441178        0.00443153        0.20567582        0.01103783        0.00270732        0.00055928
       -2.69525487        0.23111543        0.00446788        0.21173875        0.01143321        0.00287468        0.00060090
       -2.68524486        1.00936992        0.02873965        0.92371585        0.04331070        0.01104628        0.00255743
       -2.67523485        0.58392422        0.01791992        0.53381336        0.02458094        0.00596322        0.00164678
       -2.66522484        0.52880628        0.01740956        0.48532489        0.02040065        0.00453100        0.00114019
       -2.65521483        0.54635848        0.01782758        0.50220796        0.02054568        0.00463329        0.00114396
       -2.64520482        0.62729018        0.02022348        0.57973779        0.02115538        0.00492532        0.00124821
       -2.63519481        0.86130325        0.03151303        0.79787105        0.02418937        0.00608500        0.00164479
       -2.62518480        1.06057660        0.04096924        0.97903728        0.03064732        0.00785150        0.00207126
       -2.61517479        0.99848096        0.04297754        0.92236684        0.02486254        0.00652082        0.00175322
       -2.60516478        1.35470346        0.05084171        1.25897532        0.03349889        0.00905548        0.00233208
       -2.59515477        1.44351930        0.05095907        1.34568186        0.03549845        0.00912676        0.00225317
       -2.58514476        1.46360648        0.05518156        1.36512166        0.03275185        0.00839650        0.00215491
       -2.57513475        1.75261747        0.06650750        1.62978734        0.04321788        0.01059820        0.00250654
       -2.56512474        1.94656913        0.07799098        1.81464869        0.04052526        0.01061349        0.00279071
       -2.55511473        1.82290204        0.06917766        1.69932247        0.04109095        0.01058154        0.00272942
       -2.54510472        1.83891397        0.06633878        1.71539886        0.04303506        0.01121580        0.00292548
       -2.53509471        1.57591292        0.05640512        1.47086088        0.03629799        0.00982205        0.00252687
       -2.52508470        1.49839551        0.05722867        1.40291432        0.02763392        0.00833932        0.00227928
