#  aims_uuid : 845FF933-4C15-4E2A-A819-92AFB6589C61                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.81406496        0.07698809        0.67315092        0.05622209        0.00725781        0.00044603
       -9.98998999        2.70736655        0.23040332        2.30773500        0.14903097        0.01901339        0.00118387
       -9.97997998        0.58434920        0.01349436        0.54096991        0.02584606        0.00337359        0.00066528
       -9.96996997        1.01036220        0.06294559        0.88038827        0.06117450        0.00552538        0.00032845
       -9.95995996        1.15135513        0.10522646        0.96907763        0.06904322        0.00776577        0.00024204
       -9.94994995       19.65042453        1.33462767       17.57597437        0.62019214        0.09615502        0.02347534
       -9.93993994        0.93479687        0.05673943        0.81590451        0.05587096        0.00527667        0.00100530
       -9.92992993        0.44457235        0.02867176        0.38538713        0.02731921        0.00265622        0.00053803
       -9.91991992        1.10742652        0.08342125        0.94857192        0.06769249        0.00694175        0.00079912
       -9.90990991        0.31599457        0.02258440        0.27387202        0.01721711        0.00220457        0.00011647
       -9.89989990        0.60764486        0.04784004        0.52364178        0.03184273        0.00409348        0.00022681
       -9.88988989        1.90555020        0.16497162        1.62663547        0.10107295        0.01205944        0.00081072
       -9.87987988        0.46988885        0.03299922        0.40549372        0.02765395        0.00345782        0.00028413
       -9.86986987        1.26254804        0.09604508        1.08223375        0.07463495        0.00892534        0.00070892
       -9.85985986        2.26609365        0.16766791        1.95638213        0.12585000        0.01488692        0.00130669
       -9.84984985        1.44494223        0.10027548        1.24165508        0.09179520        0.01020406        0.00101240
       -9.83983984        1.51445305        0.10466616        1.30946958        0.08945735        0.00978058        0.00107938
       -9.82982983        2.14784485        0.13017750        1.88224707        0.12187662        0.01210037        0.00144329
       -9.81981982        0.51409467        0.03164800        0.44353959        0.03435247        0.00407286        0.00048174
       -9.80980981        3.18830899        0.20590929        2.80913345        0.15514966        0.01530410        0.00281251
       -9.79979980        6.25433545        0.36895243        5.61195605        0.23124866        0.03446557        0.00771273
       -9.78978979        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.77977978        1.47235309        0.10591107        1.28112792        0.07461445        0.00878886        0.00191079
       -9.76976977        1.76072395        0.13280597        1.51266213        0.10262235        0.01096694        0.00166656
       -9.75975976        2.53395127        0.23350088        2.15550338        0.12973773        0.01340893        0.00180036
       -9.74974975        0.83074982        0.07513061        0.70855116        0.04071915        0.00532275        0.00102615
       -9.73973974        0.87470496        0.08069544        0.74066241        0.04565039        0.00643921        0.00125751
       -9.72972973        0.73113541        0.05578765        0.62494021        0.04367093        0.00590061        0.00083601
       -9.71971972        0.67209009        0.05709896        0.57561540        0.03380626        0.00491859        0.00065088
       -9.70970971       25.47130539        2.49554118       21.59101982        1.22976178        0.14842807        0.00655454
       -9.69969970        1.66976596        0.17071015        1.40996745        0.07792574        0.01041045        0.00075217
       -9.68968969        1.06249096        0.08455934        0.90212427        0.06610416        0.00864678        0.00105640
       -9.67967968        1.01034787        0.06607939        0.89332089        0.04407835        0.00567999        0.00118925
       -9.66966967        1.17496270        0.10021924        1.01618182        0.04949707        0.00740670        0.00165787
       -9.65965966        0.91901847        0.06905476        0.79250303        0.04907950        0.00693721        0.00144397
       -9.64964965        0.67100292        0.04168718        0.57549805        0.04637997        0.00641242        0.00102530
       -9.63963964        1.57471208        0.08443517        1.36468060        0.10630480        0.01634092        0.00295058
       -9.62962963        0.66847458        0.04883843        0.58303214        0.03086542        0.00486521        0.00087339
       -9.61961962        0.65276835        0.05687615        0.56635950        0.02510259        0.00382633        0.00060378
       -9.60960961        0.22345083        0.02023132        0.19381414        0.00789359        0.00129423        0.00021754
       -9.59959960        0.17538240        0.01523400        0.15222229        0.00663561        0.00110989        0.00018061
       -9.58958959        0.13330514        0.01086957        0.11593806        0.00545327        0.00090594        0.00013831
       -9.57957958        0.09721906        0.00713806        0.08496144        0.00434656        0.00068236        0.00009065
       -9.56956957        1.53621190        0.07935176        1.40004947        0.04816827        0.00710137        0.00154102
       -9.55955956        0.46965050        0.02257757        0.42297461        0.02090016        0.00273990        0.00045827
       -9.54954955        0.43770596        0.02872678        0.38289375        0.02198331        0.00340826        0.00069386
       -9.53953954        0.35148925        0.02326717        0.30646005        0.01824363        0.00284608        0.00067232
       -9.52952953        0.34968442        0.01996932        0.30790461        0.01857131        0.00255687        0.00068230
       -9.51951952        0.77490591        0.05028182        0.67732594        0.04110761        0.00521360        0.00097695
       -9.50950951        0.72920935        0.03107330        0.65039832        0.04204783        0.00464260        0.00104729
       -9.49949950        0.20761512        0.01412613        0.18281111        0.00914104        0.00135818        0.00017865
       -9.48948949        0.22434904        0.01386261        0.19749614        0.01127649        0.00149580        0.00021800
       -9.47947948        0.32829818        0.01638684        0.29173951        0.01783204        0.00200569        0.00033409
       -9.46946947        0.42000001        0.01965779        0.37572777        0.02163782        0.00253487        0.00044175
       -9.45945946        0.49945451        0.02367545        0.44946092        0.02269382        0.00308334        0.00054098
       -9.44944945        0.36680520        0.01997091        0.32454111        0.01921318        0.00253380        0.00054619
       -9.43943944        0.46255899        0.02751368        0.40513860        0.02553125        0.00358026        0.00079520
       -9.42942943        0.57414309        0.03400743        0.50152704        0.03241514        0.00519729        0.00099619
       -9.41941942        0.37557786        0.01917700        0.33430318        0.01884992        0.00277299        0.00047477
       -9.40940941        0.43429791        0.02139983        0.38704465        0.02209184        0.00319223        0.00056936
       -9.39939940        0.48943427        0.02228127        0.43762462        0.02533693        0.00351683        0.00067461
       -9.38938939        0.54098692        0.02182132        0.48604311        0.02858519        0.00374678        0.00079052
       -9.37937938        0.32407784        0.01395688        0.29225123        0.01555054        0.00199811        0.00032107
       -9.36936937        0.38668353        0.01270907        0.35076552        0.02025811        0.00247471        0.00047612
       -9.35935936        0.36190260        0.00906683        0.32912875        0.02079048        0.00238221        0.00053433
       -9.34934935        0.46103906        0.00828637        0.42065937        0.02859434        0.00270887        0.00079010
       -9.33933934        0.55237224        0.01815203        0.50493420        0.02575869        0.00253223        0.00099508
       -9.32932933        1.50609748        0.03706406        1.41655400        0.04435839        0.00604454        0.00207650
       -9.31931932        0.27285357        0.00596133        0.25234784        0.01179479        0.00228294        0.00046667
       -9.30930931        0.43670388        0.01311645        0.40297789        0.01759885        0.00232441        0.00068628
       -9.29929930        0.75639099        0.02730640        0.69691592        0.02827070        0.00277021        0.00112777
       -9.28928929        0.91819033        0.03271190        0.84541404        0.03497472        0.00364036        0.00144931
       -9.27927928        1.11663047        0.03897670        1.02617645        0.04442187        0.00515932        0.00189613
       -9.26926927        1.18683989        0.04158006        1.09109370        0.04664281        0.00547892        0.00204440
       -9.25925926        0.90633459        0.03535231        0.82658055        0.03815165        0.00453713        0.00171295
       -9.24924925        1.11834748        0.03639739        1.03028666        0.04426258        0.00543371        0.00196714
       -9.23923924        1.10067205        0.03443098        1.01457064        0.04424224        0.00548317        0.00194502
       -9.22922923        0.95021651        0.02900010        0.87316539        0.04121934        0.00515638        0.00167530
