#  aims_uuid : 3BD681A5-D2BB-4132-AE47-99128526B8D8                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.077775 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.92222498       46.45436128        3.23317545       40.75879882        2.16730164        0.26433702        0.03074836
       -4.91221497       68.02620639        5.88151995       57.84493631        3.82738676        0.44228581        0.03007756
       -4.90220496        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.89219495       43.43386876        3.73845252       36.80587077        2.60680075        0.27005763        0.01268710
       -4.88218494       54.97881744        4.46004889       46.83924038        3.33696435        0.32422688        0.01833694
       -4.87217493       32.86965177        2.70897146       28.05986183        1.88579233        0.20236891        0.01265725
       -4.86216492       32.99364233        2.73804020       28.20777185        1.81991336        0.21407469        0.01384222
       -4.85215491       29.58293643        2.11216061       25.78562971        1.48985616        0.17692653        0.01836341
       -4.84214490       48.17237996        3.57561117       41.50881453        2.78219300        0.28498261        0.02077865
       -4.83213489       71.24322902        4.90562302       62.20069854        3.72294983        0.37246977        0.04148787
       -4.82212488      107.80070104        8.38855781       93.59007612        5.13162997        0.61505957        0.07537756
       -4.81211487       18.90131154        1.72765987       16.03052342        1.02546173        0.11208502        0.00558150
       -4.80210486      106.43835472        9.84752528       90.48657548        5.46204781        0.60406783        0.03813832
       -4.79209485       60.90156152        5.58735235       51.61330699        3.31313837        0.36337553        0.02438828
       -4.78208484       95.39915192        7.89707672       82.08921971        4.82854830        0.53159059        0.05271659
       -4.77207483      125.39063027        8.61198529      109.70719321        6.34340855        0.64724619        0.08079702
       -4.76206482      115.94883040        8.56864219      101.22139251        5.50016328        0.57833730        0.08029513
       -4.75205481       72.88821975        5.87381497       62.70478991        3.88004088        0.38583260        0.04374138
       -4.74204480       81.54394082        7.23737314       69.38462168        4.40956351        0.47409173        0.03829077
       -4.73203479       79.47470119        7.06248228       67.47225322        4.42392758        0.48051409        0.03552402
       -4.72202478       60.04334262        5.37982302       51.03946191        3.22410399        0.36987541        0.03007829
       -4.71201477       55.11158930        4.45242695       47.54114141        2.74945191        0.32487667        0.04369235
       -4.70200476       75.87770894        5.32921399       66.37218864        3.64816007        0.45409786        0.07404838
       -4.69199475      239.08811298       18.84871650      206.97990710       11.73520536        1.33909341        0.18519060
       -4.68198474       92.87812967        8.91567567       79.00033940        4.40015749        0.51897001        0.04298710
       -4.67197473       11.52684823        0.97076927        9.97166262        0.50785901        0.06675121        0.00980613
       -4.66196472        8.44776244        0.77476074        7.25608566        0.36330562        0.04733305        0.00627737
       -4.65195471       59.16574274        3.70381928       52.76878382        2.29598444        0.33302550        0.06412969
       -4.64194470       85.57588688        6.36982933       74.71579473        3.87254673        0.53610891        0.08160719
       -4.63193469       29.10525545        2.24194965       25.11522080        1.51407547        0.20541202        0.02859751
       -4.62192468      100.13490982        7.82880468       87.10418834        4.54448704        0.57587996        0.08154980
       -4.61191467      274.34098538       23.03877203      236.61822751       12.70022132        1.74566330        0.23810123
       -4.60190466       52.56815033        4.72485004       45.24919612        2.25401265        0.30461904        0.03547248
       -4.59189465       16.63568208        1.66020758       14.15599068        0.71507742        0.09505078        0.00935562
       -4.58188464       21.55587732        1.91187984       18.42652228        1.06964819        0.13394520        0.01388179
       -4.57187463       72.03074075        6.28600225       61.58059429        3.61613417        0.49431878        0.05369126
       -4.56186462        6.83121180        0.56885479        5.87596239        0.33422844        0.04766367        0.00450252
       -4.55185461        9.90290085        0.19802479        9.43582210        0.21880307        0.03397472        0.01627617
       -4.54184460       16.21887811        0.48915850       15.20545842        0.43199524        0.06772768        0.02453826
       -4.53183459       27.94534594        1.51484115       25.29357248        0.95250368        0.15105531        0.03337332
       -4.52182458       57.99814925        4.47904886       50.76622649        2.33042352        0.37142588        0.05102449
       -4.51181457       66.11323057        5.02354609       57.64272252        2.92136842        0.46271263        0.06288090
       -4.50180456       37.52755714        2.71535140       32.92592504        1.58699784        0.26291699        0.03636588
       -4.49179455       21.80661845        1.54304691       19.19890455        0.88917322        0.15479379        0.02069998
       -4.48178454        9.50226613        0.76880078        8.32255192        0.34026268        0.06428296        0.00636780
       -4.47177453        4.35332140        0.35480628        3.76110775        0.19810308        0.03586039        0.00344390
       -4.46176452       13.64384986        1.18789328       11.82552419        0.52106610        0.10068736        0.00867892
       -4.45175451       31.52665026        2.07187903       28.17929722        1.04180510        0.20425914        0.02940977
       -4.44174450       36.57132207        1.47539963       33.81669540        1.03403737        0.19756121        0.04762847
       -4.43173449       31.95992511        0.87470772       30.05173918        0.83894404        0.14641389        0.04812029
       -4.42172448       33.31863589        1.13629946       30.85284226        1.09916787        0.18228868        0.04803762
       -4.41171447       13.39439577        0.86619798       11.69527486        0.69724221        0.12092577        0.01475496
       -4.40170446       15.59780279        0.92052426       13.67997763        0.83365930        0.14430812        0.01933347
       -4.39169445       17.67110641        0.95218425       15.54402314        0.98092820        0.16959270        0.02437811
       -4.38168444       64.34252343        3.95648996       56.57038809        3.20693117        0.54600867        0.06270553
       -4.37167443       21.55760905        1.16014739       18.91569432        1.23958564        0.21314938        0.02903232
       -4.36166442       13.29258650        0.71760907       11.77418909        0.67090216        0.11448728        0.01539890
       -4.35165441       14.43974912        0.71957510       12.89069018        0.69299382        0.11909173        0.01739827
       -4.34164440       15.61638509        0.69710258       14.07601726        0.70113271        0.12232341        0.01980914
