#  aims_uuid : 3BD681A5-D2BB-4132-AE47-99128526B8D8                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.077775 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.92222498        0.91817129        0.01880262        0.09434013        0.79389066        0.01010265        0.00103522
       -4.91221497        1.41792153        0.06192228        0.10816016        1.23569697        0.01047675        0.00166537
       -4.90220496        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.89219495        0.58469883        0.03643448        0.10667438        0.43530338        0.00502363        0.00126297
       -4.88218494        0.76451884        0.05715600        0.14829646        0.55014627        0.00739852        0.00152159
       -4.87217493        0.61296496        0.01949623        0.08886798        0.49854407        0.00507236        0.00098433
       -4.86216492        0.81089413        0.00591069        0.09166672        0.70668636        0.00551805        0.00111230
       -4.85215491        0.72195373        0.00400944        0.06876275        0.64128987        0.00708970        0.00080198
       -4.84214490        1.11095935        0.02259488        0.12785033        0.95007227        0.00915293        0.00128893
       -4.83213489        1.27475671        0.08304619        0.14701450        1.02714847        0.01590963        0.00163791
       -4.82212488        2.27099296        0.10110190        0.32749350        1.82006315        0.01928551        0.00304889
       -4.81211487        0.36942429        0.01836161        0.04648682        0.30049982        0.00333822        0.00073782
       -4.80210486        1.75783910        0.11450847        0.17336685        1.45309282        0.01383648        0.00303448
       -4.79209485        1.16190044        0.08580260        0.19704103        0.86509788        0.01117550        0.00278343
       -4.78208484        1.95493297        0.14430384        0.34104396        1.44210843        0.02289265        0.00458409
       -4.77207483        2.45584051        0.14272962        0.39548780        1.88537866        0.02821576        0.00402867
       -4.76206482        2.07865887        0.18244886        0.48248085        1.37642418        0.03172218        0.00558279
       -4.75205481        1.11090939        0.17352660        0.21577037        0.70249054        0.01641639        0.00270549
       -4.74204480        1.66872578        0.21650056        0.27092296        1.15334697        0.02404153        0.00391376
       -4.73203479        1.69540648        0.22437296        0.28975037        1.15119937        0.02599300        0.00409079
       -4.72202478        1.15990576        0.12964014        0.20903459        0.79835067        0.01987916        0.00300120
       -4.71201477        0.99368337        0.15528875        0.20639547        0.61229628        0.01705903        0.00264384
       -4.70200476        1.57776652        0.25659576        0.18729347        1.10692521        0.02380054        0.00315154
       -4.69199475        4.51371931        0.82026566        0.76828521        2.83724367        0.07761910        0.01030567
       -4.68198474        1.48972100        0.38224525        0.53112787        0.55450442        0.01800861        0.00383485
       -4.67197473        0.21570667        0.03729666        0.03255203        0.14246796        0.00305703        0.00033299
       -4.66196472        0.14045475        0.02757555        0.02728788        0.08310286        0.00225264        0.00023582
       -4.65195471        1.23532959        0.17207621        0.26106135        0.77893437        0.02077551        0.00248214
       -4.64194470        1.93153055        0.28344430        0.32400182        1.29102099        0.02902546        0.00403797
       -4.63193469        0.66217372        0.10471829        0.12349873        0.42398874        0.00845058        0.00151738
       -4.62192468        1.70105016        0.28583136        0.32821876        1.05152264        0.03193109        0.00354630
       -4.61191467        4.76178779        0.60258732        1.72355238        2.30808557        0.10849253        0.01907000
       -4.60190466        0.82518544        0.12235933        0.22379508        0.46038241        0.01631591        0.00233270
       -4.59189465        0.25552281        0.05530650        0.06402119        0.13079943        0.00470680        0.00068889
       -4.58188464        0.43212352        0.07003042        0.06586156        0.28835616        0.00696811        0.00090726
       -4.57187463        1.62222173        0.27784590        0.22904410        1.09041089        0.02143646        0.00348438
       -4.56186462        0.16851389        0.02193715        0.02215382        0.12276424        0.00143335        0.00022533
       -4.55185461        0.21681663        0.00271967        0.00908806        0.20067910        0.00418717        0.00014263
       -4.54184460        0.35946743        0.01349753        0.01656002        0.32268884        0.00641942        0.00030162
       -4.53183459        0.57377081        0.04574018        0.03901567        0.47841641        0.00989811        0.00070043
       -4.52182458        1.09578397        0.13882659        0.10535793        0.83177172        0.01808355        0.00174419
       -4.51181457        1.46109711        0.20880682        0.12274050        1.10578506        0.02102606        0.00273867
       -4.50180456        0.81385912        0.10224122        0.07627301        0.62172702        0.01216211        0.00145576
       -4.49179455        0.48356177        0.04907857        0.04870018        0.37780518        0.00713010        0.00084774
       -4.48178454        0.20215258        0.00993536        0.02589625        0.16295960        0.00301808        0.00034329
       -4.47177453        0.11180654        0.01036186        0.01253349        0.08741945        0.00128033        0.00021141
       -4.46176452        0.32706066        0.02884394        0.03096375        0.26314227        0.00360442        0.00050629
       -4.45175451        0.79158436        0.04857746        0.06236643        0.66971750        0.00990755        0.00101542
       -4.44174450        0.89696417        0.03455951        0.06008555        0.78685526        0.01455075        0.00091311
       -4.43173449        0.69392482        0.01890336        0.04356477        0.61543705        0.01542773        0.00059190
       -4.42172448        0.73377406        0.02886041        0.05761767        0.63038602        0.01586525        0.00104471
       -4.41171447        0.37767936        0.03082416        0.03575569        0.30576126        0.00438812        0.00095014
