#  aims_uuid : 3BD681A5-D2BB-4132-AE47-99128526B8D8                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.077775 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.92222498        0.96955483        0.05018742        0.86482984        0.04873316        0.00536652        0.00043790
       -4.91221497        1.27101742        0.06344189        1.12169628        0.07738916        0.00808950        0.00040058
       -4.90220496        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.89219495        0.86509270        0.04334633        0.74886900        0.06659350        0.00608640        0.00019747
       -4.88218494        1.14263024        0.05681898        0.99025127        0.08750275        0.00778446        0.00027278
       -4.87217493        0.74642498        0.05234497        0.64301563        0.04633010        0.00455505        0.00017923
       -4.86216492        0.88166964        0.08746151        0.74356434        0.04543368        0.00502611        0.00018399
       -4.85215491        0.75352596        0.07192626        0.63835842        0.03858112        0.00443954        0.00022061
       -4.84214490        1.34147584        0.13644713        1.12506505        0.07239000        0.00731043        0.00026323
       -4.83213489        2.09528346        0.22304943        1.76010898        0.10199402        0.00963849        0.00049253
       -4.82212488        3.20488542        0.38215587        2.68702231        0.12191690        0.01293336        0.00085698
       -4.81211487        0.66036185        0.07420036        0.55296864        0.02950931        0.00360751        0.00007603
       -4.80210486        3.78504347        0.46161131        3.14877364        0.15674851        0.01742271        0.00048730
       -4.79209485        1.70185750        0.19058246        1.41846473        0.08338491        0.00894254        0.00048286
       -4.78208484        2.48564115        0.22915350        2.12771444        0.11479172        0.01266522        0.00131626
       -4.77207483        2.78089890        0.19793674        2.44611776        0.12229380        0.01239897        0.00215163
       -4.76206482        2.97453917        0.20475016        2.60808740        0.14503333        0.01421760        0.00245069
       -4.75205481        2.27241961        0.21490724        1.95682870        0.09036499        0.00909804        0.00122064
       -4.74204480        1.84794987        0.18292545        1.56520578        0.08927219        0.00959800        0.00094845
       -4.73203479        1.42412742        0.11289770        1.21857612        0.08334806        0.00838289        0.00092266
       -4.72202478        1.13400558        0.07935327        0.99049657        0.05762407        0.00572644        0.00080523
       -4.71201477        1.10498063        0.08214982        0.95374965        0.06129544        0.00672976        0.00105595
       -4.70200476        1.60880340        0.12620848        1.39519167        0.07612890        0.00944043        0.00183392
       -4.69199475        3.60892108        0.16184924        3.16183257        0.25501133        0.02471526        0.00551269
       -4.68198474        1.08953178        0.07714028        0.85474917        0.13937550        0.01723445        0.00103238
       -4.67197473        0.08204204        0.00071712        0.07080085        0.00879065        0.00154075        0.00019266
       -4.66196472        0.06155722        0.00061490        0.05240436        0.00731953        0.00109060        0.00012783
       -4.65195471        0.94153155        0.04067954        0.83895918        0.05175920        0.00873901        0.00139461
       -4.64194470        1.37323088        0.05422816        1.22672886        0.07990254        0.01052305        0.00184827
       -4.63193469        0.52295505        0.03121997        0.45390363        0.03297873        0.00416930        0.00068342
       -4.62192468        2.43856260        0.20312174        2.11053866        0.10934062        0.01342654        0.00213504
       -4.61191467        4.42371142        0.55429333        3.66764467        0.17658396        0.02016649        0.00502296
       -4.60190466        0.67114334        0.07105417        0.56849064        0.02664204        0.00421665        0.00073983
       -4.59189465        0.18619726        0.02279391        0.15429329        0.00731753        0.00157983        0.00021270
       -4.58188464        0.39707232        0.04697217        0.33062148        0.01660662        0.00261953        0.00025251
       -4.57187463        1.14908811        0.11329057        0.96645951        0.05894153        0.00937329        0.00102321
       -4.56186462        0.10229476        0.01227456        0.08398771        0.00499527        0.00098006        0.00005716
       -4.55185461        0.21304822        0.00577897        0.20197702        0.00412072        0.00080797        0.00036354
       -4.54184460        0.34977820        0.01430954        0.32525112        0.00815985        0.00153071        0.00052698
       -4.53183459        0.57598282        0.04211984        0.51344745        0.01639965        0.00337141        0.00064449
       -4.52182458        1.10036392        0.11460512        0.93948023        0.03716374        0.00829138        0.00082346
