#  aims_uuid : 439A7EBB-E08A-4363-AC55-6415E62870CA                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.982406 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.01759428       35.02290816        0.06589826        1.33404116       33.08133208        0.54163666
       -5.00758427       29.39786008        0.15132452        1.74224697       27.00328093        0.50100766
       -4.99757426       16.59230184        0.14086829        1.17962824       14.95844790        0.31335740
       -4.98756425        5.72962303        0.11927553        0.83236768        4.66134738        0.11663244
       -4.97755424        4.01263536        0.08248396        0.62446710        3.22175468        0.08392962
       -4.96754423        3.78335830        0.06796226        0.54449875        3.08907649        0.08182079
       -4.95753422       10.56922085        0.18857052        1.61044647        8.54222348        0.22798038
       -4.94752421        8.46530027        0.23036898        1.79122644        6.24389755        0.19980730
       -4.93751420        6.60530465        0.24565402        1.79716696        4.39079839        0.17168528
       -4.92750419        5.49138038        0.25891623        1.69778696        3.38162269        0.15305450
       -4.91749418        6.61358619        0.28116493        1.74803149        4.40275563        0.18163414
       -4.90748417        5.64011217        0.21715366        0.56312714        4.74797508        0.11185628
       -4.89747416        8.38007292        0.28259407        0.69798670        7.22833190        0.17116024
       -4.88746415       17.38004697        0.44715024        1.90467267       14.50027317        0.52795089
       -4.87745414       28.96075687        0.47074397        1.08759466       26.52929817        0.87312008
       -4.86744413        7.69497033        0.19055598        0.32594825        7.02430763        0.15415847
       -4.85743412        7.92627416        0.14535615        0.22222424        7.44653940        0.11215438
       -4.84742411        6.30040899        0.00474896        0.06639379        6.12085802        0.10840822
       -4.83741410        9.43930734        0.00931400        0.12841367        9.14136553        0.16021414
       -4.82740409       12.58361020        0.01534313        0.20970573       12.14791132        0.21065002
       -4.81739408        4.64964062        0.02207928        0.17183598        4.37860088        0.07712449
       -4.80738407       18.55840931        0.16500222        1.44006438       16.61023629        0.34310642
       -4.79737406       11.66215586        0.15746535        1.28194317       10.01209435        0.21065299
       -4.78736405       10.81027575        0.15228399        1.16366396        9.30433242        0.18999538
       -4.77735404       11.34960712        0.19607153        1.32063406        9.63511049        0.19779104
       -4.76734403       14.44694641        0.30205528        1.92448749       11.95002309        0.27038055
       -4.75733402       18.33815359        0.36788229        2.39911797       15.21258428        0.35856905
       -4.74732401       22.70773800        0.37091243        2.54363124       19.34751586        0.44567846
       -4.73731400       17.20004572        0.36780644        2.40700168       14.12615197        0.29908563
       -4.72730399       26.28253878        0.24918172        1.78356134       23.66326592        0.58652981
       -4.71729398        9.28431848        0.06192811        0.45335633        8.55132369        0.21771037
       -4.70728397        9.27021646        0.06707773        0.51569426        8.47386877        0.21357570
       -4.69727396        9.26834253        0.07245517        0.57728960        8.40942212        0.20917564
       -4.68726395      726.40420157        0.30597101        5.71485434      686.57332774       33.81004849
       -4.67725394       22.57568307        0.18305005        1.64833408       20.14918825        0.59511070
       -4.66724393       22.72350112        0.21476908        1.86957634       20.08250793        0.55664778
       -4.65723392       22.87159518        0.23623921        2.01885887       20.09419690        0.52230019
       -4.64722391       23.01996524        0.24746044        2.09618169       20.18425516        0.49206795
       -4.63721390       22.78107668        0.24184424        2.05129253       20.02837112        0.45956879
       -4.62720389       15.40213187        0.11787668        1.05068954       13.92492388        0.30864177
       -4.61719388       15.79824383        0.11143096        1.02422634       14.36462809        0.29795845
       -4.60718387       13.41539259        0.10375421        0.95213370       12.11893351        0.24057117
       -4.59717386       12.30159506        0.11777634        1.06272826       10.91436855        0.20672192
       -4.58716385        8.90855970        0.09787112        0.88020942        7.78410896        0.14637021
       -4.57715384        6.87293432        0.07780578        0.69631708        5.98626649        0.11254498
       -4.56714383        4.86360427        0.05317428        0.47107721        4.25986804        0.07948474
       -4.55713382        3.53453511        0.03816675        0.32978960        3.10759708        0.05898168
       -4.54712381        2.42890651        0.02755193        0.22385045        2.13482541        0.04267871
       -4.53711380       16.42475358        0.04329247        0.38496880       15.79956584        0.19692648
       -4.52710379       35.33973701        0.12792565        0.81643108       33.96505398        0.43032631
       -4.51709378        7.27534442        0.01693105        0.13460784        6.98303500        0.14077053
       -4.50708377        5.63590771        0.01425983        0.12134407        5.39220912        0.10809468
       -4.49707376        4.87765514        0.01147132        0.11377157        4.65190385        0.10050839
       -4.48706375        4.53502746        0.01061786        0.11586539        4.30843452        0.10010969
       -4.47705374        4.61173472        0.01254435        0.13385615        4.35238389        0.11295033
       -4.46704373        5.38161315        0.02299114        0.20499405        5.01334663        0.14028134
       -4.45703372        7.98212157        0.03800798        0.32691343        7.42169307        0.19550709
       -4.44702371       11.45535152        0.06261993        0.53412561       10.59857354        0.26003244
       -4.43701370       15.05602829        0.09712116        0.82022978       13.81877838        0.31989897
       -4.42700369       18.78415186        0.14151165        1.18522594       17.08230760        0.37510668
       -4.41699368       22.63972225        0.19579140        1.62911409       20.38916119        0.42565557
       -4.40698367        3.62271008        0.00149351        0.04798280        3.40925095        0.16398281
       -4.39697366        4.14449921        0.00158718        0.04974304        3.90971353        0.18345547
       -4.38696365        4.67724763        0.00165724        0.05045544        4.42267107        0.20246389
       -4.37695364        5.22095536        0.00170368        0.05012002        4.94812358        0.22100807
       -4.36694363        5.77562239        0.00172652        0.04873677        5.48607107        0.23908803
       -4.35693362       16.11386535        0.00594780        0.13802738       15.43146230        0.53842787
       -4.34692361       12.65376242        0.03058597        0.38148535       11.91704765        0.32464345
       -4.33691360       20.02554898        0.08556942        1.00175088       18.53851393        0.39971474
       -4.32690359       15.29175271        0.08532768        0.98488094       13.91793928        0.30360481
       -4.31689358        9.94609625        0.07140744        0.80618103        8.86067468        0.20783311
       -4.30688357        9.17411367        0.08114313        0.89971681        8.00696647        0.18628725
       -4.29687356        8.34624343        0.08852279        0.96488519        7.12421706        0.16861840
       -4.28686355        7.46248554        0.09354640        1.00168618        6.21242642        0.15482654
       -4.27685354       18.19144539        0.41466543        2.70973063       14.67995840        0.38709093
       -4.26684353       17.38712270        0.31388914        2.12319682       14.56444660        0.38559014
       -4.25683352       19.61743840        0.37117418        2.28267305       16.53448610        0.42910506
       -4.24682351       35.63727029        0.93244232        4.83214387       29.15382087        0.71886323
       -4.23681350       19.89296163        0.35908328        2.68916170       16.39681816        0.44789850
       -4.22680349       13.26099935        0.21177431        1.70858699       11.02681714        0.31382091
       -4.21679348       33.34902861        0.16637158        1.41691174       31.02279358        0.74295171
       -4.20678347       17.49235859        0.17924832        1.61013741       15.32887492        0.37409793
       -4.19677346       34.94718971        0.26379441        2.87572313       31.07892966        0.72874251
       -4.18676345       50.32465704        0.48438232        5.23424027       43.39622475        1.20980969
       -4.17675344        1.90512809        0.01424139        0.17833364        1.67324882        0.03930423
       -4.16674343       27.59727328        0.56728037        4.76340816       21.54896832        0.71761643
       -4.15673342       25.52645351        0.19106336        1.86740156       22.80867493        0.65931365
       -4.14672341       36.60684395        0.21057537        2.14786827       33.43951344        0.80888688
       -4.13671340       44.37857863        0.23559431        2.61705400       40.37728843        1.14864189
       -4.12670339       30.43776341        0.39579121        3.70035583       25.44608430        0.89553207
       -4.11669338       22.46270730        0.18896501        2.25124495       19.37589149        0.64660586
       -4.10668337       13.80408673        0.08982122        1.10696179       12.25967177        0.34763196
       -4.09667336       25.85578578        0.22221577        2.42068898       22.62693472        0.58594632
       -4.08666335       22.33855196        0.22747137        2.16557184       19.43137485        0.51413390
       -4.07665334       24.86982239        0.30228692        2.41452197       21.56588003        0.58713346
       -4.06664333       22.11034018        0.42829359        2.55606798       18.63246512        0.49351349
       -4.05663332       31.19348531        0.72541645        4.27339403       25.48284777        0.71182706
       -4.04662331        9.77586151        0.11215460        1.12683139        8.27800461        0.25887091
       -4.03661330       13.15104234        0.14670759        1.39661403       11.27501642        0.33270430
       -4.02660329       13.16214967        0.13467070        1.39887930       11.28972282        0.33887685
       -4.01659328       13.30256010        0.12580962        1.41579017       11.41362540        0.34733490
       -4.00658327       13.57227364        0.12012437        1.44734664       11.64672415        0.35807847
       -3.99657326       16.81604844        0.14787383        1.77677946       14.45649349        0.43490166
       -3.98656325       14.71994845        0.11722765        1.59327137       12.61671044        0.39273898
       -3.97655324       12.83006253        0.10071906        1.38171686       10.99754785        0.35007877
       -3.96654323       12.90786556        0.10367168        1.37042329       11.08157773        0.35219286
       -3.95653322       22.33031129        0.18349470        2.32801259       19.23209693        0.58670707
       -3.94652321       24.34595495        0.16923832        2.60763557       20.90014653        0.66893453
       -3.93651320       12.18049724        0.09827156        1.21791961       10.53761820        0.32668788
       -3.92650319       12.75237556        0.10681923        1.27582359       11.02637243        0.34336031
       -3.91649318       14.00260005        0.11765194        1.42825280       12.07283862        0.38385669
       -3.90648317       14.71292444        0.13354789        1.53084864       12.64474129        0.40378661
       -3.89647316       38.59993302        0.15804633        3.63939316       33.72971544        1.07277810
       -3.88646315       24.30877160        0.16919232        2.40393224       21.06594528        0.66970176
       -3.87645314       16.06121864        0.06515501        1.47329867       14.06434112        0.45842385
       -3.86644313       20.96741517        0.11436415        1.94313329       18.32310166        0.58681607
       -3.85643312       18.35165275        0.09957576        1.79603275       15.92768243        0.52836182
       -3.84642311       16.19791283        0.08901870        1.75762851       13.87080022        0.48046540
       -3.83641310       19.75930129        0.12329915        2.51555210       16.51754742        0.60290262
       -3.82640309       23.98103063        0.14567517        3.31791454       19.69176774        0.82567318
       -3.81639308       22.29000115        0.10114767        3.21904046       18.17704372        0.79276930
       -3.80638307       20.78973681        0.06513261        3.04087937       16.93029975        0.75342509
       -3.79637306       33.01962393        0.06912065        5.46170746       26.33460294        1.15419288
       -3.78636305       16.02437399        0.06496924        2.43912770       12.93209582        0.58818123
       -3.77635304       19.93167986        0.11498861        3.08028199       15.98254402        0.75386524
       -3.76634303       28.73371465        0.29152246        4.13870365       23.34601843        0.95747011
       -3.75633302       25.61887411        0.56516772        3.61677880       20.78726193        0.64966566
       -3.74632301       22.64660297        0.51353449        3.45070734       18.00943817        0.67292296
       -3.73631300       16.89271420        0.32461779        2.62934435       13.41718988        0.52156218
       -3.72630299       21.26242231        0.38138828        3.28091971       16.93248539        0.66762892
       -3.71629298       30.15678829        0.51835787        4.92042001       23.74521810        0.97279231
       -3.70628297       21.12122565        0.37184962        3.15186697       16.95373974        0.64376933
       -3.69627296       39.89708647        0.56411140        6.14038912       31.90656406        1.28602189
       -3.68626295       20.98855193        0.32176261        3.44167890       16.53701999        0.68809044
       -3.67625294       22.10535082        0.28070598        3.86369056       17.19568800        0.76526628
       -3.66624293       26.80401430        0.31847944        4.76330013       20.73985906        0.98237566
       -3.65623292       24.30696389        0.24192714        4.36217356       18.80208382        0.90077937
       -3.64622291       20.13975589        0.18731538        3.40907512       15.81917875        0.72418664
       -3.63621290       14.41465323        0.12411077        2.27307176       11.51053878        0.50693191
       -3.62620289       15.55222939        0.16044226        2.33110943       12.53455502        0.52612268
       -3.61619288       22.91412916        0.24606471        3.14092706       18.77681436        0.75032303
       -3.60618287       31.79940129        0.59644930        4.69302001       25.53099688        0.97893510
       -3.59617286       14.79939783        0.19794431        2.48115159       11.64274443        0.47755749
       -3.58616285        7.08303594        0.09997944        1.25707452        5.47333592        0.25264606
       -3.57615284       11.36816088        0.10004044        2.06423833        8.79441945        0.40946266
       -3.56614283       10.11250649        0.07272199        1.69731182        7.96631765        0.37615504
       -3.55613282       10.46781934        0.08271933        1.77841004        8.19751241        0.40917756
       -3.54612281       12.05455616        0.11848751        2.12936911        9.31882722        0.48787232
       -3.53611280       17.66063613        0.16527570        2.71106861       14.10217673        0.68211508
       -3.52610279       12.27057633        0.15762140        2.20878875        9.43186744        0.47229875
       -3.51609278       17.45081625        0.21827755        2.75509927       13.83952194        0.63791749
       -3.50608277       12.21677485        0.20535142        2.30963423        9.23970068        0.46208852
       -3.49607276       19.63213928        0.42723461        4.45041289       13.97224059        0.78225119
       -3.48606275       13.21971491        0.29180575        2.96777820        9.44483692        0.51529404
       -3.47605274       10.06504549        0.22723694        2.07803246        7.37679300        0.38298308
       -3.46604273        9.92139172        0.22222586        1.95588069        7.37342412        0.36986105
       -3.45603272       16.39096912        0.38446758        3.13377484       12.20119802        0.67152869
       -3.44602271        8.73063720        0.17740122        1.76767648        6.42626205        0.35929745
       -3.43601270       10.66887667        0.17672200        2.25602845        7.74852651        0.48759971
       -3.42600269       14.99074971        0.21159832        3.26210356       10.84772035        0.66932746
       -3.41599268       11.44058713        0.16666643        2.33441893        8.46617388        0.47332789
       -3.40598267       17.28444887        0.31916561        3.49123836       12.77417232        0.69987258
       -3.39597266      275.20623623        2.61426383       38.85325976      223.80064316        9.93806948
       -3.38596265        9.42727120        0.13109934        1.90704909        7.00776844        0.38135434
       -3.37595264       13.50349456        0.21524659        2.61457295       10.14235398        0.53132105
       -3.36594263       13.43440570        0.25788103        2.65940340        9.97514373        0.54197754
       -3.35593262       14.20144898        0.25899498        2.89639809       10.44516473        0.60089118
       -3.34592261       11.89979062        0.17648134        2.65467297        8.52048478        0.54815153
       -3.33591260        8.10807594        0.13344136        1.95929255        5.62986026        0.38548178
       -3.32590259        8.01079131        0.11494117        1.96727106        5.53445681        0.39412227
       -3.31589258        7.33951424        0.09800376        1.70973756        5.17923794        0.35253498
       -3.30588257       12.53392339        0.08972913        2.50809938        9.36594189        0.57015299
       -3.29587256        8.94426277        0.08254977        1.59328791        6.86499751        0.40342758
       -3.28586255        6.69991293        0.07701604        1.42380341        4.86881135        0.33028213
       -3.27585254        6.84023153        0.07250333        1.46190933        4.96183581        0.34398306
       -3.26584253        6.92989522        0.06874160        1.50490649        4.99912407        0.35712306
       -3.25583252        6.96890400        0.06573084        1.55279488        4.98067614        0.36970214
       -3.24582251        7.23154914        0.06386330        1.66704513        5.10214755        0.39849316
       -3.23581250        7.91576490        0.06395688        1.92139502        5.47706123        0.45335177
       -3.22580249        8.40924306        0.06505358        2.16792797        5.67710201        0.49915950
       -3.21579248        8.74133898        0.07168490        2.32780822        5.82429625        0.51754961
       -3.20578247        9.50724698        0.08813596        2.64825818        6.20629365        0.56455919
