#  aims_uuid : 439A7EBB-E08A-4363-AC55-6415E62870CA                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.982406 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.01759428        1.01685012        0.00558919        0.94150398        0.05891100        0.01084596
       -5.00758427        0.76787168        0.00485116        0.69968196        0.05533504        0.00800351
       -4.99757426        0.42632348        0.00355205        0.38642780        0.03233710        0.00400653
       -4.98756425        0.21304196        0.00197633        0.19489235        0.01457221        0.00160107
       -4.97755424        0.15537042        0.00212676        0.14154732        0.01053241        0.00116393
       -4.96754423        0.14207528        0.00248055        0.12931510        0.00920580        0.00107382
       -4.95753422        0.39511744        0.00660907        0.35729526        0.02823836        0.00297476
       -4.94752421        0.36717233        0.00492264        0.33531514        0.02443872        0.00249583
       -4.93751420        0.32894460        0.00371961        0.30308066        0.02011071        0.00203361
       -4.92750419        0.29588473        0.00309243        0.27450569        0.01652901        0.00175760
       -4.91749418        0.30702074        0.00527964        0.28361317        0.01579269        0.00233523
       -4.90748417        0.15852826        0.00090998        0.14399060        0.01183203        0.00179566
       -4.89747416        0.22615291        0.00130864        0.20645604        0.01579883        0.00258940
       -4.88746415        0.61642281        0.00641866        0.57601267        0.02866531        0.00532617
       -4.87745414        0.83953460        0.00560618        0.78752255        0.03823970        0.00816616
       -4.86744413        0.18051215        0.00089835        0.16631837        0.01106363        0.00223181
       -4.85743412        0.21996353        0.00080450        0.20418186        0.01247287        0.00250431
       -4.84742411        0.22424529        0.00121505        0.21107424        0.00999895        0.00195704
       -4.83741410        0.27502062        0.00195815        0.25691963        0.01360582        0.00253704
       -4.82740409        0.28551410        0.00279404        0.26355442        0.01630908        0.00285656
       -4.81739408        0.13556270        0.00126901        0.12535181        0.00762656        0.00131533
       -4.80738407        0.44630407        0.00476214        0.41048019        0.02753023        0.00353151
       -4.79737406        0.31294287        0.00339419        0.28598404        0.02098141        0.00258323
       -4.78736405        0.28708515        0.00350903        0.26033730        0.02062961        0.00260921
       -4.77735404        0.32192664        0.00386738        0.29138068        0.02369837        0.00298021
       -4.76734403        0.47861008        0.00620408        0.43389673        0.03450788        0.00400139
       -4.75733402        0.64872925        0.00953262        0.58784123        0.04622537        0.00513003
