#  aims_uuid : 5F6120A8-EFA0-47EB-AE6C-F6250D1E09D1                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -6.373785 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -3.62621493        1.72752841        0.00076004        0.03643410        1.66430988        0.02602439
       -3.61620492        0.91243307        0.00196261        0.03126436        0.86022674        0.01897936
       -3.60619491        0.33141647        0.00228622        0.01913550        0.29921307        0.01078168
       -3.59618490        0.44489762        0.00926397        0.08848853        0.33904631        0.00809881
       -3.58617489        0.37073412        0.00622916        0.06189168        0.29459710        0.00801618
       -3.57616488        0.34020982        0.00568007        0.05386411        0.27157262        0.00909302
       -3.56615487        0.30392658        0.00668187        0.05897012        0.22886756        0.00940703
       -3.55614486        0.23860891        0.00741505        0.06271358        0.16032339        0.00815689
       -3.54613485        0.17913453        0.00734458        0.06034351        0.10458452        0.00686192
       -3.53612484        0.13393186        0.00691084        0.05417140        0.06708266        0.00576696
       -3.52611483        0.40134052        0.01998239        0.17693667        0.18666156        0.01775990
       -3.51610482        0.18899155        0.00808570        0.03641435        0.13884464        0.00564685
       -3.50609481        0.37499962        0.01359304        0.06101571        0.28727377        0.01311711
       -3.49608480        0.58029790        0.01490812        0.05483242        0.48925269        0.02130467
       -3.48607479        0.94115667        0.01446357        0.02402231        0.86715046        0.03552033
       -3.47606478        0.56377205        0.01747594        0.02042686        0.51545069        0.01041857
       -3.46605477        0.11515752        0.00003915        0.00050808        0.11249782        0.00211247
       -3.45604476        0.23250200        0.00016772        0.00187291        0.22604194        0.00441944
       -3.44603475        0.34367326        0.00038588        0.00408726        0.33242237        0.00677776
       -3.43602474        0.44867132        0.00069364        0.00715111        0.43163913        0.00918744
       -3.42601473        0.17441941        0.00105545        0.00984449        0.16010681        0.00341267
       -3.41600472        0.63807861        0.00450424        0.03929291        0.58290397        0.01137749
       -3.40599471        0.40543439        0.00451130        0.03799764        0.35601415        0.00691129
       -3.39598470        0.38232909        0.00458199        0.03755328        0.33386420        0.00632962
       -3.38597469        0.38466110        0.00708876        0.04178983        0.32920099        0.00658152
       -3.37596468        0.51900438        0.01512429        0.07257983        0.42044949        0.01085077
       -3.36595467        0.66594210        0.01922513        0.09497204        0.53600198        0.01574295
       -3.35594466        0.80158823        0.01818912        0.10324166        0.65959444        0.02056302
       -3.34593465        0.61577586        0.01538361        0.11010091        0.47820648        0.01208485
       -3.33592464        1.23199688        0.00720985        0.09635480        1.10632844        0.02210379
       -3.32591463        0.35248978        0.00195692        0.01748315        0.32381000        0.00923971
       -3.31590462        0.34470722        0.00193334        0.02192913        0.31194819        0.00889655
       -3.30589461        0.58064232        0.01178834        0.13362672        0.41582209        0.01940517
       -3.29588460        0.78103782        0.00849039        0.09831549        0.63675389        0.03747806
       -3.28587459        0.94402036        0.00625324        0.07919837        0.83163350        0.02693525
       -3.27586458        0.89080778        0.00656171        0.08050837        0.78014184        0.02359586
       -3.26585457        0.84720102        0.00657682        0.07981242        0.73986461        0.02094717
       -3.25584456        0.81320011        0.00629856        0.07711055        0.71080182        0.01898918
       -3.24583455        0.76799445        0.00561859        0.07177732        0.67327075        0.01732779
       -3.23582454        0.71760590        0.00509055        0.06689124        0.63001960        0.01560451
       -3.22581453        0.53035445        0.00544455        0.07550492        0.43818437        0.01122061
       -3.21580452        0.46447428        0.00412012        0.07257345        0.37798915        0.00979156
       -3.20579451        0.37222217        0.00273840        0.06259289        0.29903699        0.00785389
       -3.19578450        0.26476035        0.00170599        0.05211595        0.20530417        0.00563424
