#  aims_uuid : 5F6120A8-EFA0-47EB-AE6C-F6250D1E09D1                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        1.17054055        0.00666452        1.08653958        0.06447571        0.01286075
       -9.98998999        0.67186052        0.00449830        0.61555157        0.04434447        0.00746617
       -9.97997998        0.30812559        0.00215323        0.28071916        0.02214958        0.00310361
       -9.96996997        0.46019675        0.00118078        0.41331817        0.04227357        0.00342423
       -9.95995996        0.37313177        0.00407180        0.33433647        0.03183985        0.00288365
       -9.94994995        0.36275101        0.00585171        0.32718322        0.02695404        0.00276204
       -9.93993994        0.36356450        0.00583780        0.33105516        0.02409529        0.00257625
       -9.92992993        0.32631825        0.00430777        0.29985597        0.02005447        0.00210004
       -9.91991992        0.27986853        0.00312909        0.25922473        0.01586693        0.00164777
       -9.90990991        0.23225216        0.00234441        0.21639131        0.01220882        0.00130762
       -9.89989990        0.88943057        0.00547728        0.84007849        0.03966411        0.00421069
       -9.88988989        0.15886085        0.00168106        0.14364450        0.01169736        0.00183792
       -9.87987988        0.30137771        0.00550833        0.27405158        0.01835962        0.00345818
       -9.86986987        0.46831211        0.00622021        0.43321453        0.02401377        0.00486360
       -9.85985986        0.76693568        0.00524573        0.72148309        0.03309443        0.00711243
       -9.84984985        0.33278312        0.00126000        0.30302247        0.02369519        0.00480546
       -9.83983984        0.12673140        0.00054528        0.11991813        0.00521364        0.00105435
       -9.82982983        0.22238237        0.00125487        0.20924878        0.00995873        0.00191999
       -9.81981982        0.27693323        0.00209707        0.25846702        0.01385232        0.00251682
       -9.80980981        0.29038400        0.00307189        0.26757285        0.01689442        0.00284484
       -9.79979980        0.14017256        0.00178777        0.12839625        0.00867866        0.00130987
       -9.78978979        0.43917080        0.00529660        0.40224203        0.02807378        0.00355838
       -9.77977978        0.29715986        0.00374206        0.26999570        0.02089759        0.00252450
       -9.76976977        0.27509296        0.00369067        0.24851534        0.02031612        0.00257084
       -9.75975976        0.28955527        0.00455864        0.25953462        0.02269138        0.00277063
       -9.74974975        0.48972261        0.00676722        0.44389580        0.03505544        0.00400415
       -9.73973974        0.69062018        0.01009986        0.62713508        0.04808868        0.00529657
       -9.72972973        0.85719790        0.01453578        0.77604769        0.06015802        0.00645642
       -9.71971972        0.55747181        0.01162242        0.49273750        0.04784346        0.00526843
       -9.70970971        0.63690260        0.00433914        0.56478199        0.05919292        0.00858855
       -9.69969970        0.27509337        0.00313917        0.25604086        0.01383679        0.00207654
       -9.68968969        0.27881049        0.00345173        0.25936444        0.01393948        0.00205484
       -9.67967968        0.52451422        0.01228368        0.45580717        0.05166774        0.00475563
       -9.66966967        0.94564779        0.01922281        0.86703571        0.05184220        0.00754707
       -9.65965966        0.69456178        0.01418305        0.62749324        0.04680738        0.00607811
       -9.64964965        0.71696788        0.01221408        0.65127898        0.04728738        0.00618744
       -9.63963964        0.71800881        0.01061125        0.65414107        0.04705849        0.00619800
       -9.62962963        0.69768456        0.00937454        0.63607951        0.04612073        0.00610978
       -9.61961962        0.63853936        0.00828425        0.58098113        0.04349667        0.00577731
       -9.60960961        0.57274735        0.00710046        0.51930159        0.04095046        0.00539483
       -9.59959960        0.43764231        0.00437099        0.39329670        0.03572921        0.00424541
       -9.58958959        0.36700136        0.00424743        0.32581321        0.03298018        0.00396055
       -9.57957958        0.28579294        0.00383824        0.25126574        0.02735402        0.00333495
       -9.56956957        0.20194177        0.00295021        0.17548803        0.02095315        0.00255037
       -9.55955956        0.15065299        0.00246684        0.13044176        0.01576791        0.00197648
       -9.54954955        0.10248847        0.00181484        0.08912165        0.01021248        0.00133950
       -9.53953954        0.05744821        0.00099422        0.05152771        0.00428685        0.00063943
       -9.52952953        0.03886966        0.00057334        0.03611817        0.00184246        0.00033570
       -9.51951952        0.07242983        0.00047447        0.06570093        0.00501744        0.00123699
       -9.50950951        0.70776140        0.00229012        0.63737394        0.05529499        0.01280235
       -9.49949950        0.21537869        0.00157442        0.19968926        0.01250725        0.00160775
       -9.48948949        0.18004480        0.00183511        0.16710115        0.00980870        0.00129985
       -9.47947948        0.16289675        0.00249537        0.15130545        0.00790513        0.00119079
       -9.46946947        0.14667676        0.00278972        0.13613355        0.00660134        0.00115215
       -9.45945946        0.14311726        0.00282880        0.13272170        0.00628265        0.00128412
       -9.44944945        0.14815025        0.00258021        0.13720864        0.00681900        0.00154240
       -9.43943944        0.19992101        0.00286028        0.18449195        0.01026351        0.00230526
       -9.42942943        0.27914226        0.00312210        0.25653699        0.01610339        0.00337978
       -9.41941942        0.37437254        0.00311957        0.34278808        0.02381051        0.00465439
       -9.40940941        0.48561186        0.00285270        0.44324522        0.03338485        0.00612909
       -9.39939940        0.09526129        0.00148272        0.09003483        0.00293320        0.00081053
       -9.38938939        0.10939503        0.00181270        0.10332180        0.00333050        0.00093003
       -9.37937938        0.12358942        0.00217162        0.11664798        0.00371999        0.00104983
       -9.36936937        0.13784446        0.00255948        0.13001336        0.00410167        0.00116996
       -9.35935936        0.15216014        0.00297628        0.14341794        0.00447553        0.00129040
       -9.34934935        0.16653647        0.00342202        0.15686172        0.00484158        0.00141115
       -9.33933934        0.35560724        0.00838645        0.33104628        0.01311362        0.00306089
       -9.32932933        0.29577553        0.00461903        0.27252435        0.01539121        0.00324095
       -9.31931932        0.38644045        0.00490401        0.35028388        0.02567557        0.00557699
       -9.30930931        0.19881893        0.00289258        0.17806305        0.01495184        0.00291146
       -9.29929930        0.16984361        0.00235952        0.14964865        0.01499530        0.00284015
       -9.28928929        0.14287867        0.00190452        0.12341755        0.01480212        0.00275448
       -9.27927928        0.11792410        0.00152759        0.09936975        0.01437230        0.00265446
       -9.26926927        0.09497990        0.00122873        0.07750524        0.01370585        0.00254008
