#  aims_uuid : FE580406-BD5F-4B86-AB68-D99D436E3932                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.359022 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.64097802        1.05564111        0.02129759        0.14652749        0.87652854        0.00837981        0.00290769
       -4.63096801        1.43774588        0.03410344        0.23146123        1.15532761        0.01282348        0.00403012
       -4.62095800        0.59772009        0.00602756        0.04939307        0.53725769        0.00369339        0.00134839
       -4.61094799        0.68755990        0.06264403        0.05809511        0.55716209        0.00769985        0.00195882
       -4.60093798        0.79819457        0.08889686        0.09964683        0.59486013        0.01240555        0.00238521
       -4.59092797        0.61882655        0.02963357        0.08877028        0.49021728        0.00901537        0.00119004
       -4.58091796        0.79596022        0.03661647        0.08913981        0.65688502        0.01223747        0.00108145
       -4.57090795        0.30282895        0.00574411        0.05864981        0.23544868        0.00228808        0.00069827
       -4.56089794        0.67968453        0.01939809        0.14733012        0.49474707        0.01672603        0.00148321
       -4.55088793        0.91995745        0.06023358        0.28584702        0.53814817        0.03276695        0.00296173
       -4.54087792        1.42580315        0.04769974        0.34520569        1.00116477        0.02846148        0.00327148
       -4.53086791        0.32279872        0.01278878        0.09965842        0.19991158        0.00963168        0.00080826
       -4.52085790        0.90510250        0.03569655        0.27606940        0.58092537        0.00947133        0.00293985
       -4.51084789        1.61434354        0.14000565        0.18330991        1.27525733        0.01348917        0.00228148
       -4.50083788        1.31702705        0.11966266        0.21401121        0.96674321        0.01432565        0.00228432
       -4.49082787        2.45749344        0.05949160        0.27744109        2.05966486        0.05893267        0.00196322
       -4.48081786        2.52126174        0.20040111        0.46552285        1.82241469        0.02872804        0.00419505
       -4.47080785        0.92466087        0.13395437        0.26374365        0.50477283        0.01969192        0.00249809
       -4.46079784        1.23659408        0.10024303        0.24853601        0.86465747        0.02052773        0.00262984
       -4.45078783        0.93449547        0.04022988        0.13059371        0.75080513        0.01147848        0.00138826
       -4.44077782        1.18137155        0.16750734        0.14657135        0.84776863        0.01734690        0.00217733
       -4.43076781        0.71424557        0.19344986        0.18606387        0.32011180        0.01253046        0.00208959
       -4.42075780        0.90800854        0.20312344        0.31017877        0.37482672        0.01671733        0.00316228
       -4.41074779        6.65208059        0.35496684        1.98527161        4.14657702        0.15112664        0.01413849
       -4.40073778        3.19802141        0.57966010        0.41217674        2.16586606        0.03580131        0.00451720
       -4.39072777        0.16777826        0.08003906        0.03023508        0.05524492        0.00195966        0.00029954
       -4.38071776        0.13068774        0.06709299        0.01700319        0.04488772        0.00151578        0.00018806
       -4.37070775        1.13144317        0.22740635        0.08360482        0.80462822        0.01495570        0.00084808
       -4.36069774        1.55315224        0.25102171        0.16756388        1.12057052        0.01180694        0.00218919
       -4.35068773        1.50974371        0.14078289        0.26860485        1.07844554        0.01826096        0.00364946
       -4.34067772        0.94940338        0.02498966        0.11830215        0.78594465        0.01909858        0.00106833
       -4.33066771        1.71230380        0.35983871        0.23207753        1.09692829        0.02065889        0.00280037
       -4.32065770        0.90084802        0.14930078        0.18232846        0.55213518        0.01495699        0.00212660
       -4.31064769        0.17150849        0.02557489        0.06710313        0.07384575        0.00433702        0.00064771
       -4.30063768        0.39595717        0.09766668        0.08463250        0.19703987        0.01466661        0.00195152
       -4.29062767        1.64377489        0.17617472        0.28724745        1.14537940        0.02974749        0.00522583
       -4.28061766        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.27060765        0.15564120        0.00085554        0.04513147        0.10208851        0.00741979        0.00014589
       -4.26059764        0.24468847        0.00477703        0.06476771        0.16379493        0.01092330        0.00042549
       -4.25058763        0.45300979        0.05659181        0.10372504        0.27578765        0.01572322        0.00118206
       -4.24057762        0.87381121        0.13948472        0.22607966        0.47789946        0.02692357        0.00342380
       -4.23056761        0.89958897        0.10187205        0.23385535        0.53175665        0.02821211        0.00389281
       -4.22055760        0.51597331        0.06488950        0.11119296        0.32194858        0.01604742        0.00189485
       -4.21054759        0.30370923        0.03966314        0.05386078        0.19950828        0.00966402        0.00101301
       -4.20053758        0.12142688        0.01576423        0.02572094        0.07508638        0.00436291        0.00049241
       -4.19052757        0.08399158        0.00498569        0.01694401        0.05999137        0.00165963        0.00041089
       -4.18051756        0.08611800        0.00000000        0.01389417        0.07092514        0.00091797        0.00038073
       -4.17050755        0.52322398        0.02207708        0.06648825        0.41244824        0.02049236        0.00171804
       -4.16049754        0.64228792        0.01424740        0.07228020        0.52836462        0.02607557        0.00132012
       -4.15048753        0.54845765        0.00622693        0.05686354        0.46610996        0.01844620        0.00081101
       -4.14047752        0.57957737        0.03764163        0.06431795        0.46061523        0.01592249        0.00108007
       -4.13046751        0.28400905        0.03946782        0.04119730        0.19466513        0.00778268        0.00089611
       -4.12045750        0.34481161        0.04211820        0.04926199        0.24323522        0.00919682        0.00099939
       -4.11044749        0.40722015        0.04502803        0.05593663        0.29468387        0.01045327        0.00111835
       -4.10043748        1.15682498        0.10837654        0.31026459        0.71201342        0.02229547        0.00387497
       -4.09042747        0.49317609        0.05546328        0.08394278        0.34286146        0.00924818        0.00166039
       -4.08041746        0.26821572        0.02652760        0.05401279        0.18238052        0.00441626        0.00087854
       -4.07040745        0.29392064        0.02738062        0.05024412        0.21026886        0.00514264        0.00088440
       -4.06039744        0.32225759        0.02703171        0.04764282        0.24061691        0.00607980        0.00088636
       -4.05038743        0.36883693        0.02548088        0.04901759        0.28598342        0.00743564        0.00091941
       -4.04037742        0.41725374        0.02272813        0.05078210        0.33377121        0.00900963        0.00096265
       -4.03036741        0.47653807        0.01878042        0.05466854        0.39113849        0.01090150        0.00104911
       -4.02035740        0.55993225        0.01399994        0.06294720        0.46848016        0.01327461        0.00123034
       -4.01034739        0.44167069        0.01092568        0.05112298        0.36915687        0.00921709        0.00124806
       -4.00033738        0.47791271        0.00967434        0.05205246        0.40484286        0.00989724        0.00144581
       -3.99032737        0.51322784        0.00930842        0.05181235        0.43987694        0.01056576        0.00166437
       -3.98031736        0.54761608        0.00982793        0.05040265        0.47425911        0.01122263        0.00190375
       -3.97030735        0.77983889        0.05259557        0.07705160        0.62790729        0.01947633        0.00280810
       -3.96029734        0.63699072        0.04049319        0.05063336        0.52928239        0.01398403        0.00259775
       -3.95028733        0.77430580        0.08693653        0.04336777        0.62553071        0.01539397        0.00307682
       -3.94027732        1.18069487        0.08821322        0.05195637        1.00791785        0.02776971        0.00483773
       -3.93026731        0.51528249        0.04465252        0.03391287        0.42528391        0.00736602        0.00406716
       -3.92025730        0.91041759        0.10990334        0.06840803        0.71244303        0.01532608        0.00433711
       -3.91024729        0.31701871        0.00043483        0.02128916        0.29033826        0.00363636        0.00132010
       -3.90023728        1.02327820        0.00312845        0.04955596        0.95600524        0.01134407        0.00324448
       -3.89022727        0.77702861        0.00828328        0.06788503        0.69052605        0.00813066        0.00220359
       -3.88021726        0.58063918        0.01615785        0.09019859        0.46610183        0.00650105        0.00167985
       -3.87020725        1.17686773        0.06560218        0.24142925        0.84798179        0.01898160        0.00287291
       -3.86019724        0.69436812        0.04200492        0.14488903        0.49557021        0.01009530        0.00180865
       -3.85018723        0.86597747        0.06090518        0.20786613        0.57965458        0.01546607        0.00208551
       -3.84017722        1.04908331        0.11001698        0.26153814        0.65598968        0.01909477        0.00244374
       -3.83016721        1.06919536        0.10107763        0.23340965        0.71091286        0.02028529        0.00350993
       -3.82015720        1.32566369        0.05214139        0.20298153        1.03662681        0.02812008        0.00579387
       -3.81014719        0.65287150        0.05427058        0.09712581        0.48874359        0.01089746        0.00183406
       -3.80013718        1.61506929        0.10149904        0.42950849        1.05394985        0.02601568        0.00409623
       -3.79012717        1.32536045        0.04482273        0.25079788        1.00089991        0.02528245        0.00355748
       -3.78011716        0.54448603        0.01707686        0.13739615        0.37934003        0.00796114        0.00271185
       -3.77010715        0.92271440        0.00000000        0.05734394        0.83560470        0.02578904        0.00397671
       -3.76009714        1.52874022       -0.00000000        0.18710778        1.31509875        0.02429340        0.00224029
       -3.75008713        1.76383078       -0.00000000        0.31247563        1.41555117        0.02864082        0.00716315
       -3.74007712        1.72234605        0.08295196        0.39810248        1.17535841        0.04838426        0.01754894
       -3.73006711        0.93583575        0.05593535        0.14504133        0.70679486        0.01720797        0.01085624
       -3.72005710        0.82669892        0.03680291        0.12799390        0.64405582        0.01153408        0.00631221
       -3.71004709        1.61224844        0.05131082        0.20091428        1.32492660        0.01621994        0.01887679
       -3.70003708        0.60201138        0.00112004        0.07530097        0.51186848        0.00668709        0.00703480
       -3.69002707        0.19102509       -0.00000000        0.02146175        0.16403574        0.00216683        0.00336078
       -3.68001706        0.48038826       -0.00000000        0.07403336        0.39619302        0.00595949        0.00420239
       -3.67000705        0.93271653       -0.00000000        0.15398800        0.76100316        0.01249290        0.00523248
       -3.65999704        0.75469027       -0.00000000        0.10230765        0.64032085        0.00855626        0.00350551
       -3.64998703        0.64212966       -0.00000000        0.07503979        0.55809345        0.00652421        0.00247222
       -3.63997702        4.46086730        0.16260165        0.25333592        3.95885277        0.05903742        0.02703954
       -3.62996701        0.84686702        0.04352939        0.05121582        0.73579516        0.01131141        0.00501525
       -3.61995700        1.51807243        0.01826275        0.06732316        1.41192277        0.01609624        0.00446751
       -3.60994699        0.70457378        0.01401026        0.04606092        0.63267444        0.00868213        0.00314602
       -3.59993698        0.71783058        0.01032056        0.05022608        0.64403606        0.00976339        0.00348449
       -3.58992697        0.74420120        0.00719364        0.05850527        0.66320358        0.01204414        0.00325457
       -3.57991696        1.85822930        0.00462952        0.17609139        1.63276495        0.04018428        0.00455916
       -3.56990695        0.83502809        0.00262818        0.07788783        0.73554091        0.01646846        0.00250272
       -3.55989694        1.26066540        0.00118963        0.14451144        1.08668139        0.02445600        0.00382694
       -3.54988693        0.91010581        0.00031387        0.09937428        0.79401370        0.01406411        0.00233986
       -3.53987692        0.77264395        0.00000089        0.06279882        0.69639959        0.01161589        0.00182875
       -3.52986691        1.34134831        0.00015802        0.03893899        1.26869260        0.02611682        0.00744189
       -3.51985690        0.87062889        0.00128003        0.02857506        0.81826140        0.01763367        0.00487873
       -3.50984689        0.80157141        0.00202103        0.01801120        0.75654757        0.02014593        0.00484568
       -3.49983688        0.48792135        0.00238100        0.00369072        0.46482709        0.01449237        0.00253017
       -3.48982687        0.18194103        0.00235995       -0.00075441        0.17279864        0.00666712        0.00086974
       -3.47981686        1.28884732       -0.00283939        0.24988932        1.01777043        0.02209435        0.00193262
       -3.46980685        0.42343822        0.00128867        0.06291809        0.35015501        0.00838883        0.00068761
       -3.45979684        0.34248104        0.00139685        0.06359962        0.26971974        0.00717125        0.00059357
       -3.44978683        0.28399599        0.00239356        0.06209710        0.21249200        0.00647307        0.00054027
       -3.43977682        0.23189243        0.00313604        0.05867813        0.16379523        0.00579649        0.00048654
       -3.42976681        0.18603957        0.00361362        0.05334513        0.12351136        0.00513730        0.00043216
       -3.41975680        0.23989650        0.01030050        0.05538038        0.16629059        0.00724322        0.00068180
       -3.40974679        0.68678375        0.01678403        0.21337424        0.43821726        0.01651524        0.00189299
       -3.39973678        0.53503144        0.01446447        0.05951816        0.44426856        0.01521580        0.00156444
       -3.38972677        1.18660400        0.01460029        0.08441839        1.05102207        0.03378359        0.00277966
       -3.37971676        1.36700118        0.01538966        0.05963251        1.25827376        0.03014065        0.00356460
       -3.36970675        0.79942451        0.02154728        0.04768296        0.71468526        0.01287681        0.00263220
       -3.35969674        0.12347128        0.00716617        0.01586341        0.09713342        0.00281932        0.00048897
       -3.34968673        0.50869420        0.00885344        0.03271151        0.45735333        0.00808453        0.00169139
       -3.33967672        0.49127077        0.01080690        0.04559586        0.42609530        0.00721425        0.00155845
       -3.32966671        0.47908350        0.01249075        0.05518953        0.40341819        0.00652121        0.00146382
