#  aims_uuid : FE580406-BD5F-4B86-AB68-D99D436E3932                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.99551472        0.02622547        0.07495487        0.88738164        0.00563621        0.00131654
       -9.98998999        1.31043464        0.06088869        0.08842451        1.15140214        0.00816586        0.00155345
       -9.97997998        0.27419008        0.00526894        0.03973758        0.22721449        0.00150909        0.00045999
       -9.96996997        0.52231499        0.04206320        0.09084156        0.38361317        0.00451944        0.00127761
       -9.95995996        0.69958016        0.06229260        0.13161722        0.49772119        0.00641820        0.00153095
       -9.94994995        0.60712932        0.01317678        0.10717334        0.48176261        0.00416752        0.00084906
       -9.93993994        1.01159987        0.01614175        0.16760480        0.82015006        0.00645572        0.00124755
       -9.92992993        0.44591258        0.00269967        0.03806579        0.40294759        0.00169266        0.00050686
       -9.91991992        1.11545756        0.01952342        0.09982155        0.98165412        0.01318413        0.00127433
       -9.90990991        1.49039322        0.09279320        0.12667519        1.24252786        0.02650608        0.00189089
       -9.89989990        1.91757068        0.08441919        0.27328336        1.54214745        0.01516865        0.00255202
       -9.88988989        0.56379456        0.02131072        0.07593561        0.45720650        0.00842463        0.00091710
       -9.87987988        1.17440814        0.07575784        0.12526658        0.96269936        0.00853380        0.00215055
       -9.86986987        1.83796942        0.13051576        0.37781616        1.30396948        0.02054488        0.00512314
       -9.85985986        1.68259385        0.14841911        0.31216621        1.19823214        0.01943098        0.00434541
       -9.84984985        2.46663175        0.07660536        0.29031031        2.06886921        0.02824694        0.00259993
       -9.83983984        2.20428409        0.22916499        0.57451798        1.35609123        0.03753282        0.00697707
       -9.82982983        0.97206478        0.17246089        0.19473250        0.58867162        0.01384109        0.00235867
       -9.81981982        1.58089714        0.22972755        0.27547732        1.04972417        0.02225192        0.00371618
       -9.80980981        1.13905253        0.17475391        0.20478844        0.73965608        0.01694752        0.00290658
       -9.79979980        1.18965705        0.13880924        0.24862019        0.77818480        0.02072327        0.00331955
       -9.78978979        0.89714918        0.16162448        0.18672583        0.53167209        0.01464463        0.00248215
       -9.77977978        1.27251351        0.26354003        0.17064597        0.81743773        0.01795294        0.00293684
       -9.76976977        7.63226006        1.29311501        1.22841089        4.95271571        0.14100337        0.01701508
       -9.75975976        2.82430293        0.64726905        0.83281303        1.30446904        0.03352163        0.00623018
       -9.74974975        0.15768831        0.03307842        0.02505237        0.09719088        0.00209450        0.00027214
       -9.73973974        0.09688781        0.02043217        0.01572408        0.05882501        0.00173539        0.00017116
       -9.72972973        1.11955634        0.20780691        0.29938084        0.59274831        0.01692554        0.00269474
       -9.71971972        1.44515422        0.27351797        0.31000264        0.83932444        0.01876275        0.00354641
       -9.70970971        1.67056312        0.26006895        0.33989647        1.04311187        0.02418120        0.00330464
       -9.69969970        1.18095138        0.06571128        0.17750154        0.90611582        0.03055302        0.00106970
       -9.68968969        1.25324123        0.17642439        0.40938891        0.63656614        0.02606030        0.00480149
       -9.67967968        0.67411715        0.10129956        0.19878793        0.35831723        0.01349573        0.00221669
       -9.66966967        0.15126519        0.02806432        0.04163841        0.07685061        0.00416745        0.00054440
       -9.65965966        0.69548017        0.09961122        0.09802834        0.48398868        0.01229503        0.00155690
       -9.64964965        2.32552691        0.55722753        0.33433415        1.40067796        0.02841749        0.00486977
       -9.63963964        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.62962963        0.23020450        0.00227809        0.00910455        0.21426399        0.00441294        0.00014493
       -9.61961962        0.36019988        0.01273492        0.01523753        0.32558653        0.00634474        0.00029615
       -9.60960961        0.60336300        0.05004940        0.04492910        0.49686353        0.01072473        0.00079623
       -9.59959960        1.16390812        0.14918484        0.11338151        0.88033555        0.01912911        0.00187712
       -9.58958959        1.41683191        0.19184817        0.11707695        1.08524826        0.01996350        0.00269503
       -9.57957958        0.80552680        0.07603900        0.07400237        0.64201313        0.01190365        0.00156865
       -9.56956957        0.47022303        0.02654600        0.04695454        0.38891326        0.00691683        0.00089240
       -9.55955956        0.18614672        0.00958097        0.02451283        0.14896456        0.00277433        0.00031403
       -9.54954955        0.09453552        0.01688454        0.01106727        0.06536532        0.00106297        0.00015542
       -9.53953954        0.06409320        0.02319467        0.00396375        0.03600152        0.00085488        0.00007838
       -9.52952953        0.75151301        0.05585803        0.06008638        0.62489708        0.00978634        0.00088517
       -9.51951952        0.86533676        0.04262334        0.05882170        0.74866486        0.01441938        0.00080748
       -9.50950951        0.67574696        0.02383113        0.04272936        0.59327828        0.01539410        0.00051409
       -9.49949950        0.71454544        0.02778117        0.05546948        0.61442169        0.01590862        0.00096448
       -9.48948949        0.35976967        0.02796854        0.03323851        0.29289854        0.00483096        0.00083312
       -9.47947948        0.41483553        0.03273931        0.03321169        0.34184963        0.00608860        0.00094629
       -9.46946947        0.47424445        0.03914404        0.03179839        0.39494048        0.00727804        0.00108349
