#  aims_uuid : 62814970-7D0E-4D85-A566-6BBBCEEDD4F4                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.38715376        0.17713219        0.02247486        1.17980376        0.00629256        0.00145039
       -9.98998999        1.31062725        0.04091140        0.01872711        1.23844590        0.00878087        0.00376195
       -9.97997998        1.27986995        0.09671641        0.06280172        1.11204633        0.00696379        0.00134170
       -9.96996997        3.92751703        0.55271752        0.15768863        3.19093788        0.02221551        0.00395749
       -9.95995996        1.37326189        0.17586414        0.06401394        1.12493135        0.00739938        0.00105307
       -9.94994995        1.05785163        0.05692872        0.11304048        0.87882079        0.00775672        0.00130492
       -9.93993994        0.20307402        0.00423236        0.02107454        0.17605437        0.00136290        0.00034985
       -9.92992993        1.68677965        0.12275606        0.38932821        1.15249449        0.01933819        0.00286270
       -9.91991992        0.39157104        0.11393586        0.02552400        0.25110403        0.00077275        0.00023441
       -9.90990991        0.60060576        0.02514745        0.04430048        0.52810002        0.00244868        0.00060913
       -9.89989990        3.06061703        0.63330320        0.30906447        2.10259346        0.01247435        0.00318155
       -9.88988989        0.30579934        0.02400006        0.05278360        0.22685847        0.00177077        0.00038643
       -9.87987988        1.94788459        0.10316918        0.27477514        1.55093295        0.01546797        0.00353936
       -9.86986987        1.74486458        0.19250681        0.20075970        1.33247009        0.01589670        0.00323128
       -9.85985986        0.77433935        0.11388083        0.14465954        0.50737785        0.00705044        0.00137069
       -9.84984985        1.04411836        0.13085590        0.27900712        0.62328334        0.00924959        0.00172240
       -9.83983984        0.71638981        0.09634507        0.23597854        0.37590284        0.00656679        0.00159658
       -9.82982983        0.29180475        0.04628084        0.06663251        0.17592508        0.00218641        0.00077991
       -9.81981982        0.82798746        0.12393515        0.19072418        0.50452306        0.00695188        0.00185320
       -9.80980981        0.68931745        0.04553138        0.07390463        0.56086124        0.00719590        0.00182430
       -9.79979980        0.76800368        0.04226115        0.12292120        0.59316455        0.00767236        0.00198442
       -9.78978979        0.44905721        0.02438712        0.11659787        0.29981140        0.00670674        0.00155407
       -9.77977978        0.64602076        0.05256467        0.13599529        0.44835385        0.00720447        0.00190247
       -9.76976977        0.09674112        0.00747818        0.01193129        0.07593534        0.00111890        0.00027742
       -9.75975976        0.80992885        0.05774194        0.12685657        0.61061339        0.01286836        0.00184859
       -9.74974975        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.73973974        0.14530199        0.00163486        0.01240704        0.12750633        0.00334220        0.00041156
       -9.72972973        1.16222690        0.06566334        0.18305333        0.87738917        0.03136161        0.00475945
       -9.71971972        0.16916360        0.00569195        0.03629842        0.12259811        0.00404424        0.00053089
       -9.70970971        0.95199003        0.06815412        0.17156045        0.69569820        0.01467061        0.00190665
       -9.69969970        0.33027889        0.03040599        0.13563489        0.15586250        0.00780704        0.00056848
       -9.68968969        0.89808579        0.12854264        0.18858317        0.55867407        0.02066870        0.00161720
       -9.67967968        0.12691982        0.02753738        0.02237158        0.07461434        0.00222693        0.00016959
       -9.66966967        1.35514366        0.26286049        0.15194515        0.91134004        0.02599703        0.00300096
       -9.65965966        0.41741434        0.05590457        0.08113508        0.26800399        0.01090629        0.00146441
       -9.64964965        0.32988077        0.05055340        0.08253113        0.18637827        0.00916258        0.00125539
       -9.63963964        0.37679435        0.05707954        0.11097494        0.19752508        0.00988651        0.00132828
       -9.62962963        0.42717290        0.06619208        0.13970922        0.21057019        0.00948032        0.00122108
       -9.61961962        0.10577786        0.02606758        0.04321306        0.03384107        0.00230206        0.00035408
       -9.60960961        0.14141050        0.03601286        0.05657349        0.04585782        0.00255729        0.00040904
       -9.59959960        0.18349526        0.04842522        0.07128185        0.06054393        0.00278235        0.00046191
       -9.58958959        0.29433284        0.07505911        0.09602879        0.11801341        0.00458123        0.00065030
       -9.57957958        0.58924295        0.14239023        0.15033472        0.28582967        0.00952922        0.00115911
       -9.56956957        0.87050625        0.23448937        0.16678766        0.45587578        0.01196857        0.00138487
