#  aims_uuid : 62814970-7D0E-4D85-A566-6BBBCEEDD4F4                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.72270578        0.06722506        0.61027733        0.03997762        0.00495403        0.00027174
       -9.98998999        0.64859741        0.01500074        0.60088506        0.02821437        0.00356476        0.00093248
       -9.97997998        0.59967524        0.04261437        0.50374689        0.04847031        0.00456129        0.00028238
       -9.96996997        1.40712504        0.08591906        1.20665505        0.10390400        0.00987418        0.00077274
       -9.95995996        0.62019571        0.04228266        0.52854509        0.04399236        0.00482901        0.00054660
       -9.94994995        1.04911494        0.08315929        0.89136097        0.06609764        0.00777686        0.00072018
       -9.93993994        0.30290108        0.02851096        0.25503074        0.01726818        0.00204032        0.00005088
       -9.92992993        1.60338242        0.06239324        1.41861112        0.11106035        0.00879430        0.00252342
       -9.91991992        0.17791555        0.00981156        0.15471244        0.01207095        0.00118520        0.00013539
       -9.90990991        0.33833607        0.02426643        0.28246262        0.02849965        0.00288528        0.00022209
       -9.89989990        2.07170627        0.10754777        1.79475217        0.15209197        0.01550131        0.00181305
       -9.88988989        0.43333098        0.04201488        0.36418593        0.02455065        0.00242938        0.00015014
       -9.87987988        2.07593172        0.16501139        1.80147125        0.09742276        0.01051045        0.00151587
       -9.86986987        2.14783930        0.15451138        1.87858734        0.10155769        0.01158967        0.00159322
       -9.85985986        1.06617762        0.09368544        0.90100448        0.06444942        0.00650832        0.00052996
       -9.84984985        1.82879821        0.17079226        1.53739667        0.10886835        0.01107261        0.00066832
       -9.83983984        1.62068283        0.17434961        1.34786954        0.08918082        0.00865077        0.00063210
       -9.82982983        0.49149619        0.05654231        0.40318534        0.02842153        0.00310239        0.00024462
       -9.81981982        2.12568094        0.20548909        1.78880984        0.11811841        0.01243392        0.00082968
       -9.80980981        1.17803947        0.10564193        1.00058273        0.06372304        0.00738111        0.00071065
       -9.79979980        1.98513775        0.19233118        1.68034700        0.10025131        0.01132549        0.00088277
       -9.78978979        0.79334235        0.05308128        0.69026029        0.04314343        0.00605129        0.00080607
       -9.77977978        1.08315763        0.07743070        0.93165472        0.06533076        0.00777756        0.00096388
       -9.76976977        0.12262453        0.00875708        0.10298101        0.00962964        0.00114369        0.00011312
       -9.75975976        1.85455122        0.25478526        1.49622786        0.09234695        0.01015897        0.00103219
       -9.74974975        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.73973974        0.19814635        0.00746451        0.18322825        0.00630475        0.00085565        0.00029319
       -9.72972973        2.24218521        0.14767360        1.99672068        0.08321886        0.01194987        0.00262220
       -9.71971972        0.31776504        0.02597872        0.27695821        0.01305727        0.00147348        0.00029737
       -9.70970971        2.60969022        0.19843611        2.27673571        0.11935035        0.01355162        0.00161642
       -9.69969970        0.95520756        0.10713898        0.80644580        0.03638362        0.00461889        0.00062027
       -9.68968969        1.34192628        0.14054963        1.12083404        0.06886014        0.01055179        0.00113067
       -9.67967968        0.26339051        0.02647881        0.22227549        0.01269372        0.00169495        0.00024754
       -9.66966967        2.07667461        0.19112072        1.75975173        0.10531973        0.01815800        0.00232444
       -9.65965966        0.79924228        0.06223577        0.70091924        0.03053780        0.00473690        0.00081257
       -9.64964965        0.80914628        0.06742621        0.70844725        0.02830987        0.00422408        0.00073888
       -9.63963964        1.00147586        0.09282903        0.86652533        0.03608680        0.00525446        0.00078024
       -9.62962963        1.12079921        0.11573438        0.95691097        0.04136196        0.00601089        0.00078100
       -9.61961962        0.22674930        0.01438532        0.19856348        0.01178674        0.00176769        0.00024608
       -9.60960961        0.25906248        0.01592634        0.22773967        0.01312122        0.00197563        0.00029961
       -9.59959960        0.29137021        0.01755951        0.25682288        0.01445394        0.00217850        0.00035538
       -9.58958959        0.45764190        0.03240010        0.39978400        0.02154023        0.00341820        0.00049937
       -9.57957958        0.89957918        0.07218484        0.77869147        0.04101896        0.00678381        0.00090010
       -9.56956957        1.13976358        0.09969876        0.97151335        0.05816648        0.00923978        0.00114521
       -9.55955956        0.80111301        0.05717320        0.69377592        0.04248452        0.00669434        0.00098504
       -9.54954955        0.42906868        0.02534255        0.37713284        0.02236840        0.00357168        0.00065321
       -9.53953954        0.12038465        0.00831585        0.10516983        0.00567985        0.00096879        0.00025033
       -9.52952953        0.01488227        0.00185265        0.01138531        0.00137674        0.00021708        0.00005050
       -9.51951952        1.10682809        0.09487869        0.96335890        0.03941380        0.00839129        0.00078540
       -9.50950951        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.49949950        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.48948949        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.47947948        3.70336567        0.14324945        3.15019275        0.34312738        0.06134595        0.00545014
       -9.46946947        0.24425727        0.00867039        0.21831793        0.01428584        0.00262968        0.00035343
       -9.45945946        0.22393470        0.00734562        0.19873074        0.01481913        0.00270781        0.00033141
       -9.44944945        0.20381602        0.00609663        0.17968708        0.01499614        0.00272685        0.00030931
       -9.43943944        0.18390121        0.00492342        0.16118697        0.01481685        0.00268683        0.00028714
       -9.42942943        0.54174575        0.02229296        0.48516724        0.02855238        0.00504105        0.00069213
       -9.41941942        0.57331707        0.02284475        0.51597513        0.02855841        0.00517956        0.00075922
       -9.40940941        0.60522469        0.02107388        0.55009245        0.02787996        0.00529062        0.00088777
       -9.39939940        0.69451564        0.01851064        0.63826683        0.03046371        0.00608549        0.00118896
       -9.38938939        0.56875063        0.01647511        0.52107792        0.02528472        0.00492070        0.00099217
       -9.37937938        0.57046447        0.01428932        0.52796065        0.02259308        0.00454958        0.00107183
       -9.36936937        0.50861241        0.01261335        0.47064975        0.02058319        0.00381541        0.00095072
       -9.35935936        0.57749187        0.01338320        0.53642611        0.02266508        0.00393519        0.00108229
       -9.34934935        0.56608329        0.01198560        0.52581433        0.02360061        0.00368275        0.00100000
       -9.33933934        0.57913790        0.01234357        0.53861719        0.02364176        0.00354070        0.00099467
       -9.32932933        0.59740483        0.01340137        0.55750439        0.02216172        0.00333415        0.00100320
       -9.31931932        0.73906606        0.01667395        0.69277242        0.02465783        0.00374076        0.00122110
       -9.30930931        0.56185938        0.01206400        0.52258683        0.02270883        0.00356832        0.00093141
       -9.29929930        0.42153712        0.00967841        0.38682129        0.02039481        0.00388528        0.00075732
       -9.28928929        0.32182989        0.00723735        0.29681104        0.01427574        0.00294437        0.00056139
       -9.27927928        0.34179710        0.00728114        0.31768304        0.01321687        0.00300637        0.00060968
       -9.26926927        0.18222496        0.00529601        0.16905689        0.00646150        0.00111256        0.00029801
       -9.25925926        0.60719607        0.01988501        0.55464604        0.02764781        0.00389381        0.00112341
       -9.24924925        1.37189422        0.05082855        1.25457457        0.05460442        0.00933138        0.00255530
       -9.23923924        1.22651501        0.03567200        1.13363006        0.04772535        0.00723740        0.00225020
       -9.22922923        1.03624640        0.02526393        0.96292155        0.04049054        0.00561505        0.00195533
       -9.21921922        1.03911202        0.02025832        0.97071141        0.04117036        0.00502817        0.00194375
       -9.20920921        1.20713029        0.01776398        1.14376735        0.03914703        0.00450809        0.00194383
       -9.19919920        2.37009669        0.03978414        2.22740488        0.08748441        0.01252962        0.00289363
       -9.18918919        1.86187707        0.03415544        1.74309250        0.06958510        0.01207101        0.00297303
       -9.17917918        3.54209719        0.06902080        3.28347831        0.14761892        0.03362282        0.00835634
       -9.16916917        1.75216762        0.04208336        1.62482451        0.07245424        0.00992279        0.00288273
       -9.15915916        1.85071650        0.02173354        1.74004888        0.07527767        0.01076865        0.00288776
       -9.14914915        1.02977831        0.00819993        0.97125176        0.04083031        0.00775084        0.00174548
       -9.13913914        2.61730806        0.05545736        2.41793167        0.12192433        0.01832096        0.00367375
       -9.12912913        1.53382090        0.02790254        1.41860169        0.07317270        0.01181784        0.00232614
       -9.11911912        1.53909071        0.02394135        1.42006023        0.07863063        0.01390019        0.00255831
       -9.10910911        3.41569532        0.08309838        3.16512100        0.13808219        0.02431311        0.00508064
       -9.09909910        1.02028935        0.01591400        0.95415725        0.04007352        0.00849773        0.00164685
       -9.08908909        0.78969503        0.01286391        0.73004884        0.03686426        0.00847460        0.00144342
