#  aims_uuid : 272D6731-19F7-437B-A945-DD839368E94B                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.03832179        0.05026643        0.05205879        0.92839004        0.00650970        0.00109683
       -9.98998999        1.01104596        0.04434708        0.08309276        0.87337296        0.00875644        0.00147672
       -9.97997998        0.46972543        0.01585163        0.02585675        0.42277324        0.00455242        0.00069138
       -9.96996997        1.27959843        0.06481132        0.11373701        1.08933587        0.00997817        0.00173606
       -9.95995996        0.86798693        0.03425826        0.09422306        0.73256876        0.00596615        0.00097070
       -9.94994995        0.66563882        0.04140954        0.10128124        0.51531061        0.00661163        0.00102579
       -9.93993994        0.78453532        0.09305268        0.16761635        0.51221748        0.01020270        0.00144611
       -9.92992993        2.17596202        0.18806097        0.32071398        1.64389414        0.02067876        0.00261416
       -9.91991992        0.52239057        0.04655327        0.12806957        0.33914613        0.00784475        0.00077686
       -9.90990991        2.44466186        0.19454077        0.40170926        1.81143676        0.03165850        0.00531657
       -9.89989990        0.56555781        0.05619026        0.09110680        0.41125824        0.00563900        0.00136352
       -9.88988989        1.22485498        0.09282583        0.17798251        0.93275388        0.01852270        0.00277007
       -9.87987988        1.65055523        0.20786534        0.18173103        1.24138462        0.01728063        0.00229361
       -9.86986987        0.48061029        0.07425922        0.04841513        0.35357427        0.00375298        0.00060869
       -9.85985986        1.15112962        0.06857348        0.13275090        0.94037323        0.00818045        0.00125157
       -9.84984985        1.71021353        0.11287369        0.29171668        1.28949726        0.01366826        0.00245764
       -9.83983984        1.21345354        0.20840893        0.21871247        0.77299783        0.01105231        0.00228200
       -9.82982983        2.06118001        0.27734647        0.30475044        1.45093767        0.02426356        0.00388187
       -9.81981982        1.60324457        0.18634392        0.22324074        1.17171025        0.01902879        0.00292087
       -9.80980981        1.42124321        0.20666103        0.23744506        0.95438077        0.02034171        0.00241464
