#  aims_uuid : 272D6731-19F7-437B-A945-DD839368E94B                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.82111663        0.06541637        0.69725893        0.05229347        0.00580529        0.00034257
       -9.98998999        0.69423737        0.05556036        0.59045617        0.04351392        0.00440368        0.00030324
       -9.97997998        0.28105542        0.02136711        0.23984067        0.01769010        0.00203062        0.00012692
       -9.96996997        1.03691286        0.09160114        0.87585194        0.06099408        0.00801584        0.00044986
       -9.95995996        0.50320132        0.02843219        0.43159259        0.03895892        0.00384648        0.00037115
       -9.94994995        0.39071298        0.03189557        0.32254073        0.03168166        0.00403132        0.00056371
       -9.93993994        0.65337213        0.04763947        0.56538748        0.03492440        0.00461423        0.00080655
       -9.92992993        2.31056056        0.19838706        1.96345409        0.13174342        0.01561257        0.00136343
       -9.91991992        0.58900843        0.04234406        0.51191925        0.03084542        0.00339981        0.00049990
       -9.90990991        3.91758407        0.36890700        3.34551218        0.18123711        0.02017583        0.00175196
       -9.89989990        0.72919354        0.05110277        0.62017450        0.05208398        0.00559820        0.00023410
       -9.88988989        1.13973215        0.07091503        0.99038852        0.07034773        0.00732552        0.00075535
       -9.87987988        1.80877280        0.13522677        1.55745071        0.10470036        0.01050357        0.00089140
       -9.86986987        0.65781376        0.07615591        0.54082653        0.03647212        0.00406642        0.00029278
       -9.85985986        1.00770149        0.08800966        0.84235481        0.07031688        0.00649144        0.00052870
       -9.84984985        1.31579578        0.11478355        1.09724917        0.09522775        0.00749949        0.00103582
       -9.83983984        1.73357110        0.16164378        1.47473100        0.08697628        0.00935225        0.00086779
       -9.82982983        4.04242222        0.37061904        3.44582454        0.20565087        0.01843483        0.00189294
       -9.81981982        3.26477883        0.32405306        2.78209206        0.14186693        0.01544234        0.00132445
       -9.80980981        2.63257655        0.28854665        2.24189586        0.08878054        0.01235945        0.00099404
       -9.79979980        2.50568186        0.24606708        2.16085326        0.08718299        0.01054176        0.00103677
       -9.78978979        1.86796092        0.16893567        1.59005820        0.09806589        0.00943952        0.00146165
       -9.77977978        1.52055864        0.13829552        1.28425505        0.08804808        0.00885649        0.00110351
       -9.76976977        2.70047167        0.23654750        2.33370069        0.11665120        0.01232357        0.00124871
       -9.75975976        0.89147048        0.06461440        0.77011106        0.05116985        0.00496275        0.00061242
       -9.74974975        0.86080168        0.08097596        0.74048294        0.03447069        0.00437896        0.00049313
       -9.73973974        1.44334607        0.08928492        1.27754556        0.06895578        0.00655387        0.00100594
       -9.72972973        1.46919367        0.08241749        1.32421833        0.05607447        0.00559769        0.00088569
