#  aims_uuid : D0BD19D4-B9AD-494D-A9EC-1813570430ED                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.83525761        0.00570994        0.06132683        0.75349595        0.01472488
       -9.98998999        1.13337099        0.00620076        0.06150702        1.04362690        0.02203631
       -9.97997998        0.82348111        0.00469166        0.05010104        0.75368543        0.01500297
       -9.96996997        0.37092845        0.00249715        0.03229053        0.33196735        0.00417342
       -9.95995996        0.92380455        0.01033344        0.08846450        0.81215168        0.01285493
       -9.94994995        0.67993790        0.00788569        0.06578443        0.59606480        0.01020298
       -9.93993994        0.35629620        0.00476610        0.04599466        0.29974056        0.00579488
       -9.92992993        0.41869278        0.00544134        0.05755939        0.34834329        0.00734877
       -9.91991992        0.47580702        0.00588332        0.06361274        0.39726472        0.00904623
       -9.90990991        0.30607437        0.00463298        0.03440352        0.26172289        0.00531498
       -9.89989990        0.85895120        0.00878293        0.04863097        0.78632429        0.01521301
       -9.88988989        0.72505759        0.00952456        0.06494617        0.63358632        0.01700055
       -9.87987988        0.32850062        0.00620719        0.05108620        0.26138578        0.00982146
       -9.86986987        0.43665256        0.00607682        0.04368646        0.37857024        0.00831905
       -9.85985986        0.43055466        0.00401952        0.01546327        0.40532517        0.00574671
       -9.84984985        0.38042159        0.00307036        0.01069255        0.36121948        0.00543919
       -9.83983984        0.30887567        0.00286317        0.01052166        0.29026144        0.00522939
       -9.82982983        0.24506845        0.00260453        0.01002232        0.22760377        0.00483782
       -9.81981982        0.19415948        0.00229624        0.00929260        0.17824535        0.00432529
       -9.80980981        0.19327934        0.00265024        0.01648196        0.16974394        0.00440319
       -9.79979980        0.35091311        0.00475947        0.06609030        0.27213617        0.00792717
       -9.78978979        0.41135180        0.00530353        0.07403139        0.32431968        0.00769721
       -9.77977978        0.67389156        0.00731034        0.08269336        0.57101750        0.01287035
       -9.76976977        0.63309541        0.00873690        0.09581608        0.51470773        0.01383469
       -9.75975976        0.77923957        0.01266557        0.14471650        0.60111508        0.02074242
       -9.74974975        0.40278670        0.00701535        0.08023528        0.30644641        0.00908966
       -9.73973974        0.42341782        0.00737716        0.07888912        0.32822489        0.00892665
       -9.72972973        0.50848303        0.00878701        0.08762272        0.40245883        0.00961447
       -9.71971972        0.61516366        0.00931289        0.08838407        0.50721871        0.01024799
       -9.70970971        0.73830948        0.00880692        0.07912108        0.63966823        0.01071324
       -9.69969970        0.80092976        0.00760178        0.06546329        0.71564225        0.01222245
       -9.68968969        0.52136045        0.00651303        0.05827921        0.44637353        0.01019467
       -9.67967968        0.54527877        0.00659224        0.05353178        0.47344503        0.01170971
       -9.66966967        1.06691048        0.00835086        0.08185027        0.95528120        0.02142815
       -9.65965966        0.50292489        0.00634004        0.04831428        0.43764028        0.01063029
       -9.64964965        0.57642824        0.00728487        0.06081276        0.49497511        0.01335549
       -9.63963964        0.65578761        0.00737432        0.06863141        0.56330356        0.01647832
       -9.62962963        0.89282422        0.00810115        0.10197050        0.75900124        0.02375133
       -9.61961962        0.66079254        0.00512156        0.06060249        0.57607541        0.01899308
       -9.60960961        0.47795961        0.00433063        0.05022781        0.41250524        0.01089594
       -9.59959960        0.55394779        0.00544271        0.05900322        0.47731494        0.01218693
       -9.58958959        0.83493676        0.00798577        0.08582386        0.72515490        0.01597223
       -9.57957958        0.97950891        0.00694854        0.07710975        0.87696439        0.01848623
       -9.56956957        0.69008698        0.00462254        0.06100591        0.61120922        0.01324931
       -9.55955956        0.61828789        0.00406659        0.05649312        0.54606668        0.01166150
