#  aims_uuid : D0BD19D4-B9AD-494D-A9EC-1813570430ED                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.62740062        0.01042228        0.57625880        0.03500038        0.00571917
       -9.98998999        0.94080904        0.01167770        0.88038263        0.04025823        0.00849048
       -9.97997998        0.67702312        0.01098714        0.63381815        0.02733507        0.00488276
       -9.96996997        0.29575416        0.00696680        0.27624523        0.01055658        0.00198554
       -9.95995996        0.62841710        0.01219177        0.57792884        0.03267062        0.00562588
       -9.94994995        0.47447908        0.00948072        0.43353279        0.02722160        0.00424397
       -9.93993994        0.30889110        0.00785396        0.28505158        0.01391363        0.00207193
       -9.92992993        0.42317188        0.01161270        0.39254246        0.01653362        0.00248310
       -9.91991992        0.54246193        0.01535231        0.50412223        0.01996838        0.00301900
       -9.90990991        0.38874904        0.00407373        0.36634757        0.01626182        0.00206592
       -9.89989990        0.99622528        0.01003130        0.93939344        0.04068991        0.00611064
       -9.88988989        0.96354320        0.01366656        0.90667446        0.03726028        0.00594190
       -9.87987988        0.51459562        0.01036652        0.48130246        0.01967596        0.00325068
       -9.86986987        0.52637171        0.00929910        0.48702132        0.02604303        0.00400825
       -9.85985986        0.37306408        0.00598741        0.34411687        0.01947612        0.00348368
       -9.84984985        0.32587549        0.00496624        0.30340998        0.01462043        0.00287884
       -9.83983984        0.26835460        0.00424165        0.24847030        0.01312426        0.00251839
       -9.82982983        0.21727830        0.00355670        0.19990160        0.01164880        0.00217120
       -9.81981982        0.17826753        0.00296837        0.16327465        0.01017136        0.00185315
       -9.80980981        0.22352411        0.00302379        0.20597439        0.01257920        0.00194672
       -9.79979980        0.50887493        0.00931854        0.47180775        0.02428040        0.00346824
       -9.78978979        0.60336095        0.00996079        0.56055900        0.02891566        0.00392550
       -9.77977978        0.75984707        0.01232052        0.69884901        0.04303862        0.00563892
       -9.76976977        0.77921338        0.01258219        0.71572268        0.04471213        0.00619639
       -9.75975976        0.94584942        0.01791594        0.86247608        0.05731411        0.00814329
       -9.74974975        0.45726383        0.00908642        0.41486702        0.02952950        0.00378089
       -9.73973974        0.45807475        0.00890181        0.41571604        0.02972092        0.00373598
       -9.72972973        0.52539946        0.00946465        0.47912200        0.03258956        0.00422324
       -9.71971972        0.58145737        0.00992227        0.53151191        0.03516631        0.00485687
       -9.70970971        0.61821383        0.01010149        0.56547418        0.03706786        0.00557030
       -9.69969970        0.60014815        0.00767359        0.55251829        0.03446710        0.00548917
